"sample.depths","sample.ages","Abies","Cyperaceae","Nemopanthus","Picea","Taxus","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Alnus","Rosaceae.undiff.","Myrica","Pinus","Amaranthaceae","Poaceae","Ericales","Juniperus","cf..Myrica","Betula.greater.than.20.microm","Betula.less.than.20.microm","Asteraceae.subf..Cichorioideae","Juglans","Brassicaceae","Caryophyllaceae","Cornus","Caprifoliaceae","Corylus","Fagus","Quercus","Salix","Tsuga","Ranunculaceae.undiff.","Populus","Acer","Ulmus","Artemisia","Saxifragaceae","Rumex.type","Lamiaceae","Tilia","Primulaceae","Sanguisorba","Urticaceae"
195,6283,0.070484581,0.013215859,0.004405286,0.286343612,0.039647577,0.008810573,0.026431718,0.022026432,0.022026432,0.026431718,0.004405286,0,0.004405286,0.013215859,0.004405286,0.070484581,0.343612335,0.004405286,0,0,0.004405286,0,0.004405286,0,0,0,0,0.004405286,0,0,0.013215859,0,0.008810573,0,0,0,0,0,0,0,0
205,6692,0.129568106,0.043189369,0,0.167774086,0,0.019933555,0.011627907,0.024916944,0.013289037,0.023255814,0.014950166,0,0.006644518,0.009966777,0.00166113,0.046511628,0.433554817,0.019933555,0,0,0,0,0.003322259,0.00166113,0,0,0,0,0.00166113,0.004983389,0.011627907,0,0.003322259,0.003322259,0,0,0,0,0,0.00166113,0.00166113
210,6896,0.024305556,0.024305556,0.006944444,0.256944444,0.059027778,0.020833333,0.006944444,0.003472222,0.017361111,0.027777778,0.003472222,0,0.017361111,0.003472222,0,0.072916667,0.399305556,0.017361111,0,0,0.003472222,0,0.003472222,0,0,0.003472222,0,0.010416667,0.003472222,0,0.010416667,0,0,0,0,0,0,0,0.003472222,0,0
215,7100,0.070552147,0.055214724,0,0.199386503,0.08997955,0.013292434,0.018404908,0.017382413,0.010224949,0.008179959,0.016359918,0,0.009202454,0.00408998,0.00408998,0.039877301,0.40797546,0.016359918,0,0,0,0,0,0.00204499,0,0,0,0.00204499,0,0.010224949,0.005112474,0,0,0,0,0,0,0,0,0,0
220,7304,0.04029304,0.025641026,0,0.245421245,0.062271062,0.014652015,0.007326007,0.003663004,0.003663004,0.014652015,0.018315018,0,0.003663004,0.003663004,0,0.054945055,0.461538462,0.007326007,0,0,0.003663004,0,0.003663004,0,0,0,0,0.003663004,0,0,0.021978022,0,0,0,0,0,0,0,0,0,0
222.5,7407,0.044444444,0.025925926,0,0.262962963,0.074074074,0.007407407,0.007407407,0.011111111,0.011111111,0.037037037,0.014814815,0,0.003703704,0,0.007407407,0.055555556,0.403703704,0.007407407,0,0,0.003703704,0,0,0,0,0,0,0.007407407,0,0,0.014814815,0,0,0,0,0,0,0,0,0,0
225,7509,0.079903148,0.036319613,0,0.12590799,0.024213075,0.00968523,0.00968523,0.014527845,0.026634383,0.00968523,0.012106538,0,0,0.004842615,0.00968523,0.04842615,0.527845036,0.016949153,0,0,0,0,0,0,0,0,0,0.002421308,0,0.007263923,0.031476998,0,0.002421308,0,0,0,0,0,0,0,0
230,7713,0.033492823,0.014354067,0.004784689,0.244019139,0.062200957,0.014354067,0.009569378,0.009569378,0.014354067,0.019138756,0.004784689,0.004784689,0.004784689,0.009569378,0,0.043062201,0.440191388,0.009569378,0,0,0.009569378,0,0,0.004784689,0,0,0,0.004784689,0,0.004784689,0.028708134,0.004784689,0,0,0,0,0,0,0,0,0
235,7917,0.038356164,0.01369863,0,0.210958904,0.087671233,0.02739726,0.016438356,0.008219178,0.008219178,0.002739726,0.005479452,0,0.002739726,0.002739726,0.01369863,0.01369863,0.490410959,0.016438356,0,0,0,0,0,0,0,0,0.002739726,0.002739726,0.002739726,0.010958904,0.021917808,0,0,0,0,0,0,0,0,0,0
240,8121,0.0430839,0.020408163,0,0.083900227,0.063492063,0.009070295,0.006802721,0.009070295,0.009070295,0.031746032,0.015873016,0,0.013605442,0,0.002267574,0.029478458,0.609977324,0.038548753,0,0,0,0,0,0,0,0,0,0,0,0.006802721,0.006802721,0,0,0,0,0,0,0,0,0,0
245,NA,0.075892857,0.010416667,0,0.28125,0,0.011904762,0.007440476,0.029761905,0.001488095,0.055059524,0.06547619,0,0.025297619,0.014880952,0.00297619,0.069940476,0.22172619,0.098214286,0,0,0,0,0,0,0,0,0,0.014880952,0,0,0,0,0,0,0,0,0,0,0,0,0.013392857
