"sample.depths","sample.ages","upland.sum","Ambrosia.type","Artemisia","Betula","Carya","Asteraceae.undiff.","Corylus","Cyperaceae","Ericaceae","Fagus","Herbs.undiff.","Ostrya.Carpinus","Pinus.undiff.","Quercus","Salix","Tilia","Tsuga","Ulmus","Alnus","Acer","Fraxinus","Populus","Amaranthaceae","Poaceae","Pinus.strobus","Pinus.banksiana.P..resinosa","Cupressaceae","Platanus","Juglans","Picea","Larix","Rumex","Myrica","Abies","Liquidambar","Castanea"
580,10083,432,6,7,10,4,1,6,10,0,0,2,23,177,37,1,5,0,58,11,7,19,4,2,8,15,15,2,0,1,0,1,0,0,0,0,0
600,10308,345,2,1,21,5,3,5,8,0,0,1,2,129,49,1,1,0,52,14,1,9,0,1,6,9,21,1,1,1,0,0,0,0,1,0,0
620,10532,612,8,8,27,9,2,6,11,0,0,3,22,189,72,0,2,0,56,7,5,35,10,1,14,21,79,4,1,6,6,4,0,0,4,0,0
640,11064,712,4,10,38,3,0,4,15,0,0,0,11,377,47,1,1,0,51,3,3,29,7,0,9,4,46,4,0,5,32,2,0,0,6,0,0
660,11595,557,1,4,13,1,0,2,12,0,0,0,5,311,19,1,0,0,13,3,1,34,16,0,7,2,48,1,0,1,54,4,0,0,4,0,0
670,11861,335,3,15,5,0,2,0,24,0,1,0,11,114,11,2,1,0,21,5,0,11,0,2,3,0,6,5,0,0,89,2,0,0,2,0,0
680,12126,415,2,31,14,0,5,8,38,0,2,4,15,11,31,4,0,0,17,10,1,32,3,1,18,1,1,12,1,0,147,6,0,0,0,0,0
700,12658,334,5,21,9,1,2,3,20,0,0,4,18,4,13,3,0,0,9,4,0,7,2,1,6,0,0,8,0,1,186,5,1,0,1,0,0
720,13189,315,5,31,2,0,0,4,18,0,0,1,5,5,13,5,1,0,9,7,4,12,0,2,7,0,0,2,0,0,181,1,0,0,0,0,0
740,13721,348,9,29,1,0,4,5,24,0,0,1,16,3,14,2,0,0,4,4,2,25,6,2,12,0,0,12,0,0,170,3,0,0,0,0,0
760,14252,303,4,18,1,0,4,1,20,0,0,6,23,2,18,0,0,0,5,0,0,16,1,2,6,0,0,8,0,0,163,2,0,0,3,0,0
780,NA,447,13,39,2,3,2,0,23,0,0,3,31,6,26,4,0,0,5,0,1,40,1,3,7,0,0,19,0,0,214,1,0,0,4,0,0
810,NA,341,6,21,1,1,0,0,10,0,0,1,5,1,7,0,0,0,2,2,0,18,0,0,12,0,0,8,0,0,242,4,0,0,0,0,0
820,NA,307,7,11,1,0,0,0,33,0,0,2,6,2,7,2,0,0,4,1,0,36,0,0,4,1,0,32,0,0,154,4,0,0,0,0,0
830,NA,334,6,18,2,1,0,1,14,0,0,4,10,2,11,3,0,0,1,2,1,17,0,0,3,0,0,33,1,1,198,5,0,0,0,0,0
840,NA,345,6,1,1,0,2,1,9,0,0,1,5,1,10,0,0,0,0,3,0,21,0,0,2,0,0,11,0,2,266,3,0,0,0,0,0
850,NA,309,8,20,1,0,1,1,13,0,0,1,4,1,7,2,0,0,1,1,0,16,0,0,1,0,0,10,0,0,215,6,0,0,0,0,0
860,NA,314,6,7,2,1,2,0,12,0,0,1,5,3,3,0,0,0,0,1,0,6,0,0,2,1,0,8,0,0,249,5,0,0,0,0,0
870,NA,329,2,14,0,0,2,0,10,0,0,3,5,2,8,1,0,0,2,0,2,30,0,1,3,0,0,14,0,0,216,14,0,0,0,0,0
