"sample.depths","sample.ages","Ambrosia.type","Carya","Amaranthaceae.undiff.","Cupressaceae","Cyperaceae","Ilex","Quercus","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Liliaceae","Fabaceae","Myrica","Pinus","Poaceae","Urtica","Boehmeria","Celtis","Salix","Fraxinus","Asteraceae.subf..Cichorioideae","Apiaceae","Brassicaceae","Polygonum","Phacelia","Plantago","Malvaceae","Artemisia","Liquidambar","Mimosaceae","Juglans","Xyris","Cephalanthus","Primula","Betula","Ericaceae","Corylus","Rhus","Amaranthaceae","Viburnum","Nyssa","Ostrya.Carpinus","Tilia","Campanulaceae","Cornus","Acer","Impatiens","Lamiaceae","Convolvulaceae","Castanea","Galium","Planera.aquatica","Rhamnus","Ranunculaceae","Picea","Onagraceae"
90,5103,0.0302267002518892,0.0125944584382872,0.00251889168765743,0,0.52896725440806,0,0.0982367758186398,0.0680100755667506,0,0,0,0,0,0.00503778337531486,0.239294710327456,0,0,0.00251889168765743,0.0125944584382872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,5762,0.055045871559633,0.0886850152905199,0,0,0.159021406727829,0,0.391437308868502,0.036697247706422,0.0091743119266055,0.00305810397553517,0,0,0,0.0091743119266055,0.198776758409786,0.00305810397553517,0.00305810397553517,0.00305810397553517,0.0244648318042813,0,0,0.00305810397553517,0,0,0,0,0,0,0.00305810397553517,0.00305810397553517,0.00305810397553517,0.00305810397553517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,6420,0.0718085106382979,0.0930851063829787,0.00797872340425532,0,0.109042553191489,0,0.465425531914894,0.0585106382978723,0.00531914893617021,0,0,0.0132978723404255,0,0.00265957446808511,0.127659574468085,0,0.00265957446808511,0.00265957446808511,0.0292553191489362,0,0,0.00797872340425532,0,0,0.00265957446808511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,7079,0.0232558139534884,0.0232558139534884,0.00232558139534884,0,0.509302325581395,0,0.118604651162791,0.0674418604651163,0,0,0.00232558139534884,0.00232558139534884,0,0.00465116279069767,0.186046511627907,0,0,0,0.013953488372093,0.00232558139534884,0,0.027906976744186,0.00232558139534884,0,0.00930232558139535,0.00465116279069767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,7738,0.0193236714975845,0.00483091787439614,0.00241545893719807,0,0.241545893719807,0,0.188405797101449,0.1256038647343,0,0,0,0.0072463768115942,0,0.00241545893719807,0.36231884057971,0,0,0,0,0,0,0.00483091787439614,0.036231884057971,0,0.00241545893719807,0.00241545893719807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,8397,0.0506666666666667,0.0266666666666667,0.00266666666666667,0,0.242666666666667,0,0.170666666666667,0.0933333333333333,0,0.008,0,0.0133333333333333,0,0.008,0.298666666666667,0,0,0,0.016,0,0,0.0213333333333333,0.0106666666666667,0,0,0.00533333333333333,0,0,0,0,0,0,0.024,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,9056,0.056,0.008,0.0106666666666667,0,0.122666666666667,0,0.224,0.08,0.00266666666666667,0.0106666666666667,0.00266666666666667,0,0,0.008,0.410666666666667,0,0,0,0,0,0.00266666666666667,0.008,0.032,0,0,0,0,0.0133333333333333,0,0,0,0,0,0,0.00266666666666667,0.00533333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,9714,0.0532915360501567,0.0125391849529781,0.00313479623824451,0,0.141065830721003,0,0.206896551724138,0.106583072100313,0.00313479623824451,0.119122257053292,0,0.00626959247648903,0,0.00626959247648903,0.250783699059561,0,0,0.00313479623824451,0.0125391849529781,0,0,0.00940438871473354,0,0,0.00313479623824451,0.00940438871473354,0,0,0,0,0,0,0.0282131661442006,0,0.0156739811912226,0,0.00313479623824451,0.00313479623824451,0.00313479623824451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,10373,0.0594059405940594,0.00495049504950495,0.00247524752475248,0,0.051980198019802,0,0.23019801980198,0.113861386138614,0,0.150990099009901,0,0.0123762376237624,0,0.0123762376237624,0.225247524752475,0,0,0,0.0371287128712871,0,0,0.00742574257425743,0,0.00247524752475248,0.0123762376237624,0,0,0,0,0.00247524752475248,0,0,0.0495049504950495,0,0.0123762376237624,0.00247524752475248,0.00495049504950495,0,0.00247524752475248,0.00247524752475248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,11032,0.032967032967033,0,0.010989010989011,0,0.0402930402930403,0,0.0549450549450549,0.245421245421245,0,0.208791208791209,0.00366300366300366,0.0146520146520147,0,0.010989010989011,0.142857142857143,0,0,0.00366300366300366,0.00732600732600733,0,0,0.0183150183150183,0,0,0.0293040293040293,0,0,0,0,0,0,0,0.0402930402930403,0.00366300366300366,0.0293040293040293,0.010989010989011,0.0183150183150183,0.010989010989011,0,0.010989010989011,0.00732600732600733,0.00366300366300366,0.00366300366300366,0.00366300366300366,0.032967032967033,0,0,0,0,0,0,0,0,0,0,0
190,11691,0.025,0.00208333333333333,0,0,0.0104166666666667,0,0.04375,0.11875,0,0.495833333333333,0,0,0,0,0.0833333333333333,0,0,0,0.00416666666666667,0,0,0.0125,0,0,0,0,0,0,0,0,0,0,0.0145833333333333,0,0.114583333333333,0.00625,0.0208333333333333,0.0291666666666667,0,0.0166666666666667,0,0,0,0,0,0.00208333333333333,0,0,0,0,0,0,0,0,0,0
200,12252,0.0277777777777778,0.00427350427350427,0,0,0.00213675213675214,0,0.0235042735042735,0.0341880341880342,0.00213675213675214,0.621794871794872,0,0,0,0,0.0128205128205128,0,0,0,0,0,0,0.00427350427350427,0,0,0,0,0,0,0,0,0,0,0,0,0.177350427350427,0.0192307692307692,0.0106837606837607,0.0363247863247863,0,0.0170940170940171,0,0,0,0,0,0.00641025641025641,0,0,0,0,0,0,0,0,0,0
210,12813,0.0592334494773519,0.00696864111498258,0.00348432055749129,0,0.0139372822299652,0,0.0418118466898955,0.0627177700348432,0,0.412891986062718,0,0.00174216027874564,0,0.00174216027874564,0.0574912891986063,0,0.00348432055749129,0,0.00348432055749129,0,0,0.00174216027874564,0,0,0,0,0,0,0,0.00348432055749129,0,0,0,0,0.0209059233449477,0.0191637630662021,0.00696864111498258,0.0209059233449477,0,0.252613240418118,0,0,0,0,0,0,0.00174216027874564,0.00174216027874564,0.00174216027874564,0,0,0,0,0,0,0
220,13374,0.0435967302452316,0,0.0108991825613079,0,0.0517711171662125,0,0.0354223433242507,0.0681198910081744,0,0.55858310626703,0,0,0,0,0.0435967302452316,0,0.00544959128065395,0,0,0,0,0.00272479564032698,0,0,0,0,0,0,0,0.00272479564032698,0,0,0,0,0.0817438692098093,0.00272479564032698,0.0136239782016349,0.0299727520435967,0,0.0463215258855586,0,0,0,0,0,0,0,0,0,0.00272479564032698,0,0,0,0,0,0
230,13935,0.0297619047619048,0,0,0,0.00892857142857143,0,0.0386904761904762,0.0386904761904762,0.00595238095238095,0.708333333333333,0,0,0,0,0.0238095238095238,0,0.00297619047619048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0.00595238095238095,0.0446428571428571,0,0.00892857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,14496,0.0363636363636364,0.0181818181818182,0,0,0.0285714285714286,0,0.051948051948052,0.0805194805194805,0.0025974025974026,0.68051948051948,0,0,0,0.00519480519480519,0.0363636363636364,0,0.00519480519480519,0,0,0,0,0.0025974025974026,0,0.0025974025974026,0,0,0,0.0025974025974026,0,0,0,0,0.0025974025974026,0,0.0181818181818182,0.0025974025974026,0.00779220779220779,0.0155844155844156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
