"sample.depths","sample.ages","Acer.rubrum","Alnus.incana.type","Artemisia","Betula","Chamaedaphne.calyculata","Cyperaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Poaceae.undiff.","Ledum.Chamaedaphne.calyculata","Ostrya.Carpinus","Picea.mariana.type","Pinus.undiff.","Plantago.major","Polygalaceae","Quercus","Ranunculaceae.undiff.","Salix","Tilia","Ulmus","Rosaceae.undiff.","Fraxinus.americana.type","Lamiaceae","Abies.balsamea","Acer.saccharinum","Acer.saccharum","Andromeda.polifolia","Corylus.cornuta","Monotropa","Ilex.Nemopanthus","Pinus.strobus","Tsuga.canadensis","Viburnum.nudum","Picea.undiff.","Ericaceae.undiff.","Vaccinium.undiff.","Juglans.cinerea","Taxus","Amaranthaceae","Carya.ovata","Cupressaceae.cf..Thuja.occidentalis","Juniperus.communis.Thuja.occidentalis.type","Acer.pensylvanicum","Ambrosia.type","Larix","Populus.tremuloides.type","Pinus.banksiana.type","Vaccinium.angustifolium.type","Sambucus","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Castanea.dentata","Pinus.resinosa.type","Rubiaceae","Juniperus.type","Juglans.nigra","Rhamnus.alnifolia.R..frangula","Rumex.type","Alnus.viridis.type","Shepherdia.canadensis","Onagraceae","Plantago.undiff.","Prunus.serotina","Rhododendron.canadense","Caryophyllaceae","Cerealia","Prunus.pensylvanica","Vaccinium.uliginosum.type","Acer.spicatum","Caprifoliaceae.undiff.","Fabaceae","Brassicaceae","Asteraceae.subf..Cichorioideae","Andromeda.glaucophylla","Morus.rubra.type","Vaccinium.oxycoccos","Populus.balsamifera.type","Myrica.gale","Elymus.type"
175,5837,0,0.00183654729109275,0,0.189164370982553,0,0.00183654729109275,0.00826446280991736,0.00918273645546373,0,0.0101010101010101,0.000918273645546373,0.00275482093663912,0.0321395775941231,0.135904499540863,0,0,0.0284664830119376,0,0.0119375573921028,0.00367309458218549,0.0101010101010101,0,0.000918273645546373,0,0,0.00459136822773186,0.0110192837465565,0,0.00642791551882461,0,0.00275482093663912,0.198347107438017,0.20752984389348,0,0.00642791551882461,0,0,0.00275482093663912,0,0.000918273645546373,0.000918273645546373,0,0,0,0.00183654729109275,0.0275482093663912,0.00275482093663912,0.0220385674931129,0,0.00275482093663912,0,0,0,0.0505050505050505,0,0,0,0,0,0.00367309458218549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,5933,0,0.0132042253521127,0,0.11443661971831,0.000880281690140845,0.00616197183098592,0,0.00704225352112676,0,0.00440140845070423,0,0.00176056338028169,0.0246478873239437,0.118838028169014,0,0,0.0316901408450704,0,0.0123239436619718,0.000880281690140845,0.0079225352112676,0,0,0,0,0.0079225352112676,0.0264084507042254,0,0.00264084507042254,0,0.00440140845070423,0.248239436619718,0.227992957746479,0,0.00176056338028169,0,0,0.00176056338028169,0.000880281690140845,0,0,0,0,0,0,0.0545774647887324,0,0.0422535211267606,0,0.000880281690140845,0,0.00176056338028169,0,0.0290492957746479,0,0,0,0,0,0.00176056338028169,0,0,0.000880281690140845,0.000880281690140845,0.00176056338028169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,6110,0.00106157112526539,0.111464968152866,0.00106157112526539,0.13588110403397,0,0.00849256900212314,0,0.0276008492569002,0.00318471337579618,0,0,0.00212314225053079,0.113588110403397,0.0976645435244161,0,0,0.0414012738853503,0,0.0138004246284501,0.00212314225053079,0.0148619957537155,0,0.00106157112526539,0,0.00318471337579618,0.00636942675159236,0.0159235668789809,0,0.0201698513800425,0,0.0307855626326964,0.154989384288747,0.119957537154989,0.00212314225053079,0.00636942675159236,0,0,0.00212314225053079,0.00530785562632696,0.00106157112526539,0,0,0,0,0.00106157112526539,0.0106157112526539,0.00106157112526539,0.0148619957537155,0,0.00530785562632696,0.00106157112526539,0.00318471337579618,0.00106157112526539,0.00530785562632696,0.00106157112526539,0,0,0,0,0.00318471337579618,0,0,0.00318471337579618,0,0,0.00212314225053079,0.00106157112526539,0.00106157112526539,0.00106157112526539,0,0,0,0,0,0,0,0,0,0,0
200,6270,0.00133689839572193,0.0200534759358289,0.00133689839572193,0.116310160427807,0,0.0160427807486631,0.00133689839572193,0.0254010695187166,0,0.00668449197860963,0,0.0053475935828877,0.036096256684492,0.116310160427807,0,0,0.0521390374331551,0,0.0427807486631016,0,0.0200534759358289,0.00668449197860963,0,0,0,0.0574866310160428,0.0227272727272727,0,0.0240641711229947,0,0,0.232620320855615,0.0855614973262032,0.00133689839572193,0.00935828877005348,0.00133689839572193,0,0.00133689839572193,0.00935828877005348,0.00133689839572193,0.00267379679144385,0,0,0.00267379679144385,0,0.0454545454545455,0.0106951871657754,0.00401069518716578,0,0,0,0.00267379679144385,0.00267379679144385,0.0053475935828877,0.00133689839572193,0,0,0,0,0,0,0,0,0,0,0.00133689839572193,0,0,0,0.00267379679144385,0.00133689839572193,0.00133689839572193,0.00133689839572193,0,0,0,0,0,0,0
210,6417,0,0.0160493827160494,0,0.0814814814814815,0,0.0172839506172839,0,0.00617283950617284,0,0.0037037037037037,0,0.00123456790123457,0.0197530864197531,0.160493827160494,0,0,0.045679012345679,0,0.00246913580246914,0,0.0148148148148148,0.0037037037037037,0,0,0,0.00493827160493827,0.0246913580246914,0,0.0123456790123457,0,0.00123456790123457,0.239506172839506,0.165432098765432,0,0.00246913580246914,0,0,0.0037037037037037,0.00123456790123457,0,0.00123456790123457,0,0.00123456790123457,0,0.0037037037037037,0.0753086419753086,0.00493827160493827,0.0259259259259259,0,0,0,0,0.00123456790123457,0.0555555555555556,0.00123456790123457,0,0,0,0,0.00123456790123457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,6555,0,0,0,0.0106382978723404,0,0.027355623100304,0,0.0060790273556231,0.00151975683890578,0.00151975683890578,0,0,0.00303951367781155,0.293313069908815,0,0,0.0547112462006079,0,0.0151975683890578,0.00455927051671732,0.00759878419452888,0,0,0,0,0.00911854103343465,0.0121580547112462,0,0.00455927051671732,0,0,0.401215805471125,0.0516717325227964,0,0.00151975683890578,0,0,0,0,0,0,0,0,0,0,0.0212765957446809,0.00455927051671732,0.0121580547112462,0,0,0,0,0.00151975683890578,0.0440729483282675,0,0,0,0,0,0,0,0,0,0,0.00455927051671732,0,0,0,0,0,0,0,0,0.00151975683890578,0.00455927051671732,0,0,0,0,0
240,6813,0,0.0021551724137931,0,0.0560344827586207,0,0.122844827586207,0,0.00646551724137931,0.00431034482758621,0,0,0.00431034482758621,0,0.267241379310345,0,0,0.0905172413793103,0,0.00646551724137931,0,0.0150862068965517,0,0.0021551724137931,0,0,0,0.00646551724137931,0,0.0021551724137931,0,0,0.338362068965517,0.0258620689655172,0,0.0021551724137931,0.0021551724137931,0,0,0,0,0,0,0,0.00862068965517241,0,0.0150862068965517,0,0.0150862068965517,0,0,0,0,0,0.0021551724137931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00431034482758621,0,0,0,0
260,7056,0.00157232704402516,0.00628930817610063,0,0.0440251572327044,0,0.182389937106918,0,0.0110062893081761,0.00157232704402516,0.00157232704402516,0,0.00314465408805031,0.00157232704402516,0.35377358490566,0,0,0.0786163522012579,0,0.00314465408805031,0,0.0283018867924528,0.00157232704402516,0,0,0.00628930817610063,0,0,0,0.00628930817610063,0,0,0.215408805031447,0.0267295597484277,0,0,0,0,0,0,0.00157232704402516,0,0,0.00157232704402516,0.00943396226415094,0.00157232704402516,0.00471698113207547,0,0.00628930817610063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00157232704402516,0,0,0
280,7289,0.0072072072072072,0.0018018018018018,0,0.0342342342342342,0,0.126126126126126,0.0018018018018018,0.0018018018018018,0,0.0018018018018018,0,0,0.0036036036036036,0.353153153153153,0,0,0.0396396396396396,0,0,0,0.0162162162162162,0,0,0,0.0072072072072072,0,0,0,0.0072072072072072,0,0,0.345945945945946,0.0072072072072072,0,0,0,0,0.0018018018018018,0,0,0.0018018018018018,0,0,0,0,0.0018018018018018,0,0.0324324324324324,0,0,0,0,0,0.0036036036036036,0.0018018018018018,0,0,0,0,0.0018018018018018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,NA,0.00158730158730159,0.0507936507936508,0.00317460317460317,0.0555555555555556,0,0.234920634920635,0,0.00634920634920635,0,0.115873015873016,0,0.00158730158730159,0,0.203174603174603,0,0,0.0285714285714286,0,0.0412698412698413,0,0.0238095238095238,0,0,0,0.00634920634920635,0.00317460317460317,0.00158730158730159,0,0,0,0,0.166666666666667,0.00634920634920635,0,0,0,0,0,0.00158730158730159,0,0,0,0,0,0,0.00476190476190476,0.00634920634920635,0.0158730158730159,0,0,0,0.00476190476190476,0,0,0.00158730158730159,0,0,0,0,0.00317460317460317,0,0,0,0,0,0.00158730158730159,0.00793650793650794,0,0,0,0,0.00158730158730159,0,0,0,0,0,0,0,0
320,NA,0,0.0490956072351421,0.00258397932816537,0.0361757105943152,0,0.0284237726098191,0.00258397932816537,0.00516795865633075,0.00516795865633075,0.242894056847545,0,0.00258397932816537,0.00516795865633075,0.0956072351421189,0,0,0.0310077519379845,0,0.0878552971576227,0,0.0387596899224806,0,0,0,0.0103359173126615,0.00258397932816537,0,0,0,0,0,0.186046511627907,0.0103359173126615,0,0,0,0,0,0,0,0,0,0.00258397932816537,0.00516795865633075,0,0.00258397932816537,0.00258397932816537,0.020671834625323,0,0,0,0.00258397932816537,0,0,0,0,0,0,0,0.00258397932816537,0,0,0,0,0,0,0.118863049095607,0,0,0,0,0,0,0,0,0,0,0,0,0
330,NA,0,0.217235188509874,0,0.0628366247755835,0,0.0466786355475763,0,0.00897666068222621,0,0.165170556552962,0,0,0.00538599640933573,0.102333931777379,0,0,0.0287253141831239,0,0.0879712746858169,0,0.0251346499102334,0,0.00179533213644524,0,0,0.00179533213644524,0,0,0.00359066427289048,0,0,0.149012567324955,0,0,0,0,0,0,0,0.00179533213644524,0,0,0,0,0,0,0,0.0377019748653501,0,0,0,0,0,0,0,0.00359066427289048,0,0,0,0,0,0,0,0,0,0,0.0323159784560144,0,0,0,0,0,0,0,0,0,0,0.0161579892280072,0.00179533213644524,0
340,NA,0,0.0311958405545927,0,0.0415944540727903,0,0.0398613518197574,0,0.00173310225303293,0,0.0103986135181976,0,0.00173310225303293,0.00346620450606586,0.20103986135182,0,0,0.0259965337954939,0,0.0138648180242634,0,0.00693240901213172,0.00173310225303293,0.00346620450606586,0,0.00346620450606586,0.00173310225303293,0,0,0.00866551126516464,0,0,0.454072790294627,0.00346620450606586,0,0,0,0,0,0,0.00346620450606586,0.00173310225303293,0,0,0,0.0103986135181976,0.00346620450606586,0,0.0935875216637782,0,0,0,0.00173310225303293,0.00173310225303293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00346620450606586,0,0,0,0,0.00173310225303293,0.0155979202772964,0,0.00866551126516464
350,NA,0,0.0388349514563107,0,0.0640776699029126,0,0.0310679611650485,0,0.00970873786407767,0,0.0116504854368932,0,0,0.00776699029126214,0.225242718446602,0,0,0.0194174757281553,0,0.00970873786407767,0,0.00388349514563107,0.0058252427184466,0,0,0.0116504854368932,0.00194174757281553,0.00194174757281553,0,0.0135922330097087,0,0.00388349514563107,0.421359223300971,0.00776699029126214,0,0.0058252427184466,0,0,0.00194174757281553,0,0,0.00194174757281553,0,0.00388349514563107,0,0.0058252427184466,0.00776699029126214,0,0.0718446601941748,0,0,0,0.00194174757281553,0,0,0,0,0,0,0,0.00194174757281553,0,0,0,0,0,0,0,0,0,0,0,0.00194174757281553,0,0,0,0,0,0.0058252427184466,0,0
