"sample.depths","sample.ages","upland.sum","Abies","Ambrosia.type","Artemisia","Betula","Cupressaceae","Cyperaceae","Ericaceae","Fagus","Herbs.undiff.","Larix","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Rumex","Tsuga","Ulmus","Alnus","Acer","Fraxinus","Myrica","Populus","Poaceae","Aquifoliaceae","Tilia","Castanea","Corylus","Salix","Asteraceae.subf..Asteroideae.undiff.","Carya","Rosaceae.undiff.","Thalictrum","Juglans","Amaranthaceae.undiff.","Sanguisorba","Taxus","Trees.undiff.","Platanus","Sarcobatus.vermiculatus","Rhamnaceae.Vitaceae","Shepherdia"
325,2913,458,15,0,0,237,0,3,0,37,2,0,9,7,18,41,12,5,0,34,3,14,12,6,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
345,3067,384,14,1,0,200,0,2,0,35,1,1,5,5,8,55,6,4,0,12,2,12,12,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
365,3222,379,19,1,1,180,0,5,0,24,4,1,2,11,15,46,6,9,0,22,2,9,9,3,1,0,2,2,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0
385,3376,434,13,0,0,237,3,4,0,45,3,0,4,6,19,34,13,3,0,17,3,8,10,5,0,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
405,3530,363,11,0,1,167,0,6,0,17,6,0,4,6,8,66,6,6,0,12,2,19,14,3,1,0,3,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0
425,3685,366,11,0,1,191,0,6,0,10,3,1,6,1,15,55,2,9,0,12,2,18,7,6,0,0,3,1,0,0,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0
445,3839,417,18,0,1,254,0,12,0,14,3,1,5,4,4,45,5,11,0,5,4,9,9,6,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,2,0,0,1,0,0
465,3994,392,11,0,0,233,0,1,0,14,7,1,2,6,11,37,6,9,0,5,4,15,8,7,0,0,1,1,1,0,3,0,2,0,0,0,1,1,0,5,0,0,0,0,0
485,4148,492,14,0,1,298,0,4,0,19,4,1,5,7,9,46,8,19,0,7,3,10,20,9,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,3,0,0,0,0,0
505,4302,427,8,0,1,262,0,4,1,8,3,1,4,4,12,57,2,11,0,7,2,10,14,8,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0
515,4380,548,12,0,1,305,2,2,0,20,1,0,5,13,12,66,18,17,0,12,5,9,15,17,1,1,2,0,0,0,0,0,3,0,1,0,0,1,0,4,0,3,0,0,0
525,4457,431,8,0,0,270,0,10,0,8,3,1,3,4,7,46,6,10,0,20,2,13,8,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,5,0,0,0,1,0
535,4534,444,0,0,1,308,1,6,0,10,3,0,2,0,6,28,6,8,0,24,3,16,5,7,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0
545,NA,438,2,0,0,231,0,5,0,7,3,1,2,1,2,57,2,8,0,83,4,7,9,5,1,1,2,0,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0
555,NA,540,3,0,2,296,0,0,0,9,4,1,1,3,8,64,2,15,0,80,8,13,11,10,0,1,0,0,0,0,1,1,1,0,0,0,2,0,0,4,0,0,0,0,0
565,NA,451,1,0,1,218,0,4,0,7,7,1,2,4,14,52,4,10,0,77,6,14,12,8,1,0,1,1,0,0,1,0,0,0,2,0,0,0,0,3,0,0,0,0,0
575,NA,352,4,0,0,161,0,4,0,6,0,0,2,4,12,61,5,12,0,49,6,9,7,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
585,NA,421,2,1,0,230,0,1,0,2,2,0,2,4,11,48,6,7,0,77,1,9,7,3,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
595,NA,450,9,0,0,217,0,3,0,5,2,0,1,2,6,77,3,21,0,60,4,12,8,7,1,0,1,1,2,0,1,0,1,0,0,0,0,1,0,5,0,0,0,0,0
605,NA,466,9,0,1,223,0,0,0,9,3,2,0,2,11,71,7,17,0,67,11,8,8,6,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,4,0,0,0,0,0
615,NA,474,3,1,1,187,0,1,0,0,1,0,6,18,18,115,48,26,0,4,5,3,9,12,1,3,0,0,0,0,5,1,0,0,1,0,0,1,0,4,0,0,0,0,0
625,NA,567,20,1,0,243,0,1,0,2,12,1,1,32,40,93,5,37,0,5,9,13,6,4,8,10,2,0,0,0,6,3,2,0,0,0,0,0,0,11,0,0,0,0,0
635,NA,523,39,0,1,260,0,1,1,0,4,1,11,26,55,41,2,31,0,1,2,16,2,10,4,2,1,0,0,0,4,1,0,1,1,0,0,0,0,4,0,0,0,0,1
645,NA,521,37,0,2,268,0,2,0,0,3,1,3,40,39,47,4,19,0,3,4,23,0,3,4,9,1,0,0,0,1,2,0,1,1,1,0,0,0,3,0,0,0,0,0
655,NA,481,26,0,3,252,0,6,0,0,7,2,8,41,33,35,7,21,0,2,4,8,3,5,5,5,2,0,0,0,2,1,2,0,0,0,0,0,0,1,0,0,0,0,0
665,NA,346,23,0,1,171,0,0,0,0,8,2,1,23,43,26,0,22,0,1,4,2,2,6,0,4,2,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0
670,NA,481,31,0,3,248,0,0,0,0,2,6,9,27,43,32,3,23,0,1,5,17,1,6,3,10,2,0,0,0,2,4,0,1,0,0,1,0,0,1,0,0,0,0,0
675,NA,521,15,0,0,274,0,1,0,0,8,2,4,19,21,65,20,29,1,2,4,26,0,7,1,7,1,0,1,0,3,1,0,1,1,0,0,1,0,6,0,0,0,0,0
680,NA,441,49,1,1,204,0,1,0,0,9,4,1,32,25,38,4,25,0,1,7,16,1,5,0,10,0,0,0,1,1,3,0,0,1,0,0,0,0,1,0,0,0,0,0
684,NA,323,38,1,1,119,0,2,0,0,7,5,7,31,36,22,2,15,0,0,4,18,1,1,1,5,2,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0
687,NA,374,28,1,5,165,0,0,0,0,4,1,2,46,35,22,0,19,0,1,11,11,2,1,2,9,2,0,0,0,1,1,0,2,2,1,0,0,0,0,0,0,0,0,0
690,NA,315,9,0,3,63,0,8,0,0,3,0,1,125,26,10,12,14,1,0,1,23,1,0,2,1,2,0,0,0,0,6,1,0,0,1,0,0,0,1,0,0,1,0,0
692,NA,313,5,0,3,49,0,6,0,0,4,1,4,134,48,7,3,10,0,1,2,21,1,1,2,6,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
694,NA,343,4,0,1,94,0,3,0,0,4,2,4,107,33,13,6,18,0,1,4,22,1,2,6,8,0,0,0,0,2,4,1,1,0,0,0,0,0,1,0,0,0,0,1
698,NA,304,4,0,0,94,0,10,0,0,2,1,1,88,21,17,5,3,0,1,0,22,0,0,2,16,5,0,0,0,1,5,1,0,0,0,0,0,0,4,0,0,0,0,1
702,NA,326,2,1,1,160,0,19,0,0,5,0,0,19,33,19,1,2,0,0,0,25,0,4,2,2,7,0,0,0,1,14,2,0,1,3,0,1,1,0,1,0,0,0,0
705,NA,263,2,0,2,45,0,95,1,0,6,0,4,15,18,9,1,4,0,1,4,28,0,2,0,0,2,0,0,0,0,14,5,1,2,1,0,1,0,0,0,0,0,0,0
