"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Acer.undiff.","Alnus.incana","Alnus.viridis.subsp..crispa","Betula..small.","Betula.undiff.","Betulaceae.undiff.","Carya","Castanea","Celtis","Cephalanthus","Clethra","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Morus","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Other.shrubs","Other.trees","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnus.Vitis","Salix","Sambucus","Taxus","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Fabaceae","Galium","Humulus","Iva","Other.herbs","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Polygonum","Ranunculaceae.undiff.","Rosaceae","Rumex","Secale","Thalictrum","Urtica","Zea"
80,653,0.001751313,0.007005254,0.008756567,0,0.054290718,0,0,0.094570928,0.001751313,0.068301226,0,0,0.022767075,0.00525394,0,0,0.00525394,0.00525394,0.031523643,0.008756567,0.003502627,0.00525394,0.015761821,0,0,0,0,0,0.029772329,0.017513135,0.003502627,0,0,0.00525394,0.014010508,0.00525394,0.070052539,0,0,0.439579685,0.00525394,0,0,0,0,0.015761821,0.003502627,0,0.010507881,0,0.003502627,0.001751313,0,0,0.003502627,0.00525394,0,0,0,0,0,0,0.015761821,0.00525394,0,0,0,0.00525394,0,0,0,0
88,788,0,0.014519056,0.00907441,0,0.058076225,0,0,0.099818512,0.001814882,0.050816697,0.001814882,0,0.02722323,0.00907441,0,0,0.003629764,0.007259528,0.030852995,0.003629764,0,0,0.010889292,0.001814882,0,0,0,0,0.019963702,0.01814882,0.005444646,0,0,0.007259528,0.02722323,0.007259528,0.041742287,0.005444646,0,0.457350272,0.005444646,0,0,0,0,0.019963702,0.005444646,0,0.003629764,0,0.003629764,0.005444646,0,0,0.001814882,0.012704174,0,0,0,0.001814882,0,0,0.007259528,0.007259528,0,0,0,0.003629764,0,0,0,0.001814882
96,967,0,0.005474453,0.00729927,0,0.031021898,0.001824818,0,0.085766423,0,0.054744526,0,0,0.012773723,0.001824818,0,0,0.005474453,0.003649635,0.049270073,0.00729927,0.001824818,0,0.00729927,0,0,0,0,0,0.027372263,0.020072993,0.005474453,0,0,0.005474453,0.010948905,0.005474453,0.065693431,0.003649635,0,0.5,0,0,0,0,0,0.032846715,0.005474453,0,0.003649635,0,0.005474453,0.003649635,0,0,0,0.003649635,0,0,0,0.003649635,0,0,0.018248175,0.003649635,0,0,0,0,0,0,0,0
104,1171,0,0.007722008,0.005791506,0,0.030888031,0,0,0.084942085,0.003861004,0.040540541,0.001930502,0,0,0.003861004,0,0,0.003861004,0.001930502,0.052123552,0.003861004,0.005791506,0,0.003861004,0.001930502,0,0,0,0,0.027027027,0.017374517,0.007722008,0,0,0.003861004,0.015444015,0.001930502,0.038610039,0.003861004,0,0.538610039,0.003861004,0,0,0,0,0.015444015,0.017374517,0,0.003861004,0,0,0.007722008,0,0,0.001930502,0.00965251,0,0,0,0.003861004,0,0,0.027027027,0,0,0,0,0.001930502,0,0,0,0
112,1370,0.001879699,0.007518797,0.003759398,0,0.054511278,0,0,0.045112782,0.001879699,0.043233083,0.001879699,0,0.018796992,0.001879699,0,0,0.001879699,0.003759398,0.039473684,0.003759398,0.001879699,0.003759398,0.001879699,0,0,0,0.001879699,0,0.045112782,0.013157895,0.001879699,0,0,0.003759398,0.016917293,0.015037594,0.062030075,0.001879699,0.001879699,0.535714286,0.001879699,0,0,0,0,0.030075188,0.005639098,0,0.001879699,0,0,0,0,0,0,0.003759398,0,0,0,0.001879699,0,0,0.018796992,0,0,0,0,0,0,0,0,0
120,1540,0.001890359,0.007561437,0.005671078,0.001890359,0.052930057,0,0,0.062381853,0,0.04536862,0.001890359,0,0.015122873,0,0,0,0,0.001890359,0.043478261,0.003780718,0.005671078,0.007561437,0.001890359,0,0,0,0,0,0.047258979,0.018903592,0.003780718,0,0,0.003780718,0.011342155,0.005671078,0.075614367,0.001890359,0,0.506616257,0,0,0,0,0,0.020793951,0.009451796,0,0.003780718,0,0,0.005671078,0,0,0.001890359,0.005671078,0,0,0,0,0,0,0.018903592,0,0,0,0,0,0,0,0,0
128,1703,0.001564945,0.001564945,0.010954617,0,0.053208138,0,0,0.062597809,0.006259781,0.034428795,0.001564945,0,0.031298905,0.001564945,0,0.004694836,0.004694836,0.001564945,0.045383412,0.006259781,0.004694836,0.004694836,0.001564945,0.001564945,0,0,0.001564945,0,0.042253521,0.017214397,0.006259781,0,0,0,0.014084507,0.012519562,0.073552426,0.001564945,0,0.458528951,0.001564945,0,0,0,0,0.026604069,0.00312989,0,0,0,0,0.009389671,0.001564945,0,0,0.006259781,0,0,0,0,0,0,0.042253521,0,0,0,0.001564945,0,0,0,0,0
136,1857,0,0.003231018,0.011308562,0,0.054927302,0,0,0.084006462,0,0.050080775,0,0,0.021001616,0.003231018,0,0,0.001615509,0.001615509,0.042003231,0,0.001615509,0.001615509,0,0,0,0,0,0,0.042003231,0.019386107,0.003231018,0,0,0.003231018,0.017770598,0.006462036,0.079159935,0.001615509,0,0.474959612,0.001615509,0,0,0,0,0.017770598,0.008077544,0,0.004846527,0,0,0.004846527,0,0,0,0.006462036,0,0,0,0.001615509,0,0,0.030694669,0,0,0,0,0,0,0,0,0
144,NA,0,0.003311258,0.004966887,0,0.061258278,0,0,0.05794702,0.001655629,0.036423841,0.003311258,0,0.028145695,0.003311258,0,0.001655629,0.003311258,0,0.067880795,0.006622517,0.001655629,0,0,0,0,0,0,0,0.03807947,0.008278146,0.008278146,0,0,0.001655629,0.013245033,0.003311258,0.067880795,0.003311258,0,0.471854305,0.003311258,0,0,0,0.001655629,0.023178808,0.013245033,0,0.003311258,0,0,0.009933775,0,0.001655629,0,0.008278146,0,0,0,0.003311258,0,0,0.034768212,0,0,0,0,0,0,0,0,0
152,NA,0,0.001709402,0.005128205,0.001709402,0.05982906,0,0,0.07008547,0.001709402,0.037606838,0.003418803,0,0.035897436,0,0,0.001709402,0.006837607,0.003418803,0.066666667,0.003418803,0.003418803,0.001709402,0.005128205,0.001709402,0,0,0.001709402,0,0.066666667,0.017094017,0.001709402,0,0,0.001709402,0.015384615,0.013675214,0.037606838,0.001709402,0,0.458119658,0.001709402,0.001709402,0,0,0,0.023931624,0.01025641,0,0,0,0.001709402,0.001709402,0,0,0,0.003418803,0,0,0,0.001709402,0,0,0.027350427,0,0,0,0,0,0,0,0,0
168,NA,0,0.001757469,0.007029877,0,0.040421793,0,0,0.089630931,0.001757469,0.043936731,0,0,0.021089631,0,0,0,0.001757469,0,0.054481547,0.005272408,0,0.001757469,0,0,0,0,0,0,0.061511424,0.007029877,0.001757469,0,0,0.007029877,0.010544815,0.003514938,0.054481547,0,0,0.516695958,0.003514938,0,0,0,0,0.024604569,0.003514938,0,0,0,0,0.008787346,0,0,0,0.010544815,0,0,0,0,0,0,0.017574692,0,0,0,0,0,0,0,0,0
184,NA,0,0.001763668,0.007054674,0,0.014109347,0,0,0.074074074,0,0.028218695,0,0,0.007054674,0.005291005,0,0.001763668,0.003527337,0.001763668,0.042328042,0.012345679,0.001763668,0.005291005,0,0.001763668,0,0,0.003527337,0,0.045855379,0.008818342,0.001763668,0,0,0.001763668,0.019400353,0.008818342,0.097001764,0,0,0.532627866,0.001763668,0,0,0,0.001763668,0.019400353,0.005291005,0,0.003527337,0,0,0.015873016,0,0,0,0.003527337,0,0,0,0,0,0,0.021164021,0,0,0,0,0,0,0,0,0
200,NA,0,0.003696858,0.009242144,0,0.01663586,0,0,0.073937153,0.005545287,0.03142329,0,0,0.01663586,0,0,0,0.001848429,0,0.049907579,0,0,0.003696858,0.001848429,0,0,0,0,0,0.06284658,0.012939002,0.001848429,0,0,0.003696858,0.029574861,0.009242144,0.064695009,0.001848429,0,0.537892791,0,0,0,0,0,0.025878004,0.003696858,0,0.003696858,0,0,0.001848429,0,0,0,0.001848429,0,0,0,0,0,0,0.022181146,0,0,0,0,0.001848429,0,0,0,0
