"sample.depths","sample.ages","Abies.balsamea","Acer.pensylvanicum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brassicaceae","Carya.ovata","Caryophyllaceae","Castanea.dentata","Centaurea","cf..Callitriche","cf..Oxyria.digyna","cf..Sarcobatus.vermiculatus","Corylus.cornuta","Cyperaceae","Diphasiastrum.alpinum.type","Dryopteris.type","Ephedra","Equisetum","Ericaceae","Fabaceae","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Indeterminable","Isoëtes","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Larix","Liliaceae","Lycopodiaceae.undiff.","Lycopodium.annotinum.type","Lycopodium.clavatum","Myrica.gale","Myriophyllum","Onagraceae","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.strobus","Pinus.undiff.","Plantaginaceae","Poaceae","Polygonaceae.undiff.","Polygonum.viviparum","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae.Triglochin","Potentilla.palustris.type","Prunus","Quercus","Ranunculaceae.undiff.","Rosaceae.undiff.","Salix.herbacea.type","Salix.reticulata.type","Salix.undiff.","Salix.vestita.type","Saxifraga","Saxifraga.oppositifolia.type","Selaginella.selaginoides","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga.canadensis","Typha.latifolia","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Urtica.type"
55,3171,0,0,1,0,0,233,0,3,12,0,0,97,0,0,0,0,0,0,2,0,0,147,0,0,0,3,16,0,0,0,5,0,0,0,0,1,0,0,6,3,0,0,0,0,0,70,31,25,2,9,0,5,0,0,1,1,0,0,0,0,0,1,0,0,5,0,0,0,0,0,21,0,0,0,1,0,0,1,7,0,0
60,3459,1,0,0,0,0,248,2,1,13,0,0,134,0,0,0,0,0,0,5,0,0,167,0,0,0,0,19,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,43,17,14,1,4,0,18,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,0,21,0,0,0,0,0,0,2,10,1,0
65,3748,0,0,0,0,3,261,2,3,9,0,0,95,0,0,2,0,0,0,0,0,0,139,0,0,0,0,15,0,0,0,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,31,13,4,8,4,0,14,0,0,0,0,0,0,0,2,0,0,0,0,4,1,0,0,0,0,11,0,0,0,0,1,0,1,3,1,0
70,4036,0,0,0,0,0,201,0,1,6,1,0,80,0,0,0,0,0,0,0,0,0,145,0,0,0,0,10,0,0,0,2,2,0,0,0,0,0,0,3,0,0,0,0,0,0,51,25,11,2,5,0,8,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,0,4,1,0,0
75,4324,0,0,0,0,1,341,1,3,11,1,1,167,0,0,0,0,0,0,1,0,0,133,0,0,0,0,8,0,0,0,1,3,0,2,0,1,0,0,3,1,0,0,0,0,5,42,26,18,6,4,0,24,0,0,0,0,0,0,0,0,0,4,0,0,3,4,0,1,0,0,17,0,0,0,0,0,0,0,4,3,0
80,4613,0,0,0,0,0,192,0,2,14,2,0,151,0,0,1,0,0,0,2,0,0,88,0,3,0,0,9,0,0,0,1,3,0,0,0,1,0,0,9,4,1,0,0,0,0,40,14,23,1,4,0,4,0,1,1,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,4,3,0,0
85,4901,0,1,0,0,0,131,1,4,12,5,0,81,0,0,1,0,0,0,3,0,0,90,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,1,29,8,7,6,3,0,4,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,6,0,0,0,0,0,0,4,6,0,0
90,5189,0,0,0,0,2,286,2,1,6,3,0,233,0,0,0,0,0,0,0,0,0,127,1,0,0,0,8,0,0,0,0,4,0,0,0,1,0,0,3,2,0,0,0,0,2,22,5,18,5,3,0,17,0,0,0,3,1,0,0,0,4,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0
95,5477,0,0,0,0,0,233,1,1,10,0,0,174,0,0,0,0,0,0,2,0,0,111,1,0,0,0,7,1,0,0,0,3,0,0,0,0,0,0,3,1,3,1,0,0,0,18,4,19,2,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,5,0,0,0,0,0,0,3,6,0,0
100,5766,0,0,0,0,0,131,2,2,17,2,0,129,0,0,1,0,0,0,6,0,0,70,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,14,9,6,0,7,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,6,0
105,6054,0,0,0,0,7,234,2,6,8,1,0,159,3,0,2,0,0,0,1,0,0,157,0,0,0,0,2,1,0,0,0,2,0,0,1,0,0,0,5,0,1,0,0,0,0,13,4,15,6,7,0,14,0,0,0,0,0,0,0,0,1,2,0,0,9,3,0,0,0,0,28,0,0,0,0,0,0,2,3,5,0
110,6342,0,0,0,0,0,168,3,1,9,4,0,105,0,0,0,0,0,0,1,0,0,126,0,0,0,0,2,1,0,0,1,1,0,1,0,0,0,0,5,1,0,0,0,0,0,25,7,15,2,8,0,4,0,0,0,1,0,0,0,0,1,4,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,1,4,8,0
115,6631,0,0,0,0,0,121,0,6,17,1,0,135,0,0,3,0,0,0,2,0,0,160,0,0,0,0,4,0,0,0,0,2,0,1,0,0,0,0,1,1,1,0,0,0,0,22,4,10,15,3,0,13,0,0,0,0,1,0,0,2,4,4,1,0,7,0,0,0,0,0,35,0,0,0,0,0,0,1,5,2,0
120,6919,0,0,0,1,0,72,0,6,23,1,0,75,0,0,1,0,0,0,3,0,0,180,0,0,0,0,2,0,0,0,2,3,0,0,0,0,0,0,0,4,0,0,0,0,0,32,4,39,3,9,0,2,0,0,0,0,0,0,0,0,9,2,3,0,6,0,0,0,0,0,7,0,0,0,0,0,0,1,2,4,0
125,7207,2,0,0,0,2,99,2,4,34,3,0,28,2,0,3,0,0,0,19,1,0,159,1,0,0,0,4,0,0,0,2,3,0,0,0,0,0,0,1,2,0,0,0,0,0,15,4,38,12,9,0,25,0,0,0,2,0,0,0,0,38,3,0,0,21,8,0,2,0,0,17,0,0,0,0,0,0,0,1,0,0
130,NA,0,0,0,0,1,81,0,9,22,1,0,48,0,0,1,0,0,0,1,0,0,110,0,0,0,0,5,0,2,2,1,10,0,1,2,0,0,0,0,0,0,0,0,0,0,11,1,31,3,15,0,21,2,0,0,4,8,0,0,0,19,1,0,0,19,0,0,0,0,0,11,0,0,0,0,0,0,4,5,2,0
135,NA,0,0,0,0,0,34,4,12,22,1,1,15,0,0,3,0,0,0,4,1,0,105,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,2,2,1,0,0,1,0,0,18,6,88,2,11,0,2,0,0,0,1,0,0,0,0,1,5,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,2,4,5,0
140,NA,0,0,0,0,0,19,1,3,8,4,0,18,0,0,0,0,0,0,5,0,0,7,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,4,2,6,4,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,6,1,5,0
145,NA,0,0,0,0,2,16,5,6,14,0,0,15,1,0,3,0,0,0,7,0,0,53,0,0,0,0,4,1,0,0,1,4,0,0,0,0,0,0,1,3,0,0,0,0,0,14,5,10,2,4,0,13,2,0,0,0,0,0,0,0,2,1,0,0,3,0,0,1,0,0,22,0,0,0,0,0,0,3,1,2,0
150,NA,0,0,0,0,0,16,2,3,13,3,0,19,0,0,3,0,0,0,2,0,0,7,0,1,0,0,4,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,1,0,0,15,2,10,2,1,1,2,0,0,0,1,0,0,0,0,0,2,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0
155,NA,0,0,0,2,0,11,0,2,8,3,0,14,0,0,0,0,0,0,2,0,0,10,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,6,2,4,1,4,0,1,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,5,1,1,0
160,NA,0,0,0,0,0,72,1,3,14,0,0,75,1,0,1,0,0,0,4,0,0,158,0,0,0,0,8,0,0,0,5,0,3,1,0,0,0,0,1,1,1,0,0,0,0,15,3,42,2,2,0,5,0,0,0,0,0,0,0,0,5,1,1,0,2,0,0,1,0,0,22,0,0,0,0,0,0,1,7,0,0
165,NA,0,0,0,0,0,37,2,2,12,0,0,17,1,0,3,0,0,0,1,0,0,38,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,5,14,0,4,0,5,0,0,0,0,0,0,1,1,0,1,2,0,5,0,1,0,0,0,14,0,0,0,0,0,0,2,1,1,0
170,NA,0,0,0,0,1,13,0,5,13,1,0,23,0,0,0,0,0,1,3,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,1,0,3,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,2,8,9,0
180,NA,0,0,0,0,0,19,0,11,16,1,0,14,0,0,3,0,0,0,1,0,0,0,1,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,1,0,0,2,4,6,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,1,1,0
190,NA,0,0,0,0,0,6,2,9,17,4,0,8,0,0,1,0,0,0,2,0,0,6,0,0,0,0,3,0,0,0,1,6,0,0,0,0,0,0,2,0,0,0,0,0,0,6,3,6,2,1,0,12,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,4,0,0,1,0,0,0,6,3,7,0
200,NA,0,0,0,0,1,11,3,5,15,3,0,15,0,0,9,0,0,0,2,0,0,6,0,0,0,0,6,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,7,3,5,4,7,0,29,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,11,0,0,0,0,0,0,2,0,4,0
