"sample.depths","sample.ages","Abies.balsamea","Acer.rubrum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Carya.ovata","Caryophyllaceae","Castanea.dentata","Cerealia","Cornus.sericea","Cornus.undiff.","Corylus.cornuta","Cyperaceae","Diphasiastrum.alpinum.type","Dryas","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Indeterminable","Isoëtes","Juglans.cinerea","Juglans.nigra","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Larix","Lycopodium.annotinum.type","Lycopodium.clavatum","Lycopodium.obscurum.type","Myrica.gale","Myriophyllum","Nemopanthus.mucronatus","Osmunda.cinnamomea","Osmunda.regalis.type","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Picea.rubens.type","Picea.undiff.","Pinaceae","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Pinus.undiff.","Poaceae.undiff.","Polygonum.lapathifolium.type","Populus.balsamifera.type","Populus.tremuloides.type","Potentilla.palustris.type","Quercus","Ranunculaceae.undiff.","Rhamnus.alnifolia.R..frangula","Rhus.typhina","Rosaceae.undiff.","Rumex.type","Salix","Sambucus","Sarracenia.purpurea","Saxifraga.stellaris.type","Shepherdia.canadensis","Sphagnum","Thalictrum","Tsuga.canadensis","Typha.Sparganium","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Viburnum.nudum"
250,3615,22,0,4,1,6,0,1,0,0,0,0,222,0,0,0,0,0,0,29,0,0,0,3,2,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,5,2,0,0,5,5,0,10,0,7,2,64,23,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,17,0,1,0,5,2,0,2,1
275,3976,12,0,1,0,8,1,0,0,0,0,0,147,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,18,0,3,0,16,2,98,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428,0,0,0,0,0,2,1,0
300,4338,11,0,1,0,5,2,0,0,0,0,0,117,0,0,0,0,0,0,15,2,0,0,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2,8,0,3,0,14,58,89,22,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,37,0,0,0,1,0,4,1,0
325,4699,7,0,1,0,16,3,0,2,0,0,0,209,0,0,0,0,0,0,2,5,0,0,1,1,3,0,1,2,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2,19,0,6,0,6,8,142,22,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,31,0,1,0,4,1,3,0,0
350,5061,24,0,1,1,45,7,0,0,2,3,0,433,0,0,0,0,0,1,37,3,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,6,1,0,4,0,0,3,112,33,1,0,6,0,0,5,0,0,1,2,0,1,0,0,0,0,0,0,5,0,43,2,11,0,0
375,5374,13,0,2,4,41,1,0,0,1,0,0,301,0,0,0,0,0,0,14,5,0,0,0,2,21,0,0,3,3,0,0,0,1,2,1,0,0,1,0,0,0,4,0,2,27,0,8,0,6,6,167,28,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,4,0,43,0,14,0,0
400,5613,14,0,3,0,13,4,1,0,0,2,0,168,0,0,1,0,0,0,9,3,0,0,0,0,11,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,47,0,8,0,6,11,332,54,2,0,0,4,0,2,0,0,0,0,0,1,0,0,0,0,0,0,6,0,23,2,4,0,0
425,5853,7,0,1,3,9,0,1,0,1,1,0,122,0,0,0,0,0,0,5,3,0,0,0,0,14,0,0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,33,0,9,0,19,10,242,17,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,4,0,14,0,2,1,0
440,5997,27,1,1,1,8,1,0,0,0,1,0,81,0,0,0,0,0,0,0,1,0,0,0,0,9,0,1,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,78,0,8,0,16,0,195,22,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,0,0,0,0
450,6093,43,0,1,0,5,0,1,0,0,1,0,48,0,0,0,0,0,0,16,2,1,0,0,0,1,3,0,2,2,0,0,1,0,2,0,0,0,2,0,0,0,0,0,21,39,0,6,0,22,13,225,13,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,1,0,1,0
460,6189,18,0,0,1,7,1,1,0,0,1,0,96,0,0,0,0,0,0,4,5,0,0,0,0,3,0,0,2,2,0,0,0,0,1,1,1,0,0,0,0,0,0,1,10,51,0,11,0,12,0,192,13,1,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,1,0,10,0,2,1,0
475,6333,15,0,1,1,9,3,0,1,0,1,0,143,0,0,0,0,1,0,1,4,0,0,0,0,2,0,1,2,12,0,0,0,0,3,0,0,0,1,0,0,2,0,0,10,144,0,19,0,43,10,131,24,1,0,0,2,0,4,1,0,0,0,0,2,0,0,0,0,2,0,0,0,8,0,4,10,0
500,6573,35,0,0,2,12,2,2,1,0,0,0,189,0,1,0,0,4,0,15,0,1,0,0,0,1,0,1,3,0,0,0,0,0,3,1,0,0,2,0,0,0,0,0,57,183,0,15,2,12,15,182,11,1,0,0,6,0,6,0,1,0,0,0,3,0,0,0,0,0,3,1,0,2,1,2,2,0
525,6813,22,0,3,0,3,10,3,2,1,2,0,303,0,0,0,0,0,0,11,4,0,0,0,1,1,0,0,9,9,2,0,0,0,3,0,0,0,1,0,0,0,0,2,3,168,0,18,0,79,31,95,34,0,0,0,4,0,4,0,0,0,0,0,3,1,0,0,0,4,0,3,0,1,1,3,4,0
550,7053,33,0,5,0,3,6,0,1,2,2,0,180,0,0,0,0,0,0,21,1,1,0,0,4,0,0,0,4,1,0,0,0,0,3,3,1,0,1,1,0,0,0,1,19,88,0,13,0,14,8,133,11,2,1,4,3,0,7,0,0,0,0,0,4,1,0,0,0,2,0,2,0,4,3,4,4,0
575,7293,36,0,0,0,3,2,2,0,1,0,0,182,0,0,0,0,0,0,12,0,0,0,0,1,1,0,0,7,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0,7,84,0,12,0,14,14,110,19,1,0,1,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,3,1,0,0
600,7533,47,0,3,3,2,4,0,4,1,0,0,250,0,0,0,0,0,0,25,1,2,0,0,0,7,0,0,0,1,0,0,2,0,5,7,0,0,1,0,0,0,0,1,45,131,0,13,0,7,5,120,9,2,0,0,2,0,4,0,1,0,0,0,2,1,0,0,0,0,0,1,0,2,5,6,1,0
625,7772,94,0,1,2,1,13,1,1,0,0,0,226,0,0,0,0,0,0,38,0,1,0,0,1,2,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,51,60,0,7,0,20,6,94,5,1,0,0,3,0,4,0,0,0,0,0,2,0,0,0,0,0,1,2,0,2,0,3,0,0
650,8012,62,0,2,1,4,25,0,2,1,0,0,207,0,0,0,0,1,0,39,1,2,0,0,0,3,0,0,4,0,0,0,0,0,5,3,0,0,0,0,0,0,0,2,70,28,0,10,0,25,7,69,3,1,0,2,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,6,0,0
675,8252,33,0,0,1,2,45,1,1,2,0,0,81,0,0,0,0,0,0,20,2,2,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,59,83,0,8,0,15,2,21,3,0,0,0,7,0,7,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,3,4,0
700,NA,14,0,1,0,37,101,0,2,1,0,0,104,1,0,0,0,0,0,3,2,2,1,0,0,0,1,0,6,0,0,0,1,0,0,5,3,0,5,0,0,0,0,1,92,68,0,25,1,21,5,47,11,3,0,0,2,0,8,0,0,0,0,0,2,0,0,1,3,2,0,2,0,1,7,6,1,0
