"sample.depths","sample.ages","upland.sum","Ambrosia.type","Artemisia","Carya","Asteraceae.undiff.","Cyperaceae","Fraxinus.nigra.type","Herbs.undiff.","Picea","Pinus.undiff.","Quercus","Salix","Trees.undiff.","Tsuga","Ulmus","Acer","Juglans","Populus","Amaranthaceae","Poaceae","Rosaceae","Polygonaceae","Rhamnaceae.Vitaceae","Aquifoliaceae","Betula","Ostrya.Carpinus","Abies","Thalictrum","Tilia","Fagus","Larix","Cupressaceae","Fraxinus.pennsylvanica.type","Alnus","Pinus.subg..Strobus","Corylus","Celtis"
490,11464,357,0,2,36,0,42,5,8,0,0,171,0,1,0,19,9,2,0,4,10,20,1,0,0,1,12,0,0,10,0,1,0,0,0,0,1,2
500,11493,439,3,0,27,2,15,13,6,2,3,206,0,2,0,35,8,5,1,1,27,8,0,0,0,4,60,0,0,0,0,0,1,3,0,2,3,2
510,11519,196,0,1,14,0,12,0,1,0,1,107,0,1,0,19,3,0,0,3,7,17,0,0,0,0,8,0,0,0,1,0,0,0,0,0,1,0
520,11548,89,0,0,2,1,21,2,0,0,0,35,0,0,0,9,2,0,0,1,11,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
530,11586,228,1,1,19,0,64,1,0,13,11,65,0,2,2,9,1,0,0,1,20,0,0,0,0,0,7,0,0,0,1,2,1,0,0,5,2,0
550,11689,186,0,0,8,3,38,1,1,30,42,27,0,0,0,1,4,0,0,2,1,0,0,0,0,0,0,3,1,2,1,3,0,0,0,18,0,0
565,11788,298,0,1,1,0,35,1,1,81,74,22,0,0,23,1,2,0,1,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,45,0,0
570,11824,82,2,0,3,2,36,0,0,0,2,21,0,0,0,2,4,0,1,2,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0
590,11987,430,1,1,3,0,20,3,7,88,94,26,1,1,15,10,4,1,1,1,1,0,0,0,0,1,2,27,1,0,0,13,0,2,2,104,0,0
600,12076,114,0,1,0,0,15,0,0,18,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,4,0,0,0,20,0,0
610,12171,71,0,0,1,0,38,0,1,16,7,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
630,12376,391,1,0,0,0,81,0,1,113,90,2,0,0,28,5,0,0,4,0,0,0,0,0,0,1,0,23,0,1,0,25,0,0,1,15,0,0
640,12490,455,3,4,4,3,31,7,4,149,17,75,2,0,1,23,4,1,0,3,5,4,0,0,0,1,8,12,1,0,0,74,0,0,8,7,3,1
650,12612,519,8,3,8,2,39,55,4,70,10,125,3,1,2,38,5,4,1,1,12,1,1,1,0,6,55,7,2,1,3,20,0,9,6,2,12,2
660,12744,504,4,3,21,6,48,104,1,29,1,100,4,0,0,34,7,7,0,1,20,5,0,0,0,2,58,5,3,1,4,2,0,21,1,0,9,3
670,12886,390,9,4,6,4,52,56,5,30,3,109,4,0,0,9,2,3,2,2,8,5,1,0,0,8,33,4,3,0,6,2,1,11,1,0,7,0
690,13208,454,7,3,12,10,61,94,7,28,1,110,15,0,0,19,5,5,0,0,8,1,0,0,0,3,43,0,3,0,3,3,0,5,0,0,8,0
700,13389,384,6,4,12,1,65,58,2,21,1,101,8,1,1,10,1,6,2,1,10,2,0,0,0,5,30,1,5,0,9,1,2,12,2,1,2,1
710,13585,427,5,11,14,3,48,68,7,27,1,80,8,1,0,26,3,2,0,1,14,2,0,0,0,6,56,2,1,1,6,4,0,18,0,2,7,3
730,14017,506,5,8,6,8,48,73,4,109,4,74,6,1,0,17,4,3,0,0,20,1,0,0,0,4,69,5,0,0,1,2,0,15,2,1,8,8
740,14248,417,2,3,4,5,29,68,6,85,1,65,5,1,0,22,3,0,0,0,31,0,0,1,0,8,62,3,0,0,0,0,0,7,2,1,0,3
750,14486,586,11,10,5,2,74,70,4,128,2,102,1,1,0,14,4,2,3,2,25,1,0,0,0,6,87,3,2,0,0,0,0,12,4,2,6,3
760,14729,386,1,1,1,3,41,37,1,126,2,79,1,2,0,11,1,0,0,2,14,1,0,0,0,8,38,1,0,0,1,1,1,7,0,1,4,0
770,14975,383,5,1,2,1,61,13,1,166,1,82,11,0,0,2,2,2,1,0,3,3,0,0,0,6,9,7,0,0,0,1,0,1,1,1,0,0
780,15221,402,3,11,1,0,66,24,1,173,6,75,8,1,0,2,5,2,0,2,2,0,0,1,0,6,1,1,0,0,1,4,1,2,0,1,2,0
790,15467,387,1,1,0,4,36,4,2,247,6,63,1,0,0,1,0,0,0,1,2,1,0,0,0,1,2,3,0,0,0,6,0,2,0,2,1,0
800,15709,385,0,0,2,1,16,5,1,322,8,14,3,0,0,0,0,0,0,1,0,1,0,0,0,2,0,4,0,0,0,4,0,1,0,0,0,0
810,15947,301,0,0,0,3,16,0,1,270,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0
820,16183,323,0,1,0,0,24,0,1,281,5,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,1,0,0
830,16416,343,0,0,0,2,19,2,0,281,3,16,1,0,0,0,1,0,0,0,4,0,0,0,0,0,0,6,0,0,0,8,0,0,0,0,0,0
840,16647,290,2,1,0,0,22,1,1,223,5,12,1,0,0,2,0,1,0,0,3,1,0,0,0,1,1,1,0,0,0,11,0,0,0,1,0,0
850,16876,71,0,0,0,0,15,0,0,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
860,17103,365,1,1,0,3,19,2,0,308,3,6,0,0,0,3,0,0,0,0,12,0,0,0,0,1,0,3,1,0,0,1,0,0,0,0,1,0
870,17328,345,2,1,1,2,19,4,1,256,4,20,3,3,0,1,1,0,0,1,5,1,0,0,0,6,4,1,0,0,0,0,0,0,6,2,1,0
880,17552,437,2,5,0,1,27,20,0,300,2,40,0,1,0,1,0,0,0,0,8,0,0,0,0,2,5,3,0,0,1,8,0,0,10,0,0,1
890,17776,339,5,7,1,3,37,5,3,227,2,22,0,0,0,1,1,0,0,0,4,3,0,0,0,4,1,1,0,0,0,10,0,0,2,0,0,0
900,17999,184,1,5,1,2,41,3,0,106,1,10,2,0,0,3,3,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0
920,NA,386,0,0,0,0,28,0,2,337,0,2,0,1,0,1,0,1,0,0,2,0,0,0,0,0,0,3,0,0,0,7,0,0,2,0,0,0
930,NA,316,1,11,0,2,23,4,0,224,2,9,4,0,0,1,1,0,0,0,12,0,0,0,0,0,2,1,2,0,0,3,0,1,11,2,0,0
960,NA,360,0,2,0,1,34,0,0,294,17,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,1,0,0
970,NA,368,5,19,0,3,56,3,2,243,14,7,4,2,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0
990,NA,103,0,4,2,1,32,0,0,58,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1000,NA,204,0,6,1,2,57,1,0,102,2,9,2,0,0,0,0,0,0,2,6,0,0,0,0,0,0,1,1,0,0,9,0,0,2,1,0,0
1010,NA,267,4,5,1,0,69,1,6,125,18,14,2,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,9,0,0,2,6,0,0
1020,NA,396,5,12,2,3,73,4,0,198,15,40,3,1,0,0,5,0,0,6,6,0,0,0,0,4,2,3,0,0,0,7,0,0,2,1,4,0
