"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum","Alnus","Amaranthaceae.undiff.","Ambrosia","Amorpha","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Carya","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Elaeagnus","Ephedra.nevadensis.type","Equisetum","Ericaceae","Fraxinus.americana.type","Fraxinus.nigra","Fraxinus.undiff.","Humulus","Impatiens","Indeterminable","Isoëtes","Iva.annua","Iva.xanthifolia","Juglans.cinerea","Larix","Liquidambar","Lycopodium.type","Myrica","Myriophyllum","Nuphar","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Platanus","Poaceae","Populus","Potamogetonaceae","Pteridium","Quercus","Rosaceae","Rumex","Salix","Sarcobatus.vermiculatus","Selaginella.selaginoides","Shepherdia.argentea","Shepherdia.canadensis","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Urtica","Vitis","Xanthium"
230,8976,1,0,0,0,6,5,7,0,0,4,1,7,0,0,13,5,0,0,1,0,0,0,5,5,0,0,10,0,0,0,0,3,0,1,0,0,0,6,86,170,0,0,0,7,1,0,12,7,0,0,5,0,0,1,0,0,1,0,0,0,0,9,1,0,0,0
235,9229,0,0,0,4,2,9,5,0,0,8,1,3,0,0,14,11,1,0,0,1,0,0,3,3,0,0,10,0,0,0,0,5,0,1,0,0,0,6,77,137,11,0,0,11,3,2,6,8,0,0,2,1,0,0,0,0,0,0,0,0,1,20,3,0,0,0
240,9777,0,0,0,4,6,1,4,0,0,9,2,6,0,0,12,5,5,0,0,1,0,1,1,2,0,0,7,0,0,0,0,1,0,1,0,0,0,5,67,151,8,0,3,9,3,1,16,12,0,0,1,0,1,0,0,0,2,0,0,0,0,33,1,0,0,0
245,10325,1,0,0,0,1,7,6,0,0,10,1,2,0,0,16,12,2,1,0,1,0,0,5,5,0,0,11,0,1,0,0,4,0,1,0,0,0,3,73,119,3,0,0,3,1,0,15,15,0,0,4,0,0,1,4,0,1,0,0,0,0,31,1,0,0,0
250,NA,0,0,0,1,1,2,2,0,0,7,2,4,0,0,6,18,3,0,0,0,0,0,2,0,0,0,14,0,0,0,0,0,0,0,1,0,0,11,33,183,0,0,1,0,2,0,21,23,0,0,5,1,0,0,1,0,0,0,1,0,0,35,4,0,0,0
255,NA,1,0,0,1,5,2,10,0,0,11,2,5,2,1,6,7,0,0,0,1,0,0,10,0,0,0,36,0,0,0,1,1,0,0,0,0,0,8,19,119,2,20,0,4,4,0,5,18,0,0,3,0,0,0,0,0,0,0,0,0,0,70,4,0,0,1
260,NA,1,0,0,2,1,6,8,0,0,39,3,9,2,2,1,16,3,0,0,1,0,0,14,0,0,0,24,0,0,0,0,2,0,0,0,0,0,9,18,130,2,0,0,6,3,0,8,20,1,1,7,1,0,0,2,0,2,0,0,0,0,29,5,0,0,0
270,NA,0,0,0,0,0,5,4,0,0,12,1,4,6,1,6,13,1,0,0,1,0,2,10,0,0,1,13,0,0,0,3,1,0,0,0,0,0,2,13,171,2,0,0,5,5,1,8,35,0,0,2,0,0,0,0,0,0,0,0,0,0,22,1,0,1,0
280,NA,0,0,0,0,1,18,12,0,0,16,1,6,1,2,10,4,2,0,0,1,0,2,5,0,0,0,21,0,0,0,0,0,0,1,0,0,0,6,24,161,7,0,0,14,6,0,16,29,0,0,6,0,0,0,0,0,1,0,0,0,0,30,1,0,0,0
290,NA,0,0,0,0,2,4,11,0,0,18,1,7,0,0,8,7,3,0,0,1,0,0,9,0,0,0,14,0,1,0,1,0,0,1,0,0,0,5,25,156,3,0,0,2,3,0,7,15,0,0,2,0,0,0,1,0,0,0,0,0,0,57,0,0,0,0
300,NA,0,0,0,0,2,5,85,0,0,53,3,15,0,0,2,1,2,0,0,0,1,0,3,0,0,0,17,0,1,0,0,0,0,0,0,0,0,0,7,51,4,0,0,14,1,0,3,9,0,0,0,0,0,0,0,0,2,0,0,0,0,19,5,0,0,0
320,NA,1,0,0,0,2,4,18,0,0,38,5,22,2,2,7,0,4,0,0,0,0,1,2,0,1,0,14,0,0,0,1,0,0,0,1,0,0,0,20,129,0,0,0,16,0,0,1,16,0,0,1,0,1,0,0,0,1,0,1,0,0,51,2,0,1,0
330,NA,0,0,0,0,0,12,47,0,0,132,3,10,1,0,0,1,1,0,0,0,0,0,1,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,9,77,0,0,0,11,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,0,0,0
340,NA,1,0,0,0,3,4,10,0,0,33,2,21,2,1,4,2,2,0,0,0,0,0,1,0,1,0,20,0,1,0,2,0,0,0,1,0,0,0,30,167,0,0,0,1,0,0,10,10,0,0,2,0,0,0,0,0,0,0,0,0,0,58,2,1,0,0
350,NA,0,0,0,0,1,7,11,0,0,33,1,6,2,0,7,2,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,24,163,4,0,0,0,1,0,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,30,3,0,0,0
360,NA,0,0,0,0,1,2,6,0,0,24,0,3,2,0,7,2,2,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,19,135,0,0,0,5,0,0,8,4,0,0,1,1,0,0,0,0,0,0,1,0,0,29,2,2,0,0
370,NA,0,0,0,0,6,6,5,0,0,14,0,14,0,1,4,7,2,0,0,0,0,1,1,0,0,0,19,0,0,0,0,0,0,1,0,0,0,0,25,140,3,0,0,6,4,0,17,12,0,0,1,0,0,0,1,0,2,0,0,0,0,76,3,0,0,0
380,NA,1,0,0,0,2,3,2,0,0,5,0,7,1,0,22,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,24,155,0,0,0,1,2,0,2,5,0,1,3,0,0,0,1,0,0,0,0,0,0,22,2,0,0,0
390,NA,1,0,0,1,2,1,5,0,0,10,0,7,1,1,14,2,0,0,0,0,0,0,1,0,0,0,20,0,0,0,1,1,2,0,1,0,0,0,25,147,5,0,0,7,8,0,16,6,0,1,0,0,0,0,0,0,0,0,1,0,1,61,0,0,0,0
400,NA,0,0,0,0,2,4,13,0,0,29,4,5,2,0,3,2,4,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,15,70,5,0,0,6,0,0,11,7,1,0,0,0,0,0,0,0,0,1,0,0,0,44,0,0,0,0
410,NA,0,0,0,0,4,10,13,0,0,28,4,9,1,0,3,5,0,0,0,0,0,1,0,0,0,0,13,0,0,0,2,0,2,0,0,0,0,0,8,65,5,0,0,14,0,0,16,3,0,0,0,1,0,0,0,0,0,0,1,0,0,29,3,4,0,0
420,NA,0,0,0,0,1,1,7,0,0,26,3,21,1,1,4,2,5,0,0,0,0,1,4,0,0,0,13,0,0,1,1,0,2,0,0,0,0,0,16,72,4,0,0,2,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,48,3,1,0,0
430,NA,0,0,0,0,3,2,3,0,0,16,1,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,14,124,0,0,0,3,1,0,2,7,0,0,1,0,0,0,0,0,0,1,0,0,0,43,1,0,0,0
