"sample.depths","sample.ages","Abies.balsamea","Acer.nigrum","Acer.pensylvanicum","Acer.rubrum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brassicaceae","Carya.ovata","Caryophyllaceae","Castanea.dentata","Celtis.occidentalis","cf..Callitriche","cf..Oxyria.digyna","Cornus","Corylus.cornuta","Cyperaceae","Ericaceae.undiff.","Fabaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Ilex.Nemopanthus","Indeterminable","Isoëtes","Juglans.cinerea","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Koenigia.islandica","Larix","Lycopodiaceae.undiff.","Lycopodium.annotinum.type","Lycopodium.clavatum","Myrica.gale","Myriophyllum","Nuphar","Nymphaea","Osmunda.cinnamomea","Osmunda.undiff.","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.strobus","Pinus.undiff.","Plantaginaceae","Poaceae","Polygonum.viviparum","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Prunus","Quercus","Ranunculaceae.undiff.","Rosaceae.undiff.","Sagittaria","Salix.herbacea.type","Salix.undiff.","Saxifraga.oppositifolia.type","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga.canadensis","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Vaccinium","Viburnum.nudum","Viburnum.undiff."
120,4451,3,0,4,2,6,0,11,6,0,0,0,0,0,584,0,0,0,0,0,0,0,0,7,1,0,0,0,4,2,0,1,7,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,2,2,31,2,19,55,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,5,0,0,0,0
140,5061,2,0,1,2,5,0,17,6,0,0,0,0,0,478,0,2,0,0,0,0,0,0,2,3,0,0,0,5,0,1,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,10,8,2,31,23,0,1,0,0,0,0,0,49,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,0,1,0,0,0
160,5659,3,0,2,0,2,0,13,3,1,1,0,0,0,339,0,0,0,0,0,1,0,0,0,1,0,0,3,1,1,0,0,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,11,1,10,16,0,0,0,0,0,2,0,42,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,2,0,0,0
170,5959,1,0,0,1,3,0,6,10,0,0,0,1,0,265,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,14,1,14,33,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,2,0,0,4,0,0,1,1,0,0,0,0,0
180,6258,3,0,0,0,5,0,13,5,0,1,0,0,0,356,0,1,0,0,2,3,0,0,1,0,1,0,1,0,0,0,0,4,0,0,3,2,0,0,0,0,0,2,0,1,0,0,1,1,0,9,28,4,22,35,0,0,0,0,0,2,0,10,0,0,0,0,0,0,0,0,1,0,0,5,0,0,2,3,1,1,0,0,0
190,6557,5,1,2,1,4,0,3,4,0,0,0,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,7,29,1,27,30,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,2,0,0,5,0,0,5,2,1,0,0,0,0
200,6857,4,0,0,4,3,0,5,3,0,0,0,0,0,196,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,1,0,8,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,6,5,3,49,59,0,0,0,0,1,5,1,4,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,3,6,0,0,0,0
210,7185,1,0,0,5,0,0,2,3,1,1,0,0,0,290,0,0,0,0,0,0,0,0,0,0,1,0,0,6,1,1,0,7,0,0,2,1,0,1,0,0,1,4,0,0,1,0,0,0,0,3,5,5,25,33,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,5,0,0,1,1,1,9,0,2,3,0,0,0
220,7534,7,0,0,1,0,1,2,28,0,1,0,0,0,348,0,0,0,0,0,1,0,0,1,1,0,0,0,4,0,0,0,6,0,0,1,0,0,2,0,0,4,2,0,0,0,0,0,0,0,11,21,3,25,35,0,0,0,0,0,1,0,4,0,1,0,0,0,0,0,1,3,0,0,3,0,0,3,4,2,0,0,0,0
230,7883,8,0,2,2,2,0,1,44,1,0,0,0,0,421,0,0,1,1,0,1,0,0,2,2,0,2,1,4,4,0,0,4,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,2,6,29,1,14,23,0,1,0,0,6,1,0,12,0,0,0,0,0,0,0,2,8,0,0,2,1,2,2,2,3,0,0,0,0
240,8232,11,0,0,2,1,0,6,68,0,0,2,1,0,494,0,1,0,0,0,0,0,0,3,1,0,0,0,5,0,0,0,2,0,0,1,0,0,1,2,1,3,4,0,0,0,0,0,0,0,18,17,4,16,15,0,7,0,4,2,1,0,10,0,0,0,0,2,0,0,0,6,0,1,0,0,0,3,1,0,0,0,0,0
250,8580,5,0,0,1,0,2,1,103,0,1,1,1,0,606,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,11,11,12,7,17,0,1,0,0,1,1,0,6,0,2,0,0,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
260,8929,6,0,0,0,1,0,3,43,0,0,0,3,0,541,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,13,23,3,5,18,0,1,0,1,7,0,0,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0
270,9256,6,0,0,0,0,0,0,144,0,0,0,0,0,448,0,1,0,0,0,0,0,0,0,2,0,0,2,1,2,0,0,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,6,6,4,3,4,0,3,0,1,7,1,0,12,0,0,0,0,6,0,0,2,0,0,0,0,0,2,1,0,2,0,0,0,0
280,9458,3,0,0,0,0,0,2,110,0,0,3,0,0,402,0,0,0,0,0,0,0,1,0,3,0,0,0,1,1,0,0,3,0,0,0,1,0,1,0,2,1,0,0,0,0,0,0,1,1,8,26,3,4,14,0,0,0,0,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
290,9660,6,0,0,0,0,0,13,385,0,0,2,2,0,250,0,0,0,1,0,0,0,0,3,5,0,0,0,2,0,0,0,1,0,0,5,0,0,6,0,7,0,0,0,0,0,0,0,0,3,68,54,17,12,12,0,1,0,3,70,0,0,6,0,0,0,1,10,0,3,0,0,0,0,0,0,1,1,4,0,0,0,0,0
300,9862,0,0,0,0,0,1,2,113,1,0,1,2,0,136,0,0,0,1,0,2,0,0,0,5,0,0,0,0,1,0,0,4,0,0,1,0,0,0,0,2,2,4,0,0,0,0,0,0,25,21,129,3,7,21,0,1,0,0,9,1,0,11,0,0,0,0,7,0,1,0,0,0,0,1,0,1,1,1,4,2,0,0,0
310,10494,1,0,0,0,0,0,0,22,0,0,4,0,0,109,0,0,0,0,0,0,1,0,1,6,1,0,2,0,0,0,0,11,0,0,0,0,0,1,0,2,0,4,0,0,0,0,0,0,0,49,58,3,5,14,0,2,0,1,4,0,0,10,0,0,0,0,13,0,2,0,0,1,0,1,0,1,1,1,6,5,0,0,0
315,11025,1,0,0,0,1,1,0,3,0,1,3,2,0,51,0,0,0,0,0,0,0,0,0,7,1,0,1,0,0,0,0,1,0,0,7,0,0,1,0,0,1,2,0,0,0,0,0,0,6,183,114,9,10,3,0,2,0,1,7,0,0,3,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
325,NA,0,0,0,0,0,0,0,14,0,1,10,2,0,256,0,0,1,0,0,0,0,0,0,16,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,10,3,2,9,0,6,0,1,2,0,0,3,0,4,0,0,43,0,22,0,0,0,0,1,0,0,2,3,6,2,0,0,0
330,NA,0,0,0,0,0,2,0,9,0,2,19,2,0,42,0,0,2,0,0,0,1,0,0,75,0,1,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,6,4,20,0,10,0,0,0,0,0,3,0,2,0,0,4,2,0,0,0,2,0,1,0,0,2,6,2,2,0,0,0
335,NA,0,0,0,0,0,0,1,26,2,4,108,3,1,63,1,0,6,0,0,0,27,0,1,87,1,2,0,0,0,0,0,10,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,18,9,54,6,23,0,30,0,0,0,0,0,2,0,2,0,0,13,3,0,5,0,4,0,1,0,0,1,1,8,3,0,1,0
340,NA,0,0,0,0,0,0,0,2,0,1,14,1,0,8,0,0,4,0,0,0,4,0,0,68,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,9,23,6,22,0,17,0,0,0,0,0,3,0,1,0,0,5,1,0,1,0,0,0,0,0,0,0,0,4,3,0,0,0
350,NA,0,0,0,0,0,0,5,19,0,9,52,3,0,31,4,0,7,0,0,0,50,0,0,90,0,2,0,0,0,0,0,16,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,18,7,41,1,17,0,32,1,0,0,0,0,2,0,7,0,0,10,0,0,2,0,2,0,1,0,0,2,2,7,4,0,0,0
360,NA,0,0,0,1,0,0,0,1,0,5,22,24,1,57,2,0,11,0,0,0,8,0,0,136,2,5,1,0,0,0,0,25,1,1,1,0,0,0,0,8,2,4,0,0,0,0,0,3,1,15,17,88,2,70,0,38,0,0,7,0,0,3,2,24,0,0,9,0,0,3,0,0,0,0,0,0,2,4,20,7,0,1,0
370,NA,1,0,0,0,0,0,0,0,0,3,7,4,0,11,0,0,1,0,0,0,1,0,0,13,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,13,11,50,0,27,0,12,0,0,1,0,0,0,0,2,0,0,5,0,0,1,0,0,0,0,0,0,0,0,7,1,0,0,0
380,NA,0,0,0,0,0,0,0,0,0,2,3,3,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,9,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
385,NA,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,5,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
