"sample.depths","sample.ages","Abies","Acer","Alnus","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brassicaceae","Carya","Caryophyllaceae","Castanea","Celtis","Cephalanthus","Chenopodiaceae","Corylus","Cupressaceae.Taxaceae","Cyperaceae","Elaeagnus","Equisetum","Ericaceae","Euphorbiaceae","Fabaceae","Fagus","Fraxinus","Ilex","Impatiens","Juglans","Lamiaceae","Larix","Liliaceae","Liquidambar","Lycopodium","Menyanthes.trifoliata","Myricaceae","Myriophyllum","Nuphar","Nymphaea","Nyssa","Onagraceae","Osmunda","Ostrya","Other.herbs","Pediastrum","Picea","Pinus","Poaceae","Polygonum","Polypodiaceae","Populus","Potamogeton","Proserpinaca","Quercus","Ranunculaceae.undiff.","Rhus","Rosaceae","Rumex","Salix","Sagittaria","Saxifragaceae","Sparganium","Sphagnum","Thalictrum","Tilia","Tsuga","Typha","Ulmus","Unknown","Urtica","Viburnum","Vitis"
100,624,0,5,3,0,0,0,1,0,75,0,4,0,6,0,0,0,3,0,10,0,0,0,0,0,12,1,0,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,5,9,0,0,16,12,0,15,2,2,0,40,0,0,0,0,0,0,0,0,0,0,0,49,0,3,5,0,0,0
110,726,0,5,5,0,0,0,1,0,77,0,3,0,8,0,0,0,4,0,11,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,5,0,0,11,9,0,20,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,33,0,1,2,0,0,0
120,828,0,10,9,0,0,1,3,0,70,0,3,0,4,0,0,0,4,0,12,0,0,0,0,0,16,1,1,0,0,0,0,0,0,1,0,1,21,0,0,1,0,1,6,8,0,0,23,6,0,20,0,2,0,38,0,0,0,0,1,0,0,2,0,0,4,34,0,1,2,0,1,0
130,929,0,12,2,0,0,0,2,0,59,0,1,0,6,0,0,0,3,0,20,0,0,0,0,0,26,7,0,0,1,0,0,0,0,2,0,3,17,0,0,1,0,0,1,4,0,0,21,8,0,17,0,8,0,33,0,0,0,0,0,0,0,2,0,1,0,36,0,1,3,0,0,0
140,1031,1,13,2,0,0,0,1,0,26,0,2,0,3,0,0,0,4,0,14,0,0,0,0,0,6,0,0,1,0,0,0,0,0,1,0,0,13,0,0,0,0,0,1,3,0,0,18,5,0,6,0,1,0,26,0,0,0,0,0,0,0,0,0,0,0,19,0,1,2,0,0,0
150,1133,0,9,5,1,0,0,0,0,55,0,0,0,4,0,0,0,3,0,23,0,0,0,0,0,18,0,0,1,0,0,0,0,0,0,0,1,17,0,0,0,0,3,4,4,0,0,19,8,0,19,0,2,0,46,0,0,0,0,1,0,0,1,0,0,0,24,0,0,4,0,0,0
160,1234,0,11,1,1,0,0,0,0,41,0,2,0,0,0,0,0,6,0,20,0,0,0,0,0,12,1,0,0,0,0,0,0,0,2,0,1,9,0,0,0,0,2,5,9,0,0,28,6,0,19,0,4,0,40,0,0,0,0,1,0,0,0,0,0,0,47,0,1,3,0,0,0
170,1336,1,8,3,0,0,0,4,0,52,0,3,0,2,0,0,0,4,0,15,0,0,0,0,0,16,0,0,0,0,0,0,0,0,1,0,3,15,0,0,0,0,1,3,4,0,0,22,13,0,12,0,3,0,32,0,0,0,0,0,0,0,0,0,0,1,29,0,1,2,0,0,0
180,1438,0,4,3,0,0,0,0,0,62,0,1,0,6,0,0,0,2,1,22,0,0,0,0,0,4,2,0,0,1,0,0,0,0,0,0,1,18,0,0,1,0,3,3,7,0,0,22,11,0,15,0,5,0,34,0,0,0,0,0,0,0,1,0,0,0,30,0,0,3,0,0,0
190,1539,0,12,3,1,0,0,0,0,77,0,2,0,3,0,0,0,3,0,19,0,0,0,0,0,10,1,0,0,0,0,0,0,0,3,0,0,14,0,0,0,0,1,4,7,0,0,14,18,0,30,0,3,0,42,0,0,0,0,0,0,0,0,0,0,2,34,0,2,2,0,0,0
200,1641,0,9,1,0,0,0,2,0,76,0,1,0,6,0,0,0,3,0,20,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,13,0,0,2,0,0,2,7,0,0,16,14,0,20,0,5,0,58,0,0,0,0,1,0,0,0,0,0,1,33,0,2,4,0,0,0
210,1743,0,7,4,1,0,0,2,0,75,0,0,1,6,0,0,0,3,0,15,0,0,0,0,0,14,1,0,2,0,0,0,0,0,0,0,0,13,0,0,1,0,0,4,5,0,0,12,11,0,22,0,2,0,43,0,0,0,0,0,0,0,1,0,0,2,23,0,2,2,0,0,0
220,1844,1,13,3,0,0,0,3,0,71,0,3,0,1,0,0,0,4,0,9,0,0,0,0,0,22,5,1,0,0,0,0,0,0,3,0,0,20,0,0,1,0,2,6,6,0,0,20,22,0,10,0,4,0,38,0,0,0,0,1,1,0,0,0,0,0,21,0,2,2,0,0,0
230,1946,0,11,6,0,0,0,1,0,61,0,3,0,4,0,0,0,4,0,11,0,0,0,0,0,29,4,0,0,0,0,0,0,0,1,0,1,20,0,0,0,0,0,4,5,0,0,26,10,0,19,0,1,0,34,0,0,0,0,1,0,0,0,0,0,0,36,0,1,2,0,0,0
240,2048,0,9,6,0,0,0,2,0,69,0,2,0,4,0,0,0,5,0,14,0,0,0,0,0,25,1,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,3,1,0,1,21,7,0,14,0,2,0,42,0,0,0,0,0,1,0,0,0,0,2,38,0,5,2,0,0,0
250,2149,1,14,7,1,0,0,1,0,67,1,4,0,2,0,0,0,4,0,7,0,0,0,0,0,19,3,1,0,1,0,0,0,0,1,0,0,17,0,0,0,0,1,4,5,0,1,21,4,0,15,0,1,0,43,0,0,0,0,1,0,0,0,0,0,0,30,0,2,5,0,0,0
260,2251,0,6,2,0,0,0,2,0,59,0,1,0,2,0,0,0,4,0,10,0,0,0,0,0,17,4,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,2,2,6,0,1,19,7,0,12,0,1,0,38,1,0,0,0,0,0,0,0,0,0,0,23,0,3,3,0,0,0
270,2353,0,8,5,0,0,0,1,0,50,0,3,0,4,0,0,0,7,0,12,0,0,0,0,0,19,2,0,0,2,0,0,0,0,1,0,0,20,0,0,0,0,0,3,5,0,0,17,8,0,6,0,0,0,24,0,0,0,0,2,0,0,0,0,0,0,14,0,1,1,0,0,0
280,2454,0,4,5,0,0,0,2,0,49,0,2,0,2,0,0,0,5,0,12,0,0,0,0,0,18,3,0,0,0,0,0,0,0,1,0,0,15,0,0,0,0,0,3,5,0,0,24,8,0,7,0,0,0,28,0,0,0,0,1,0,0,2,0,0,0,12,0,2,1,0,0,0
290,2556,0,8,3,0,0,0,1,0,63,0,4,0,5,0,0,0,4,0,11,0,0,0,0,0,10,2,2,0,0,0,0,0,0,1,0,0,18,0,0,0,0,1,2,10,0,0,20,8,0,13,0,2,0,49,0,0,0,0,0,1,0,0,0,0,1,25,0,5,4,0,0,0
300,2658,0,12,1,0,0,0,1,0,67,0,3,0,0,0,0,0,3,0,12,0,0,0,0,17,2,0,0,0,0,0,0,0,0,3,0,0,14,0,0,0,0,3,1,6,0,0,22,5,0,6,0,4,0,49,0,0,0,0,0,0,0,0,0,0,0,37,0,6,2,0,0,0
310,2917,0,14,1,0,0,0,1,0,76,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,22,1,3,0,1,0,0,0,0,0,0,0,15,0,0,0,0,1,0,1,0,0,23,5,1,9,0,2,0,46,0,0,0,0,1,0,0,0,0,0,0,30,0,2,1,0,0,0
320,3177,0,10,5,1,0,0,2,0,67,0,2,0,3,0,0,0,5,0,6,0,0,0,0,0,22,1,0,1,1,0,0,0,0,1,0,0,14,0,0,0,0,0,3,5,0,0,17,4,0,5,0,3,0,57,0,0,0,0,0,0,0,2,0,0,0,14,0,1,3,0,0,0
330,3437,1,8,4,1,0,0,2,0,66,0,2,0,5,0,0,0,3,0,14,0,0,0,0,0,15,5,0,1,0,0,0,0,0,0,0,0,14,0,0,0,0,2,1,8,0,0,29,6,0,6,0,5,0,45,0,0,0,1,0,0,0,3,0,0,0,17,0,2,2,0,1,0
340,3696,0,17,0,0,0,0,0,0,53,0,2,0,5,0,0,0,6,0,18,0,0,0,0,0,21,6,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,7,2,6,0,0,19,4,0,12,0,3,0,59,0,0,0,0,0,0,0,0,0,0,0,15,0,3,3,0,0,0
350,3956,0,15,2,0,0,0,0,0,49,0,3,0,2,0,0,0,6,0,9,0,0,0,0,0,32,1,1,0,0,0,0,0,0,0,0,0,14,0,0,0,0,2,2,3,0,0,30,2,0,11,0,1,0,61,0,0,0,0,0,0,0,1,0,0,1,8,0,0,3,0,0,0
360,4216,0,9,3,0,0,2,1,0,72,0,2,0,3,0,0,0,6,0,11,0,0,0,0,0,30,4,0,0,0,0,0,0,0,2,0,0,17,0,1,1,0,1,4,5,0,0,20,4,0,15,0,2,0,57,0,0,0,0,0,0,0,0,0,0,0,11,0,0,4,0,0,0
370,4476,0,6,1,0,0,0,0,0,97,0,1,0,6,0,0,0,6,0,16,0,0,0,0,0,27,4,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,3,3,0,0,13,4,0,5,0,2,0,46,0,0,0,0,0,0,0,0,0,0,0,16,0,3,6,0,0,0
380,4735,0,14,2,1,0,0,1,0,82,0,2,0,8,0,0,0,4,0,12,0,0,0,0,0,31,6,0,0,2,0,0,0,0,1,0,0,11,0,0,1,0,1,3,4,0,0,8,4,0,14,0,2,0,45,0,0,0,0,0,0,0,0,0,0,1,10,0,2,3,0,0,0
390,4995,0,8,4,0,0,0,1,0,94,0,4,0,3,0,0,0,2,0,13,0,0,0,0,0,33,1,1,0,2,0,0,0,0,0,0,0,9,0,0,0,0,0,3,1,0,0,17,5,0,12,0,4,0,58,0,0,0,0,0,0,0,0,0,0,0,14,0,3,5,0,0,0
400,5255,0,15,2,1,0,0,1,0,99,0,3,0,0,0,0,1,1,0,7,0,0,0,0,0,30,3,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,2,6,0,0,9,2,0,8,0,2,0,42,0,0,0,1,0,0,0,1,0,0,0,15,0,1,2,0,0,0
410,5457,0,6,2,0,0,0,0,0,85,0,2,0,4,0,0,0,4,0,6,0,0,0,0,0,13,5,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,2,2,0,1,13,4,0,11,0,2,1,42,0,0,0,0,0,0,0,0,0,0,1,89,0,2,4,0,0,0
420,5659,0,5,0,0,0,0,1,0,63,0,1,0,0,0,0,0,3,0,5,0,0,0,0,0,18,2,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,2,2,0,0,3,5,0,9,0,1,1,31,0,0,0,0,0,0,0,0,0,0,0,106,0,3,2,0,0,0
430,5861,0,8,0,0,0,1,0,0,68,0,4,0,0,0,0,0,2,0,10,0,0,0,0,0,19,4,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,3,2,0,0,7,3,0,13,0,1,0,24,0,0,0,0,1,0,0,0,0,0,0,121,0,5,3,0,0,0
440,6064,0,16,0,1,0,0,0,0,95,0,2,0,0,0,0,0,6,0,9,0,0,0,0,0,17,2,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,2,4,0,0,19,2,0,5,0,1,0,48,0,0,0,0,0,0,0,0,0,1,2,119,0,1,1,0,0,0
450,6266,0,11,0,0,0,0,0,0,64,0,2,0,0,0,0,0,2,0,3,0,0,0,0,0,17,5,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,2,0,0,0,5,3,0,4,0,2,0,34,0,0,0,0,0,0,0,0,0,0,1,98,0,4,1,0,0,0
460,6468,0,7,0,0,0,0,3,0,101,0,3,0,1,0,0,0,2,0,7,0,0,0,0,0,29,7,0,0,2,0,0,0,0,1,0,0,4,0,0,0,0,0,2,1,0,0,5,3,0,14,0,2,0,39,0,0,0,0,0,0,0,0,0,0,1,99,0,1,4,0,0,0
470,6670,0,11,0,0,0,0,0,0,95,0,4,0,2,0,0,0,4,0,7,0,0,0,0,0,12,7,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,5,2,0,0,10,4,0,17,0,4,1,37,0,0,0,0,0,0,0,0,0,0,1,133,0,6,4,0,0,0
480,6873,0,8,1,0,0,0,0,0,106,0,2,0,2,0,0,0,5,0,3,0,0,0,0,0,17,4,0,0,2,0,0,0,0,2,0,0,7,0,0,2,0,0,1,3,0,0,7,2,0,13,0,3,1,40,0,0,0,0,0,0,0,0,0,0,1,96,0,3,1,0,0,0
490,7075,0,17,1,0,0,0,1,0,100,0,4,0,1,0,0,0,4,0,8,0,0,0,0,0,26,4,0,0,1,0,0,0,0,1,0,0,6,0,0,1,0,0,3,1,0,0,11,2,1,18,0,4,1,36,0,0,0,0,0,0,0,1,0,0,2,111,0,1,2,0,0,0
500,7277,0,12,0,0,0,0,0,0,76,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,21,10,0,0,1,0,0,0,0,1,0,0,6,0,0,0,0,0,0,2,0,0,19,3,0,21,0,2,1,43,0,0,0,0,0,0,0,0,0,0,0,88,0,1,4,0,0,0
510,7332,0,12,0,0,0,0,0,0,71,0,1,0,1,0,0,1,1,0,2,0,0,0,0,0,21,5,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,6,0,0,9,2,0,30,0,1,1,35,0,1,0,0,0,0,0,0,0,0,1,83,0,1,2,0,0,0
520,7387,0,12,1,1,0,0,0,0,87,0,2,0,2,0,0,0,4,0,4,0,0,0,0,0,27,2,0,0,2,0,0,0,0,1,0,4,3,0,0,1,0,0,5,1,0,0,15,0,0,15,0,0,1,48,0,0,0,0,0,0,0,1,0,0,2,97,0,2,3,0,0,0
530,7443,0,8,2,0,0,0,1,0,84,0,2,0,1,0,0,0,4,0,3,0,0,0,0,0,24,3,0,0,0,0,0,0,0,1,0,2,5,0,0,1,0,1,3,2,0,0,15,0,0,11,0,1,0,41,0,0,0,0,0,0,0,0,0,0,0,131,0,3,1,0,0,0
540,7498,0,9,0,2,0,0,0,0,89,0,2,0,0,0,0,0,4,0,3,0,0,0,0,0,16,5,1,0,0,0,0,0,0,2,0,0,11,0,0,1,0,0,1,1,0,0,23,1,0,11,0,3,0,58,0,0,0,0,0,0,0,0,0,0,3,101,0,1,3,0,0,0
550,7553,0,6,1,1,0,0,0,0,86,0,1,0,0,0,0,1,6,0,5,0,0,0,0,0,10,10,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,4,3,0,0,52,2,2,11,0,0,0,53,0,0,0,0,0,0,0,1,0,0,0,82,0,2,3,0,0,0
560,7608,0,10,1,1,0,0,0,0,48,0,0,0,0,0,0,4,2,0,4,0,0,0,0,0,10,6,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,0,46,6,0,7,0,2,0,71,0,0,0,0,0,0,0,0,0,0,0,64,0,2,2,0,0,0
570,7663,0,4,1,1,0,0,0,0,23,0,1,0,0,0,0,0,5,0,2,0,0,0,0,0,6,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,73,2,0,7,0,1,0,73,0,0,0,0,0,0,0,0,0,0,0,96,0,4,1,0,1,0
580,7719,1,9,1,1,0,0,0,0,38,0,1,0,1,0,0,0,3,0,3,0,0,0,0,0,4,5,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,2,0,1,59,4,0,17,0,3,0,72,0,0,0,0,1,0,0,0,0,0,0,68,0,2,1,0,0,0
590,7774,0,10,0,0,0,1,0,0,10,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,1,1,0,1,78,4,0,2,0,1,1,72,0,0,0,0,0,0,0,0,0,1,0,89,0,2,0,0,0,0
600,7829,1,5,0,3,0,0,0,0,21,0,3,0,0,0,0,0,5,0,2,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,98,0,0,5,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,93,0,6,0,0,0,0
610,8348,2,7,1,0,0,0,0,0,51,0,1,0,0,0,0,0,6,0,3,0,0,0,0,0,5,4,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,2,1,0,0,106,1,0,4,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,68,0,7,1,0,0,0
620,8868,6,5,2,1,0,0,0,0,39,0,0,0,1,0,0,0,5,0,6,0,0,0,0,0,6,7,1,0,2,0,0,0,0,1,0,0,3,0,0,0,0,1,2,2,0,1,125,2,0,5,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,50,0,3,3,0,1,0
630,9387,7,5,1,0,0,0,0,0,23,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,4,0,0,1,0,0,0,0,2,0,1,3,0,0,0,0,0,2,2,0,1,180,3,0,3,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,22,0,2,1,0,0,0
640,9907,9,7,1,2,0,0,0,0,24,0,0,0,1,0,0,0,7,0,8,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,3,1,0,2,216,2,0,4,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,9,0,5,1,0,0,0
650,10426,15,5,1,0,0,0,0,0,43,0,1,0,1,0,0,0,15,0,3,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,2,201,0,0,5,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
660,10945,16,3,1,0,0,0,0,0,50,0,1,0,0,0,0,0,9,0,6,0,0,0,0,0,1,5,0,0,1,0,0,0,0,1,0,0,6,0,0,0,0,0,4,1,0,2,124,3,0,11,0,2,0,15,0,0,0,0,2,0,0,0,0,0,0,11,0,4,1,1,0,0
670,11465,46,2,3,0,0,0,2,0,33,0,1,0,1,0,0,0,7,0,11,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,3,1,0,21,89,4,0,6,0,3,0,16,0,0,1,0,1,0,0,0,0,0,0,12,0,1,1,0,0,0
680,11984,49,0,6,0,0,0,2,0,15,0,0,0,0,0,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,3,2,0,27,76,2,0,11,0,0,0,10,0,0,0,0,1,0,0,0,0,0,1,3,0,0,2,1,0,0
690,12503,21,1,6,0,1,0,0,0,11,0,0,0,0,0,0,0,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,1,1,0,36,88,6,0,2,0,0,0,12,0,0,0,0,3,0,0,0,0,0,0,2,0,0,1,0,0,0
700,13023,19,3,1,0,0,1,2,0,10,0,2,0,1,0,0,0,3,0,13,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,4,0,21,98,7,0,12,0,1,0,12,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,1,0,0
710,13462,23,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,5,0,19,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,3,0,48,69,14,0,12,0,6,0,14,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,1,0
720,13901,23,0,0,0,0,2,3,1,16,0,1,0,0,0,0,1,5,0,20,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,3,0,61,40,9,0,6,0,4,0,16,0,0,0,0,1,0,0,0,0,0,0,4,0,1,1,0,0,0
730,14340,26,0,0,0,0,1,1,0,15,0,0,0,0,0,0,0,4,0,22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,70,29,22,0,13,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
740,14780,11,0,1,0,0,1,1,0,11,0,2,0,0,0,0,0,1,0,25,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,33,62,16,0,7,0,2,0,14,0,0,0,0,4,0,0,0,0,0,0,2,0,0,2,0,0,0
750,15219,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,49,90,14,0,7,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0
760,NA,3,4,1,1,0,0,1,0,41,0,0,0,1,0,0,0,1,0,5,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,2,0,1,36,0,0,6,0,2,1,58,0,0,0,0,0,0,0,0,0,0,1,49,0,3,1,0,0,0
770,NA,5,6,2,1,0,1,1,0,50,0,1,0,1,0,0,0,0,0,32,0,0,1,0,0,7,2,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,2,3,0,16,34,13,0,10,0,1,0,21,0,0,0,1,2,0,0,0,0,0,0,18,0,4,3,0,0,0
780,NA,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,13,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,2,28,5,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
790,NA,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,5,1,0,0,1,0,0,0,0,1,0,0,4,0,0,0,0,0,1,2,0,4,41,1,0,13,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,21,0,0,1,0,0,0
800,NA,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
810,NA,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,12,2,0,11,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0
820,NA,1,0,1,0,0,1,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,9,2,0,9,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
830,NA,1,0,6,0,0,0,0,0,40,0,1,0,1,0,0,0,3,0,9,0,0,0,0,0,11,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,2,1,0,1,38,3,0,5,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,34,0,0,3,0,0,0
840,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
850,NA,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
860,NA,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,35,3,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0
