"sample.depths","sample.ages","upland.sum","Abies","Acer.saccharum.type","Alnus.incana.type","Ambrosia.type","Artemisia","Betula","Amaranthaceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Fraxinus.nigra.type","Ostrya.Carpinus","Picea","Pinus.undiff.","Quercus","Salix","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus.viridis","Myrica","Populus","Poaceae","Humulus","Pinus.strobus","Pinus.banksiana.P..resinosa","Larix","Sarcobatus.vermiculatus","Tsuga","Thalictrum","Acer.spicatum","Lamiaceae","Celtis","Carya","Platanus","Potentilla.type","Rosaceae.undiff.","Juglans.cinerea","Ranunculus","Dalea","Oxytropis","Fabaceae.undiff.","Spiraea.type","Iva.annua.type","Iva.xanthifolia.type","Brassicaceae","Apiaceae","Rhus","Triantha.glutinosa","Alnus.undiff.","Fraxinus.pennsylvanica.type","Shepherdia.canadensis","Amorpha","Eucalyptus","Laportea.type","Tilia","Morus.rubra","Ephedra.trifurca.type","Viburnum.opulus","Urtica.type","Juglans.nigra","Asteraceae.subf..Cichorioideae","Vitis"
227,5369,395,2,0,22,2,8,30,4,1,1,5,5,2,3,143,13,1,0,2,8,0,6,2,0,85,42,1,2,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,5794,342,0,1,16,6,4,42,1,2,7,5,5,2,2,125,12,3,1,5,2,0,1,6,0,42,46,2,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,6199,346,0,1,14,2,7,29,1,3,10,4,9,5,2,105,3,1,2,4,13,0,5,2,0,74,46,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288,6604,329,0,1,13,5,7,32,3,2,7,1,11,0,1,103,8,1,2,5,4,1,9,1,0,57,49,0,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,7009,345,0,0,6,7,8,48,4,2,4,3,3,4,3,118,10,4,1,7,6,0,2,2,0,32,60,2,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
328,7414,346,0,0,10,8,5,46,6,2,13,2,2,3,1,121,6,0,1,9,16,0,2,7,0,10,73,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
348,7820,375,1,0,14,13,10,38,9,3,0,3,5,3,12,172,1,0,1,4,10,0,4,10,0,10,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
372,8306,391,4,1,10,3,9,46,13,0,1,5,4,6,9,206,4,1,0,2,6,2,15,6,0,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
392,8711,404,2,1,14,9,10,38,3,4,1,2,5,1,24,149,6,6,0,2,13,0,5,1,0,3,99,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
412,9116,327,0,0,11,4,3,26,8,0,26,2,4,4,9,140,4,0,1,4,17,4,3,0,1,3,48,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
432,9521,322,2,1,3,6,7,25,1,3,0,1,1,3,24,141,7,0,3,2,0,3,7,4,0,4,66,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
451,9905,333,2,0,0,1,5,31,2,2,7,4,0,3,17,136,9,2,1,12,0,6,4,3,0,0,82,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
456,10007,951,1,1,0,7,22,44,6,1,5,3,2,12,21,220,11,9,1,13,0,18,8,2,1,18,91,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,1,419,0,0,0,0,0,0,0,0,0
459,10067,622,0,1,0,10,9,47,2,4,8,9,6,5,24,117,13,4,0,19,0,2,11,7,2,5,85,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,223,1,1,0,0,0,0,0,0,0
462,10128,348,3,0,1,1,7,46,5,0,1,6,6,4,37,132,11,2,1,10,0,3,8,3,0,3,52,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
465,10189,735,0,2,0,4,9,52,0,1,12,4,4,6,36,173,23,6,0,27,0,7,14,5,0,11,91,6,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,7,0,2,0,227,0,0,0,1,0,0,0,0,0
467,10229,998,1,1,0,8,11,74,2,5,34,3,7,4,68,147,16,4,0,30,0,17,20,12,1,9,84,12,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,3,0,1,0,418,0,0,0,0,0,0,0,0,0
470,10290,738,0,1,0,6,11,63,6,4,50,7,6,6,89,118,20,9,0,18,0,3,10,2,0,8,35,6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,255,0,0,0,0,1,0,0,0,0
472,10331,432,1,1,3,1,11,63,2,5,31,8,2,5,84,86,12,5,2,28,0,2,23,2,0,2,33,9,0,0,0,0,0,0,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
475,10391,855,0,1,0,10,22,62,12,2,70,6,9,10,77,60,33,5,4,49,0,1,22,8,1,2,28,14,1,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,333,0,1,0,0,0,1,0,0,0
478,NA,552,0,0,0,10,12,24,8,1,45,10,4,5,86,82,29,6,1,41,0,1,17,7,0,1,19,16,1,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,115,0,0,0,0,0,0,1,1,0
479,NA,609,1,2,0,14,13,16,3,1,51,2,5,9,79,69,22,5,4,32,0,0,8,2,1,3,34,3,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,217,1,0,0,0,0,0,0,0,3
480,NA,574,0,0,0,4,7,23,6,0,29,5,1,6,59,53,24,3,3,24,0,0,11,5,1,1,27,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,270,0,0,0,0,0,0,0,0,0
482,NA,302,0,1,0,5,10,10,5,5,23,4,2,7,100,43,21,3,4,22,0,0,12,6,0,0,13,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
483,NA,541,0,1,0,12,18,17,6,2,50,6,4,5,61,32,26,7,1,33,0,0,15,10,0,1,11,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,1,0,199,0,0,0,0,0,0,0,0,0
487,NA,568,0,3,0,6,24,7,3,1,36,13,11,4,88,50,24,6,1,40,0,1,9,6,2,0,16,8,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,5,1,0,197,0,0,0,0,0,0,0,0,0
502,NA,330,4,1,3,0,0,19,3,8,7,17,18,7,114,60,18,5,2,20,0,0,1,2,0,0,13,0,1,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
