"sample.depths","sample.ages","Abies","Acer","Alnus","Betula","Caprifoliaceae","Carya","Celtis","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus","Ilex.Nemopanthus","Juglans","Larix","Liquidambar","Myrica.Comptonia.peregrina","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhus","Salix","Taxus","Tilia","Tsuga","Ulmus","Vitaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae.undiff.","Chenopodiaceae","Cyperaceae","Fabaceae","Poaceae","Ranunculaceae","Rosaceae","Rumex","Urticaceae"
110,1881,0,0.0211081794195251,0.0184696569920844,0.189973614775726,0,0.0079155672823219,0,0,0.0844327176781003,0,0.0870712401055409,0.029023746701847,0,0.00263852242744063,0,0,0,0.0343007915567282,0.00527704485488127,0.0105540897097625,0.121372031662269,0.100263852242744,0,0.0395778364116095,0.131926121372032,0,0,0,0,0.0369393139841689,0.0606860158311346,0,0.00527704485488127,0,0,0.00263852242744063,0.00263852242744063,0.00263852242744063,0,0.00527704485488127,0,0,0,0
120,2126,0,0.0251889168765743,0.0226700251889169,0.141057934508816,0,0.0075566750629723,0,0.00251889168765743,0.0428211586901763,0,0.070528967254408,0.0251889168765743,0,0,0.0075566750629723,0,0,0.0403022670025189,0.00251889168765743,0.0075566750629723,0.118387909319899,0.181360201511335,0.00503778337531486,0.0478589420654912,0.125944584382872,0,0.00251889168765743,0,0.00251889168765743,0.0377833753148615,0.0579345088161209,0,0.00251889168765743,0.00251889168765743,0.00503778337531486,0,0,0.00503778337531486,0,0.0075566750629723,0,0.00251889168765743,0,0
130,2371,0.00235849056603774,0.035377358490566,0.0259433962264151,0.099056603773585,0,0.0070754716981132,0,0,0.044811320754717,0,0.0636792452830189,0.0330188679245283,0,0.00235849056603774,0.0141509433962264,0,0,0.0188679245283019,0.00235849056603774,0,0.117924528301887,0.280660377358491,0,0.0283018867924528,0.129716981132075,0,0,0,0.00471698113207547,0.0188679245283019,0.0424528301886792,0,0.00943396226415094,0,0.00943396226415094,0.00235849056603774,0,0.00235849056603774,0,0.00471698113207547,0,0,0,0
140,2616,0,0.0197530864197531,0.0395061728395062,0.160493827160494,0,0,0.00246913580246914,0,0.0395061728395062,0,0.0222222222222222,0.0172839506172839,0,0.00246913580246914,0.0148148148148148,0,0.00246913580246914,0.0246913580246914,0.00246913580246914,0.0172839506172839,0.106172839506173,0.207407407407407,0.00246913580246914,0.037037037037037,0.175308641975309,0,0.00493827160493827,0,0.00246913580246914,0.0296296296296296,0.0296296296296296,0,0.00987654320987654,0,0.00740740740740741,0.00246913580246914,0,0.0148148148148148,0,0.00493827160493827,0,0,0,0
145,2738,0,0.0264026402640264,0.0214521452145215,0.108910891089109,0,0.0033003300330033,0,0.00165016501650165,0.0346534653465347,0,0.0610561056105611,0.0297029702970297,0,0.00825082508250825,0.0165016501650165,0,0,0.0511551155115512,0.0033003300330033,0.0033003300330033,0.0792079207920792,0.216171617161716,0,0.0528052805280528,0.15016501650165,0,0.00165016501650165,0.00165016501650165,0.00495049504950495,0.0165016501650165,0.0561056105610561,0,0.00825082508250825,0,0.00825082508250825,0.00495049504950495,0,0.0231023102310231,0,0.0066006600660066,0,0,0,0
155,2983,0,0.0222841225626741,0.00835654596100279,0.136490250696379,0,0.00835654596100279,0,0,0.064066852367688,0,0.011142061281337,0.0250696378830084,0,0,0.00835654596100279,0,0,0.0417827298050139,0,0.011142061281337,0.128133704735376,0.136490250696379,0,0.0445682451253482,0.270194986072423,0,0,0,0.00557103064066852,0.0167130919220056,0.0362116991643454,0,0.00557103064066852,0,0.00278551532033426,0,0.00557103064066852,0.00557103064066852,0,0.00557103064066852,0,0,0,0
160,3106,0.00212314225053079,0.0382165605095541,0.0148619957537155,0.121019108280255,0,0,0.00212314225053079,0,0.0424628450106157,0,0.0148619957537155,0.0148619957537155,0,0.00424628450106157,0.00636942675159236,0,0,0.0382165605095541,0.00212314225053079,0.00849256900212314,0.0976645435244161,0.16348195329087,0,0.0403397027600849,0.229299363057325,0,0,0.00212314225053079,0.00636942675159236,0.029723991507431,0.0828025477707006,0,0.0106157112526539,0,0.00636942675159236,0.00212314225053079,0.00212314225053079,0.0106157112526539,0,0.00424628450106157,0.00212314225053079,0,0,0
165,3228,0,0.0361216730038023,0.00760456273764259,0.0627376425855513,0,0,0,0,0.0665399239543726,0,0.00570342205323194,0.032319391634981,0,0.00190114068441065,0.0133079847908745,0.00190114068441065,0,0.0551330798479087,0.00190114068441065,0.00570342205323194,0.0893536121673004,0.313688212927757,0.00190114068441065,0.05893536121673,0.138783269961977,0,0,0,0.0114068441064639,0.0133079847908745,0.0532319391634981,0,0.00570342205323194,0,0.00190114068441065,0.00190114068441065,0.00570342205323194,0.00570342205323194,0,0.00760456273764259,0,0,0,0
175,3473,0.00178571428571429,0.025,0.00714285714285714,0.0714285714285714,0,0.00535714285714286,0,0.00535714285714286,0.0553571428571429,0,0.00535714285714286,0.0232142857142857,0,0.00714285714285714,0.0232142857142857,0,0,0.0607142857142857,0.00178571428571429,0.00892857142857143,0.0803571428571429,0.255357142857143,0.00357142857142857,0.0660714285714286,0.201785714285714,0,0.00178571428571429,0,0.00357142857142857,0.00178571428571429,0.0553571428571429,0,0.00357142857142857,0,0.00535714285714286,0.00357142857142857,0,0.0142857142857143,0,0.00178571428571429,0,0,0,0
180,3596,0.00391389432485323,0.0234833659491194,0.0117416829745597,0.0489236790606654,0,0.00587084148727984,0,0,0.0469667318982387,0,0.00587084148727984,0.0293542074363992,0,0.00587084148727984,0.00978473581213307,0,0,0.050880626223092,0.00195694716242661,0.00195694716242661,0.095890410958904,0.354207436399217,0.00391389432485323,0.0528375733855186,0.185909980430528,0,0.00195694716242661,0,0.00587084148727984,0.00195694716242661,0.0352250489236791,0,0.00391389432485323,0,0.00195694716242661,0,0,0.00391389432485323,0,0.00587084148727984,0,0,0,0
185,3718,0,0.0257510729613734,0.0150214592274678,0.0858369098712446,0,0.00214592274678112,0,0.00214592274678112,0.055793991416309,0,0.00429184549356223,0.0214592274678112,0,0.00214592274678112,0.00858369098712446,0,0.00214592274678112,0.0579399141630901,0.00214592274678112,0.0107296137339056,0.0965665236051502,0.21244635193133,0.00214592274678112,0.0622317596566524,0.240343347639485,0,0,0,0.00429184549356223,0.00429184549356223,0.0343347639484979,0,0.0107296137339056,0,0.00643776824034335,0.00214592274678112,0.00858369098712446,0.0107296137339056,0,0.00858369098712446,0,0,0,0
190,3841,0,0.0346620450606586,0.024263431542461,0.109185441941075,0,0.00693240901213172,0,0.00173310225303293,0.0329289428076256,0,0.00519930675909879,0.0294627383015598,0,0.00519930675909879,0.00519930675909879,0,0.00346620450606586,0.0623916811091854,0.00346620450606586,0.0103986135181976,0.0762564991334489,0.181975736568458,0.00173310225303293,0.072790294627383,0.265164644714038,0,0,0,0.00173310225303293,0,0.0381282495667244,0,0.00346620450606586,0,0.00693240901213172,0.00173310225303293,0.00173310225303293,0.0103986135181976,0,0.00346620450606586,0,0,0,0
195,3964,0,0.0463320463320463,0.0482625482625483,0.0579150579150579,0,0.0173745173745174,0.00193050193050193,0.00193050193050193,0.028957528957529,0,0.0154440154440154,0.0656370656370656,0,0.00772200772200772,0.00772200772200772,0,0,0.0926640926640927,0.00193050193050193,0.00386100386100386,0.0926640926640927,0.152509652509653,0.00193050193050193,0,0.233590733590734,0,0.00193050193050193,0.00193050193050193,0.00579150579150579,0,0.0405405405405405,0,0.00386100386100386,0,0.0135135135135135,0.00386100386100386,0.0135135135135135,0.0173745173745174,0,0.0173745173745174,0.00193050193050193,0,0,0
200,4086,0.00184162062615101,0.0349907918968692,0.0220994475138122,0.0736648250460405,0,0.00736648250460405,0,0.00184162062615101,0.0460405156537753,0,0.00920810313075507,0.0607734806629834,0.00184162062615101,0.00736648250460405,0.0239410681399632,0,0,0.0552486187845304,0.00184162062615101,0.00184162062615101,0.0902394106813996,0.220994475138122,0.00368324125230203,0.00184162062615101,0.232044198895028,0,0.00368324125230203,0,0.00920810313075507,0.00184162062615101,0.0626151012891344,0,0.00552486187845304,0,0.00368324125230203,0,0.00184162062615101,0.0110497237569061,0,0.00184162062615101,0,0,0,0
