"sample.depths","sample.ages","Abies.balsamea","Acer.nigrum","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Athyrium","Betula","Botrychium","Brassicaceae","Calla.palustris","Campanula.type","Carya.cordiformis","Carya.ovata","Caryophyllaceae","Castanea.dentata","cf..Callitriche","Cornus","Corylus.cornuta","Cyperaceae","Dalea","Drosera.rotundifolia.type","Dryopteris.type","Elaeagnus.commutata","Ephedra","Epilobium","Equisetum","Ericaceae","Fabaceae.undiff.","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Galium","Huperzia.selago.type","Indeterminable","Isoëtes","Juglans.cinerea","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Larix","Liliaceae","Lycopodiella.inundata","Lycopodium.annotinum.type","Lycopodium.clavatum","Mentha.type","Menyanthes.trifoliata","Myosotis.type","Myrica.gale","Myriophyllum.sibiricum.type","Myriophyllum.undiff.","Nemopanthus.mucronatus","Nuphar","Onagraceae.undiff.","Osmunda.cinnamomea","Osmunda.regalis.type","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Pinus.undiff.","Poaceae","Populus.balsamifera.type","Populus.deltoides.type","Populus.tremuloides.type","Potamogetonaceae","Potamogetonaceae.Triglochin.undiff.","Potentilla.palustris.type","Pteridium.aquilinum","Quercus","Ranunculaceae.undiff.","Rosaceae.undiff.","Salix","Sambucus","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga.canadensis","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Urticaceae","Viburnum.nudum","Viburnum.opulus","Woodsia.type"
215,5585,1,0,0,1,5,0,20,3,2,0,0,0,0,0,211,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,5,1,1,1,0,4,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,5,1,9,2,0,0,148,12,5,0,0,1,0,0,0,0,7,0,1,0,0,0,5,4,0,1,81,0,0,6,1,2,2,0,0,0,0
225,5845,1,0,1,0,2,0,14,3,1,1,1,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,6,3,0,0,0,2,1,2,2,1,0,0,0,1,0,0,0,2,0,0,0,1,0,0,1,1,1,2,1,1,0,80,20,4,0,0,0,0,0,0,0,4,0,1,0,0,0,1,1,0,1,81,0,1,9,2,1,1,1,1,0,0
235,5964,3,0,4,0,6,0,6,4,0,0,0,0,0,0,127,0,0,0,0,1,0,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,2,3,1,0,0,2,3,4,7,4,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,1,7,3,20,0,101,29,3,0,0,2,0,0,0,0,16,0,0,2,0,0,2,0,0,0,64,0,0,11,0,0,1,0,0,0,0
250,6072,2,0,0,0,8,0,8,5,0,0,2,0,0,0,134,0,0,0,0,0,0,0,1,0,0,2,9,0,1,0,0,0,0,0,1,0,3,4,3,0,1,2,5,2,0,0,2,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,2,0,262,23,0,0,0,1,0,0,0,0,11,1,0,1,0,0,1,4,0,0,55,0,0,8,0,3,4,0,0,0,0
275,6252,1,0,0,0,4,0,12,6,1,0,1,1,0,0,162,0,0,0,0,0,0,1,0,0,0,5,4,0,0,0,0,0,0,0,1,0,6,16,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,7,2,1,0,190,17,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,15,0,1,14,0,0,10,0,2,3,0,0,0,0
300,6433,5,0,2,0,5,0,6,12,1,0,1,5,0,0,65,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,6,9,1,0,0,0,2,0,2,1,4,0,0,0,2,0,0,0,12,0,0,0,0,0,0,1,4,0,9,4,2,0,186,39,5,0,0,2,1,0,0,0,12,0,0,1,0,0,2,5,1,1,3,0,0,7,4,6,4,1,0,0,0
315,6541,1,0,0,0,8,0,16,2,2,0,6,2,0,0,191,0,0,0,0,0,0,0,0,2,0,1,5,0,0,0,0,0,0,0,3,0,4,9,6,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,6,2,6,0,227,37,1,0,0,1,0,0,0,0,19,0,0,1,0,0,0,0,0,2,47,0,1,8,1,1,2,0,0,0,0
325,6656,4,0,0,0,4,0,9,5,0,0,1,0,0,0,137,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,1,0,6,3,0,0,0,1,5,1,1,0,1,0,0,0,1,0,0,0,3,0,0,1,1,0,1,0,4,0,7,3,1,1,203,52,4,0,0,6,0,0,0,0,43,0,4,0,0,0,9,0,0,0,29,0,0,8,4,2,3,1,0,0,0
335,6900,7,0,0,0,8,0,8,6,0,1,0,1,0,0,195,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5,11,4,0,0,0,8,0,3,0,5,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,5,0,14,2,3,0,274,39,1,0,0,1,0,0,0,0,32,0,0,0,0,0,1,17,0,1,26,0,0,17,0,2,0,1,0,0,0
350,7266,2,0,1,0,4,0,6,6,0,0,1,0,0,0,63,0,1,0,0,0,1,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,2,0,1,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,5,0,8,2,0,0,253,34,0,0,0,1,0,0,0,0,26,0,0,0,0,0,1,9,0,0,2,0,0,5,5,1,3,2,0,0,0
362,7559,5,0,3,0,0,0,4,0,0,3,0,1,0,0,72,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,2,3,4,0,0,0,1,1,1,0,1,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,2,0,11,1,6,0,271,30,2,0,0,1,0,0,0,0,10,0,0,1,2,0,0,0,0,0,6,0,0,8,1,2,5,0,0,0,0
375,7877,12,0,0,0,8,1,1,34,0,3,3,0,0,0,257,0,0,0,0,0,0,1,0,1,0,0,11,0,0,0,0,0,0,0,1,0,4,15,12,0,0,0,1,0,4,2,3,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,6,3,6,1,13,0,213,22,1,0,1,8,0,0,0,0,38,0,1,0,0,0,1,14,0,0,5,0,0,7,0,3,0,0,0,1,0
390,8243,8,0,0,0,2,0,0,22,0,0,0,1,0,0,125,0,0,0,0,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,1,3,5,0,0,0,8,0,1,0,1,0,0,1,2,0,0,0,6,0,0,0,1,0,0,0,2,3,4,1,2,0,105,5,1,0,0,4,0,0,0,0,12,0,1,1,0,0,1,5,0,0,2,0,0,1,0,4,1,0,0,0,0
400,8487,8,0,0,0,0,0,1,93,1,0,3,2,0,0,154,0,0,0,0,0,0,0,1,0,0,2,6,0,0,0,0,0,0,0,1,0,0,9,1,0,0,1,22,0,8,0,2,0,0,1,2,0,0,0,11,0,0,0,1,0,0,0,9,4,16,5,58,0,208,41,6,3,0,14,0,0,0,0,33,0,0,4,0,0,1,5,0,0,4,0,1,14,5,8,0,1,0,0,0
412,8780,0,0,0,0,2,1,1,73,0,0,1,0,0,0,152,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,19,0,9,1,0,0,0,3,3,0,0,0,5,0,1,0,0,0,0,0,3,7,21,3,4,0,69,3,0,3,0,14,0,0,0,0,15,0,0,0,0,0,1,3,0,0,1,0,5,2,0,3,1,0,0,0,0
425,9098,1,0,0,0,2,0,1,155,0,0,4,6,0,0,178,0,0,0,0,0,0,0,1,0,0,1,10,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,41,0,12,5,0,0,0,1,2,0,0,0,26,1,0,0,0,0,0,0,7,14,3,3,1,0,47,2,3,5,0,38,0,0,0,0,28,0,0,3,0,0,0,4,0,1,2,0,1,4,0,8,1,0,0,2,0
430,9351,6,0,1,0,2,0,3,44,1,0,0,2,0,0,178,0,0,0,0,0,2,1,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,8,1,0,0,9,23,0,43,15,4,0,0,1,1,0,0,0,17,0,0,1,0,0,0,0,9,10,44,13,2,0,35,4,7,3,0,51,0,0,0,0,42,0,0,5,0,0,0,8,0,0,11,0,0,9,2,9,1,0,0,0,0
435,9736,2,0,0,0,1,0,1,13,0,3,7,11,0,0,142,0,1,0,0,0,3,0,0,1,0,2,17,0,0,0,0,0,0,0,1,0,0,10,4,0,1,0,56,0,46,0,0,0,0,8,11,0,0,0,80,0,0,0,0,1,0,0,8,3,13,1,0,0,70,6,19,2,0,45,0,0,0,0,38,0,0,9,0,1,2,0,0,0,2,0,1,2,2,234,7,0,0,0,0
440,10121,1,0,0,0,1,0,1,7,1,0,4,9,0,1,153,0,0,0,1,0,2,0,0,0,0,1,24,0,0,8,0,0,0,1,1,0,1,12,3,0,0,0,35,2,114,0,1,0,0,2,15,0,0,0,61,0,1,0,0,0,0,0,13,5,11,1,3,0,56,5,15,5,1,162,0,0,0,0,76,0,0,12,0,1,1,2,0,0,5,0,0,11,2,26,4,1,0,0,2
445,10524,1,0,0,0,6,0,2,10,0,0,6,5,0,0,212,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,2,0,0,8,0,0,1,0,31,2,99,4,0,0,0,8,1,0,0,0,73,0,0,0,0,0,0,0,6,5,2,0,0,0,49,1,10,15,0,182,0,0,0,0,41,0,1,8,0,0,0,0,0,0,1,1,0,8,2,41,2,0,0,0,0
450,10945,1,0,0,0,3,0,2,13,1,0,7,3,0,0,117,0,0,0,0,0,0,0,0,0,0,1,8,0,0,3,1,0,0,0,2,0,1,5,1,0,0,1,64,0,49,0,0,0,0,3,1,0,0,0,162,0,0,0,0,1,0,0,11,1,10,1,2,0,43,3,11,2,0,125,0,2,0,0,27,0,1,5,0,3,0,1,1,0,1,0,0,12,5,51,1,0,0,0,0
455,NA,3,0,0,0,3,0,18,26,0,1,50,10,0,0,125,1,0,0,0,0,1,0,2,0,0,3,38,0,0,0,2,0,0,0,3,1,1,14,0,1,2,4,6,2,13,0,1,0,0,1,0,0,0,0,32,0,0,0,0,0,0,0,9,0,12,7,7,0,65,13,9,7,0,77,0,0,1,0,58,0,1,34,0,6,0,0,1,0,3,0,0,20,4,25,3,3,0,0,1
460,NA,2,0,0,0,6,0,6,47,0,3,16,5,1,0,89,0,0,0,0,0,0,2,1,0,0,1,16,0,0,0,0,1,2,3,2,0,0,6,0,0,0,5,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,10,3,18,0,153,7,8,4,0,13,0,0,0,0,44,0,1,12,0,0,0,0,0,0,10,0,0,13,1,10,7,0,0,0,0
465,NA,1,0,0,0,3,0,14,23,1,3,21,4,1,0,82,0,1,0,0,0,0,0,1,0,0,5,16,0,0,0,0,0,0,0,1,0,0,18,1,0,0,9,0,0,7,0,1,0,0,1,2,0,0,0,2,0,0,0,0,1,0,0,5,0,5,7,6,0,82,25,7,1,0,9,0,0,0,0,23,0,0,15,0,0,1,0,2,0,6,0,0,11,1,13,4,4,0,0,0
470,NA,0,0,0,0,0,0,3,50,0,1,9,3,0,0,68,0,0,0,0,0,0,2,1,0,0,1,14,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,2,21,0,41,8,6,2,0,6,1,0,0,0,18,0,0,5,0,0,0,0,1,0,5,1,0,5,0,7,2,0,0,0,0
