"sample.depths","sample.ages","Abies","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Cannabaceae","Carya","Amaranthaceae.undiff.","Iva.annua.type","Corylus","Cupressaceae","Cyperaceae","Fraxinus.nigra.type","Herbs.undiff.","Juglans.cinerea","Juglans.nigra","Larix","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.undiff.","Populus.balsamifera.type","Populus.tremuloides.type","Quercus","Salix","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Urtica.type","Vitis","Myrica","Poaceae","Rosaceae.trees","Acer.saccharum.type","Acer.negundo","Acer.rubrum","Fraxinus.pennsylvanica.type","Juglans.undiff.","Laportea.type","Morus","Sarcobatus.vermiculatus","Tilia","Apiaceae","Xanthium","Acer.saccharinum.type","Castanea","Fabaceae.undiff.","Ranunculus","Saxifragaceae.undiff.","Iva.xanthifolia.type","Platanus","Cornus","Bidens.type","Celtis","Pyrus.type","Ericaceae.undiff.","Rumex","Potentilla.type","Shepherdia.canadensis","Amorpha.type","Rosaceae.undiff.","Crassulaceae","Ephedra","Epilobium","Gentianaceae","Hypericum","Maclura.pomifera.type","Taxus","Thalictrum","Galium","Brassicaceae","Asteraceae.undiff.","Fagus","Shepherdia.argentea","Spiraea.type","Prunus.Sorbus","Vaccinium","Asteraceae.subf..Cichorioideae","Shrubs.undiff.","Caryophyllaceae","Oxyria.digyna","Rubus","Liliaceae","Dryas.type","Polemoniaceae","Geum.type","Pinus.subg..Strobus","Scrophulariaceae","Viburnum","Plantago.major","Polygonum","Hydrophyllum","Lycopus.type","Boraginaceae","Saxifraga.type","Ranunculaceae.undiff.","Stachys.type","Koenigia.islandica","Plantago.undiff.","Pterocarya"
840,11135,0.00313152400835073,0.00313152400835073,0.00208768267223382,0.0093945720250522,0.0532359081419624,0.0354906054279749,0.00730688935281837,0.00313152400835073,0.00835073068893528,0.00104384133611691,0.00521920668058455,0.0198329853862213,0.0354906054279749,0.0208768267223382,0,0.00208768267223382,0.00208768267223382,0.0313152400835073,0.0104384133611691,0.298538622129436,0.0125260960334029,0.202505219206681,0.00730688935281837,0.0313152400835073,0.058455114822547,0.0135699373695198,0,0.00521920668058455,0.0720250521920668,0.00417536534446764,0,0,0.0135699373695198,0,0.00313152400835073,0.00313152400835073,0,0.00417536534446764,0.00104384133611691,0.00104384133611691,0,0.00104384133611691,0,0,0.00208768267223382,0,0,0,0.00104384133611691,0.00104384133611691,0,0.00104384133611691,0,0,0.00104384133611691,0,0,0,0.00104384133611691,0,0,0,0,0.00104384133611691,0.00104384133611691,0.00104384133611691,0.00104384133611691,0.00104384133611691,0.00104384133611691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
850,11534,0.002460024600246,0,0.001230012300123,0.015990159901599,0.038130381303813,0.033210332103321,0.00492004920049201,0.00492004920049201,0.002460024600246,0,0.003690036900369,0.01230012300123,0.052890528905289,0.03690036900369,0.001230012300123,0.003690036900369,0,0.029520295202952,0.015990159901599,0.281672816728167,0.039360393603936,0.190651906519065,0.015990159901599,0.0664206642066421,0.038130381303813,0.014760147601476,0,0.001230012300123,0.055350553505535,0.00492004920049201,0.001230012300123,0,0.019680196801968,0,0.002460024600246,0,0,0,0,0.001230012300123,0.001230012300123,0.001230012300123,0,0,0.001230012300123,0,0,0,0,0,0,0,0,0,0.001230012300123,0,0,0,0,0.001230012300123,0,0,0,0,0,0,0,0,0,0.001230012300123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
860,11797,0.00717213114754098,0.00409836065573771,0.00204918032786885,0.0112704918032787,0.0348360655737705,0.048155737704918,0.00409836065573771,0,0.00409836065573771,0,0.00409836065573771,0.0338114754098361,0.0358606557377049,0.040983606557377,0,0,0,0.021516393442623,0.00614754098360656,0.352459016393443,0.00819672131147541,0.195696721311475,0.0122950819672131,0.0430327868852459,0.0348360655737705,0.0122950819672131,0,0.00307377049180328,0.0450819672131148,0.00614754098360656,0,0,0.0112704918032787,0,0.00409836065573771,0.00102459016393443,0,0.00409836065573771,0.00204918032786885,0.00102459016393443,0,0.00102459016393443,0,0.00102459016393443,0.00102459016393443,0.00102459016393443,0,0,0,0,0,0,0,0,0,0,0,0,0.00102459016393443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
870,12026,0.00254129606099111,0.00254129606099111,0.00127064803049555,0.00635324015247776,0.0533672172808132,0.0775095298602287,0.00127064803049555,0,0.00127064803049555,0.00127064803049555,0.00508259212198221,0.0241423125794155,0.0559085133418043,0.0419313850063532,0,0.00127064803049555,0,0.0165184243964422,0.0127064803049555,0.31130876747141,0.0203303684879288,0.123252858958069,0.0127064803049555,0.0470139771283355,0.0228716645489199,0.0343074968233799,0,0.0101651842439644,0.0559085133418043,0.00381194409148666,0,0,0.0266836086404066,0,0.00508259212198221,0,0,0.00381194409148666,0.00127064803049555,0.00254129606099111,0,0,0,0,0,0.00127064803049555,0,0,0.00127064803049555,0,0,0,0,0.00127064803049555,0.00127064803049555,0,0,0,0.00254129606099111,0,0,0.00127064803049555,0,0,0,0,0,0,0,0.00254129606099111,0.00127064803049555,0.00127064803049555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
875,12141,0.00373134328358209,0.00373134328358209,0.00298507462686567,0.0082089552238806,0.0417910447761194,0.0992537313432836,0.00970149253731343,0,0.00671641791044776,0,0.00522388059701493,0.017910447761194,0.0873134328358209,0.026865671641791,0,0,0,0.0238805970149254,0.00447761194029851,0.290298507462687,0.00597014925373134,0.106716417910448,0.0201492537313433,0.0664179104477612,0.0447761194029851,0.0313432835820895,0,0.00597014925373134,0.0425373134328358,0.00447761194029851,0,0,0.0216417910447761,0,0,0.000746268656716418,0,0.00223880597014925,0,0.00223880597014925,0,0,0,0,0.000746268656716418,0,0,0,0.00298507462686567,0,0.000746268656716418,0.00149253731343284,0,0,0,0,0,0,0.000746268656716418,0.000746268656716418,0,0,0,0,0,0,0,0,0,0.000746268656716418,0,0,0.000746268656716418,0.000746268656716418,0.000746268656716418,0.000746268656716418,0.00149253731343284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
880,12255,0.00304878048780488,0.00914634146341463,0.00304878048780488,0.008130081300813,0.0508130081300813,0.141260162601626,0.008130081300813,0,0.008130081300813,0.00101626016260163,0.00203252032520325,0.0193089430894309,0.0772357723577236,0.0457317073170732,0,0.00101626016260163,0,0.016260162601626,0.00508130081300813,0.260162601626016,0.0132113821138211,0.068089430894309,0.0254065040650406,0.0315040650406504,0.0457317073170732,0.0365853658536585,0,0.00508130081300813,0.0467479674796748,0.0121951219512195,0,0,0.0274390243902439,0,0.00304878048780488,0.00203252032520325,0,0.00304878048780488,0,0.00508130081300813,0,0,0,0,0.00101626016260163,0,0,0,0.00101626016260163,0,0,0,0,0.00101626016260163,0.00101626016260163,0,0,0,0.00101626016260163,0,0,0,0,0,0,0,0,0,0,0.00203252032520325,0.00101626016260163,0,0.0040650406504065,0,0,0,0.00203252032520325,0.00101626016260163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
885,12491,0.0033003300330033,0.011001100110011,0.0022002200220022,0.0099009900990099,0.0616061606160616,0.222222222222222,0.0055005500550055,0,0.0077007700770077,0,0.0011001100110011,0.0154015401540154,0.0759075907590759,0.0231023102310231,0,0,0,0.0143014301430143,0.0099009900990099,0.286028602860286,0.0022002200220022,0.044004400440044,0.0286028602860286,0.0418041804180418,0.0264026402640264,0.0242024202420242,0,0.0044004400440044,0.0385038503850385,0.0066006600660066,0,0,0.0176017601760176,0,0,0,0,0.0011001100110011,0,0.0022002200220022,0,0,0,0.0011001100110011,0.0033003300330033,0,0,0.0011001100110011,0.0011001100110011,0.0011001100110011,0,0,0.0011001100110011,0.0011001100110011,0,0,0,0,0,0,0,0.0022002200220022,0,0,0,0,0,0,0,0,0,0.0011001100110011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
890,12866,0.00287907869481766,0.00479846449136276,0.00287907869481766,0.00479846449136276,0.0499040307101727,0.333013435700576,0.00671785028790787,0,0.00383877159309021,0.000959692898272553,0.00671785028790787,0.0163147792706334,0.108445297504798,0.0239923224568138,0,0,0,0.0134357005758157,0.000959692898272553,0.234165067178503,0.00383877159309021,0.0220729366602687,0.0239923224568138,0.0182341650671785,0.0259117082533589,0.0316698656429942,0,0.00575815738963532,0.0115163147792706,0.0105566218809981,0,0,0.0115163147792706,0,0.000959692898272553,0.00479846449136276,0,0.00191938579654511,0,0.000959692898272553,0,0,0,0,0,0,0,0.000959692898272553,0.00575815738963532,0,0,0,0,0.000959692898272553,0,0,0,0,0,0.00191938579654511,0,0,0,0,0,0,0,0,0,0,0,0,0.00191938579654511,0,0,0,0,0,0.000959692898272553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
895,13467,0.00210084033613445,0.00420168067226891,0.00525210084033613,0.00735294117647059,0.109243697478992,0.285714285714286,0.00210084033613445,0,0.00630252100840336,0,0.00105042016806723,0.0210084033613445,0.188025210084034,0.0105042016806723,0,0,0,0.00525210084033613,0.00210084033613445,0.183823529411765,0.00105042016806723,0.0220588235294118,0.0105042016806723,0.0220588235294118,0.0220588235294118,0.0199579831932773,0,0.00735294117647059,0.00840336134453781,0.0105042016806723,0,0,0.0199579831932773,0,0,0.00105042016806723,0,0.00105042016806723,0,0.00315126050420168,0,0,0,0,0.00105042016806723,0,0,0,0.00420168067226891,0,0.00105042016806723,0,0,0,0.00105042016806723,0,0.00105042016806723,0,0.00105042016806723,0.00210084033613445,0.00105042016806723,0,0,0,0,0,0,0,0.00105042016806723,0.00210084033613445,0,0,0,0,0,0,0,0,0,0.00105042016806723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,14069,0.000955109837631328,0.00191021967526266,0,0.0362941738299905,0.0907354345749761,0.096466093600764,0.0124164278892073,0.000955109837631328,0.00859598853868195,0.00286532951289398,0.00191021967526266,0.0181470869149952,0.21585482330468,0.0468003820439351,0,0,0.000955109837631328,0.00191021967526266,0.0105062082139446,0.239732569245463,0.00286532951289398,0.00573065902578797,0.0219675262655205,0.00668576886341929,0.0276981852913085,0.0544412607449857,0.000955109837631328,0.00955109837631328,0.00573065902578797,0.0162368672397326,0.00286532951289398,0,0.0219675262655205,0,0.000955109837631328,0.00191021967526266,0,0.00573065902578797,0,0,0,0.000955109837631328,0,0,0.00286532951289398,0,0,0,0.0105062082139446,0.000955109837631328,0.000955109837631328,0.000955109837631328,0,0.000955109837631328,0,0,0,0.000955109837631328,0,0.000955109837631328,0,0,0,0,0,0,0,0,0.000955109837631328,0,0,0.000955109837631328,0.000955109837631328,0,0,0,0.000955109837631328,0,0,0,0.000955109837631328,0.000955109837631328,0.000955109837631328,0.000955109837631328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
905,14553,0.000964320154291225,0.000964320154291225,0.000964320154291225,0.0694310511089682,0.120540019286403,0.0183220829315333,0.0077145612343298,0,0.00867888138862102,0.00192864030858245,0.00192864030858245,0.0163934426229508,0.233365477338476,0.0636451301832208,0,0,0,0.00192864030858245,0.000964320154291225,0.261330761812922,0,0.00289296046287367,0.0144648023143684,0.0106075216972035,0.029893924783028,0.055930568948891,0,0.0163934426229508,0.00192864030858245,0.00964320154291225,0,0,0.0221793635486982,0.000964320154291225,0,0.000964320154291225,0,0.000964320154291225,0,0.00578592092574735,0,0,0,0,0,0,0,0.000964320154291225,0.00192864030858245,0,0.000964320154291225,0,0,0,0,0,0.000964320154291225,0.000964320154291225,0.000964320154291225,0.000964320154291225,0,0,0,0,0,0,0,0,0.00192864030858245,0.00289296046287367,0.000964320154291225,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0038572806171649,0.000964320154291225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
910,14765,0.00108932461873638,0.00435729847494553,0.00435729847494553,0.0588235294117647,0.125272331154684,0.0152505446623094,0.00980392156862745,0,0.00980392156862745,0,0.00871459694989107,0.014161220043573,0.188453159041394,0.056644880174292,0,0,0,0.00108932461873638,0.00544662309368192,0.233115468409586,0.00326797385620915,0.014161220043573,0.0239651416122004,0.014161220043573,0.0359477124183007,0.0392156862745098,0,0.014161220043573,0.0108932461873638,0.0294117647058824,0,0,0.0359477124183007,0.00108932461873638,0,0.0065359477124183,0,0.00217864923747277,0,0.00762527233115468,0.00108932461873638,0.00217864923747277,0,0,0.00217864923747277,0,0,0.00108932461873638,0,0,0,0,0,0.00108932461873638,0,0,0,0,0.00108932461873638,0.00108932461873638,0,0.00108932461873638,0,0,0,0.00108932461873638,0,0,0,0.00544662309368192,0,0,0,0,0,0,0,0.00108932461873638,0,0,0,0,0.00108932461873638,0,0.00108932461873638,0,0.00108932461873638,0.00108932461873638,0.00108932461873638,0.00108932461873638,0,0,0,0,0,0,0,0,0,0,0
920,15189,0.00132802124833997,0.00531208499335989,0.00398406374501992,0.0796812749003984,0.131474103585657,0.0172642762284197,0.0199203187250996,0.00132802124833997,0.00398406374501992,0.00265604249667995,0.00132802124833997,0.0185922974767596,0.167330677290837,0.0358565737051793,0,0,0,0,0.00132802124833997,0.302788844621514,0.00132802124833997,0.0146082337317397,0.0185922974767596,0.0146082337317397,0.0132802124833997,0.0411686586985392,0,0.0119521912350598,0.00265604249667995,0.0132802124833997,0,0,0.0358565737051793,0,0,0.0106241699867198,0,0.00265604249667995,0,0.00132802124833997,0,0.00132802124833997,0,0,0,0,0.00132802124833997,0.00265604249667995,0,0.00132802124833997,0,0,0,0,0,0.00132802124833997,0,0,0,0,0,0.00132802124833997,0,0,0,0,0,0,0.00132802124833997,0.00664010624169987,0,0,0,0,0,0,0.00132802124833997,0,0,0,0.00132802124833997,0,0.00132802124833997,0,0.00265604249667995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
930,15613,0,0.00118063754427391,0.00236127508854782,0.0672963400236127,0.109799291617473,0.0165289256198347,0.00708382526564345,0.00118063754427391,0.00236127508854782,0.00236127508854782,0.00236127508854782,0.0236127508854782,0.114521841794569,0.0224321133412042,0,0,0,0,0.00236127508854782,0.395513577331759,0.00354191263282172,0.00826446280991736,0.0165289256198347,0.0153482880755608,0.0306965761511216,0.0295159386068477,0,0.0224321133412042,0.00472255017709563,0.0165289256198347,0,0,0.0365997638724911,0,0,0.00826446280991736,0,0.00236127508854782,0.00118063754427391,0.00118063754427391,0,0,0,0.00118063754427391,0.00236127508854782,0,0,0.00472255017709563,0.00118063754427391,0,0,0,0,0,0,0.00118063754427391,0,0,0.00118063754427391,0,0.00118063754427391,0.00354191263282172,0,0,0,0,0,0,0,0.00236127508854782,0,0.00118063754427391,0,0,0,0.00118063754427391,0,0,0,0,0.00118063754427391,0,0,0,0.00590318772136954,0,0,0,0,0.00118063754427391,0.00118063754427391,0.00118063754427391,0,0,0,0,0,0,0,0,0
