"sample.depths","sample.ages","Abies.balsamea","Acer.pensylvanicum","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brassicaceae","Carya.ovata","Caryophyllaceae","Castanea.dentata","cf..Callitriche","cf..Oxyria.digyna","Cornus.rugosa","Corylus.cornuta","Cyperaceae","Dryas","Ericaceae","Fabaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Indeterminable","Isoëtes","Juglans.cinerea","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Larix","Lycopodium.annotinum.type","Lycopodium.clavatum","Myrica.gale","Nemopanthus.mucronatus","Nuphar","Onagraceae","Osmunda.cinnamomea","Osmunda.regalis.type","Ostrya.Carpinus","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Pinus.undiff.","Platanus.occidentalis","Poaceae","Polygonaceae","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Quercus","Ranunculaceae.undiff.","Rosaceae.undiff.","Sagittaria","Salix","Saxifraga.cernua.type","Saxifragaceae.undiff.","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga.canadensis","Typha.latifolia","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Viburnum.lentago"
204,5915,4,0,4,0,8,0,7,4,0,0,0,0,0,441,0,0,0,0,0,0,0,0,1,0,0,0,5,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,4,3,0,30,33,0,4,0,0,0,0,14,0,0,0,0,0,0,0,1,0,0,0,2,0,4,0,0,0,0
224,6398,5,2,1,0,6,0,7,3,0,0,1,0,0,379,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,3,2,0,46,46,0,0,1,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0
244,6881,2,0,3,3,6,0,10,4,1,0,0,1,0,670,0,0,0,0,2,0,0,1,2,0,0,0,0,4,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,3,2,0,88,102,0,0,0,0,0,0,45,0,0,0,0,0,0,0,1,1,0,0,23,0,3,0,1,0,0
264,7364,4,0,1,0,11,0,8,5,0,0,0,0,0,417,0,0,0,1,2,0,0,0,2,0,0,0,0,7,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,1,44,60,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,3,0,0,8,0,3,0,1,0,0
284,7846,4,0,1,0,18,1,5,1,0,0,1,0,0,289,0,0,0,0,2,0,0,3,3,0,0,0,3,10,0,1,0,0,0,0,3,2,0,0,0,0,0,0,1,0,0,3,7,3,0,61,75,0,4,0,0,5,0,15,0,0,0,2,0,0,0,0,10,0,0,7,0,9,0,0,0,0
304,8499,5,0,1,0,6,2,18,4,0,2,3,0,0,344,0,0,0,0,1,0,0,4,2,0,0,0,1,6,2,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,7,4,1,0,19,26,0,1,0,0,6,1,16,1,2,0,1,0,0,0,0,1,1,0,4,0,7,0,0,0,0
324,9359,8,0,1,0,2,0,7,18,0,1,1,0,0,320,0,0,0,0,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,15,11,2,0,4,12,0,1,0,0,5,2,7,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,1,0,0
344,10220,16,0,0,0,1,2,0,65,1,3,1,2,0,437,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,5,5,8,1,5,13,0,3,0,1,7,0,21,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,1,2,0
354,10650,23,0,0,0,0,0,0,133,0,1,0,1,0,200,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,9,19,4,0,7,33,0,0,0,7,16,0,18,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,5,0,0
364,11080,2,0,0,0,0,1,0,280,0,0,0,1,0,126,0,0,0,0,0,0,0,1,3,0,0,0,1,0,2,0,1,1,0,2,0,2,5,1,1,0,0,0,0,0,0,14,27,3,0,10,23,0,0,0,7,63,0,5,0,0,0,5,0,0,0,0,0,1,0,0,1,2,0,2,1,1
374,11511,2,0,0,0,0,0,0,376,1,0,1,1,0,95,0,1,0,0,0,0,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,24,14,13,0,7,9,0,0,0,0,9,0,8,2,0,0,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0
384,11941,0,0,0,0,0,0,5,23,0,1,4,2,0,284,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,19,0,0,0,1,0,0,0,1,0,0,0,9,3,17,0,8,9,0,7,0,6,116,0,10,1,0,0,52,0,0,3,1,0,0,0,2,0,4,0,7,0,0
394,12371,1,0,0,0,0,1,6,22,0,0,12,3,0,240,0,0,2,0,0,0,0,0,49,21,1,1,1,1,1,0,1,0,0,7,0,0,2,0,1,0,0,0,1,0,0,11,9,13,0,11,26,0,18,0,2,23,0,9,0,0,0,131,0,0,8,0,0,0,0,1,0,2,0,12,11,0
404,NA,0,0,0,0,0,1,5,27,0,3,11,24,0,92,0,0,12,0,0,1,0,1,303,14,0,4,1,0,0,1,1,0,0,0,0,0,0,2,3,0,0,2,0,0,0,3,9,34,0,6,34,0,74,0,0,5,1,7,3,16,1,54,0,0,0,0,0,0,0,0,0,4,1,9,4,0
414,NA,0,0,0,0,0,1,7,24,1,2,25,4,2,48,0,1,3,1,0,56,0,1,136,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,12,11,18,0,12,41,0,32,0,0,5,1,1,1,4,0,32,0,0,0,3,0,2,0,1,0,1,0,7,7,0
424,NA,0,0,0,0,0,0,9,28,0,2,38,3,0,44,1,0,8,0,0,47,0,0,136,0,0,2,0,2,1,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,16,13,41,0,35,45,0,40,0,0,2,0,6,5,11,0,24,0,0,0,9,0,4,1,0,0,1,0,11,9,0
434,NA,0,0,0,0,0,0,4,12,0,1,19,10,4,14,0,1,13,0,0,7,0,0,155,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27,16,69,0,4,15,0,19,0,0,0,0,0,0,1,0,17,0,0,0,1,0,1,0,0,0,0,0,2,1,4
444,NA,0,0,0,0,0,0,6,8,0,3,8,26,4,19,0,0,21,0,0,24,0,0,157,0,0,1,0,0,1,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,36,17,58,21,0,19,0,30,0,0,0,0,1,1,7,0,13,0,4,0,1,0,0,0,0,0,0,0,3,0,4
454,NA,1,0,0,0,0,0,4,1,1,0,5,37,6,47,0,1,26,0,0,9,0,0,227,0,0,7,0,1,1,0,0,0,0,1,0,0,3,2,0,0,0,0,1,0,0,82,27,46,41,0,27,0,34,0,0,0,0,3,0,28,0,24,0,0,0,4,0,0,0,0,0,2,1,1,0,4
464,NA,0,0,0,0,0,0,4,2,1,0,6,25,8,12,0,0,14,1,0,3,0,0,127,0,2,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,56,17,36,74,0,15,0,36,0,0,0,0,2,1,8,0,12,0,0,0,4,0,0,0,0,0,5,0,2,0,1
480,NA,0,0,0,0,0,0,2,1,0,0,2,2,2,20,0,1,0,0,0,3,0,0,85,0,0,1,0,2,1,0,0,1,0,0,2,0,4,0,0,0,0,0,0,0,0,96,26,9,35,0,9,0,20,0,0,0,0,6,1,3,0,7,0,2,0,3,0,0,0,0,0,0,0,2,0,2
510,NA,0,0,0,0,0,0,5,5,0,1,6,8,0,27,0,0,0,0,0,0,0,0,102,0,1,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,1,1,0,0,90,42,15,69,0,20,0,19,0,0,0,0,7,0,0,0,87,0,1,1,14,0,0,0,0,0,6,0,2,0,0
540,NA,10,0,0,0,1,0,11,2,0,0,7,2,0,15,0,0,2,0,0,0,0,0,39,0,1,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,157,37,12,77,0,8,0,14,0,0,0,0,3,0,0,0,0,0,0,2,10,0,2,2,0,0,6,0,1,0,0
