"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum","Adiantum","Alnus","Amaranthaceae.undiff.","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Botrychium","Brasenia.schreberi","Brassicaceae","Carya","Castanea","Celtis","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Ephedra.nevadensis.type","Equisetum","Ericaceae","Fagus","Fraxinus.nigra","Fraxinus.pennsylvanica","Fraxinus.undiff.","Galium","Humulus","Indeterminable","Iva.annua","Iva.xanthifolia","Juglans.cinerea","Juglans.nigra","Lamiaceae","Larix","Lemna","Lycopodium.type","Morus","Myrica","Myriophyllum","Nuphar","Nymphaea","Osmunda","Ostrya","Picea","Pinus","Plantago","Platanus","Poaceae","Polypodiaceae","Populus","Potamogetonaceae","Pteridium","Quercus","Ranunculus.subg..Batrachium","Ranunculus.undiff.","Rosaceae","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Selaginella.rupestris","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Utricularia","Vitis"
100,425,0,0,0,11,0,40,0,0,0,0,1,0,7,0,0,0,1,0,1,0,1,12,0,0,0,0,12,2,1,3,0,0,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,4,135,0,0,9,0,2,0,7,26,0,0,0,0,0,3,0,0,4,0,0,0,20,0,6,0,0,0
120,1036,0,0,0,8,0,8,0,1,0,0,1,0,16,0,0,0,5,0,0,0,3,17,0,0,0,0,14,7,1,8,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,11,1,82,0,2,5,0,12,0,2,62,0,0,0,0,0,3,0,0,1,0,1,1,19,0,19,2,0,1
130,1113,2,0,0,11,0,5,0,0,0,1,1,0,17,0,0,0,3,0,0,0,0,4,0,0,0,0,12,3,5,8,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,15,4,104,0,1,5,0,1,0,1,48,0,0,0,0,2,0,0,0,0,1,0,4,36,2,16,0,0,0
140,1190,1,0,0,19,0,3,0,0,0,1,5,0,13,0,0,0,8,0,0,0,4,0,1,0,0,0,47,7,2,9,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,5,12,82,0,1,1,0,1,0,1,45,0,0,0,0,0,0,0,0,1,0,0,1,26,0,14,0,0,0
150,1267,0,0,0,18,0,12,1,1,0,1,3,0,6,0,0,0,9,0,0,1,0,2,0,0,0,0,23,3,5,8,0,0,6,1,0,4,1,0,1,0,0,0,0,0,0,0,0,5,2,70,0,1,4,0,1,0,3,55,0,0,0,0,0,1,0,0,0,0,1,7,46,0,15,0,0,0
160,1343,0,0,0,7,0,5,0,0,0,0,4,0,7,0,0,0,7,0,0,0,3,2,1,0,0,0,15,8,4,12,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,16,1,112,0,4,1,0,2,0,2,59,0,0,0,0,0,2,0,0,1,0,1,0,29,0,9,0,0,0
170,1420,0,0,0,11,0,5,0,0,0,0,0,0,9,0,0,0,6,0,0,0,0,7,0,0,0,1,39,2,1,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,7,74,0,1,2,0,0,0,1,50,0,0,0,0,0,1,0,0,1,0,0,9,56,0,10,0,0,0
180,1497,1,0,0,9,0,7,0,0,0,1,1,0,10,0,0,0,3,0,0,0,0,2,1,0,0,0,39,2,3,5,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,4,79,0,0,6,0,0,0,2,52,0,0,0,0,0,3,0,0,0,0,0,7,39,0,11,0,0,0
190,1574,0,0,0,14,0,6,0,0,0,1,0,0,50,0,0,0,3,0,0,1,5,5,0,0,0,0,17,2,1,3,0,0,3,0,0,3,0,0,1,0,0,0,0,0,0,0,0,7,3,86,0,2,4,0,2,0,2,52,0,0,0,0,0,0,0,0,0,0,0,4,11,1,20,0,0,0
200,1651,0,0,0,14,0,3,0,0,0,1,1,0,16,0,0,1,3,0,0,0,16,4,0,0,0,0,41,4,2,6,1,0,5,0,0,2,0,1,0,0,0,0,0,0,0,0,0,14,2,72,0,1,5,0,0,0,3,43,0,0,0,0,0,0,0,0,1,0,1,6,20,0,26,2,0,0
210,1727,0,0,1,12,0,13,0,1,0,0,2,0,27,0,0,0,7,0,0,0,5,11,3,0,1,0,12,6,5,11,0,0,3,0,0,6,1,0,0,0,0,0,0,0,0,0,0,7,2,88,0,0,2,0,0,1,3,50,0,0,0,0,1,0,0,0,1,0,1,0,20,1,21,0,0,0
220,1804,1,0,0,30,0,2,0,2,0,3,2,0,18,0,0,0,13,0,0,0,6,3,1,0,0,0,38,5,3,8,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,12,82,0,2,4,0,1,0,8,33,0,0,0,0,0,1,0,0,1,3,0,1,11,0,17,3,0,0
230,1881,1,0,0,27,0,2,0,0,0,0,0,0,18,0,0,0,3,0,0,0,2,5,2,0,0,0,32,4,7,11,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,9,68,0,1,0,0,0,0,0,76,0,0,0,0,0,1,0,1,2,3,0,5,14,0,11,3,0,0
240,1958,0,0,0,2,0,14,0,2,0,1,4,0,20,0,0,0,11,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5,11,124,0,0,2,0,0,0,5,52,0,0,0,0,0,1,0,0,0,10,0,40,2,0,4,9,0,0
250,2035,0,0,0,13,0,13,0,0,0,2,3,1,11,0,0,0,2,0,0,0,7,12,1,0,0,1,5,2,2,4,0,0,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,14,134,0,3,4,0,1,0,2,48,0,0,0,0,0,1,0,0,0,13,0,1,6,0,10,7,0,0
260,2112,0,0,0,13,0,9,0,0,0,3,1,0,24,0,0,0,4,0,0,0,2,2,0,0,0,0,21,5,4,9,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,12,1,67,0,2,1,0,1,1,1,70,0,0,0,0,0,3,0,0,0,0,0,1,18,0,31,1,0,0
270,2188,0,0,0,15,0,4,0,0,0,0,3,0,16,0,0,0,7,0,0,0,0,8,4,0,0,0,14,2,3,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,98,0,2,3,0,0,0,2,97,0,0,0,0,0,1,0,0,0,4,0,1,4,0,6,1,0,0
280,2265,0,0,0,2,0,19,0,2,0,0,3,0,17,0,0,0,3,0,0,0,11,9,7,0,0,0,4,2,0,2,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,12,157,0,0,15,0,0,0,9,22,0,0,0,0,0,0,1,0,0,11,0,2,2,1,8,4,0,0
290,2342,0,0,0,16,0,7,0,2,0,0,0,0,34,0,0,0,5,0,0,0,3,0,0,0,0,0,28,5,3,8,0,0,5,0,0,0,0,0,1,0,1,0,0,1,0,1,1,12,2,58,0,1,1,0,1,0,2,83,0,0,0,0,0,1,0,0,0,0,0,2,19,0,16,0,0,0
300,2409,0,0,0,21,0,6,2,0,0,0,0,0,38,0,0,0,5,0,0,0,2,0,0,0,0,0,36,2,7,9,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,11,3,65,0,1,1,0,0,0,1,57,0,0,0,0,0,0,0,0,0,0,1,0,15,0,20,0,0,1
310,2459,0,0,0,14,0,2,1,0,0,1,0,0,29,0,0,0,5,0,0,1,3,0,0,0,0,0,52,3,5,8,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,6,0,54,0,1,1,0,0,1,0,50,0,0,0,0,0,0,0,0,0,0,0,1,38,0,30,0,0,0
320,2509,0,0,0,10,0,3,1,0,0,0,0,0,34,0,0,0,7,0,0,0,3,2,0,0,0,0,32,7,7,12,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,1,91,0,1,2,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,1,1,23,0,13,0,0,0
325,2534,0,0,0,22,0,4,0,0,0,1,0,0,31,0,0,0,6,0,0,0,0,3,0,0,0,0,31,10,4,14,0,0,2,0,0,2,0,0,0,0,0,1,0,0,1,0,0,10,0,92,0,0,0,0,0,0,1,52,0,0,0,0,0,0,0,0,0,0,1,3,12,0,15,2,0,0
330,2559,1,0,0,10,0,3,1,1,0,0,0,0,29,0,0,0,7,0,0,0,0,1,0,0,0,0,39,3,5,8,0,0,1,0,0,2,1,0,0,0,0,0,0,0,1,0,0,13,1,73,0,3,2,0,0,1,0,55,0,0,0,0,0,0,0,0,0,0,0,2,20,0,28,0,0,0
340,2610,1,0,0,23,0,2,0,0,0,0,0,0,42,0,0,0,3,0,0,1,2,3,0,0,0,0,39,4,11,15,0,0,13,0,0,2,1,0,0,0,0,0,0,0,0,0,0,16,1,59,0,0,0,0,0,3,0,45,0,0,0,0,0,0,1,0,0,0,1,1,22,0,21,0,0,0
350,2660,0,0,0,15,0,1,0,0,0,0,0,0,36,0,0,0,8,0,0,1,0,0,0,0,0,0,62,2,8,10,0,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,9,1,51,0,1,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,3,34,0,29,1,0,0
360,2710,0,0,0,21,0,2,0,0,0,1,0,0,31,0,0,0,5,0,0,0,5,2,1,0,0,0,90,6,3,9,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,86,0,0,5,0,0,0,3,31,0,0,0,0,0,1,0,0,0,0,0,2,14,0,26,0,0,0
370,2760,0,0,0,30,0,3,0,0,0,0,0,0,36,0,0,0,3,0,0,0,5,2,0,0,0,0,78,6,4,10,0,0,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,16,1,40,0,3,1,0,0,0,0,41,0,0,0,0,0,1,0,0,0,0,1,5,8,0,14,0,0,0
380,2810,0,0,0,27,0,2,0,1,0,0,0,0,37,0,0,0,4,0,0,0,2,1,2,0,0,0,65,6,7,13,0,0,6,0,0,3,0,0,0,0,1,0,0,0,1,0,0,11,2,67,0,2,3,0,0,0,0,36,0,0,0,0,0,0,0,0,1,0,0,4,6,0,13,0,0,0
390,2860,0,0,0,19,0,6,0,0,0,1,1,0,26,0,0,0,4,0,0,0,2,2,2,0,0,0,51,7,12,19,0,2,4,0,0,1,0,0,2,0,0,0,0,0,0,0,0,13,1,46,0,2,3,0,0,1,0,66,0,0,0,0,0,2,0,0,0,1,0,1,7,0,23,0,0,0
400,2911,0,0,0,12,0,6,1,2,0,2,0,0,29,0,0,0,3,0,0,0,1,1,0,0,0,0,60,0,8,8,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,3,11,4,62,0,0,5,0,0,0,1,60,0,0,0,0,0,0,0,0,0,0,0,4,11,0,17,0,0,0
410,2961,0,0,0,15,0,6,0,4,0,0,0,0,28,0,0,0,7,0,0,0,1,2,0,0,0,0,38,2,2,4,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,12,0,89,0,1,1,0,0,0,1,59,0,0,0,0,0,0,0,0,0,0,0,2,6,0,23,0,0,1
420,3011,0,0,0,14,0,4,1,0,0,0,2,0,29,0,0,0,6,0,0,0,2,3,0,0,0,0,34,10,6,16,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,11,0,71,0,2,2,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,3,3,0,19,2,0,0
431,3066,0,0,0,14,0,12,2,0,0,1,0,0,31,0,0,0,10,0,0,0,4,0,0,0,0,0,28,5,7,12,0,0,4,0,0,1,0,0,0,0,2,0,0,0,1,1,0,8,2,62,0,3,2,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,1,0,9,0,22,0,0,0
443,3126,2,0,0,15,0,5,0,1,0,0,1,0,35,0,0,0,5,0,0,0,0,1,1,0,0,0,34,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,4,0,4,0,105,0,1,4,0,0,0,4,57,0,0,0,0,0,0,0,0,1,0,0,2,12,0,13,0,0,0
447,3147,0,0,0,15,0,7,1,2,0,1,1,0,28,0,0,0,4,0,0,1,7,3,1,0,0,0,45,2,4,4,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,6,0,8,0,77,0,2,82,0,0,0,0,66,0,0,0,0,0,1,0,0,0,0,0,3,7,0,17,1,0,0
460,3212,0,0,0,18,0,14,0,0,0,1,0,0,30,0,0,0,3,0,0,1,3,1,0,0,0,0,38,5,6,11,0,0,5,0,0,1,0,0,0,0,1,0,0,1,0,9,0,10,1,90,0,1,6030,2,0,1,1,53,0,0,0,0,0,0,0,0,0,0,1,1,3,0,17,1,0,0
470,3262,1,0,0,21,0,8,0,0,0,0,1,0,32,0,0,0,2,0,0,0,0,0,1,0,0,0,29,3,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,1,108,0,1,5488,0,0,0,1,62,0,0,0,0,1,0,0,0,0,0,0,1,15,1,9,2,0,0
480,3312,0,0,0,10,0,17,0,0,0,1,0,0,24,0,0,0,5,0,0,1,5,2,1,0,0,0,11,9,8,17,0,0,3,0,0,0,0,0,0,0,0,0,0,2,3,0,0,11,1,113,0,1,1003,0,1,0,1,60,0,0,0,0,0,0,0,0,1,0,0,1,9,0,10,0,0,0
490,3356,0,0,0,8,0,9,2,1,0,1,0,0,19,0,0,0,2,0,0,0,0,1,1,0,0,1,30,3,3,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,1,140,0,3,1,0,0,0,1,45,0,0,0,0,0,0,0,0,0,0,0,3,4,2,15,1,0,0
500,3400,0,0,0,26,0,9,0,1,0,0,2,0,16,0,0,1,5,0,0,1,2,1,0,0,0,0,27,1,8,9,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,2,121,0,3,2,0,0,0,2,43,0,0,0,0,0,2,0,0,0,0,0,2,6,0,11,0,0,0
510,3444,0,0,0,12,0,5,0,1,0,1,0,0,14,0,0,0,9,0,1,0,2,11,0,0,0,0,34,5,5,10,0,0,5,0,0,0,0,0,0,0,0,0,0,2,1,0,0,5,1,120,0,2,0,0,0,0,2,48,0,0,0,0,0,0,0,0,2,0,0,4,6,2,15,1,0,0
520,3488,0,0,0,15,0,8,0,3,0,0,0,0,16,0,0,0,8,0,0,0,0,4,0,0,0,0,39,4,5,9,0,0,4,0,0,1,0,0,0,0,0,0,0,1,1,0,0,7,1,108,0,1,2,0,0,0,4,61,0,0,0,0,0,0,0,0,1,0,1,1,3,0,12,1,0,0
530,3532,0,0,0,11,0,3,0,0,0,0,0,0,16,0,0,0,3,0,0,1,2,4,0,0,0,0,26,7,1,8,0,0,4,0,0,0,0,0,0,0,1,0,0,0,2,0,0,3,1,180,0,0,0,0,0,1,3,33,0,0,0,0,0,0,0,0,0,0,0,1,2,0,6,0,0,0
540,3576,0,0,0,16,0,3,0,0,0,0,1,0,23,20,0,0,3,0,0,3,2,33,0,0,0,0,30,3,2,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,1,102,0,3,3,0,0,0,1,46,0,0,0,0,0,0,0,0,0,0,0,5,1,3,15,3,0,0
550,3620,0,0,0,25,0,2,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,47,1,0,0,0,2,0,2,2,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,167,0,1,1,0,0,0,2,32,0,0,0,0,0,0,0,0,1,0,0,1,5,1,6,1,0,0
560,3664,0,0,0,5,0,6,0,2,0,0,1,0,9,0,0,0,13,0,0,0,0,21,1,0,0,0,33,2,5,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,127,0,3,1,0,0,0,3,52,0,0,0,0,0,0,0,0,0,0,0,1,3,1,12,0,1,0
570,3708,0,0,0,7,0,3,0,1,0,0,2,0,4,0,0,0,5,0,0,0,1,23,1,0,0,0,11,5,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,190,0,3,0,0,0,0,2,39,0,0,0,0,0,1,0,0,4,0,0,1,1,10,2,0,0,0
583,3765,0,0,0,15,0,5,0,1,0,0,0,0,21,0,0,0,1,0,0,2,2,9,0,0,0,0,36,5,3,8,0,0,4,0,0,2,0,0,0,0,0,0,0,0,3,0,0,15,0,94,0,0,0,0,0,0,6,66,0,0,0,0,0,0,0,0,1,0,0,2,3,2,17,0,0,0
590,3796,0,0,0,9,0,11,0,0,0,0,1,0,12,0,0,0,3,0,0,1,1,35,0,0,0,0,25,3,4,7,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,116,0,3,0,0,0,0,8,51,0,0,0,0,0,0,0,0,5,0,0,2,3,8,11,0,0,0
600,3840,0,0,0,9,0,4,0,0,0,1,0,0,10,0,0,0,5,0,0,0,1,29,2,0,0,0,15,0,1,1,0,0,7,0,0,2,0,0,1,0,0,0,0,0,1,1,0,6,0,167,0,2,0,0,0,0,3,42,0,0,0,0,0,0,0,0,0,0,0,0,4,15,2,0,0,0
610,3884,0,0,0,11,0,7,0,3,0,3,0,0,15,0,0,0,10,0,0,0,1,5,0,0,0,0,41,4,3,7,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,8,0,107,0,1,1,0,0,0,1,53,0,0,0,0,0,1,1,0,1,0,0,4,3,1,17,1,0,0
620,3928,0,0,0,8,0,0,0,1,0,0,0,0,4,0,0,0,1,0,0,0,8,8,1,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,237,0,3,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0
630,3972,0,0,0,17,0,0,1,0,0,0,0,0,9,0,0,0,6,4,0,0,3,12,2,0,0,0,0,1,1,2,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,207,0,0,0,0,1,0,2,20,0,0,0,0,0,1,0,0,0,0,0,0,14,1,2,0,0,0
640,4016,0,0,0,10,0,1,0,0,0,0,3,0,5,0,0,0,3,0,0,0,3,68,0,0,0,0,4,1,1,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,133,0,1,0,0,0,0,0,55,0,0,0,0,1,0,0,0,0,0,0,0,4,7,6,0,0,0
650,4059,0,0,0,9,0,10,1,0,0,0,0,0,11,0,0,0,1,0,0,0,3,26,2,0,0,0,13,3,1,4,0,0,6,0,0,1,0,0,0,0,1,0,0,1,3,2,0,6,1,132,0,0,59,0,0,0,0,68,0,0,0,0,0,0,0,0,1,0,0,2,3,4,9,0,0,0
660,4103,1,0,0,15,0,12,0,1,0,0,0,0,14,0,0,0,7,0,0,0,1,4,0,0,0,0,27,3,3,6,0,0,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,6,0,121,0,2,1,0,0,0,3,59,0,0,0,0,0,1,0,0,0,0,0,1,7,1,12,0,0,0
670,4147,0,0,0,12,0,6,0,1,0,0,1,0,19,0,0,0,2,0,0,0,0,7,2,0,0,0,51,0,3,3,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,10,7,98,0,1,4,0,0,1,3,61,0,0,0,0,0,1,0,0,1,0,0,0,6,7,6,1,1,0
680,4191,0,0,0,14,0,6,2,0,0,1,2,0,9,0,0,0,2,0,0,0,3,3,0,0,0,0,9,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,172,0,0,3,0,0,0,2,46,0,0,0,0,0,1,0,0,3,0,1,2,8,1,12,0,1,0
690,4235,1,0,0,8,0,3,0,0,0,1,7,0,14,0,0,0,4,0,0,0,5,9,0,0,0,0,12,2,2,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,172,0,1,0,0,0,0,10,29,0,0,0,0,0,0,0,0,0,0,0,0,19,9,5,1,0,0
700,4279,0,0,0,13,0,20,0,1,0,0,7,0,16,0,0,0,4,0,0,0,1,6,4,0,0,0,16,1,2,3,0,0,5,0,0,2,0,0,0,0,1,0,0,0,1,0,0,7,0,148,0,2,0,0,0,0,6,36,1,0,0,0,0,1,0,0,2,0,0,4,8,0,5,0,0,0
710,4323,0,0,0,15,0,14,0,1,0,0,2,0,14,0,0,0,4,0,0,0,0,1,2,0,0,0,13,1,4,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,175,0,0,2,0,0,0,2,32,0,0,0,0,0,1,0,0,7,0,0,3,7,1,8,0,0,0
720,4367,0,0,0,14,0,9,1,0,0,0,0,0,21,0,0,0,2,0,0,0,13,2,0,0,0,0,28,0,1,1,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,9,0,129,0,0,0,0,0,0,3,49,0,0,0,0,0,0,0,0,0,0,0,4,6,1,9,1,0,0
730,4411,0,0,0,12,0,3,0,3,0,0,0,0,18,0,0,0,14,0,0,0,3,2,0,0,0,0,23,2,3,5,0,0,4,0,0,4,0,0,0,0,0,0,0,0,1,0,0,5,0,95,0,1,0,0,0,0,2,83,0,0,0,0,0,0,0,0,0,0,0,3,9,0,17,0,0,0
740,4455,0,0,0,12,0,9,0,3,0,0,0,0,28,0,0,0,11,0,0,1,1,2,0,0,1,0,18,4,0,4,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,7,1,91,0,0,2,0,1,0,4,88,0,0,0,0,0,0,0,0,1,0,0,0,5,0,13,0,0,0
750,4499,0,0,0,13,0,8,0,1,0,1,0,0,30,0,0,0,4,0,0,0,2,0,0,0,0,0,34,4,5,9,0,0,2,0,0,0,1,0,1,0,0,0,0,0,6,0,0,13,0,83,0,3,11,0,0,0,1,55,0,0,0,0,0,1,0,0,0,0,0,2,8,2,21,0,0,0
764,4561,0,0,0,6,0,12,0,0,0,0,1,0,26,0,0,0,11,0,0,0,4,2,0,0,0,0,17,4,2,6,0,0,8,0,0,4,0,0,0,0,0,0,0,1,0,0,0,4,1,112,0,1,3,0,0,0,3,67,1,0,0,0,0,0,0,0,1,0,1,2,7,1,15,0,0,0
770,4587,1,0,0,10,0,25,0,0,1,0,2,0,13,1,0,0,3,0,0,0,2,3,0,0,0,0,13,1,3,4,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,3,123,0,2,22,0,0,0,6,49,3,0,0,0,1,1,0,0,7,0,0,0,8,0,9,0,0,0
780,4631,0,0,0,10,2,18,0,1,0,0,1,0,13,0,0,1,8,0,0,1,1,0,4,0,0,0,23,6,3,8,1,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,136,0,1,13,0,0,1,0,43,4,0,0,0,0,0,0,0,14,0,0,1,9,3,8,0,0,0
