"sample.depths","sample.ages","upland.sum","Acer.undiff.","Ambrosia.type","Artemisia","Betula","Carya","Amaranthaceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Juglans.cinerea","Juglans.nigra","Asteraceae.subf..Cichorioideae","Ostrya.Carpinus","Picea","Pinus.undiff.","Platanus","Quercus","Rumex","Salix","Tilia","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Apiaceae","Alnus","Populus","Poaceae","Plantago","Rosaceae","Acer.rubrum","Iva.xanthifolia.type","Larix","Vitis","Iva.annua.type","Cannabaceae","Acer.saccharum.type","Sarcobatus.vermiculatus","Thalictrum","Abies","Impatiens","Urticaceae","Celtis","Pinus.subg..Pinus","Pinus.subg..Strobus","Ericaceae","Ranunculaceae.undiff.","Shepherdia.canadensis"
230,4098,323,17,0,1,11,18,0,0,7,0,67,9,5,14,1,0,0,11,0,32,4,66,0,0,6,10,2,36,0,1,0,1,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
240,4324,337,21,1,1,14,9,0,0,0,2,61,13,8,21,2,0,0,13,1,14,9,71,0,1,13,3,1,54,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
250,4549,351,22,4,0,9,9,1,1,0,0,66,5,22,27,0,0,0,12,0,9,0,66,0,23,6,7,0,54,0,2,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,4775,362,26,5,0,11,8,0,0,0,0,69,0,34,34,1,0,0,12,0,10,1,59,0,0,2,3,0,82,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
270,5000,360,23,0,0,20,5,0,0,0,1,61,16,12,28,1,1,0,7,11,5,0,71,2,19,1,1,8,63,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,5226,354,39,5,0,15,4,0,1,0,0,103,3,5,8,2,2,0,12,0,17,0,67,0,18,7,0,0,31,0,1,2,2,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,5451,393,19,1,1,8,13,0,0,0,2,112,11,6,17,4,1,0,13,4,17,1,88,6,1,3,3,1,57,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
300,5677,341,12,2,0,9,7,0,0,0,3,69,24,6,30,1,3,0,9,0,15,4,84,0,2,6,4,1,48,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,5903,364,53,2,2,12,7,1,0,1,2,51,9,0,9,3,0,0,2,0,26,9,94,12,3,3,1,0,51,0,3,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,6128,339,17,2,0,9,9,0,1,0,5,75,5,8,13,8,0,0,15,0,10,7,93,0,0,8,3,0,49,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,6354,332,17,0,0,11,5,2,0,0,0,84,11,6,17,4,2,0,5,0,6,0,69,0,20,3,1,3,62,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,6579,386,32,2,0,12,7,2,0,0,0,59,32,6,38,0,0,0,5,0,5,12,87,0,0,9,6,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,6805,324,13,3,3,3,11,0,0,0,0,77,11,2,13,2,0,0,3,0,9,5,91,0,1,6,10,0,55,0,0,0,1,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,7030,352,25,0,0,2,16,1,0,4,2,75,10,9,19,2,1,0,15,0,10,14,60,0,1,5,8,0,72,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,7256,333,17,3,0,1,12,1,0,0,1,76,17,5,22,5,1,0,16,0,10,11,60,0,2,5,5,1,61,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,7482,372,22,1,0,12,6,0,0,0,2,76,19,8,27,4,0,0,10,0,12,14,93,3,0,1,4,1,54,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,7707,363,25,0,1,9,4,2,0,0,0,102,13,2,15,1,2,0,3,0,11,8,67,0,6,0,2,1,87,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,7933,355,23,1,0,3,18,1,1,4,2,42,6,7,13,6,0,0,35,0,34,3,66,0,0,7,10,1,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,NA,316,10,1,1,3,4,1,3,5,0,6,7,5,12,3,1,0,52,3,28,6,92,0,0,10,2,1,58,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
420,NA,320,19,1,0,16,4,1,0,1,0,6,12,1,13,1,0,0,26,3,63,4,118,0,0,3,1,1,24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
430,NA,476,14,2,2,24,1,1,3,0,0,2,15,8,23,0,0,0,40,1,106,1,88,0,2,4,4,0,18,0,1,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,30,76,0,0,0
440,NA,359,3,0,2,25,5,0,0,0,2,1,16,3,19,1,0,0,27,22,121,0,53,0,1,0,2,1,24,0,1,4,4,0,0,0,0,7,0,0,0,0,1,0,14,0,0,0,0,0,0,0,0
450,NA,345,1,6,9,3,1,1,0,4,26,0,0,0,0,1,0,0,12,171,45,0,20,0,3,0,3,3,3,0,4,2,6,0,0,0,0,11,0,0,0,0,0,4,1,0,0,0,0,0,3,2,0
460,NA,364,0,3,11,15,0,2,0,0,14,0,0,0,0,0,0,0,0,189,69,0,23,0,17,0,0,7,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3
470,NA,343,0,0,1,0,0,0,0,0,16,0,1,0,1,0,0,0,0,290,2,0,0,0,1,0,0,3,0,0,0,4,20,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
