"sample.depths","sample.ages","upland.sum","Abies","Acer.negundo","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum","Acer.undiff.","Alnus.incana.type","Alnus.undiff.","Alnus.viridis.type","Betula","Carya","Celtis","Cornus.sericea.type","Cornus.undiff.","Corylus","Ephedra","Ericaceae","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Juglans.cinerea","Juglans.nigra","Juglans.undiff.","Juniperus.Thuja","Larix","Morus","Myrica","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Platanus","Populus.balsamifera","Populus.tremuloides.type","Prunus.type","Quercus","Rhus","Salix","Sarcobatus.vermiculatus","Shepherdia.argentea","Shepherdia.canadensis","Tilia","Tsuga","Ulmus","Viburnum","Vitis","Ambrosia.type","Amorpha.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Bidens.type","Brassicaceae","Caryophyllaceae","Chenopodiaceae.undiff.","Comarum.type","Cyperaceae","Dalea.purpurea","Epilobium","Fabaceae.undiff.","Galium","Humulus.Cannabis.sativa","Iva.annua.type","Iva.xanthifolia.type","Lycopus.type","Malvaceae","Poaceae","Polygonaceae.undiff.","Rosaceae.undiff.","Rumex","Sanguisorba.canadensis","Spiraea.type","Thalictrum","Urtica","Xanthium"
290,2387,581,1,0,0,0,1,0,18,0,2,140,0,0,0,0,11,0,0,7,11,0,0,0,0,0,4,1,0,19,8,29,41,35,0,0,1,0,127,0,8,1,0,0,3,0,20,0,1,10,2,0,27,6,0,1,0,0,6,0,12,0,0,0,0,0,0,0,1,0,25,0,0,2,0,0,0,0,0
310,2555,543,3,0,0,2,1,0,13,0,2,144,0,0,0,0,21,1,0,4,3,0,0,1,0,0,1,0,0,23,6,40,8,23,0,1,2,0,140,0,11,0,0,0,0,0,14,0,0,9,1,0,26,10,0,2,0,0,4,0,5,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,1,0,0
330,2722,527,2,0,0,0,0,0,20,0,2,80,0,0,0,0,13,0,0,2,7,0,0,0,0,1,2,0,0,14,2,37,21,27,1,0,2,0,113,0,7,1,0,0,1,0,25,0,0,9,3,0,42,6,0,1,0,0,8,0,10,0,0,0,0,0,1,3,0,0,62,0,0,0,0,0,2,0,0
350,2890,401,0,0,0,0,0,0,7,0,2,58,0,0,0,1,1,0,0,3,2,0,1,0,0,0,0,0,0,8,2,17,4,25,0,0,2,0,115,0,7,1,0,0,0,0,9,0,0,32,0,0,32,11,0,0,0,0,8,0,10,0,1,0,0,0,0,0,0,0,39,0,1,0,0,0,0,0,2
370,3057,347,0,0,0,0,0,0,22,0,3,65,0,0,0,0,5,0,0,3,0,0,0,0,0,0,1,0,0,6,0,22,3,9,0,0,0,0,75,0,5,2,0,0,0,0,3,0,1,5,3,0,42,9,0,0,0,0,7,0,4,0,0,0,0,0,4,0,0,0,47,0,0,0,0,0,0,0,1
390,3224,374,0,0,1,0,1,0,9,0,7,76,1,0,0,0,7,0,0,2,2,0,0,0,0,2,0,0,0,6,3,24,3,12,0,0,0,0,79,0,6,0,0,0,0,0,17,0,0,7,0,1,31,7,0,2,0,0,9,0,12,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,1,0,0
410,3392,456,0,0,0,1,0,0,10,0,1,57,0,0,0,0,9,0,0,4,7,0,0,0,0,0,0,0,0,9,6,44,9,32,1,0,2,0,100,0,7,0,0,0,0,0,7,0,1,14,0,0,43,5,1,1,0,2,5,0,13,0,0,0,0,3,0,0,0,0,62,0,0,0,0,0,0,0,0
430,3559,408,0,0,0,0,0,0,13,0,3,44,0,0,0,0,3,0,0,2,0,0,0,0,0,1,0,0,0,1,1,25,8,16,0,0,2,0,97,0,6,0,0,0,0,0,2,0,0,17,3,0,58,6,0,0,1,0,18,0,15,0,0,0,0,0,1,0,0,0,64,0,0,0,0,0,0,1,0
450,3727,442,0,0,0,0,0,0,19,0,1,47,0,0,0,0,6,0,0,4,0,1,0,0,0,2,2,0,0,4,0,39,3,13,0,0,0,0,118,0,10,0,0,0,0,0,8,0,0,5,4,0,44,6,0,2,0,2,15,0,16,1,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0
470,3894,407,0,0,0,0,0,0,12,0,5,42,0,0,0,0,7,0,0,1,7,0,0,0,0,1,0,0,0,4,1,39,6,20,0,0,0,0,76,1,7,0,0,0,0,0,9,0,1,10,1,2,45,9,0,2,0,0,14,0,13,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0
490,4061,377,0,0,0,0,1,0,4,0,1,33,0,0,0,0,9,0,0,10,4,0,1,0,0,1,0,0,0,4,1,34,8,13,0,1,2,0,85,0,1,0,0,0,1,0,14,0,0,8,3,1,54,8,0,0,0,0,10,0,14,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0
510,4229,400,1,0,0,0,0,0,5,0,0,11,0,0,0,0,7,0,0,3,4,0,0,0,0,1,0,0,0,3,0,42,7,12,0,0,0,0,153,0,5,0,0,0,3,0,6,0,1,17,1,1,42,12,0,1,0,0,8,0,10,0,0,0,0,0,2,0,0,0,41,0,0,0,0,0,1,0,0
530,4396,613,0,0,0,0,2,0,6,0,1,25,0,0,0,0,11,0,0,0,3,0,0,1,0,1,0,0,1,9,1,20,17,39,0,1,3,0,165,0,7,3,0,0,1,0,16,0,0,25,8,0,80,14,0,4,0,7,23,0,35,0,0,0,0,0,3,0,0,0,77,0,0,2,0,0,2,0,0
550,4564,421,1,0,0,2,0,0,4,0,5,24,0,1,0,1,9,0,0,4,1,0,0,0,0,0,0,0,0,11,4,49,5,15,0,0,1,0,82,1,13,1,0,0,0,0,8,0,0,6,1,0,75,11,0,2,0,0,14,0,13,0,0,0,0,0,2,0,0,0,54,0,0,0,1,0,0,0,0
570,4731,352,0,0,0,1,2,0,8,0,0,9,0,0,0,0,2,0,0,2,1,0,0,0,0,1,0,0,0,2,1,49,2,4,0,0,0,0,81,0,3,0,0,0,0,0,12,0,1,20,0,0,59,8,0,0,0,0,17,0,13,0,0,0,1,0,2,0,0,0,51,0,0,0,0,0,0,0,0
590,4898,406,0,0,0,1,1,2,5,0,0,30,0,0,0,0,2,0,0,5,3,0,0,0,0,0,0,0,0,11,2,31,1,3,0,0,1,0,104,0,4,0,0,0,0,0,5,0,0,15,0,0,66,8,0,1,0,0,16,0,9,1,0,0,1,0,0,0,0,0,78,0,0,0,0,0,0,0,0
602,4999,310,0,0,0,0,0,2,0,9,0,20,0,0,0,0,0,0,0,0,0,10,0,0,0,2,0,0,0,2,0,2,5,23,0,0,1,0,61,0,7,0,0,0,0,0,2,0,0,14,0,0,47,5,0,0,0,0,11,0,28,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,1,0,0
610,5066,494,1,2,0,0,0,0,4,0,0,19,0,0,0,0,9,0,0,3,0,0,0,1,0,3,0,0,1,10,1,30,3,9,0,0,0,0,143,0,2,1,0,0,0,0,10,0,0,31,2,1,91,5,0,1,0,0,36,0,15,0,0,0,0,0,0,1,0,0,55,0,0,1,1,0,0,0,2
620,5150,354,0,0,0,0,0,0,0,0,1,14,0,1,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,2,1,31,0,3,0,0,0,1,192,0,0,0,1,0,1,0,10,0,0,21,0,0,24,2,0,1,0,0,17,0,2,0,0,0,0,0,3,0,0,0,19,0,0,0,0,0,0,0,0
625,5191,350,0,0,0,0,0,2,0,4,0,13,0,0,0,0,4,0,0,0,0,8,0,0,0,5,0,0,0,7,0,1,6,26,0,0,0,0,140,0,12,0,0,0,0,0,3,0,0,16,0,0,30,5,0,0,0,0,14,0,21,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0
630,5233,414,0,1,0,0,1,0,2,0,0,4,0,0,0,0,9,0,0,2,1,0,0,0,0,0,0,0,0,3,2,51,1,7,0,0,0,0,190,0,3,0,0,0,0,0,10,0,0,27,0,0,20,11,0,1,0,2,7,0,24,0,0,0,0,0,5,0,0,0,30,0,0,0,0,0,0,0,0
640,5317,492,0,0,0,0,1,0,6,0,1,17,1,0,0,0,12,0,0,1,1,0,1,0,0,1,0,0,0,2,0,17,1,10,0,0,0,0,200,0,0,2,0,1,0,0,10,0,0,41,1,0,75,5,0,0,0,0,19,0,11,1,0,0,0,0,8,0,0,0,46,0,0,0,0,0,0,0,0
650,5401,432,0,2,0,0,0,0,4,0,0,11,0,0,0,0,6,0,0,2,1,0,0,0,0,1,0,0,0,6,4,69,0,14,0,0,2,0,98,0,0,1,1,1,0,0,10,0,0,31,1,0,76,10,0,0,0,0,14,0,23,0,0,0,0,0,7,0,0,0,36,0,0,0,0,0,0,0,1
660,5484,458,0,1,0,0,0,0,3,0,1,21,0,0,1,0,9,1,0,1,1,0,0,1,0,7,0,0,0,6,0,13,3,13,0,0,0,0,183,0,7,1,0,1,0,0,7,0,0,33,5,0,40,3,0,0,0,0,15,0,21,1,0,0,0,0,7,0,0,0,52,0,0,0,0,0,0,0,0
670,5568,371,0,2,0,0,0,0,4,0,2,12,0,0,0,0,5,0,0,3,1,0,0,1,0,1,0,0,2,2,0,14,0,4,0,0,0,0,128,0,7,1,0,0,0,0,5,0,0,33,3,0,50,4,0,0,0,0,24,0,11,0,0,0,0,0,4,0,0,0,43,0,0,0,0,0,2,0,3
672,5585,336,0,0,0,0,0,4,0,9,0,16,0,0,0,0,1,0,0,0,0,7,0,0,0,1,0,0,0,3,1,2,1,18,0,0,0,0,111,0,3,0,0,0,0,0,8,0,0,28,0,0,47,4,0,0,0,0,19,0,21,0,0,1,0,0,0,0,0,0,30,0,0,0,0,0,1,0,0
719,5978,311,0,0,0,0,0,0,0,3,0,22,0,0,0,0,6,0,0,0,0,6,0,0,1,3,0,0,1,1,0,2,1,25,0,0,0,0,52,0,11,0,0,0,0,0,2,0,0,29,0,0,67,9,0,0,0,0,11,0,14,0,0,0,0,0,1,3,0,0,40,0,1,0,0,0,0,0,0
727,6045,277,1,0,0,0,0,1,0,2,0,19,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,1,29,0,0,0,0,44,0,8,0,1,0,0,0,0,0,0,23,0,0,57,2,0,0,0,0,15,0,17,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,2,0,0
773,6430,279,0,0,0,0,0,3,0,4,0,32,0,0,0,0,4,0,0,0,0,2,0,0,0,0,1,0,0,0,2,9,0,29,0,0,1,0,61,0,8,0,2,0,0,0,2,0,0,22,0,0,38,3,0,0,0,0,11,0,14,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0
793,6598,282,2,0,0,0,0,0,0,1,0,24,0,0,0,0,1,1,0,0,0,1,0,0,1,0,2,0,0,0,3,10,1,49,0,0,0,0,21,0,9,0,2,0,0,0,8,0,0,13,0,0,36,4,0,0,1,0,23,0,29,0,0,0,0,1,1,0,0,0,38,0,0,0,0,0,0,0,0
804,6690,285,0,0,0,0,0,0,0,10,0,31,0,0,0,0,4,0,0,0,0,1,0,0,1,1,0,0,0,5,3,5,2,49,0,0,0,0,11,0,10,0,0,0,0,0,5,0,0,18,0,0,48,6,0,0,1,0,8,0,15,0,0,0,0,0,1,0,0,0,48,1,0,0,0,0,1,0,0
813,6765,305,0,0,0,0,0,1,0,11,0,17,1,0,0,0,2,0,0,0,0,7,0,0,1,0,0,0,0,9,3,9,0,55,0,0,0,0,21,0,11,0,0,0,0,0,4,0,0,16,0,0,53,3,0,0,0,0,12,0,21,0,0,0,0,1,0,0,0,0,47,0,0,0,0,0,0,0,0
814,6773,289,1,0,0,0,0,1,0,4,0,24,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,7,0,12,1,38,0,0,0,0,10,0,14,0,0,0,0,0,11,0,0,19,0,0,40,1,0,0,0,0,18,0,39,0,0,0,0,1,0,0,0,0,43,1,0,0,0,0,0,0,0
823,6849,288,0,0,0,0,0,0,0,11,0,18,0,0,0,0,2,0,0,0,0,4,0,0,0,0,1,0,0,2,6,17,0,93,0,0,0,0,8,0,11,0,1,0,0,0,5,0,0,9,0,0,36,1,0,0,0,0,15,0,24,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0
830,6907,288,1,0,0,0,0,1,0,7,0,24,0,0,0,1,3,0,0,0,0,0,0,0,1,0,1,0,0,6,2,25,3,79,0,0,0,0,10,0,12,0,4,0,0,0,9,0,1,4,0,0,18,4,0,0,0,0,9,0,23,0,0,0,0,0,1,0,0,0,38,0,1,0,0,0,0,0,0
837,6966,270,0,0,0,0,0,0,0,5,0,20,1,0,0,0,0,0,0,0,0,4,0,0,1,1,2,0,0,7,2,15,2,97,0,0,2,0,10,1,10,0,0,0,0,0,2,0,0,13,0,0,22,2,0,0,0,0,9,0,26,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1,0,0
844,7024,307,1,0,0,0,0,0,0,4,0,18,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,4,7,1,205,0,0,0,0,7,0,3,0,1,0,0,0,5,0,0,3,0,0,13,2,0,0,0,0,8,0,13,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0
850,7075,303,0,0,0,0,0,0,0,2,0,22,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,3,2,16,0,182,0,0,0,0,8,0,8,0,2,0,0,0,13,0,0,2,0,0,13,1,0,0,0,0,1,0,16,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0
859,7150,352,1,0,0,0,0,1,0,3,0,28,2,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,6,9,42,4,184,0,0,1,0,7,0,4,0,0,0,0,0,12,0,0,2,0,0,16,0,0,0,0,0,1,0,12,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0
864,7192,342,1,0,0,0,0,0,0,5,0,47,1,0,0,0,8,0,0,0,0,1,0,0,1,0,3,0,0,7,10,23,2,156,0,0,0,0,10,0,7,0,0,0,0,0,8,0,0,5,0,0,15,1,0,0,0,0,3,0,11,0,0,0,0,2,0,0,0,0,14,0,1,0,0,0,0,0,0
871,7250,283,0,0,0,0,0,0,0,2,0,31,0,0,0,0,3,0,0,0,0,8,0,0,1,0,2,0,0,2,15,18,2,115,0,0,0,0,8,0,5,0,0,0,0,0,27,0,0,7,0,0,11,1,0,0,0,0,1,0,13,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0
879,7317,301,2,0,0,0,0,0,0,3,0,54,1,0,0,0,4,1,0,0,0,2,0,0,3,3,1,0,0,5,29,7,0,92,0,0,1,0,14,0,5,0,0,0,0,0,20,0,0,6,0,0,12,0,0,0,1,0,3,0,20,0,0,0,0,1,0,1,0,0,10,0,0,0,0,0,0,0,0
886,7376,291,1,0,0,0,0,0,0,1,0,98,0,0,0,0,7,0,0,0,0,0,0,0,1,0,1,0,0,9,15,16,2,81,0,0,0,0,11,0,6,0,0,0,0,0,13,0,0,2,0,0,8,0,0,0,1,0,2,0,6,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
892,7426,295,0,0,0,0,0,1,0,1,0,34,1,0,0,0,6,0,0,0,0,4,0,0,0,0,2,0,0,5,25,14,2,107,0,0,0,0,16,0,8,0,0,0,0,0,20,0,0,5,0,0,12,1,0,0,0,0,2,0,15,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0
897,7468,337,2,0,0,0,0,2,0,0,0,34,1,2,0,0,5,0,0,0,0,6,0,0,1,2,2,0,0,5,25,36,3,136,0,0,2,0,13,0,3,0,0,0,0,0,23,0,0,4,0,0,10,2,0,0,0,0,2,0,9,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,1,0,0
904,7527,290,1,0,0,0,0,0,0,5,0,37,3,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,3,31,11,4,114,0,0,1,0,14,0,2,1,0,0,0,0,7,0,0,3,0,0,13,2,0,0,0,0,4,0,18,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
912,7594,295,0,0,0,0,0,1,0,2,0,48,1,0,0,0,4,0,0,0,0,5,0,0,0,1,5,0,0,1,42,18,1,93,0,0,1,0,12,0,5,0,0,0,0,0,13,0,0,5,0,0,5,2,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
918,7644,299,0,0,0,0,0,4,0,4,0,39,0,0,0,0,3,0,0,0,0,5,0,0,2,0,1,0,0,5,34,15,2,122,0,0,0,0,19,0,1,0,0,0,0,0,13,0,0,4,0,0,7,1,0,0,0,0,3,0,12,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
924,7694,305,2,0,0,0,0,2,0,1,0,54,0,0,0,1,6,0,0,0,0,11,0,0,3,0,4,0,0,6,47,13,0,84,0,0,0,0,14,0,3,0,0,0,0,0,8,0,0,2,0,1,11,1,0,0,0,0,5,0,16,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
