"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.undiff.","Alnus","Amaranthaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Carya","Caryophyllaceae","Castanea.dentata","Corylus","Cupressaceae","Cyperaceae","Ericaceae","Fagus.grandifolia","Fraxinus","Huperzia.lucidula","Huperzia.selago","Ilex","Juglans.cinerea","Larix.laricina","Liquidambar.styraciflua","Myricaceae","Nuphar","Nymphaea","Ostrya.Carpinus","Picea","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Poaceae","Polygonum","Polypodiaceae","Populus","Potamogetonaceae","Quercus","Rumex","Salix","Sanguisorba","Sphagnum","Thalictrum","Tilia.americana","Tsuga.canadensis","Typha.latifolia","Ulmus","Unknown..trilete.","Utricularia"
125,1495,0,3,0,5,0,0,0,0,0,0,35,22,0,2,0,0,2,0,12,7,0,0,0,0,0,0,0,0,2,3,1,3,12,0,0,0,1,0,0,194,0,0,0,0,0,1,13,0,5,1,0
130,1554,0,0,2,8,0,0,0,1,2,0,32,26,0,7,0,0,0,0,17,6,0,0,0,0,0,0,2,1,1,6,0,3,11,0,2,0,1,0,0,180,0,0,0,0,0,1,23,0,0,0,0
135,1614,0,2,10,6,0,0,0,0,1,0,38,19,0,9,0,0,4,0,12,11,0,0,0,0,0,0,0,0,1,7,0,1,13,0,2,0,1,0,0,172,0,0,0,1,0,0,10,0,5,0,1
140,1674,0,0,5,3,0,0,0,0,0,0,44,12,0,6,0,0,5,0,24,5,0,0,0,3,0,0,2,1,2,5,0,0,16,0,0,0,0,0,0,187,0,0,0,0,0,0,13,0,7,0,0
145,1734,0,0,1,5,0,0,0,0,1,0,34,22,0,9,0,0,4,1,18,7,0,0,0,1,0,0,0,0,1,2,0,0,13,0,0,0,0,0,0,203,0,0,0,0,0,0,7,0,5,1,0
150,1793,0,0,4,7,0,0,0,0,0,0,27,13,0,9,0,0,2,0,16,7,0,0,0,0,0,0,0,0,1,7,0,4,15,0,0,0,0,0,0,204,0,0,0,0,0,1,9,0,4,0,0
155,1853,0,0,4,12,0,0,0,0,5,0,35,17,0,5,0,0,3,0,20,7,0,0,0,1,0,0,0,1,5,6,0,1,20,0,0,0,1,0,0,206,0,0,0,0,0,3,5,0,4,0,0
160,1913,0,0,10,7,0,0,0,0,2,0,33,22,1,11,0,0,2,0,6,10,0,0,0,2,0,0,0,0,7,5,0,4,12,0,0,0,1,0,0,194,0,0,0,1,0,0,5,0,2,0,0
165,1973,0,0,5,7,1,0,0,0,0,0,43,17,0,4,0,0,3,0,20,8,1,0,1,0,0,0,0,0,2,4,0,1,17,0,0,0,0,0,0,202,0,0,0,0,0,0,7,0,4,0,0
170,2033,0,0,3,6,0,0,0,0,2,0,26,25,0,12,0,0,5,0,9,10,0,0,0,3,0,0,0,0,3,8,0,4,20,0,0,0,1,0,0,188,0,0,0,2,0,0,13,0,5,0,1
175,2092,0,0,2,5,0,0,0,0,2,0,33,20,0,4,0,0,3,0,16,4,0,0,0,2,0,0,0,0,1,2,0,0,23,0,0,0,0,0,0,184,0,0,0,0,0,0,10,0,4,0,0
180,2168,0,0,2,4,0,0,0,0,1,0,36,21,0,4,0,0,4,0,16,3,0,0,0,2,0,0,2,2,0,5,0,4,21,0,2,0,0,0,0,163,0,0,0,0,0,0,6,0,4,0,1
205,2545,0,0,2,5,0,0,0,0,1,0,25,19,0,5,0,0,2,0,17,7,0,0,0,0,0,0,0,1,2,5,0,1,15,0,0,0,0,0,0,212,0,0,0,0,0,0,9,0,6,0,1
210,2621,0,0,4,0,0,0,0,0,3,0,27,30,0,0,0,0,0,0,18,11,0,0,0,1,0,0,0,5,2,5,0,1,13,0,0,0,1,0,0,191,0,0,0,1,0,0,6,0,1,0,0
215,2696,0,1,2,3,0,0,0,1,1,0,34,23,0,8,0,0,0,0,33,11,0,0,1,0,0,0,1,0,1,11,0,2,23,0,0,0,0,0,0,166,0,0,0,0,0,0,2,0,7,0,0
220,2771,0,0,2,8,0,0,0,0,2,0,38,28,0,7,0,0,1,0,8,4,0,0,0,2,0,0,0,0,0,5,0,3,21,0,0,0,0,0,0,167,0,0,0,0,0,0,6,0,4,0,0
225,2847,0,0,0,7,1,0,0,0,0,0,27,30,0,4,0,0,5,0,16,8,0,0,0,1,0,0,0,0,0,2,0,0,25,0,0,0,0,0,0,165,0,0,0,0,0,0,10,0,4,0,0
230,2922,0,0,8,6,1,0,0,0,2,0,40,34,0,4,0,0,1,0,27,9,0,0,0,5,0,0,0,1,0,10,0,2,17,0,0,0,0,0,0,159,0,1,0,0,0,0,8,0,12,0,0
235,2998,0,0,4,9,0,0,0,0,0,0,29,22,2,4,0,0,4,0,9,7,0,0,0,2,0,0,0,0,1,5,0,0,23,0,0,0,0,0,0,163,0,0,0,0,0,0,4,0,8,0,0
240,3073,0,0,5,7,1,0,0,2,3,0,29,18,1,8,0,0,2,0,11,9,1,0,1,2,0,0,0,1,1,4,0,1,23,0,0,0,1,0,0,178,0,0,0,0,0,0,5,0,3,0,0
245,3149,0,0,4,7,0,0,0,0,2,0,42,24,1,0,0,0,0,0,25,8,0,0,1,1,0,0,1,0,0,5,0,0,23,1,0,0,2,0,0,169,0,0,0,0,0,2,7,0,5,0,0
250,3224,0,0,9,10,0,0,0,0,1,0,41,24,0,5,0,0,1,2,18,15,0,0,0,0,0,0,0,0,0,6,0,9,9,0,0,0,2,0,0,192,0,0,0,0,0,0,2,0,6,0,0
255,3300,0,0,4,6,0,0,0,0,0,0,31,21,0,2,0,0,1,0,20,5,0,0,1,0,0,0,0,1,0,13,0,2,13,0,0,0,6,0,0,186,0,0,0,0,0,1,3,0,2,0,0
260,3375,0,0,3,6,0,0,0,1,5,0,46,36,0,11,0,0,1,0,18,6,0,0,0,1,0,0,0,0,3,5,1,3,24,0,0,0,0,0,0,164,0,0,0,0,0,0,2,0,3,0,0
265,3450,0,0,4,6,0,0,0,0,1,0,50,18,1,1,0,0,2,0,22,5,0,0,0,0,0,0,0,0,1,5,0,3,18,0,0,0,4,0,0,161,0,0,0,0,0,0,3,0,9,0,0
270,3526,0,0,3,10,0,0,0,0,0,0,44,6,0,10,0,0,1,0,16,12,0,0,0,4,0,0,0,1,2,13,0,2,17,0,0,0,0,0,0,207,0,0,0,0,0,0,1,1,4,0,0
275,3601,0,0,3,2,0,0,0,0,1,0,22,19,0,3,0,0,3,0,12,7,0,0,0,2,0,0,0,0,0,7,0,4,13,0,0,0,1,0,0,201,0,0,0,0,0,2,0,0,2,0,0
280,3677,0,0,4,6,0,0,0,1,0,0,30,45,0,4,0,0,0,0,10,8,0,0,0,1,0,0,1,1,2,6,0,3,21,0,0,0,1,0,0,188,0,0,0,0,0,2,2,0,4,0,0
285,3752,0,0,2,8,0,0,0,0,0,0,26,27,1,0,0,0,5,0,15,8,0,0,0,4,0,0,0,0,0,8,0,1,13,0,0,0,0,0,0,177,0,0,0,0,0,2,9,0,6,0,1
290,3828,0,0,2,14,1,0,0,0,0,0,32,23,0,11,0,0,3,0,10,2,0,0,0,2,0,0,0,1,3,4,1,3,11,0,1,0,0,0,0,170,0,0,0,0,0,1,5,0,6,0,1
305,4199,0,0,3,9,0,0,0,2,1,0,16,27,1,0,0,0,0,0,14,10,0,0,2,1,0,0,0,0,0,11,0,1,10,0,1,0,0,0,0,181,0,0,0,0,0,2,32,0,7,0,0
310,4323,0,0,3,5,0,0,0,1,3,0,14,29,0,0,0,0,0,0,14,13,0,0,0,2,0,0,0,0,0,4,0,5,12,0,0,0,0,0,0,185,0,0,0,0,0,0,25,0,10,0,0
315,4447,0,0,2,6,0,0,0,0,4,0,9,26,2,1,0,0,1,0,15,5,0,0,1,3,0,0,0,0,0,9,0,0,16,0,0,0,2,0,0,189,0,0,0,0,0,1,38,0,8,0,0
320,4571,0,0,3,4,0,0,0,0,4,0,18,30,0,0,0,0,1,0,22,7,0,0,0,1,0,0,0,0,0,4,0,0,17,0,2,0,2,0,0,158,0,0,0,1,0,1,30,0,9,0,0
325,4695,0,0,4,9,0,0,0,0,1,0,20,14,1,0,0,0,1,1,14,20,0,0,0,1,0,0,0,0,0,7,0,0,8,0,0,0,3,0,0,206,0,0,0,0,0,1,23,0,7,0,0
330,4819,0,0,2,8,0,0,0,0,1,0,8,15,1,0,0,0,2,1,13,14,0,0,0,1,0,0,0,0,0,6,0,0,12,0,0,0,0,0,0,194,0,1,0,0,0,0,26,0,6,0,0
335,4943,0,0,6,10,0,0,0,0,4,0,17,14,0,0,0,0,1,1,18,8,0,0,1,1,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,186,0,0,0,0,0,0,26,0,6,0,0
340,5067,0,0,2,14,0,0,0,0,3,0,16,5,1,0,0,0,1,0,18,7,0,0,0,2,0,0,0,0,0,5,0,1,7,0,2,0,1,0,0,221,0,0,0,0,0,1,15,0,2,0,0
345,5191,0,0,5,5,1,0,0,0,4,0,13,27,0,2,0,0,3,0,15,7,0,0,1,2,0,0,0,0,0,5,0,0,8,1,1,0,0,0,0,203,0,0,0,0,0,0,24,0,8,0,0
350,5315,0,0,6,6,0,0,0,0,2,0,12,17,0,0,0,0,2,0,24,2,0,0,0,2,0,0,0,0,0,5,0,3,10,0,1,0,3,0,0,176,0,0,0,1,0,0,26,0,9,0,0
355,5438,0,0,5,9,0,0,0,0,1,0,9,16,1,0,0,0,0,1,21,8,0,0,1,5,0,0,0,0,0,3,0,1,11,0,1,0,0,0,0,227,0,0,0,0,0,0,22,0,4,0,0
360,5562,0,0,4,14,0,0,0,0,2,0,15,12,2,0,0,0,4,0,10,10,0,0,0,1,0,0,0,1,0,7,0,2,13,0,0,0,0,0,0,195,0,0,0,0,0,2,26,0,7,0,0
365,5686,0,0,5,4,0,0,0,0,1,0,7,18,0,1,0,0,0,0,14,4,0,0,1,1,0,0,0,1,0,7,0,0,9,0,0,0,0,0,0,203,0,0,0,0,0,1,21,0,4,0,0
370,5810,0,0,4,19,0,0,0,0,3,0,8,20,0,0,0,0,1,1,21,8,0,0,0,2,0,0,0,0,0,9,1,0,11,0,0,0,1,0,0,183,0,0,0,1,0,1,35,0,5,0,0
375,5934,0,0,3,13,0,0,0,0,3,0,10,16,2,1,0,0,1,1,17,7,0,0,1,1,0,0,1,0,0,8,0,1,17,0,0,0,2,0,0,187,0,0,0,0,0,0,24,0,4,0,0
380,6058,0,0,2,10,0,0,0,1,5,0,7,12,0,2,0,0,1,0,14,10,0,0,0,3,1,0,0,0,0,6,0,0,11,0,1,0,0,0,0,187,0,0,0,0,0,1,20,0,7,0,0
385,6112,0,0,1,9,1,0,0,0,7,0,19,13,0,0,0,0,0,1,10,7,0,0,0,2,0,0,0,0,0,6,0,0,12,0,1,0,0,0,0,169,0,0,0,0,0,0,36,0,8,0,0
390,6165,0,0,2,9,0,0,0,0,7,0,11,16,0,0,0,0,0,0,13,7,0,0,0,2,0,0,0,0,0,5,0,2,11,0,0,0,0,0,0,190,0,0,0,0,0,2,31,0,6,0,0
405,6327,0,0,2,16,1,0,0,0,2,0,13,4,1,0,0,0,2,1,22,6,0,0,1,1,0,0,1,1,0,2,0,0,13,0,0,0,1,0,0,193,0,0,0,0,0,0,21,0,6,0,0
410,6380,0,0,3,21,0,0,0,0,4,0,18,14,1,0,0,0,0,0,18,11,0,0,0,4,0,0,0,0,0,8,0,5,5,0,0,0,1,0,0,231,0,0,0,0,0,0,24,0,4,0,0
415,6434,0,0,9,15,0,0,0,0,2,0,5,7,0,2,0,0,0,0,20,9,0,0,0,1,0,0,0,0,0,8,0,0,20,0,1,0,1,0,0,180,0,0,0,0,0,1,24,0,6,0,0
420,6488,0,0,4,12,0,0,0,0,5,0,7,16,1,0,0,0,0,0,12,5,0,0,0,0,0,0,1,0,0,5,0,0,13,0,0,0,0,0,0,204,0,0,0,0,0,2,28,0,12,0,0
425,6542,0,0,3,6,0,0,0,0,2,0,10,12,0,2,0,0,1,0,21,6,0,0,0,0,0,0,0,0,1,9,0,0,12,0,1,0,0,0,0,187,0,0,0,0,0,1,27,0,4,0,0
430,6595,0,0,4,23,0,0,0,0,5,0,11,15,1,0,0,0,0,0,14,9,1,0,0,2,0,0,0,0,0,8,0,2,4,0,0,0,0,0,0,174,0,0,0,0,0,2,25,0,12,0,0
435,6649,0,0,1,11,0,0,0,0,4,0,8,10,0,0,0,0,0,0,25,11,0,0,1,1,0,0,0,0,0,4,0,0,12,0,2,0,1,0,0,194,0,0,0,0,0,4,22,0,8,0,0
440,6703,0,0,3,14,0,0,0,0,4,0,15,17,1,0,0,0,0,2,28,11,1,0,0,0,0,0,1,0,0,4,0,2,4,0,0,0,0,0,0,181,0,0,0,0,0,1,39,0,7,0,0
445,6756,0,0,2,7,1,0,0,0,2,0,11,8,0,0,0,0,1,0,24,2,0,0,0,1,0,0,0,0,0,3,0,1,12,1,1,0,1,0,0,213,0,0,0,0,0,1,24,0,2,0,0
450,6810,0,0,0,8,0,0,0,0,1,0,13,5,0,1,0,0,0,0,33,11,0,0,0,1,0,0,2,0,0,6,0,2,7,0,1,0,1,0,0,183,0,0,0,0,0,1,25,0,11,0,0
455,6864,0,0,2,9,0,0,0,0,3,0,12,10,0,0,0,0,2,0,19,6,0,0,0,1,0,0,0,0,0,8,0,0,8,0,0,0,1,0,0,194,0,0,0,0,0,1,27,0,7,0,0
460,6918,0,0,4,6,0,0,0,0,2,0,16,11,2,0,0,0,0,0,42,9,0,0,0,1,0,0,0,0,0,4,0,0,12,0,0,0,2,0,0,177,0,0,0,0,0,0,22,0,8,0,0
465,6971,0,0,4,5,0,0,0,0,1,0,14,13,2,0,0,0,0,0,39,10,0,0,0,3,0,0,2,0,0,7,0,1,9,0,0,0,1,0,0,193,0,0,0,0,0,0,21,0,6,0,0
470,7025,0,1,8,4,0,0,0,0,1,0,18,12,0,0,0,0,1,1,23,8,0,0,0,3,0,0,0,0,0,5,0,0,14,0,0,0,0,0,0,208,0,0,0,0,0,0,19,0,5,0,0
475,7079,0,0,1,8,0,0,0,0,4,0,13,8,3,1,0,0,0,0,28,10,0,0,1,0,0,0,0,0,0,5,0,0,14,0,1,0,0,0,0,189,0,0,0,0,0,0,27,0,6,0,0
480,7133,0,0,5,5,0,0,0,0,4,0,22,16,0,0,0,0,0,0,35,9,0,0,0,2,0,0,0,0,0,8,0,0,15,0,1,0,0,0,0,222,0,0,0,0,0,0,35,0,5,1,0
485,7182,0,0,3,11,0,0,0,0,1,0,14,6,0,0,0,0,0,0,37,11,0,0,0,0,0,0,0,0,0,13,0,0,13,0,0,0,0,0,0,181,0,0,0,0,0,2,28,0,8,0,0
490,7230,0,0,6,9,0,0,0,0,2,0,3,4,0,0,0,0,0,0,13,10,0,0,0,1,0,0,1,0,0,12,0,0,9,0,2,0,0,0,0,209,0,0,0,0,0,0,17,1,9,0,0
505,7377,0,0,3,13,0,0,0,0,2,0,7,5,0,2,0,0,0,0,27,7,0,0,0,1,0,0,0,0,0,13,0,0,9,1,0,0,0,0,0,210,0,0,0,0,0,1,19,0,8,0,0
510,7426,0,0,8,15,0,0,0,0,3,0,10,8,0,0,0,0,0,1,14,11,0,0,0,1,0,0,0,0,0,6,0,0,15,0,0,0,0,0,0,230,0,0,0,0,0,0,17,0,8,0,0
515,7475,0,0,0,5,0,0,0,0,6,0,6,7,2,0,0,0,1,0,31,5,1,0,0,0,0,0,0,0,0,8,0,0,7,0,0,0,1,0,0,218,0,0,0,0,0,1,13,0,7,0,0
520,7524,0,0,9,11,0,0,0,0,5,0,10,2,0,1,0,0,0,0,20,11,0,0,0,1,0,0,0,0,0,9,0,3,12,0,4,0,3,0,0,232,0,0,0,0,0,1,16,0,5,0,0
525,7573,0,0,6,8,0,0,0,1,7,0,12,3,0,2,0,0,0,0,15,8,0,0,0,0,0,0,0,0,0,14,0,0,16,0,0,0,1,0,0,210,0,0,0,0,0,1,18,0,6,0,0
530,7622,0,0,8,8,0,0,0,0,1,0,9,3,2,1,0,0,0,0,27,8,0,0,0,1,0,0,1,0,0,9,1,0,15,0,4,0,1,0,0,182,0,0,0,0,0,1,20,0,3,0,0
535,7671,0,0,1,10,0,0,0,0,5,0,10,5,0,0,0,0,1,0,22,9,0,0,0,3,0,0,0,0,0,8,0,0,8,0,1,0,1,0,0,221,0,0,0,0,0,0,11,0,10,0,0
540,7720,0,0,2,13,0,0,0,2,15,0,17,7,0,0,0,0,3,0,15,10,0,0,0,2,0,0,0,0,0,8,0,0,12,0,1,0,4,0,0,241,0,0,0,0,0,0,21,0,2,1,0
545,7769,0,0,6,10,0,0,0,0,7,0,15,2,0,0,0,0,3,0,15,10,0,0,0,1,0,0,1,0,0,11,0,1,20,0,2,0,1,0,0,190,0,0,0,0,0,0,15,0,10,2,0
550,7818,0,0,2,10,0,0,0,0,2,0,18,2,0,0,0,0,5,0,15,12,1,0,0,0,0,0,1,0,0,8,0,0,16,0,4,0,0,0,0,223,0,0,0,0,1,0,16,0,5,0,0
555,7867,0,0,3,16,0,0,0,0,8,0,13,2,0,0,0,0,1,0,14,9,0,0,0,0,0,0,0,0,0,9,0,1,18,0,2,0,2,0,0,223,0,0,0,0,0,1,16,0,1,1,0
560,7916,0,0,2,14,0,0,0,0,2,0,12,4,0,0,0,0,0,1,16,11,0,0,0,1,0,1,0,0,0,8,0,1,9,0,2,0,4,0,0,205,0,0,0,0,0,3,14,0,9,2,0
565,7965,0,0,3,10,0,0,0,0,9,0,9,4,1,0,0,0,1,0,21,8,0,0,0,0,0,0,0,0,0,3,0,0,14,0,0,0,1,0,0,231,0,0,0,0,0,0,18,0,3,2,0
570,8014,0,0,3,10,0,0,0,1,5,0,14,4,0,0,0,0,2,0,13,6,0,0,0,2,0,0,0,0,0,11,0,0,9,0,3,0,1,0,0,233,0,0,0,0,1,4,11,0,6,1,0
575,8063,0,0,7,11,1,0,0,0,6,0,15,4,1,0,0,0,0,3,22,10,0,0,2,1,0,0,0,0,0,12,0,1,15,0,1,0,1,0,0,224,0,0,0,0,0,1,17,0,5,0,0
580,8112,0,0,3,9,0,0,0,0,8,0,12,3,0,0,0,0,5,0,20,13,0,0,0,0,0,0,1,0,0,6,0,0,16,0,0,0,1,0,0,239,0,1,0,0,0,2,18,0,4,0,0
585,8161,0,0,5,16,0,0,0,0,3,0,18,1,1,0,0,0,2,0,24,10,0,0,0,1,0,0,0,0,0,9,0,3,13,0,4,0,1,0,0,242,0,0,0,0,0,2,12,0,8,1,0
590,8210,0,0,4,11,0,0,0,0,3,0,9,0,0,0,0,0,1,0,14,11,0,0,1,0,0,0,1,0,0,9,0,2,11,0,1,0,0,0,0,199,0,0,0,0,0,1,21,0,6,0,0
595,8259,0,0,6,9,0,0,0,0,9,0,19,3,3,0,0,0,1,0,17,11,0,0,0,0,0,0,0,0,0,15,0,3,14,0,1,0,3,0,0,229,0,0,0,0,0,3,18,0,7,2,0
600,8308,0,0,3,10,0,1,0,0,1,0,12,0,1,0,2,0,0,1,6,9,0,0,1,0,0,0,1,0,1,3,0,2,16,0,0,0,0,0,0,251,0,0,0,0,0,2,13,0,6,2,0
605,8357,0,0,3,14,0,0,0,1,4,0,12,1,0,0,0,0,1,0,8,8,0,0,0,1,0,0,0,0,0,10,0,1,22,0,2,0,0,0,0,226,0,0,0,0,0,2,13,0,5,0,0
610,8406,0,0,2,9,2,0,0,0,3,0,11,1,1,0,0,0,0,0,11,3,0,0,2,0,0,0,0,0,0,5,0,4,19,1,1,0,2,0,0,211,0,0,0,0,0,1,16,0,10,0,0
615,8455,0,0,5,9,1,0,0,0,3,0,14,1,1,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,1,10,0,4,19,0,0,0,0,1,0,252,0,1,0,1,0,3,21,0,4,0,0
620,8504,0,0,3,12,0,0,0,0,4,0,11,2,0,1,0,0,2,0,5,3,0,0,1,0,0,0,1,1,0,7,0,5,11,1,1,0,0,0,0,205,0,0,0,0,0,1,5,0,3,0,0
625,8553,0,0,3,13,0,0,0,0,2,0,6,1,0,0,0,0,1,0,8,4,0,0,0,1,0,0,2,0,0,7,1,7,13,1,0,0,1,0,0,257,0,0,0,0,0,0,7,0,6,0,0
630,8601,0,0,1,4,0,0,0,0,4,0,13,1,0,0,0,0,1,0,5,3,0,0,2,0,0,0,2,0,0,3,0,4,19,1,3,0,1,0,0,228,0,0,0,0,0,3,16,0,8,1,0
635,8650,0,0,1,4,0,0,0,0,1,0,14,2,1,0,0,0,2,1,9,5,0,0,0,0,0,0,1,0,0,6,0,2,22,0,0,0,1,0,0,273,0,0,0,0,0,0,9,0,3,0,0
640,8699,0,0,5,10,0,0,0,0,4,0,18,4,0,0,0,0,0,0,5,2,0,0,0,1,0,0,0,0,0,8,0,2,26,0,1,0,2,0,0,212,0,0,0,0,0,1,5,0,2,3,0
645,8783,0,0,4,10,2,0,0,0,6,0,8,1,0,0,0,0,1,1,7,2,0,0,0,0,0,0,0,0,0,7,0,1,27,0,1,0,1,0,0,242,0,0,0,0,0,0,14,0,8,1,0
650,8867,0,0,2,4,1,0,0,0,4,0,14,1,1,0,0,0,2,0,10,5,0,0,0,0,0,0,0,0,0,12,0,3,33,0,0,0,2,0,0,222,0,0,0,0,0,0,3,0,4,2,0
655,8951,0,0,0,14,1,0,0,0,3,0,17,1,0,1,0,0,3,0,10,8,0,0,1,0,0,0,0,0,0,14,0,6,32,0,0,0,1,2,0,286,0,1,0,0,0,0,7,0,4,1,0
660,9035,0,0,1,7,1,0,0,0,5,0,7,0,0,0,0,0,1,0,3,6,0,0,0,0,0,0,1,0,1,11,0,4,26,0,1,0,2,0,0,242,0,1,0,0,0,1,5,0,3,1,0
665,9119,0,0,3,9,1,0,0,0,7,0,28,0,1,1,0,0,3,0,0,4,0,0,0,1,0,0,2,0,0,15,1,4,21,0,5,0,0,0,0,253,0,0,0,0,0,0,7,0,10,5,0
670,9203,0,0,3,19,0,0,0,0,5,0,26,0,1,1,2,0,6,0,0,5,0,0,0,1,0,0,1,0,0,17,1,1,13,0,1,0,0,0,0,198,0,1,0,0,0,0,6,0,5,3,0
675,9287,0,0,3,15,0,0,0,0,11,0,21,1,0,0,0,0,2,0,1,8,0,0,1,0,0,0,3,0,0,9,0,1,22,0,2,0,0,0,0,235,0,0,0,0,0,0,2,0,3,2,0
