"sample.depths","sample.ages","upland.sum","Abies","Betula","Cyperaceae","Ericaceae","Picea","Salix","Sanguisorba","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Apiaceae","Alnus","Myrica","Pinus","Poaceae","Caryophyllaceae","Corylus","Cupressaceae","Quercus","Rumex","Shepherdia.canadensis","Ambrosia","Rosaceae.undiff.","Amaranthaceae","Plantago","Urtica","Asteraceae.subf..Cichorioideae","Onagraceae","Populus","Artemisia","Larix","Tsuga","Acer.rubrum","Ostrya.Carpinus","Fraxinus.americana","Iva.annua","Ulmus","Fraxinus.nigra","Acer.saccharum","Brassicaceae","Fagus"
22,881,588,16,61,189,7,117,3,50,1,10,9,58,14,6,19,0,0,0,1,5,0,1,13,1,0,0,2,0,2,1,1,0,1,0,0,0,0,0,0,0,0
23,922,376,4,124,39,3,40,0,83,0,10,11,27,4,6,15,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,963,536,10,98,117,19,97,4,65,2,12,3,61,5,9,20,0,0,0,3,1,0,0,5,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0
25,1004,522,9,64,145,1,103,0,86,2,9,7,36,9,7,26,0,0,0,3,8,0,0,2,1,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0
26,1046,547,12,70,65,8,101,0,144,2,12,14,55,6,5,35,0,1,0,0,2,0,1,7,2,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0
27,1080,540,15,56,91,8,97,1,149,1,12,17,25,11,2,31,2,0,0,0,7,0,0,6,1,2,0,1,0,0,0,0,0,2,2,0,1,0,0,0,0,0
28,1107,583,8,70,76,6,69,1,184,3,5,17,43,6,9,61,0,0,0,0,14,0,0,8,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
29,1135,698,10,49,116,9,83,0,287,2,6,9,46,11,4,33,0,0,0,2,24,0,0,1,3,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
30,1162,600,12,53,123,5,101,0,160,1,9,7,30,9,4,45,2,0,0,0,32,0,0,3,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
31,1189,578,16,42,52,5,104,0,198,3,5,16,35,9,2,48,0,0,0,1,39,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1216,589,8,53,31,4,98,1,244,0,13,22,29,5,5,28,1,0,0,0,38,0,1,5,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
33,1244,661,8,61,149,2,77,0,166,4,9,16,58,10,5,36,0,0,0,1,52,0,0,2,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
34,1271,723,14,51,157,2,88,0,249,5,12,9,43,10,5,39,1,0,2,0,26,0,0,4,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
35,1298,741,5,61,120,4,69,2,322,1,16,17,49,3,10,40,0,0,1,0,18,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
36,1326,869,9,62,97,4,59,1,369,5,16,24,60,8,9,108,0,0,1,0,27,0,0,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1353,596,6,65,64,3,58,1,192,0,11,16,58,2,7,85,1,0,4,0,19,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
38,1380,513,5,53,82,9,70,1,88,5,14,19,56,3,11,67,0,0,0,0,21,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
39,1408,592,15,83,123,6,74,1,92,3,11,18,58,3,9,68,1,0,1,0,21,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
40,1435,489,28,55,97,1,125,1,23,3,4,16,50,6,9,51,1,0,3,1,5,0,1,3,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
41,1462,549,25,92,75,8,139,5,33,3,5,22,48,10,23,29,0,0,0,1,17,0,0,1,6,0,0,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0
42,1489,500,15,77,82,7,107,0,16,1,1,18,103,13,10,26,0,0,3,0,13,0,0,2,2,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0
43,1517,396,12,71,128,10,64,0,5,1,4,5,43,6,8,29,0,0,4,2,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
44,1544,429,10,73,92,5,90,1,8,1,1,8,67,4,12,38,1,0,0,1,7,0,0,3,3,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0
45,1571,535,12,78,111,4,111,1,16,2,8,25,74,5,6,68,0,0,4,0,1,0,1,2,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
46,1599,538,19,80,100,4,85,0,32,1,9,51,58,10,6,73,2,0,0,0,0,0,0,4,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
47,1626,478,10,79,91,2,64,2,26,4,9,39,52,2,3,88,1,0,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,1653,668,11,59,174,9,72,3,23,3,18,23,55,4,6,196,4,0,0,0,2,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
49,1681,640,10,61,154,6,69,1,35,4,21,15,52,6,2,193,3,0,1,0,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
50,1708,603,7,50,142,6,90,0,42,5,23,9,40,5,9,158,3,0,2,0,3,0,1,1,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
51,1735,599,9,47,104,7,101,1,56,12,34,10,44,15,8,145,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,1762,529,7,66,88,3,73,1,71,2,27,14,33,14,5,112,4,0,0,0,1,0,0,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
53,1790,565,9,70,94,5,62,1,83,5,32,26,44,16,10,97,1,0,0,1,0,0,0,3,2,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0
54,1817,403,14,79,33,1,92,0,47,8,17,13,35,8,9,37,0,0,0,0,0,0,0,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,1845,355,9,61,20,3,73,1,21,12,4,18,60,14,9,41,0,0,0,1,0,0,0,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
56,1875,530,9,98,60,6,105,0,34,13,7,37,43,26,10,66,3,2,0,0,0,2,0,5,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
57,1904,465,10,48,47,4,92,0,67,13,2,20,71,21,8,47,1,0,0,0,0,0,0,11,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
58,1933,505,13,44,42,5,112,0,91,16,9,41,44,14,6,41,0,0,0,1,0,0,0,24,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
59,1963,397,5,52,28,6,90,0,66,21,5,32,40,8,6,15,1,0,1,1,0,0,1,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
60,1992,411,5,48,50,9,106,0,70,14,2,6,33,5,6,35,0,0,0,0,2,0,0,14,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,2022,650,23,87,90,2,134,2,122,30,6,17,60,9,14,39,3,0,0,0,8,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,2051,509,22,58,66,0,109,0,89,14,10,8,43,4,11,58,0,0,2,0,2,0,0,4,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
63,2080,524,9,70,78,9,90,0,100,16,6,8,35,5,5,69,0,0,1,0,4,0,0,8,7,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1
64,2110,536,13,63,66,2,86,0,109,25,9,8,26,7,6,100,1,0,0,0,0,0,0,9,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
65,2139,554,21,54,64,5,87,0,138,16,5,5,30,10,6,97,1,0,0,1,1,0,0,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
66,2168,758,15,50,39,7,115,0,369,21,10,12,27,4,14,45,4,0,0,0,13,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,2198,722,17,43,29,2,101,0,389,31,12,14,24,3,8,33,0,0,1,0,5,0,1,1,2,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0
68,2227,765,13,47,29,2,99,0,417,20,23,15,38,2,21,33,2,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
69,2257,792,9,52,28,1,91,0,442,34,29,19,37,4,11,20,0,0,0,0,3,0,0,6,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
70,2286,844,10,44,20,3,93,0,510,29,24,11,33,4,13,33,1,0,0,1,1,0,0,4,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0
71,2315,816,9,46,24,3,108,1,483,19,16,14,27,2,18,24,4,1,1,1,6,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,2345,861,12,51,7,3,90,0,533,28,17,24,37,2,8,34,1,0,0,1,1,0,0,5,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,2374,720,38,42,13,2,84,0,358,28,26,15,31,11,11,47,1,0,0,0,6,0,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
74,2403,1230,16,47,12,2,160,0,807,14,19,24,29,8,26,52,1,2,0,0,6,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
