"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.undiff.","Adiantum","Alnus","Amaranthaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae.undiff.","Betula","Botrychium","Brasenia.schreberi","Carya","Castanea","Celtis","Cephalanthus","Cornus","Corylus","Cupressaceae","Cyperaceae","Dryopteris","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Galium","Indeterminable","Iva.annua","Juglans.cinerea.type","Juglans.nigra.type","Larix","Liquidambar","Lycopodiaceae","Morus","Myrica","Myriophyllum","Nuphar","Nymphaea","Nyssa","Osmunda","Ostrya.Carpinus","Other.herbs","Other.trees.and.shrubs","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Platanus","Poaceae.undiff.","Polypodiaceae","Populus","Potamogetonaceae","Pteridium","Quercus","Rhamnus","Rhus","Rosaceae","Rumex","Sagittaria","Salix","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..Paleozoic.","Unknown..trilete.","Urtica","Viburnum","Woodsia.type","Zea"
1452,3835,0,1,0,9,0,0,12,1,0,0,1,0,7,0,0,44,10,0,0,0,1,1,3,0,51,3,20,0,1,0,4,5,1,0,0,0,0,0,0,0,0,2,15,3,0,0,5,0,6,6,0,0,3,1,0,220,2,0,1,0,0,0,0,0,0,1,1,0,26,4,0,0,0,0,0,0
1500,4559,0,2,1,6,0,1,18,1,3,0,0,0,0,0,0,49,6,0,0,0,0,0,2,1,21,2,24,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,6,0,0,1,0,0,6,2,2,2,0,0,2,192,0,0,0,0,0,1,0,0,1,0,0,1,17,4,0,0,0,0,0,0
1526,4945,0,1,1,6,1,0,15,1,1,1,2,4,3,0,0,46,4,0,0,0,2,1,3,0,48,2,18,0,4,0,3,4,0,0,0,0,0,0,0,2,0,0,7,4,0,1,2,2,6,7,2,0,1,0,2,218,0,0,0,0,0,6,0,1,2,2,0,0,25,1,0,0,0,0,0,0
1558,5364,0,2,3,10,0,0,24,0,1,1,1,1,3,0,0,58,3,0,0,0,1,1,5,1,75,5,32,0,2,0,4,2,2,0,0,0,0,0,0,1,0,0,11,5,0,1,0,3,12,11,3,5,0,1,0,288,2,0,0,0,0,2,0,0,1,3,0,0,52,2,0,1,0,0,0,0
1574,5573,0,1,0,11,0,0,7,3,0,0,1,2,4,0,0,58,0,0,0,0,4,0,2,1,90,0,38,0,3,2,10,1,0,0,0,0,0,0,0,0,0,1,10,1,0,0,1,2,12,13,3,4,2,0,1,301,1,0,0,0,0,1,0,1,3,4,0,0,47,2,0,0,0,0,0,0
1598,5888,0,1,0,13,0,0,17,0,3,0,1,9,3,0,0,35,1,0,0,0,3,0,1,1,137,3,17,0,1,0,4,3,0,0,0,0,0,0,0,1,1,0,10,2,0,0,0,1,7,12,2,1,0,1,2,197,1,0,0,0,0,0,0,0,0,5,0,0,35,4,0,0,0,0,0,0
1626,6254,0,0,0,14,0,0,14,0,1,0,0,2,3,0,0,20,2,1,0,0,1,1,3,0,135,1,23,0,3,0,4,1,0,0,0,0,0,0,0,0,2,0,8,2,0,1,1,0,10,10,1,1,0,1,1,194,1,0,0,0,0,0,0,0,1,1,0,0,59,0,0,0,0,0,0,0
1642,6464,0,0,0,23,0,0,10,0,4,0,0,4,4,0,0,48,0,1,0,0,0,0,3,0,129,2,25,0,2,0,2,4,0,0,0,0,0,0,0,0,0,0,10,0,0,0,3,1,9,11,2,0,1,0,0,184,0,0,0,1,0,0,0,0,1,1,0,0,58,0,0,0,0,0,0,0
1658,6674,0,0,1,19,0,0,1,0,2,0,0,3,5,0,0,35,0,0,0,0,0,0,1,0,128,6,21,0,2,1,1,0,0,0,0,0,0,0,0,1,0,1,16,0,0,0,1,2,13,2,1,1,0,0,1,204,0,0,1,0,0,1,0,0,2,3,0,0,51,3,0,0,0,0,0,0
1682,6988,0,1,2,18,0,0,2,1,1,1,0,3,3,0,0,41,0,2,0,0,1,0,11,0,180,2,44,0,2,0,4,1,0,0,1,0,0,0,0,0,0,0,32,1,0,2,0,3,13,11,1,0,0,0,4,287,0,0,0,0,0,1,0,0,1,4,0,1,82,2,0,0,0,0,0,0
1698,7198,0,0,1,8,0,0,1,1,1,0,1,6,0,0,0,38,0,1,0,0,2,0,1,0,100,0,45,0,4,0,4,2,0,0,0,0,0,0,0,1,0,0,12,1,0,1,0,0,8,4,1,1,1,0,0,212,0,0,1,0,0,0,0,1,3,1,0,2,64,0,0,0,0,0,0,0
1712,7381,0,0,5,1,0,0,1,1,1,0,0,5,5,0,0,62,1,2,0,0,5,0,4,2,119,1,27,0,5,1,7,0,0,0,0,0,0,0,0,1,0,1,27,2,0,2,0,6,17,24,2,1,0,0,0,233,1,0,1,0,0,1,0,1,1,4,0,0,84,2,0,0,0,0,0,0
1728,7590,0,2,1,21,0,0,2,1,2,0,0,5,1,0,1,39,2,1,0,0,3,0,2,0,72,1,27,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,22,1,0,0,1,5,22,3,5,1,2,1,2,216,0,0,0,0,0,0,0,0,2,1,0,0,41,1,0,0,0,0,2,0
1744,7800,0,0,0,16,1,0,1,0,2,0,0,4,2,0,1,48,0,1,0,0,0,0,3,0,48,1,17,0,2,0,4,0,0,0,0,0,0,0,0,2,0,0,22,0,0,0,0,2,12,0,3,1,1,0,0,210,3,0,0,0,0,1,0,0,2,6,0,0,60,0,0,1,0,0,0,0
1760,8010,0,0,0,13,0,0,2,3,1,0,0,5,6,1,0,46,1,0,0,0,1,0,2,0,46,1,26,0,5,1,4,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,2,21,7,4,1,1,1,0,333,0,0,0,0,0,0,1,2,2,5,0,0,47,1,0,2,0,0,0,0
1784,8324,0,0,1,9,0,0,2,2,3,0,0,10,3,0,0,27,0,1,0,0,4,0,7,1,26,0,40,0,5,0,4,1,0,0,0,0,0,0,0,0,0,0,27,1,0,0,2,7,19,8,7,4,1,3,2,355,0,1,2,0,0,1,0,1,1,0,0,0,29,2,0,0,0,0,0,0
1810,8695,0,1,0,5,0,0,0,1,2,0,0,9,5,0,0,13,0,1,0,0,4,0,2,0,11,0,18,0,5,0,4,0,0,0,0,0,0,0,0,1,0,0,19,0,0,3,1,4,20,5,5,2,0,1,1,244,0,0,0,0,1,1,0,1,1,3,1,1,14,1,0,0,3,0,0,0
1826,9027,0,0,1,10,0,0,0,3,4,1,2,4,2,0,0,25,0,0,0,0,5,0,4,0,8,2,32,0,5,0,3,0,1,0,0,0,0,0,0,0,0,1,35,1,0,2,3,6,46,5,10,5,1,2,2,380,1,0,1,0,0,3,0,0,3,7,1,0,30,3,0,3,0,0,0,0
1842,9359,0,2,2,19,0,0,2,1,1,0,0,1,5,0,0,36,1,0,0,0,6,0,3,5,23,0,41,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,33,1,0,0,4,10,38,1,4,1,0,0,2,424,1,0,0,0,0,0,0,1,1,6,0,0,58,1,0,2,0,0,0,0
1858,9691,0,1,2,23,0,0,6,0,1,0,0,3,5,0,0,30,0,0,0,0,3,0,5,3,16,2,32,0,2,0,0,0,0,0,1,0,0,0,0,1,0,1,78,0,1,0,1,2,50,0,7,4,0,2,1,403,0,0,0,0,0,2,1,0,7,5,0,0,43,3,0,2,0,0,0,0
1874,10023,1,1,2,3,0,0,7,0,0,0,0,3,5,0,0,10,0,0,0,0,4,0,5,0,1,0,24,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,42,1,1,3,0,15,50,3,4,1,2,0,0,346,0,0,0,0,0,0,0,0,6,4,1,0,33,4,0,0,0,0,0,0
1882,10189,0,1,0,3,0,0,8,0,0,0,1,1,2,0,0,10,0,0,0,0,6,0,9,1,0,1,22,0,3,0,2,0,0,0,0,1,0,0,0,1,0,0,30,0,0,1,2,7,37,4,1,0,4,0,1,268,0,0,0,0,0,1,0,0,4,4,0,0,31,0,0,0,0,0,0,0
1904,10646,0,0,2,5,0,0,8,1,3,0,1,3,10,2,0,11,0,3,0,0,4,0,6,0,2,2,26,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,95,0,0,2,7,57,185,0,4,0,1,1,1,191,0,0,1,0,0,2,0,0,3,8,0,1,35,0,0,1,0,0,0,0
1912,10812,0,1,2,12,0,0,15,2,2,0,1,2,1,0,0,15,0,3,0,0,3,0,9,5,3,2,24,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,134,0,0,1,12,68,157,0,1,2,3,0,2,215,0,0,0,0,0,0,1,0,5,7,0,0,53,2,0,0,0,0,0,0
1928,11144,0,1,2,9,0,0,12,0,1,0,1,0,7,0,1,11,0,1,0,0,5,0,2,1,0,2,27,0,3,0,5,0,1,0,0,0,0,0,0,1,0,0,108,0,2,1,3,57,131,3,3,3,1,0,0,164,0,1,0,0,0,0,0,0,6,6,0,0,44,0,0,1,0,0,0,0
1944,11476,1,0,1,4,0,0,11,1,3,0,0,3,1,0,0,4,1,1,0,0,4,0,3,0,1,1,29,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,38,1,0,1,6,50,196,0,1,1,0,0,1,112,0,0,1,0,0,0,0,0,0,6,0,0,27,1,0,0,0,0,0,0
1960,11715,3,0,1,4,0,0,4,0,1,0,0,2,17,2,0,2,0,0,0,0,4,0,11,0,1,2,25,0,0,0,2,0,4,0,0,0,1,0,0,1,0,0,33,0,0,9,54,153,339,0,4,5,1,0,1,74,0,1,0,0,0,3,0,0,2,12,0,0,32,0,0,1,0,0,0,0
1976,11954,9,0,0,3,0,0,4,0,1,0,1,3,26,0,0,4,0,0,0,0,10,0,18,1,0,1,19,1,1,0,4,0,14,0,0,0,0,0,0,0,0,0,21,0,0,23,103,28,241,0,3,1,6,0,1,62,0,0,0,0,0,3,0,0,0,16,1,0,24,1,0,0,0,0,0,0
1984,12074,13,0,0,2,0,0,3,0,1,1,3,3,14,0,0,1,0,0,0,0,4,0,11,0,1,0,22,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,18,0,0,58,222,13,295,0,4,1,2,0,0,37,0,0,0,0,0,6,0,0,0,8,0,0,12,0,0,0,0,0,0,0
1994,12224,26,1,0,1,0,0,2,0,1,0,5,5,4,1,0,3,0,0,0,0,11,0,29,0,1,0,43,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,52,0,0,49,6,0,22,0,6,1,7,1,0,62,0,0,0,0,0,0,0,0,0,8,0,0,19,1,1,1,0,0,0,0
2010,12463,23,0,0,2,0,0,0,1,4,0,1,7,6,0,0,4,0,1,0,0,3,0,39,1,0,0,51,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,42,1,0,97,5,0,11,0,18,4,14,1,0,62,0,0,0,0,0,4,0,0,0,0,1,1,19,1,0,1,0,0,0,0
2026,12703,18,0,0,0,0,0,1,0,4,1,2,5,2,0,0,3,0,2,0,0,3,1,71,0,1,1,63,1,1,0,3,0,0,0,0,0,1,0,0,0,0,0,42,1,0,108,7,2,6,2,13,0,10,2,1,64,0,0,0,0,0,3,1,1,0,0,0,1,18,1,0,0,2,0,0,0
2034,12822,21,0,0,6,1,0,0,0,0,0,0,2,4,0,0,2,0,0,0,0,3,1,40,2,1,2,42,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,39,0,0,122,6,0,4,0,10,0,1,1,0,43,0,0,0,0,0,4,0,0,0,0,1,1,5,4,0,0,0,0,0,0
2042,12942,22,0,1,1,0,0,3,0,1,0,3,4,3,0,0,4,0,3,0,0,3,0,42,2,0,0,57,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,46,1,0,117,1,0,7,1,9,1,9,3,0,66,1,0,0,0,0,2,0,1,0,0,1,0,2,1,0,0,0,0,0,0
2050,13062,18,0,0,1,0,0,1,0,0,0,0,1,2,0,1,2,0,2,0,0,6,1,40,0,0,3,59,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,46,0,0,220,3,0,3,0,10,0,2,2,0,55,0,0,1,0,0,8,1,2,0,0,1,1,7,1,0,0,0,0,0,0
2058,NA,0,0,0,0,1,0,0,0,1,0,3,5,3,1,0,2,0,0,0,1,2,0,43,1,1,0,36,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,34,1,0,169,1,0,3,1,14,0,18,1,0,39,1,0,0,0,0,3,0,0,0,0,1,1,4,2,0,0,1,0,0,0
2074,NA,2,0,0,1,1,0,2,0,1,0,1,5,1,0,0,0,0,0,0,0,2,0,27,1,0,1,51,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,257,2,0,9,1,12,0,3,2,0,56,0,0,0,0,0,2,0,0,0,0,2,0,2,2,0,0,0,0,0,0
2082,NA,2,0,0,5,0,0,2,0,3,0,4,5,4,0,0,0,0,1,0,0,0,1,21,0,1,0,38,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20,0,0,177,4,1,12,0,19,1,5,2,0,31,0,0,2,0,0,3,0,0,0,0,3,0,1,2,0,0,0,0,0,0
