"sample.depths","sample.ages","upland.sum","Acer.negundo","Artemisia","Carya","Celtis","Amaranthaceae.undiff.","Asteraceae.undiff.","Iva.annua.type","Cyperaceae","Poaceae.undiff.","Iva.xanthifolia.type","Platanus","Quercus","Sarcobatus.vermiculatus","Ulmus","Apiaceae","Ambrosia","Juniperus.type","Juglans","Pinus","Populus","Brassicaceae","Betula","Cephalanthus","Corylus","Ephedra.trifurca.type","Ostrya.Carpinus","Picea","Rumex","Salix","Urtica.type","Vitis","Xanthium","Zea.mays","Alnus","Humulus.Cannabis.sativa","Fraxinus","Avena.type","Cerealia.undiff.","Plantago","Verbena","Acer.nigrum","Euphorbia.subg..Chamaesyce.type","Caprifoliaceae.undiff.","Geum.type","Cornus","Acer.undiff.","Rhus","Tilia","Rosaceae.undiff.","Amorpha","Trifolium.type","Pinaceae.undiff.","Shepherdia.argentea","Liliaceae.undiff.","Mentha.type","Cuscuta","Ephedra.viridis.type","Lamiaceae.undiff.","Dalea","Rubiaceae.undiff.","Thalictrum","Primula","Alternanthera","Abies","Caltha.type","Pedicularis","Phlox","Stachys.type","Rhamnus","Boraginaceae","Araceae","Lythrum","Larix","Sanguisorba.canadensis","Filipendula.rubra","Caryophyllaceae","Tidestromia","Ranunculus.type","Scrophulariaceae.undiff.","Lilium","Polygonella","Epilobium","Gaura","Campanula","Solanum","Impatiens","Fabaceae.undiff.","Lonicera","Castanea","Potentilla.type","Parthenocissus","Polemonium","Polygonum.persicaria.type","Valeriana"
423,6394,305,0,5,1,0,38,34,5,64,22,1,0,3,0,3,5,96,2,0,8,0,11,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
488,7155,423,0,6,0,0,28,58,16,121,20,1,0,6,0,3,1,108,1,0,6,0,30,0,0,0,1,0,1,0,1,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
513,7448,511,0,9,0,0,36,56,25,201,30,0,0,5,0,1,0,131,0,0,4,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
543,7799,389,1,4,1,0,65,54,4,91,18,0,1,3,0,1,1,123,3,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
578,8209,309,2,7,0,0,95,21,0,50,15,0,0,6,1,0,1,80,3,0,9,0,3,0,0,0,0,0,1,0,3,0,0,0,0,0,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
628,8795,342,4,5,2,0,25,34,4,92,30,0,1,15,0,4,2,82,1,1,12,1,4,0,0,0,0,2,2,0,2,0,0,0,0,0,0,3,0,0,0,6,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
658,9146,560,2,6,4,0,18,32,0,282,34,0,1,28,0,10,2,88,3,3,11,0,2,0,0,0,0,2,0,0,1,2,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,16,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688,9497,629,0,9,2,0,25,26,1,331,47,0,6,15,0,7,5,75,5,1,14,0,1,1,0,4,0,4,24,0,3,1,0,1,0,2,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
713,9790,499,1,3,1,0,22,42,3,211,37,0,3,20,1,12,3,89,8,1,11,1,3,1,1,0,1,0,1,0,3,0,0,1,0,0,0,5,0,0,0,4,2,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
743,10141,636,3,5,3,0,33,35,0,319,26,0,13,15,0,14,0,116,1,8,7,0,0,0,2,1,1,1,0,0,14,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,1,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
753,10258,639,2,5,4,0,23,58,0,375,21,0,5,11,0,9,0,91,1,4,6,0,4,0,0,1,0,0,1,0,2,0,0,1,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
763,10376,467,1,7,2,0,14,49,0,189,24,0,6,13,0,16,0,114,5,0,8,0,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
768,10434,512,0,5,7,1,8,68,0,211,27,0,3,16,0,15,0,90,5,1,17,0,4,0,0,2,1,3,1,0,5,2,0,0,0,2,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,2,0,1,0,0,0,1,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
773,10493,788,1,13,3,0,6,76,0,454,52,0,1,37,1,36,3,31,2,0,23,1,0,0,0,6,0,12,1,0,3,0,1,0,0,1,0,12,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
778,10551,645,3,17,2,0,16,47,0,296,49,0,3,29,1,55,1,20,5,1,17,2,1,2,0,8,1,11,5,0,11,4,0,0,0,1,1,8,0,0,0,0,7,0,0,0,0,0,1,2,1,3,0,1,0,1,0,0,0,0,5,0,2,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
783,10610,743,6,7,3,0,4,39,0,490,46,0,0,20,0,38,2,22,4,0,11,0,1,0,0,15,0,6,5,0,1,1,0,0,0,1,0,5,0,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
798,10785,669,1,23,1,1,7,32,2,332,83,0,0,30,0,30,0,22,0,2,9,0,0,0,0,42,0,8,1,1,9,1,0,0,0,8,1,10,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
813,10961,679,1,18,1,0,3,33,0,396,89,0,1,21,0,20,0,16,1,0,13,1,0,1,0,7,0,13,5,1,6,0,0,0,0,2,1,9,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,1,0,0,1,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
823,11078,243,0,6,1,0,5,9,0,117,34,0,0,9,0,14,0,8,2,0,7,3,0,2,1,3,0,4,1,0,4,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
843,11454,354,2,10,0,0,1,10,0,197,45,3,0,8,0,2,0,10,5,0,1,4,0,4,0,4,0,5,25,0,6,0,0,0,0,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
858,11736,513,2,8,1,0,8,25,1,278,58,0,1,14,0,21,2,24,3,0,5,1,0,1,0,1,0,11,9,0,9,1,0,0,0,1,2,10,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
913,12770,522,1,8,0,0,3,15,0,270,47,0,0,8,0,8,1,33,0,0,15,0,0,4,0,10,0,3,66,1,9,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
918,12864,726,2,25,0,0,9,45,3,220,98,0,0,27,1,16,3,135,4,0,4,0,0,2,0,25,0,23,4,0,14,0,0,2,0,3,2,21,0,0,0,1,3,0,0,0,0,0,0,0,3,0,1,2,0,0,0,0,2,0,0,1,5,2,0,1,11,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
923,12958,337,0,10,0,0,1,6,0,82,35,0,1,8,0,2,1,11,2,0,15,0,0,4,0,4,0,4,125,0,7,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
928,13052,893,0,25,2,0,13,25,1,389,89,3,0,34,0,16,8,171,1,0,9,4,0,2,0,19,0,16,9,1,18,0,0,0,0,3,1,10,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,5,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
933,13146,456,1,18,0,0,12,21,1,154,44,0,0,27,0,10,0,64,2,0,0,0,0,3,0,8,0,21,14,0,13,0,0,0,0,5,2,18,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,1,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
938,13390,571,1,14,1,0,9,16,1,297,67,0,2,26,0,14,0,22,1,0,8,2,0,3,0,7,0,13,10,0,10,1,1,0,0,4,1,20,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0
940.5,14187,468,1,7,2,0,5,15,0,209,92,0,2,19,0,14,1,31,3,0,5,0,0,2,0,2,0,7,24,0,6,0,1,0,0,5,0,9,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
943,14983,674,1,12,2,0,9,32,0,176,44,0,0,22,0,8,1,68,1,0,25,0,0,8,0,7,0,7,175,0,13,0,0,1,0,13,1,11,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,26,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
948,16576,495,1,7,0,0,13,23,2,243,92,0,1,23,0,12,0,23,3,0,14,0,0,1,0,3,0,4,8,0,6,0,0,0,0,2,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
953,18169,676,0,13,0,0,3,8,0,168,36,0,0,5,1,0,0,1,9,0,50,0,0,3,0,1,0,2,309,0,14,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,36,0,0,0,0,0,0,1,1,1,1,0,3,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
958,19762,328,0,8,0,0,4,8,0,74,16,0,0,0,0,0,0,0,1,0,18,0,0,1,0,0,0,0,174,0,4,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
963,21355,419,0,9,0,0,1,6,0,81,15,1,0,0,0,1,0,1,1,0,36,0,0,0,0,1,0,0,242,0,3,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
968,22947,572,0,7,0,0,2,4,0,70,27,0,0,1,0,0,0,1,7,0,56,0,0,5,0,0,0,2,337,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,43,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
973,24540,285,0,10,0,0,0,5,0,23,10,0,0,1,0,0,0,2,0,0,23,0,0,1,0,0,0,1,176,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
978,26133,286,0,5,0,0,1,9,0,37,9,0,0,0,0,0,1,3,3,1,21,0,0,3,0,0,0,0,168,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
980,26770,400,0,7,0,0,2,11,0,99,21,0,0,1,0,0,2,1,5,0,32,0,0,6,0,0,0,0,175,0,13,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
983,27726,249,0,17,1,0,2,11,1,0,39,0,0,3,0,0,2,5,4,0,29,0,0,22,0,4,0,0,70,0,17,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
988,NA,661,1,17,0,0,5,20,0,167,37,0,0,0,0,0,2,5,10,0,60,2,1,6,0,0,0,1,255,0,21,0,0,0,0,16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,25,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
990.5,NA,524,0,26,0,0,1,31,0,191,36,0,0,6,0,0,5,2,2,0,47,0,0,23,0,1,1,0,48,0,43,0,0,0,0,28,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,1,1,1,0,0,8,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1002,NA,929,0,38,1,0,9,26,0,442,80,0,0,3,1,0,7,5,3,0,62,0,1,42,0,2,0,1,54,0,63,0,0,0,0,69,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1008,NA,765,0,29,0,0,7,25,0,314,51,0,0,6,0,0,6,6,5,0,59,0,0,43,0,1,0,0,16,0,65,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
