"sample.depths","sample.ages","upland.sum","Ambrosia.type","Carya","Cupressaceae","Cyperaceae","Ericaceae","Liquidambar","Quercus","Asteraceae.subf..Asteroideae.undiff.","Cornus","Myrica","Pinus","Poaceae","Rubiaceae","Artemisia","Betula","Castanea","Nyssa","Shrubs.undiff.","Alnus","Polygonum","Iva","Herbs.undiff.","Magnolia","Ostrya.Carpinus","Platanus","Ulmus","Fagus","Fraxinus.pennsylvanica.type","Onagraceae","Acer.saccharum.type","Acer.rubrum","Celtis","Apiaceae","Juglans.nigra","Salix","Amaranthaceae","Caryophyllaceae","Juglans.cinerea","Tsuga","Vitis","Urtica.type","Corylus","Morus","Ilex","Picea","Rhamnaceae.Vitaceae.undiff.","Abies","Thalictrum","Polygonaceae.undiff.","Rumex","Fabaceae","Moraceae.undiff.","Caprifoliaceae","Cistaceae","Asteraceae.subf..Cichorioideae"
374,8149,333,0,14,2,9,0,6,176,3,0,0,90,13,3,0,0,0,1,0,1,0,0,0,0,3,3,1,4,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,9538,315,2,13,4,4,0,5,186,1,0,1,82,2,0,0,1,0,0,0,0,0,0,0,1,1,0,3,5,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,10513,229,3,11,1,2,0,2,131,2,0,0,69,2,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
405,11034,312,1,42,2,1,0,1,170,0,0,0,54,0,0,1,3,1,1,0,2,0,0,0,0,6,0,9,12,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
410,11575,338,0,46,6,6,0,0,191,1,0,0,11,5,1,0,1,0,0,0,0,0,2,0,0,13,1,4,37,3,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,1,4,0,0,0,0,0,0,0,0,0,0
420,12700,312,1,48,7,1,0,1,176,1,0,0,10,5,0,0,3,0,0,0,2,0,1,1,0,16,3,3,23,2,0,1,0,0,2,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
425,13273,338,7,49,6,5,0,0,187,2,0,1,24,1,0,0,0,4,0,0,0,0,2,0,0,22,1,5,9,3,0,0,0,0,0,0,1,0,0,0,1,2,0,2,0,0,2,0,1,1,0,0,0,0,0,0,0
430,13846,344,12,55,4,3,0,0,188,1,1,0,26,1,0,2,3,2,0,0,4,0,1,1,0,23,1,4,0,2,0,1,0,1,0,1,1,0,0,0,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
440,14970,328,4,37,3,12,0,0,91,3,0,0,142,6,0,3,1,0,0,0,1,0,0,0,0,7,0,2,1,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6,0,0,0,1,1,1,0,0,0,0
450,16024,363,5,21,0,10,0,0,67,3,0,0,211,6,0,4,1,0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,22,0,1,1,3,0,0,0,0,0,0
455,16514,324,2,8,0,2,0,0,24,2,0,0,246,4,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,24,0,1,0,3,0,0,1,0,0,0
460,16980,338,2,11,1,7,1,0,26,4,0,1,257,8,0,3,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,1,2,0,0,0,1,0,0
469,17761,328,3,5,0,5,0,0,8,2,0,0,270,8,0,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,13,0,1,0,2,0,0,0,0,1,0
480,18624,262,2,6,2,7,0,0,36,4,0,0,182,8,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
490,19331,309,7,1,0,2,0,0,9,6,0,0,242,13,0,12,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,4,0,2,0,3,0,0,0,0,0,0
500,19974,328,0,4,1,1,0,0,12,2,0,0,270,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,20,0,1,0,0,1,0,0,0,0,1
510,20563,292,9,0,2,5,2,0,11,2,0,2,224,12,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,5,0,0,0,4,0,2,0,0,0,0
520,21109,306,5,1,2,4,0,0,7,2,0,0,257,3,0,1,1,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,0,1,0,0,1,0,0,0,0,0
530,21620,282,4,0,0,3,0,0,7,0,0,0,258,4,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
540,22107,335,3,1,1,2,0,0,5,9,0,0,290,9,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,1,0,0,0,0,0
550,22579,299,2,0,1,3,0,0,5,2,0,1,265,5,0,2,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0
560,NA,286,0,1,0,0,0,0,5,0,0,0,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
