"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharinum.type","Alnus","Amaranthaceae","Ambrosia.type","Apiaceae","Aquatics.undiff.","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brasenia.schreberi","Bryopsida","Campanulaceae","Carya","Corylus","Cupressaceae","Cyperaceae","Diphasiastrum.complanatum.type","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Galium","Hippuris.vulgaris","Huperzia.lucidula","Ilex","Indeterminable","Juglans.cinerea","Juglans.nigra","Larix","Lycopodium.annotinum","Lycopodium.clavatum","Myrica","Nuphar","Nymphaea","Osmunda","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Poaceae","Populus","Potamogetonaceae","Pteridium.type","Pteridophyta.undiff.","Quercus","Salix","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Unknown..monolete."
180,9312,1,0,2,0,0,2,0,0,0,0,5,0,0,0,0,1,7,0,3,0,0,1,0,0,0,0,0,3,1,0,2,0,0,0,0,0,0,7,2,52,35,377,0,0,2,0,12,16,9,0,0,0,1,2,0,5,2,1
185,9906,1,1,2,2,1,5,0,1,1,0,6,0,0,0,1,0,6,1,0,0,1,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,7,5,56,15,371,1,0,0,0,10,11,5,0,0,0,0,1,1,7,0,1
190,10500,0,0,4,1,0,1,0,1,4,0,4,0,0,0,2,0,4,5,0,0,1,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,2,2,31,22,438,1,2,0,1,17,20,13,0,0,0,0,2,0,9,1,3
195,11094,7,0,0,1,1,0,0,0,5,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,5,44,3,309,0,1,1,0,14,14,11,2,1,0,0,0,0,8,3,0
200,11324,2,0,2,2,2,6,0,2,3,0,17,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,1,0,0,5,20,25,1,307,0,3,1,1,3,3,18,0,0,0,0,0,0,14,5,0
205,11553,3,0,0,0,0,3,0,0,2,0,12,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,7,28,37,2,335,0,2,1,0,9,10,16,0,0,0,0,0,0,6,0,1
210,11782,5,0,0,0,0,0,0,5,5,0,5,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,10,0,0,4,0,0,0,0,0,0,3,48,82,5,349,0,0,0,5,12,12,11,1,0,0,0,0,0,4,1,0
215,12011,7,0,3,2,1,3,0,7,3,1,7,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,12,0,0,1,0,0,0,0,0,0,5,35,67,4,334,1,2,1,7,12,12,13,0,0,0,1,0,0,5,4,0
220,12240,1,0,1,0,2,5,0,3,16,0,1,0,0,0,3,0,9,11,0,0,0,1,0,0,0,0,0,12,0,0,14,0,0,0,0,0,0,11,92,78,2,214,0,4,2,3,13,14,16,2,0,0,1,0,0,7,8,1
225,12470,1,0,3,1,0,3,0,2,9,1,5,0,0,0,0,0,3,19,0,0,0,6,0,0,0,0,0,16,3,0,12,0,0,1,0,0,0,5,153,52,2,164,0,2,2,2,8,11,16,2,0,0,0,0,0,10,16,3
230,NA,1,0,0,0,0,1,0,4,17,1,7,0,0,0,0,0,2,8,0,0,0,0,1,0,0,0,0,19,2,0,0,1,0,0,0,0,0,1,99,49,1,166,0,0,0,4,10,14,5,2,0,0,0,0,0,10,7,3
235,NA,3,0,0,0,1,6,0,0,8,1,6,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7,1,0,1,1,0,0,0,0,0,1,95,77,3,228,0,3,1,0,2,4,10,1,1,1,0,0,0,4,0,1
240,NA,3,0,0,0,0,6,0,1,10,0,6,0,2,0,0,0,0,14,0,0,0,0,0,0,0,0,0,9,1,0,1,1,1,0,0,0,0,2,57,38,1,141,0,1,0,1,3,7,11,3,2,0,0,0,0,10,1,2
