"sample.depths","sample.ages","Abies.balsamea","Acer.rubrum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brassicaceae","Carya.ovata","cf..Callitriche","cf..Diapensia.lapponica","cf..Oxyria.digyna","Corylus.cornuta","Cyperaceae","Diphasiastrum.alpinum.type","Equisetum","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Indeterminable","Isoëtes","Juglans.cinerea","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Larix","Lycopodium.annotinum.type","Lycopodium.clavatum","Morus.rubra.type","Myrica.gale","Nemopanthus.mucronatus","Onagraceae","Osmunda.regalis.type","Ostrya.Carpinus","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.strobus","Pinus.undiff.","Poaceae","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Quercus","Ranunculaceae.undiff.","Ribes","Rosaceae","Salix","Sphagnum","Taxus","Thalictrum","Tsuga.canadensis","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Viburnum.edule"
55,2593,1,0,0,0,5,75,1,2,5,0,66,0,0,0,0,0,0,8,0,0,7,0,2,0,0,1,7,0,1,0,2,2,1,0,16,0,0,0,0,254,30,15,1,18,7,0,0,1,2,0,0,0,2,24,0,0,0,0,0,0,0,1,0,0
60,2742,0,0,0,0,10,62,0,3,2,0,71,0,0,0,0,0,0,6,0,0,4,1,1,1,0,0,5,0,1,0,2,1,0,0,8,0,0,0,0,152,49,3,8,12,1,0,0,0,1,0,0,0,0,18,0,0,0,0,0,1,0,1,0,0
65,2890,1,0,0,0,10,111,1,0,1,0,113,0,0,0,0,0,0,7,0,0,5,0,0,0,1,0,6,0,0,0,3,3,5,0,14,0,0,0,0,214,67,7,5,16,3,0,1,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0
70,3039,2,0,1,0,6,130,0,0,3,1,105,0,0,2,0,0,1,6,0,0,5,0,1,1,0,0,3,0,0,1,0,5,0,0,16,0,0,0,0,253,29,13,1,1,2,0,0,0,2,0,0,0,1,25,0,0,0,0,0,0,0,0,0,0
75,3187,2,0,0,0,21,119,0,2,4,0,90,0,0,1,0,0,0,0,0,0,11,1,1,0,0,0,8,0,0,0,0,2,3,0,25,0,0,0,0,224,28,16,5,1,3,0,0,0,1,0,0,0,3,12,1,0,0,0,0,2,0,2,0,0
80,3353,1,0,0,0,6,111,0,0,1,0,125,0,0,0,1,0,0,6,0,2,5,1,2,0,0,0,4,0,0,0,0,1,1,0,20,0,1,0,0,239,38,14,1,2,4,0,0,0,1,0,0,0,1,15,0,0,0,0,0,2,0,0,0,0
85,3537,2,0,0,0,13,72,0,0,1,0,103,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,2,0,0,0,1,2,1,0,9,0,0,0,0,160,16,9,3,4,0,0,0,0,0,0,0,0,2,11,0,0,0,0,0,0,0,1,0,0
90,3721,1,0,0,0,5,151,0,0,1,1,143,0,0,0,1,0,0,10,0,1,5,1,0,0,1,0,29,1,0,0,1,2,1,0,23,0,0,0,0,185,30,16,1,2,6,0,1,0,0,0,0,0,5,12,0,0,0,0,0,1,0,0,0,1
95,3905,1,0,0,0,1,57,0,0,5,0,94,0,0,0,0,0,0,7,0,0,7,0,0,0,0,1,8,0,0,0,4,0,0,0,12,0,0,0,0,155,32,2,1,12,4,0,1,0,0,0,0,0,2,12,0,0,0,0,0,0,0,1,0,0
100,4090,1,0,0,0,0,140,0,0,2,0,134,0,0,0,0,0,0,17,0,0,3,0,1,0,0,0,16,0,0,0,1,1,2,0,19,0,0,0,0,167,24,6,1,2,3,0,0,0,0,0,0,1,2,14,0,1,1,0,0,0,0,0,0,0
105,4274,1,0,0,0,2,65,1,0,0,0,81,0,0,0,0,0,0,6,3,0,4,0,0,0,0,1,12,0,0,0,1,2,0,0,28,0,0,0,0,79,39,12,5,10,5,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,1,0
110,4458,3,0,0,0,5,119,0,1,1,0,124,0,0,0,0,0,0,5,0,0,8,0,1,0,0,0,22,0,0,0,2,0,2,0,24,0,0,0,0,119,22,5,0,1,4,0,1,0,2,0,0,0,1,13,0,0,0,1,0,0,0,0,0,0
115,4642,2,0,0,0,2,87,0,2,3,0,99,0,0,0,0,0,0,11,0,0,5,0,1,0,0,0,7,0,1,0,0,1,0,0,22,0,0,0,0,118,37,10,1,10,3,0,0,0,0,0,0,0,2,13,0,0,0,0,0,0,0,0,0,0
120,4826,3,0,0,0,2,104,1,0,2,0,118,0,1,0,0,0,1,4,0,0,6,0,0,0,0,0,16,0,0,0,3,0,2,0,40,0,0,0,0,147,46,10,1,13,6,0,1,0,1,0,0,0,3,12,0,0,1,0,0,0,0,3,0,0
125,5010,4,0,0,0,4,155,1,1,3,0,186,0,0,0,0,1,0,8,0,1,3,0,0,0,1,2,26,0,0,0,1,4,0,0,41,0,0,0,0,166,54,5,3,17,4,0,0,0,0,0,0,0,4,7,2,0,2,0,0,0,0,2,0,0
130,5194,5,0,0,0,4,117,0,1,3,1,161,0,0,1,0,0,0,11,0,0,4,0,0,0,0,0,5,0,0,0,1,4,2,0,21,0,0,0,0,187,23,10,3,3,0,0,1,0,1,0,0,1,0,4,0,0,0,0,0,0,0,1,0,0
135,5378,3,0,0,0,10,87,0,1,0,2,95,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,30,0,0,0,0,85,18,2,2,3,2,0,1,0,0,0,0,1,2,2,0,0,0,0,0,0,0,1,0,0
140,5490,1,0,0,0,5,136,0,0,1,0,117,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,1,0,0,0,3,0,0,0,35,0,0,0,0,124,11,8,1,1,2,0,1,0,1,0,0,1,3,5,0,0,0,0,0,0,0,3,0,0
145,5529,1,0,0,0,1,86,0,1,1,1,112,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,22,0,0,0,0,105,15,8,3,1,2,0,0,0,1,0,0,0,3,5,0,1,1,0,0,1,0,1,0,0
150,5569,1,0,0,0,4,86,0,0,1,0,132,0,0,0,0,0,0,5,0,0,11,0,0,0,1,0,2,0,0,2,1,1,1,1,41,0,0,0,0,118,15,3,2,1,1,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0
155,5608,2,0,0,0,7,60,0,1,0,0,109,0,0,0,0,0,0,3,0,0,4,0,2,0,0,0,0,0,0,0,1,2,0,0,33,0,0,0,0,84,24,1,4,6,0,0,1,1,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0
160,5648,1,0,0,1,4,98,0,1,1,1,197,0,0,0,0,0,0,8,0,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,18,0,0,0,0,170,16,5,4,1,0,0,1,0,0,0,0,0,4,5,0,0,0,0,0,2,0,1,0,0
165,5688,2,0,0,0,6,105,1,0,2,1,249,0,0,0,0,0,0,11,0,0,4,0,1,0,1,0,1,0,0,2,2,1,0,0,37,0,0,0,0,171,42,3,14,4,3,0,0,2,2,0,0,0,2,5,1,0,0,0,1,0,0,2,1,0
170,5727,1,0,0,0,3,100,0,0,5,0,204,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,3,0,0,0,1,3,2,0,31,0,0,0,0,165,16,12,2,0,0,0,2,0,0,0,0,0,1,3,1,0,0,0,0,0,0,5,0,0
175,5767,0,0,0,0,0,58,1,0,1,1,165,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,1,0,0,0,1,2,0,0,18,0,0,0,0,86,19,2,4,4,3,0,1,1,3,0,0,0,1,4,0,0,0,0,0,0,0,2,0,0
180,5806,0,0,0,0,7,106,1,0,2,0,267,0,0,0,0,0,1,18,0,0,4,0,0,1,3,0,0,0,0,0,4,2,2,0,16,0,1,0,0,198,29,5,1,1,3,0,0,0,1,0,0,0,1,10,0,0,0,0,0,2,0,5,0,0
185,5846,1,0,0,0,1,114,0,0,2,0,240,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0,2,0,0,0,2,7,1,0,25,0,0,0,0,158,13,6,4,1,2,0,0,0,0,0,0,1,1,6,0,0,0,0,0,0,0,4,0,0
190,5885,0,0,0,0,2,58,0,0,3,1,186,0,0,0,0,0,0,9,0,0,1,0,1,0,0,0,1,0,1,0,0,6,0,0,30,0,0,0,0,87,12,2,4,0,2,0,0,0,1,0,0,0,3,4,0,0,0,0,0,0,0,6,0,0
195,5925,0,0,1,0,1,88,0,2,0,0,273,0,0,0,0,0,1,7,0,1,0,0,0,0,0,0,3,0,0,0,3,4,0,0,43,0,0,0,0,121,27,2,3,4,5,0,4,0,2,0,0,0,2,3,2,0,0,0,0,0,0,2,0,0
200,6000,1,0,0,0,3,129,0,1,4,0,369,0,0,0,0,0,0,16,0,0,10,0,0,0,0,1,8,0,0,0,3,7,0,0,60,0,0,1,0,172,36,5,2,2,3,0,2,0,1,0,0,0,1,12,0,0,0,0,0,0,0,6,0,0
205,6110,0,0,0,0,10,88,0,1,1,0,229,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,3,0,0,0,1,3,1,0,26,0,0,0,0,122,11,1,1,2,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0
210,6220,0,0,0,1,7,100,1,0,4,0,228,0,0,0,0,0,1,6,0,0,5,0,0,0,0,0,3,0,0,0,4,5,3,0,22,0,0,0,0,62,14,2,0,0,3,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,4,0,0
215,6330,0,0,0,0,4,163,0,0,1,1,289,0,0,1,0,0,0,7,0,0,2,0,0,0,0,0,4,0,1,0,2,6,2,0,29,0,0,0,0,62,4,1,1,1,3,0,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
220,6440,2,0,0,0,4,195,0,0,2,0,249,0,0,0,0,0,0,3,0,0,5,0,2,0,0,0,8,0,1,0,12,15,0,0,25,0,0,0,0,53,10,3,3,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0
225,6550,0,0,0,0,0,304,1,0,3,1,257,1,0,0,0,0,0,13,0,0,4,0,0,0,0,1,4,0,0,0,13,13,3,0,68,0,0,0,0,85,12,4,4,3,1,0,0,3,1,0,0,0,6,4,0,0,0,0,0,1,0,5,1,0
230,6660,1,0,0,0,11,248,1,1,0,1,138,0,0,0,0,0,0,10,0,0,3,0,0,0,0,0,0,0,0,0,4,10,2,0,49,0,0,0,0,57,5,5,3,1,2,1,2,0,0,0,0,1,2,4,0,0,0,0,0,0,0,3,0,0
235,6770,1,0,0,0,11,270,0,1,4,0,128,0,0,0,0,0,0,6,0,0,8,0,0,0,0,1,0,0,0,0,9,3,3,0,40,0,0,0,0,38,7,5,5,4,0,0,0,1,0,0,1,0,6,2,0,0,0,0,0,0,0,4,2,0
240,6880,0,0,0,0,4,334,2,1,3,1,124,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,1,0,0,0,4,9,0,0,21,0,0,0,0,31,14,6,3,4,2,0,3,0,0,0,0,0,2,9,0,0,0,0,0,0,0,4,2,0
245,6990,0,0,0,0,0,250,1,0,2,0,57,0,0,0,0,0,0,5,0,0,2,0,1,0,0,0,0,0,0,0,1,6,2,0,25,0,0,0,0,29,4,2,2,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,3,0,0
250,7100,1,1,0,0,31,385,0,0,2,3,139,0,0,1,0,0,0,7,0,1,5,0,1,0,1,0,0,0,0,0,7,6,1,0,107,0,0,0,0,44,17,8,6,3,3,1,3,0,3,0,0,0,5,13,0,0,1,0,0,1,0,4,0,0
255,NA,1,0,0,0,0,256,0,0,2,1,106,0,0,0,0,0,0,9,0,0,5,0,2,0,0,0,0,0,0,0,2,3,1,0,19,0,0,0,0,60,10,11,9,2,0,0,4,0,3,0,0,0,7,4,0,0,1,0,0,0,0,3,0,0
260,NA,2,0,1,0,39,469,0,1,4,0,203,1,0,0,0,0,0,10,0,0,6,1,1,0,0,0,2,0,1,0,0,11,0,0,12,0,0,0,0,36,10,4,6,6,9,0,1,0,3,0,0,0,5,19,0,0,0,0,0,0,0,6,1,0
