"sample.depths","sample.ages","Abies","Acer.negundo.type","Alnus","Amaranthaceae","Ambrosia.type","Amorpha","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Bidens.type","Brassica","Calystegia","Carpinus.type","Carya","Caryophyllaceae","Celtis","Centaurea.type","cf..Nemopanthus","Chamaecrista.type","Cornus.cf..C..sericea","Corylus","Cyperaceae","Cystopteris.type","Dalea","Dryopteris.type","Elaeagnus","Ephedra","Equisetum","Eriogonum","Eupatorium.type","Fraxinus.cf..F..nigra","Helianthus.type","Indeterminable","Iva.type","Juglans","Juniperus.type","Lactuca.type","Larix","Liliaceae","Limonium.cf..L..limbatum","Lycopodiaceae","Mentha.type","Morus.type","Myriophyllum","Nymphaea","Onagraceae","Opuntia","Osmunda.type","Picea","Pinus.banksiana.type","Pinus.undiff.","Plantago","Poaceae","Polygonum.cf..P..lapathifolium","Polygonum.cf..P..scandens","Populus","Potamogetonaceae","Pteridium.type","Quercus","Ranunculus","Rhamnus","Rosaceae","Rumex","Sagittaria","Salix","Sambucus.type","Shepherdia","Solanaceae.type","Stachys.type","Thalictrum","Typha.latifolia.type","Typha.undiff.","Ulmus","Unknown","Unknown..fenestrate.","Urtica","Vitis","Xanthium.type"
416,7917,0,1,0,163,81,0,1,12,7,0,2,1,0,0,0,0,0,0,0,8,0,0,19,0,1,0,0,0,0,1,2,0,0,29,10,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,3,2,0,32,0,17,1,0,0,3,0,0,0,0,0,1,0,0,0,5,0,0,4,1,0,0,0,0,0
436,8452,0,0,0,151,90,0,2,20,5,0,2,0,0,0,0,0,0,0,0,11,0,0,17,0,0,0,0,0,0,0,3,0,1,17,8,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4,7,0,27,0,16,1,0,1,3,0,0,0,0,0,0,0,0,0,3,0,0,5,0,2,0,0,0,3
456,8987,0,1,0,169,99,0,1,13,6,0,1,0,0,0,0,0,0,0,0,13,0,0,15,0,0,0,0,0,0,0,2,0,0,22,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,36,1,18,1,1,0,2,1,0,0,0,0,0,0,0,0,2,0,0,9,0,0,0,0,0,1
476,9522,0,2,0,172,76,0,1,14,5,0,4,0,0,0,0,0,0,2,0,5,0,0,24,0,0,0,0,0,0,0,0,0,0,23,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,0,37,1,23,2,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,9,2,0,0,0,0,0
496,10057,0,0,0,210,88,0,0,20,6,0,3,0,0,0,0,0,0,1,0,2,0,0,8,0,0,0,0,0,0,0,1,0,0,19,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,17,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,1,0,0,0,0
518,10645,0,0,0,179,48,0,1,12,4,0,1,1,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,21,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,33,1,9,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,4,0,0,0,0,0,0
534,11073,0,0,1,181,59,0,1,15,7,0,0,2,0,0,0,0,0,0,0,2,0,0,9,0,0,0,0,0,0,0,2,0,0,26,11,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,3,0,28,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,7,0,1,0,0,0,0
550,11501,0,0,0,231,52,0,0,13,8,0,0,0,0,0,0,0,0,0,0,2,0,0,12,0,0,0,0,0,0,0,1,0,2,46,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,30,0,12,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,2,6,1,2,0,0,0,0
558,11715,0,0,0,72,26,0,0,27,1,1,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,50,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,31,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,9,0,11,0,0,0,0
578,12250,0,0,4,106,50,0,0,57,5,4,0,0,0,1,1,0,0,1,0,3,0,1,2,0,0,0,0,0,0,0,1,0,0,27,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,25,11,0,48,0,2,3,0,0,3,0,0,0,0,0,2,0,0,1,1,0,0,5,0,16,0,0,0,0
602,30164,0,0,1,14,18,0,0,59,7,7,0,0,0,0,0,0,0,1,0,0,0,1,9,0,0,0,0,0,0,1,2,0,1,33,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,5,48,8,0,29,0,1,3,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0
607,30180,0,1,2,24,25,0,0,99,7,8,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,2,0,0,22,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,78,19,0,65,0,0,7,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,4,0,7,0,0,0,0
632,30263,0,0,0,28,23,0,1,67,3,10,0,0,0,0,1,0,0,0,0,1,0,0,16,0,0,0,0,0,0,0,0,0,2,39,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,12,37,15,0,44,0,3,5,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,0,0,0,0
642,30296,0,1,0,24,20,0,1,48,4,6,0,0,0,0,0,0,0,1,0,0,0,0,8,1,0,0,0,0,0,0,1,0,0,36,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,9,22,1,0,27,0,3,4,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,8,0,0,0,0
655,30339,0,0,1,22,18,0,1,68,3,7,0,2,0,0,0,0,0,0,0,2,0,2,12,1,0,0,0,0,0,0,2,0,1,31,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,7,43,9,0,58,0,3,5,0,2,5,3,0,0,1,0,2,0,1,0,1,0,0,5,0,18,0,0,0,0
662,30362,0,3,1,31,31,0,0,64,8,12,0,0,0,1,0,0,1,3,0,0,1,2,22,1,0,0,0,0,0,1,3,1,2,47,3,0,5,1,0,1,0,0,0,0,0,0,0,0,0,8,38,6,1,89,0,4,8,0,0,8,0,0,1,0,0,2,0,0,0,3,0,0,8,0,7,0,0,0,1
679,30418,0,1,2,59,31,0,3,100,6,8,0,0,0,1,0,0,0,0,0,2,0,0,31,0,0,0,1,0,0,0,3,0,0,35,2,0,4,0,0,0,0,0,1,0,0,0,0,0,0,6,53,15,0,49,1,8,6,0,1,1,0,0,0,2,0,1,0,0,0,2,0,0,8,0,8,0,0,0,0
687,30444,0,1,4,38,24,0,0,77,6,11,0,2,0,0,0,0,0,1,0,1,0,1,24,1,0,0,0,0,0,0,1,1,2,27,3,0,2,1,0,0,0,0,0,0,0,0,1,0,0,12,52,14,0,63,0,6,9,0,0,4,0,0,0,1,0,4,0,0,0,1,0,0,7,2,30,0,0,0,0
702,30494,0,0,2,52,41,0,0,78,12,3,0,0,0,1,0,0,0,1,0,6,0,0,40,0,0,0,0,0,0,1,1,0,1,39,4,0,2,0,0,1,0,0,1,0,2,0,0,0,0,1,10,5,0,61,0,5,4,0,5,2,0,0,0,0,0,1,0,0,1,1,0,0,8,0,15,0,0,0,0
726,30573,0,0,2,54,21,0,0,70,6,2,0,0,0,0,0,0,0,0,0,2,0,0,8,0,1,0,0,0,0,2,5,0,0,49,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,3,3,0,25,1,5,1,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,3,0,19,0,0,0,0
741,30622,0,0,0,89,51,0,0,79,7,6,0,0,0,0,0,0,0,2,0,1,0,0,14,1,0,0,0,0,0,0,1,0,0,40,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,8,5,0,42,0,5,5,0,0,5,0,0,0,1,0,0,0,0,0,2,0,0,6,0,25,0,0,0,0
746,30639,0,2,0,84,41,0,0,89,9,4,0,0,0,0,0,0,0,2,0,2,0,0,18,0,1,0,0,0,0,0,4,0,5,37,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,10,4,0,41,1,9,4,0,0,7,3,0,0,1,0,2,0,0,2,4,0,1,5,0,15,0,0,0,0
761,30688,0,1,5,84,48,0,0,79,10,6,0,0,0,0,0,0,0,2,0,3,0,0,15,0,0,0,0,0,0,0,3,0,4,24,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,23,13,0,44,0,4,5,0,0,4,2,0,0,0,0,1,0,0,1,1,0,2,12,0,12,0,0,0,0
773,30728,0,3,1,98,43,0,1,98,5,7,0,0,0,1,0,0,0,2,0,2,0,0,19,0,0,0,1,0,0,0,1,0,1,36,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,8,26,9,0,49,0,4,3,0,5,7,0,0,0,0,0,1,0,0,0,2,0,2,6,1,18,0,0,0,0
803,30827,0,2,0,99,19,0,0,105,6,2,0,0,0,0,0,0,0,2,0,2,0,0,7,0,0,0,0,1,0,1,3,0,1,22,1,0,2,0,0,0,0,0,1,1,0,0,0,0,0,3,12,6,0,45,0,8,1,0,0,6,1,1,0,2,0,2,1,0,0,4,0,0,2,0,3,0,0,0,0
823,30893,0,1,1,105,44,0,2,99,6,2,0,0,0,0,0,0,0,2,0,1,0,0,15,0,0,0,0,0,0,0,4,0,1,25,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,4,15,10,0,54,0,5,2,0,2,4,0,1,0,0,0,1,1,0,1,2,0,0,6,0,7,0,0,0,0
852,30988,0,2,4,96,36,0,0,87,8,3,0,0,0,1,0,0,0,2,0,2,0,0,13,0,0,0,0,0,0,0,0,0,1,28,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,16,6,0,48,0,5,5,4,0,4,0,0,0,0,0,2,0,0,0,2,0,0,4,0,11,0,0,0,0
875,31064,0,0,0,110,26,0,0,125,5,2,0,0,0,0,0,0,0,4,0,0,0,0,14,0,0,0,0,0,0,0,3,0,0,31,2,0,4,1,0,0,0,0,1,0,0,0,0,0,0,4,8,5,0,36,0,6,5,0,0,3,0,0,0,0,0,2,0,0,0,2,0,0,3,0,7,0,0,0,0
897,31137,0,4,0,76,31,0,2,77,9,8,1,0,0,0,0,0,0,2,0,1,0,0,30,0,0,0,0,0,0,0,3,2,1,28,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,22,12,0,54,0,5,9,0,6,11,0,0,0,0,3,2,0,0,0,3,0,3,8,0,11,0,0,0,0
919,31209,0,2,0,81,42,0,1,87,16,2,3,2,0,0,0,0,0,7,0,0,0,0,20,0,1,0,0,1,0,1,7,0,3,35,3,0,4,1,0,0,0,0,1,0,0,0,0,0,0,6,23,11,0,65,0,3,9,0,1,14,0,0,0,2,0,1,0,0,0,4,0,1,5,1,12,0,0,0,0
939,31275,0,0,0,117,46,1,0,86,8,3,0,0,0,0,0,0,0,6,0,0,0,0,21,0,0,0,0,0,0,0,5,0,1,33,4,0,4,1,0,0,0,0,0,0,0,0,0,0,0,3,23,8,0,50,0,3,7,0,0,4,0,0,0,1,0,3,0,0,0,1,0,0,5,0,8,0,0,0,0
962,31351,0,1,0,96,35,0,0,123,10,7,1,0,0,0,0,0,0,2,0,2,0,0,24,1,0,0,0,0,0,1,3,1,2,28,4,0,3,0,0,1,0,0,2,1,0,0,0,0,0,5,16,10,0,81,0,8,8,0,0,7,0,1,0,0,0,0,1,1,0,4,0,3,9,0,20,0,0,0,0
982,31417,0,1,1,98,41,0,1,97,7,8,0,2,0,0,0,0,0,5,0,1,0,1,29,1,0,0,0,0,0,0,1,0,2,24,2,1,3,0,0,1,1,0,0,0,0,0,0,0,0,5,19,11,0,91,0,8,10,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,8,0,21,0,0,0,2
1002,31483,0,2,0,83,44,3,1,123,9,3,0,0,0,1,0,0,0,1,0,0,0,0,15,0,0,0,0,0,0,0,5,0,1,25,2,0,4,1,0,0,0,0,1,0,0,0,0,0,0,3,13,9,0,55,0,10,5,0,0,5,0,0,0,0,0,2,0,0,0,1,0,1,1,0,6,0,0,0,0
1017,31533,0,2,2,29,45,0,2,102,10,8,0,0,0,1,0,0,0,4,0,0,0,0,38,1,0,0,0,0,0,1,3,1,3,28,3,0,4,0,0,0,1,0,0,0,0,0,0,0,3,4,15,13,0,93,0,3,12,0,1,8,1,0,0,0,0,1,0,0,0,1,0,0,6,0,18,0,0,0,3
1032,31582,0,1,1,30,27,0,2,88,8,5,0,0,0,0,0,0,1,0,0,0,1,0,26,4,0,0,0,0,0,0,4,1,1,45,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,17,18,0,54,0,1,8,1,4,6,0,0,1,0,0,3,0,0,1,1,0,0,9,0,26,0,0,0,0
1041,31612,0,0,1,33,34,1,2,79,10,1,1,0,0,1,0,0,2,2,0,0,2,0,35,0,0,0,0,0,0,0,4,2,2,32,5,0,5,1,0,2,0,1,1,0,0,1,0,0,0,2,14,19,0,62,1,0,13,1,2,14,0,0,2,0,0,3,0,0,0,2,0,0,12,0,17,0,0,0,0
1056,31661,0,2,1,21,29,1,2,108,10,7,0,2,0,0,0,0,1,3,0,1,1,1,23,0,1,0,0,0,0,0,3,0,3,26,2,0,4,0,0,0,1,1,1,0,0,0,0,0,0,3,8,13,0,68,1,2,8,0,0,12,0,0,1,1,0,2,0,0,0,2,0,0,4,0,25,0,0,0,2
1071,31711,0,2,1,17,27,0,1,131,4,4,2,0,0,1,0,0,0,3,0,0,0,1,34,0,0,0,0,0,0,1,5,0,0,33,6,0,6,0,0,0,1,0,1,0,0,0,0,0,0,3,13,13,0,67,1,3,9,0,1,5,0,0,0,1,0,1,0,0,0,2,0,0,4,0,5,0,0,0,0
1086,31760,0,2,2,20,28,0,2,129,12,4,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,1,6,2,3,12,1,0,2,0,0,1,1,3,1,0,0,0,0,0,0,3,15,19,0,69,0,4,9,0,0,10,0,0,0,0,0,4,0,0,0,3,0,0,7,0,4,0,0,0,0
1101,31810,0,3,0,14,32,0,2,142,12,7,1,2,0,0,0,0,0,3,0,0,0,1,51,0,0,0,0,0,0,0,5,1,7,19,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,20,21,0,110,0,3,12,0,0,12,0,0,0,0,0,2,0,0,0,3,0,0,8,1,7,0,0,0,0
1132,31912,0,5,1,18,22,0,3,77,7,5,0,1,0,1,0,0,0,0,0,0,0,0,39,1,0,0,0,0,0,0,4,1,5,19,2,0,2,0,0,1,0,1,1,0,0,0,0,0,0,4,18,19,0,64,2,4,9,0,1,16,0,0,0,1,0,4,0,0,0,2,0,1,8,0,6,1,0,0,0
1154,31985,0,3,1,21,35,0,2,138,4,7,0,0,0,1,0,0,0,1,0,0,0,1,37,0,0,0,0,0,0,0,6,1,3,17,3,0,4,0,0,0,0,1,1,0,0,0,0,0,0,7,18,32,0,85,0,0,14,1,1,14,0,0,0,0,0,5,0,0,0,2,0,3,9,0,4,1,0,0,0
1174,32051,0,5,1,13,32,0,3,98,10,9,1,1,0,1,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,7,2,1,25,1,0,4,2,0,0,0,0,1,0,0,0,2,0,0,6,18,23,0,81,0,3,12,1,0,11,0,0,0,0,0,1,0,0,0,3,0,1,13,0,11,0,0,1,0
1194,32116,0,2,4,16,32,0,0,86,3,6,3,0,1,2,0,0,0,0,1,0,0,0,42,1,1,2,0,0,0,1,8,0,1,35,5,0,6,0,0,0,1,0,0,0,0,0,0,0,0,2,8,15,0,82,1,0,15,1,0,15,1,0,0,2,1,2,0,1,0,1,0,1,6,1,9,0,0,0,0
1204,32155,0,3,2,15,45,0,2,102,7,5,0,0,0,1,0,0,0,0,0,3,0,0,28,1,0,0,0,0,0,0,3,1,1,23,3,0,5,1,0,0,0,2,1,0,0,0,0,0,0,3,11,14,0,67,0,5,11,2,0,13,0,0,0,0,0,3,0,0,0,1,0,0,5,0,4,0,0,0,0
1216,32200,0,1,0,14,34,0,3,68,9,7,1,1,0,0,0,0,0,2,0,0,0,0,31,0,0,0,0,1,0,2,14,0,1,28,2,0,3,1,0,0,0,1,0,0,0,0,1,0,1,19,7,34,0,54,0,4,8,0,2,6,0,0,0,1,0,1,0,0,0,1,1,2,8,0,1,1,0,0,0
1225,32235,0,2,0,26,78,0,0,119,5,3,0,0,0,0,0,0,0,1,0,0,0,0,24,0,0,0,0,0,0,0,13,0,2,39,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,7,7,20,0,65,3,0,3,0,1,8,0,0,0,0,0,3,0,0,0,0,0,0,4,0,1,0,0,0,0
1245,32311,0,5,1,17,51,0,1,57,9,2,0,0,0,0,0,0,0,1,0,1,0,0,24,0,1,0,0,0,0,0,9,0,1,34,4,0,5,0,0,0,0,1,0,0,0,0,0,0,0,9,23,41,0,59,0,3,9,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,5,0,3,0,0,0,0
1264,32383,0,4,1,20,68,0,1,93,5,6,3,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,6,0,0,35,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,7,15,15,0,55,0,2,8,0,0,11,1,0,0,0,0,2,0,0,0,1,0,0,4,0,3,0,0,0,0
1284,32460,0,2,0,22,79,0,1,84,7,2,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,9,0,1,40,4,0,3,0,0,0,0,0,2,0,0,0,0,0,0,12,20,26,0,40,0,2,5,0,1,10,0,0,0,0,1,1,0,0,0,1,2,0,1,0,2,0,0,0,0
1294,32498,0,2,2,22,78,0,0,76,4,4,0,1,0,0,0,0,0,0,0,0,0,0,22,1,0,0,0,0,0,0,9,0,2,37,4,0,5,0,0,1,0,0,2,0,0,0,0,0,0,14,20,21,0,46,0,1,10,0,1,18,0,0,0,0,0,3,0,0,0,2,0,0,6,0,8,0,0,0,0
1304,32536,0,1,0,16,66,0,1,101,6,4,2,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,3,0,0,34,2,0,3,0,0,0,0,1,1,0,0,0,0,0,0,11,32,31,1,50,0,3,8,0,0,17,1,0,0,0,0,2,0,0,0,0,0,0,6,0,8,0,0,0,0
1324,32612,0,2,0,25,67,0,0,94,8,4,0,0,0,0,0,0,0,1,0,0,0,0,10,1,0,0,0,1,0,0,4,0,1,34,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,29,20,0,65,0,3,7,0,0,13,0,0,0,0,0,2,0,0,0,1,0,1,4,0,2,0,0,0,0
1344,32689,0,2,0,22,45,0,0,47,4,4,2,0,0,0,2,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,40,3,0,2,1,0,1,0,0,0,0,0,0,0,0,0,10,22,17,0,29,0,3,6,0,0,15,0,0,0,0,0,2,0,0,0,1,0,0,2,0,2,0,0,0,0
1354,32727,0,4,1,24,56,0,0,53,5,8,0,0,0,0,0,0,0,1,0,0,0,0,22,0,0,0,0,0,0,0,1,0,2,26,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,11,34,30,1,57,0,2,9,0,2,15,0,0,0,0,1,2,0,0,0,0,0,1,7,0,2,0,0,0,0
1364,32765,0,5,0,48,44,0,2,91,5,5,0,0,0,0,0,0,0,0,0,0,0,0,24,1,1,0,0,0,0,0,2,0,1,58,2,0,5,0,0,0,1,0,1,0,0,0,0,0,0,15,44,33,0,55,0,2,15,0,3,22,0,0,0,0,0,4,0,1,0,2,0,2,12,0,5,0,0,0,0
1376,32811,0,2,0,16,28,0,0,59,6,4,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1,0,0,2,26,2,0,2,0,0,1,0,1,2,0,2,0,0,0,0,11,41,45,0,59,0,2,4,0,0,19,1,0,0,1,1,2,0,0,0,1,0,3,6,1,2,0,0,0,0
1384,32841,0,0,1,58,31,0,0,98,6,3,1,0,0,0,0,0,0,1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,2,33,3,0,5,0,0,1,0,0,0,0,0,0,0,0,0,21,35,42,0,35,0,5,6,1,1,9,0,0,0,0,0,2,0,0,0,2,0,2,7,0,4,1,0,0,0
1404,32917,0,1,0,43,44,0,0,103,5,3,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,31,3,0,3,0,0,0,1,0,0,0,0,0,0,0,0,5,13,18,0,31,0,2,5,0,1,8,0,0,0,0,0,1,0,0,1,1,0,1,4,0,1,0,0,0,0
1420,32978,0,5,0,36,70,0,1,137,5,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,37,7,0,4,1,0,0,1,0,0,0,0,0,0,0,0,4,20,12,0,30,0,1,6,0,1,10,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5,0,0,0,0
1440,33055,0,3,2,26,71,0,1,114,4,4,2,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,2,51,6,0,4,0,0,1,1,0,0,0,0,0,0,0,0,8,21,24,0,42,1,6,10,0,3,15,0,0,0,0,0,4,0,0,0,1,0,2,6,0,4,0,0,0,1
1460,33131,0,2,0,39,41,0,1,123,7,1,1,0,0,0,1,0,0,4,0,0,0,0,13,1,0,0,0,0,0,0,1,0,2,28,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,29,17,0,46,0,0,3,1,0,11,0,0,0,0,0,2,0,0,0,3,0,1,6,0,0,0,0,0,0
1480,33207,0,2,2,34,39,0,1,118,9,2,1,0,0,0,1,0,2,0,0,0,2,0,28,0,1,0,0,1,0,0,2,0,3,24,4,0,4,1,0,2,0,0,0,0,0,0,0,0,0,4,19,23,0,50,0,3,12,1,1,10,1,0,2,0,0,4,0,0,0,6,0,6,5,1,1,1,1,0,0
1495,33264,0,2,0,15,40,0,0,100,8,4,0,1,0,1,0,0,0,0,0,0,0,0,17,0,1,1,0,0,0,0,3,0,1,25,8,0,3,1,0,2,1,0,0,0,0,0,0,0,0,5,30,19,3,69,0,1,7,1,2,20,0,0,0,0,0,2,0,0,0,6,0,0,10,0,3,0,1,0,0
1500,33284,0,4,0,16,48,0,3,107,11,1,0,0,0,0,0,0,1,2,0,0,1,0,15,0,0,0,0,0,0,0,1,1,4,16,4,0,4,1,0,0,0,0,0,0,0,0,0,0,0,2,36,10,0,74,0,1,4,1,2,11,0,0,1,0,0,0,0,0,1,5,0,1,5,0,3,0,0,0,0
1520,33360,0,2,0,12,42,0,1,85,8,2,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,3,0,2,11,6,0,4,0,0,0,1,0,0,0,0,0,0,0,0,3,18,18,0,72,0,2,7,0,0,15,0,0,0,0,0,2,0,0,0,2,0,3,9,0,0,0,0,0,0
