"sample.depths","sample.ages","Abies","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Betula","Cyperaceae","Picea","Pinus.subg..Pinus","Pinus.undiff.","Asteraceae.subf..Asteroideae.undiff.","Myrica","Populus","Poaceae","Ericaceae.undiff.","Pinus.subg..Strobus","Cornus","Caryophyllaceae","Larix","Quercus","Fraxinus","Brassicaceae","Rumex","Salix","Artemisia","Amaranthaceae.undiff.","Acer.rubrum","Sarcobatus.vermiculatus","Ulmus","Ranunculus","Shepherdia","Ledum.Chamaedaphne.calyculata","Acer.negundo","Tsuga","Thalictrum","Caprifoliaceae","Asteraceae.subf..Cichorioideae","Dryas.type","Epilobium","Fabaceae","Acer.undiff.","Asteraceae.undiff.","Vaccinium"
1100,5927,0.0778816199376947,0.00311526479750779,0.087227414330218,0,0.208722741433022,0.0249221183800623,0.554517133956386,0.00934579439252336,0.00934579439252336,0,0,0,0,0,0.0155763239875389,0,0,0,0,0.00311526479750779,0,0,0.00311526479750779,0,0,0,0,0,0,0.00311526479750779,0,0,0,0,0,0,0,0,0,0,0,0
1115,6171,0.145454545454545,0.00303030303030303,0.0484848484848485,0,0.23030303030303,0.0121212121212121,0.536363636363636,0,0.00606060606060606,0,0,0,0.00303030303030303,0,0,0,0,0.00303030303030303,0,0,0,0,0,0.00606060606060606,0,0,0,0.00303030303030303,0,0,0.00303030303030303,0,0,0,0,0,0,0,0,0,0,0
1120,6252,0.196551724137931,0,0.127586206896552,0,0.331034482758621,0.0172413793103448,0.3,0.0137931034482759,0,0,0,0,0,0.00344827586206897,0,0,0,0,0,0,0.00689655172413793,0,0,0,0,0,0,0.00344827586206897,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1125,6333,0.178451178451178,0,0.0942760942760943,0.0101010101010101,0.316498316498317,0.0202020202020202,0.32996632996633,0,0.0134680134680135,0,0,0,0.00336700336700337,0,0,0,0,0.00336700336700337,0,0.00673400673400673,0,0,0.0101010101010101,0.00673400673400673,0.00336700336700337,0,0,0,0,0,0,0.00336700336700337,0,0,0,0,0,0,0,0,0,0
1130,6415,0.286885245901639,0,0.0368852459016393,0,0.135245901639344,0.0122950819672131,0.504098360655738,0,0.0109289617486339,0,0,0,0.00273224043715847,0,0,0,0,0,0.00683060109289617,0,0,0,0.00409836065573771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1135,6496,0.225913621262458,0,0.112956810631229,0.00332225913621262,0.272425249169435,0.0299003322259136,0.285714285714286,0,0.0431893687707641,0.00332225913621262,0,0,0.00664451827242525,0,0,0,0,0,0.00332225913621262,0,0,0,0.00664451827242525,0.00332225913621262,0,0,0,0.00332225913621262,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1140,6577,0.253571428571429,0,0.110714285714286,0.00357142857142857,0.203571428571429,0.05,0.317857142857143,0.00714285714285714,0.0107142857142857,0,0,0,0.00357142857142857,0,0.0321428571428571,0,0,0,0,0.00357142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0.00357142857142857,0,0,0,0,0,0,0,0,0
1145,6659,0.359621451104101,0,0.0883280757097792,0.00315457413249211,0.176656151419558,0.00630914826498423,0.32807570977918,0,0.0189274447949527,0,0,0,0,0,0,0,0,0,0,0.00315457413249211,0,0,0.00946372239747634,0,0.00315457413249211,0,0,0.00315457413249211,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1150,6740,0.316849816849817,0,0.0824175824175824,0,0.115384615384615,0.00366300366300366,0.445054945054945,0,0.0201465201465201,0,0,0,0.00366300366300366,0,0,0,0.00183150183150183,0,0.00183150183150183,0.00549450549450549,0,0,0.00183150183150183,0.00183150183150183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1155,6821,0.230936819172113,0,0.26797385620915,0.00217864923747277,0.137254901960784,0,0.257080610021787,0.028322440087146,0,0,0,0,0.0217864923747277,0.00217864923747277,0.0261437908496732,0,0,0,0.0065359477124183,0.00217864923747277,0,0,0.0152505446623094,0.00217864923747277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1160,6903,0.0378006872852234,0,0.281786941580756,0,0.175257731958763,0.0171821305841924,0.446735395189003,0.0103092783505155,0,0.00343642611683849,0,0,0.013745704467354,0,0.0103092783505155,0,0,0,0,0,0.00343642611683849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1165,6984,0.110410094637224,0,0.252365930599369,0,0.0977917981072555,0.00946372239747634,0.476340694006309,0,0.0315457413249211,0,0,0,0.00315457413249211,0.00315457413249211,0,0,0,0,0,0.00315457413249211,0,0,0.00630914826498423,0,0,0,0,0,0,0,0,0,0,0.00315457413249211,0.00315457413249211,0,0,0,0,0,0,0
1170,7065,0.0031055900621118,0,0.627329192546584,0,0.152173913043478,0.0093167701863354,0.195652173913043,0,0.0093167701863354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0031055900621118,0,0,0,0,0,0,0,0,0,0,0,0,0
1175,7356,0.00615384615384615,0,0.673846153846154,0,0.0892307692307692,0.00307692307692308,0.212307692307692,0,0,0.00307692307692308,0.00307692307692308,0,0.00615384615384615,0.00307692307692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1180,7647,0.0243161094224924,0,0.559270516717325,0.00303951367781155,0.21580547112462,0.0182370820668693,0.100303951367781,0.00303951367781155,0.0060790273556231,0.00303951367781155,0,0,0.0243161094224924,0.00303951367781155,0.00303951367781155,0,0,0,0.00303951367781155,0,0.00303951367781155,0,0.0121580547112462,0,0,0,0,0,0.0182370820668693,0,0,0,0,0,0,0,0,0,0,0,0,0
1185,7938,0.00588235294117647,0,0.335294117647059,0,0.252941176470588,0.0352941176470588,0.335294117647059,0,0.0147058823529412,0,0,0,0.00294117647058824,0.00294117647058824,0,0,0.00588235294117647,0,0,0,0,0,0.0088235294117647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1190,8229,0,0,0.418604651162791,0.00290697674418605,0.319767441860465,0.0232558139534884,0.119186046511628,0,0.0406976744186047,0.00290697674418605,0.00290697674418605,0,0.0232558139534884,0.00290697674418605,0,0,0,0,0.00872093023255814,0,0,0,0.0290697674418605,0.00290697674418605,0,0,0,0,0.00290697674418605,0,0,0,0,0,0,0,0,0,0,0,0,0
1230,10555,0.0306122448979592,0,0.142857142857143,0,0.459183673469388,0.0918367346938776,0.0204081632653061,0,0,0,0,0,0.0714285714285714,0.0204081632653061,0,0,0,0,0,0,0,0,0.163265306122449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1240,11137,0.00326797385620915,0,0.166666666666667,0,0.349673202614379,0.169934640522876,0.117647058823529,0,0,0.00326797385620915,0,0,0.0457516339869281,0.0065359477124183,0.0588235294117647,0,0,0,0,0,0,0,0.0686274509803922,0.0065359477124183,0,0,0,0,0,0,0,0,0,0,0,0.00326797385620915,0,0,0,0,0,0
1250,11718,0.009009009009009,0,0.045045045045045,0,0.738738738738739,0.09009009009009,0.009009009009009,0,0,0,0,0,0.045045045045045,0.009009009009009,0,0,0,0,0,0,0,0,0.0540540540540541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1255,12009,0,0,0.123076923076923,0.00307692307692308,0.621538461538461,0.0676923076923077,0.0646153846153846,0,0.0123076923076923,0.00307692307692308,0,0,0.0123076923076923,0.00615384615384615,0,0,0.00307692307692308,0,0,0,0,0,0.0769230769230769,0.00615384615384615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1260,12300,0,0,0.14336917562724,0,0.598566308243728,0.0824372759856631,0.060931899641577,0,0.003584229390681,0,0,0,0.032258064516129,0,0,0,0.003584229390681,0,0,0,0,0,0.060931899641577,0.007168458781362,0,0,0,0,0.003584229390681,0,0,0,0,0,0,0,0.003584229390681,0,0,0,0,0
1265,NA,0,0,0.117478510028653,0,0.550143266475645,0.0687679083094556,0.0487106017191977,0,0.0716332378223496,0,0,0,0.0257879656160458,0,0,0,0.00286532951289398,0,0.00286532951289398,0,0,0,0.0945558739255014,0.00286532951289398,0.00286532951289398,0,0,0,0,0,0,0,0,0.00573065902578797,0,0,0,0.00286532951289398,0.00286532951289398,0,0,0
1270,NA,0.0714285714285714,0,0.0714285714285714,0,0.5,0.0714285714285714,0,0,0.0714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1275,NA,0,0,0.0977917981072555,0.00630914826498423,0.49211356466877,0.0757097791798107,0.056782334384858,0,0.0851735015772871,0,0,0,0.0220820189274448,0.00630914826498423,0,0,0,0,0,0,0,0,0.113564668769716,0.00946372239747634,0,0,0,0,0.00630914826498423,0,0.00630914826498423,0,0,0,0,0.00315457413249211,0.0126182965299685,0,0,0.00315457413249211,0.00315457413249211,0
1280,NA,0,0,0.0894568690095847,0,0.456869009584665,0.0702875399361022,0.0575079872204473,0,0.118210862619808,0,0,0,0.0543130990415335,0.0319488817891374,0,0,0.00638977635782748,0.00638977635782748,0.00638977635782748,0,0,0,0.0798722044728434,0.00958466453674121,0,0,0,0,0.00319488817891374,0.00319488817891374,0,0,0,0,0,0,0,0,0,0,0,0.00638977635782748
