"sample.depths","sample.ages","upland.sum","Acer.rubrum","Acer.saccharum","Acer.undiff.","Alnus.incana","Betula","Betulaceae.undiff.","Carya","Castanea","Celtis","Cephalanthus","Clethra","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.nigra","Fraxinus.pennsylvanica","Ilex","Juglans","Liquidambar","Moraceae","Myrica","Nyssa","Ostrya.Carpinus","Picea.glauca","Picea.mariana","Picea.undiff.","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnus","Rhus","Salix","Sapindaceae","Tilia","Tsuga","Ulmus","Ambrosia","Araliaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Chenopodiaceae.Amaranthaceae","Cyperaceae.undiff.","Fabaceae.undiff.","Gentiana","Humulus.Cannabis.sativa","Hypericum","Iva.annua.type","Lamiaceae","Linnaea.borealis","Plantago.undiff.","Plantago.rigida.type","Poaceae.undiff.","Ranunculus","Rosaceae","Rumex","Secale","Thalictrum","Trifolium","Urticaceae"
30,670,569,0,1,0,5,33,0,6,1,0,0,0,0,2,3,4,11,0,2,0,1,0,0,29,0,1,2,0,2,10,0,313,1,1,84,0,0,0,0,1,28,1,3,0,2,1,0,0,1,0,0,0,1,0,0,1,14,0,0,1,0,0,0,0,3
32,714,556,0,2,0,4,37,0,4,1,0,0,0,0,1,0,1,12,0,2,0,0,0,0,28,0,2,1,0,2,8,1,328,0,0,82,0,0,0,0,0,12,4,2,0,0,2,0,2,0,0,0,0,0,0,0,0,17,1,0,0,0,0,0,0,0
36,804,572,0,2,0,5,28,0,7,2,0,0,0,0,4,2,0,9,0,0,1,1,0,0,28,2,2,0,0,1,13,0,321,0,0,93,0,0,0,0,0,21,2,0,1,0,2,0,1,0,0,0,0,0,0,0,0,23,1,0,0,0,0,0,0,0
40,893,589,2,1,0,1,44,0,3,0,0,0,1,0,4,3,2,15,1,0,0,0,0,0,44,0,5,3,0,2,5,0,295,0,0,106,0,0,0,0,0,17,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,22,2,0,1,2,0,1,0,0
44,982,528,2,2,0,2,40,2,4,2,0,0,0,0,3,2,0,11,0,3,0,0,0,0,35,0,1,0,0,0,14,3,259,0,0,91,1,0,0,0,0,18,1,1,0,3,3,0,0,1,0,0,0,0,0,0,1,20,2,0,0,0,0,0,0,1
48,1071,564,0,4,0,8,36,2,8,1,0,0,0,0,4,6,0,14,0,3,1,0,0,0,39,0,5,0,0,2,10,0,275,0,1,101,0,0,0,0,0,21,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0,0,0
52,1160,580,0,1,0,4,34,0,7,5,0,0,1,0,2,2,1,11,0,5,1,0,0,0,42,0,4,0,0,2,12,2,282,0,0,123,0,0,0,1,0,21,3,2,0,1,4,0,0,0,0,0,0,1,0,0,0,5,0,1,0,0,0,0,0,0
56,1250,576,1,3,1,1,30,1,5,1,0,0,0,0,3,2,0,16,0,1,2,0,0,0,30,0,3,0,0,2,9,1,335,2,0,88,0,0,0,0,1,25,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0
60,1339,551,1,3,0,1,46,1,5,1,0,0,0,0,0,0,4,19,1,2,0,0,0,0,25,0,4,1,0,1,13,2,274,1,0,105,0,0,0,0,0,30,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,7,1,0,0,0,0,0,0,0
64,1392,616,2,3,0,10,44,2,4,1,0,0,1,0,1,1,2,4,0,2,0,0,0,0,30,0,5,0,0,4,13,1,347,1,0,96,0,0,0,0,0,14,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,18,6,0,0,0,0,0,0,0
68,1432,569,0,2,0,1,36,0,6,2,0,0,1,0,0,1,0,9,0,2,1,0,0,0,27,1,2,0,0,1,15,2,311,0,0,88,0,0,0,0,0,18,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,35,1,0,1,1,0,0,0,0
72,1473,507,2,4,0,5,38,1,6,1,0,0,2,0,1,1,2,9,0,0,1,0,0,0,34,2,1,0,0,0,5,1,249,1,0,104,0,0,0,0,0,25,2,1,0,2,0,0,0,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0
76,1513,567,0,1,0,3,23,1,11,0,0,0,0,0,0,3,1,11,1,1,2,0,1,0,33,0,4,0,0,1,7,1,298,0,1,120,0,0,0,0,0,19,2,1,0,0,1,1,0,0,0,0,0,0,0,1,0,18,0,0,0,0,0,0,0,0
80,1554,590,1,5,0,6,28,0,12,1,0,0,1,0,6,3,3,10,0,2,0,2,0,0,32,0,2,0,0,1,8,1,292,0,0,126,0,0,1,0,0,18,3,1,1,2,0,0,2,0,0,0,0,0,0,0,0,15,4,0,0,0,0,1,0,0
84,1594,627,1,2,0,6,41,0,5,0,0,0,2,0,2,5,0,11,0,3,1,0,1,0,27,0,3,0,1,1,11,1,310,0,0,142,0,0,0,0,0,28,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,16,2,0,0,0,0,1,0,0
88,1635,531,0,3,1,2,22,5,11,0,0,0,0,0,5,6,0,16,0,2,5,0,0,0,30,0,4,0,0,2,8,1,248,0,0,119,0,0,0,0,2,20,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0
92,1676,569,0,4,1,7,55,1,9,0,0,0,2,0,3,1,1,20,1,1,1,0,0,0,35,1,0,1,0,1,12,4,257,1,0,111,0,0,0,0,0,19,4,1,0,0,0,0,2,0,0,0,1,1,0,0,0,7,4,0,0,0,0,0,0,0
96,1716,557,2,5,0,3,50,2,5,1,0,0,1,0,2,0,1,12,0,1,2,0,0,0,23,2,3,0,0,3,16,0,265,0,0,112,0,0,0,0,0,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,0,0,0,0,0,0,0
100,1757,536,0,4,1,1,44,1,7,3,0,0,1,0,3,1,1,16,1,0,1,0,0,0,27,1,4,0,0,0,5,0,262,1,0,100,0,0,0,0,1,16,6,0,0,2,2,0,0,0,0,0,2,0,0,0,0,16,6,0,0,0,0,0,0,0
104,1797,634,0,5,0,3,49,2,10,0,0,0,0,0,4,2,1,11,0,1,2,1,0,0,41,0,3,0,0,1,13,3,327,0,0,118,0,0,0,0,0,19,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,10,2,0,1,0,0,0,0,0
108,1927,606,2,3,1,2,37,0,6,0,0,0,1,0,2,5,3,35,1,3,2,0,0,0,38,0,2,2,0,1,8,1,288,0,0,129,0,0,0,0,0,20,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
112,2086,565,0,1,0,5,41,1,2,1,0,0,0,0,2,2,0,21,0,1,0,0,1,0,32,0,3,2,0,1,1,1,302,0,0,108,0,0,0,0,0,24,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0
116,2245,609,0,5,0,6,44,1,5,0,0,0,1,0,3,2,0,21,0,2,0,1,0,0,23,0,3,0,0,1,8,1,313,1,0,124,0,0,0,0,0,26,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,0,0,0,0,0,0
120,2404,665,1,0,0,2,53,0,8,1,0,0,0,0,7,2,1,31,2,2,1,2,1,0,28,1,1,1,0,1,14,1,312,1,0,133,0,0,0,0,0,25,5,2,0,0,0,0,0,0,0,0,0,0,1,0,0,21,4,0,0,0,0,0,0,0
128,2722,554,1,1,0,1,47,4,8,1,0,0,0,0,6,2,0,21,0,3,1,0,1,1,37,1,4,0,0,1,8,5,242,1,0,116,0,0,1,0,0,21,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0
136,3040,680,0,4,0,6,38,0,16,0,0,0,0,0,2,5,1,14,0,0,1,1,0,0,50,1,4,1,0,1,8,4,292,0,0,184,0,0,0,0,2,23,4,0,0,1,2,0,0,0,0,0,0,1,0,0,0,11,3,0,0,0,0,0,0,0
144,3358,598,0,5,0,2,39,1,4,2,0,0,1,0,0,1,1,23,0,3,0,1,0,0,28,0,3,0,0,2,11,4,297,0,0,119,0,0,0,0,0,12,0,2,0,0,1,1,0,0,0,0,1,0,0,0,0,31,3,0,0,0,0,0,0,0
152,NA,610,1,1,0,2,27,0,15,1,0,0,1,1,2,3,2,23,0,4,0,1,1,0,41,2,3,0,0,0,14,3,297,0,1,135,0,0,0,0,0,5,4,1,0,2,3,1,0,0,0,0,0,0,0,0,0,8,4,0,1,0,0,0,0,0
160,NA,535,0,1,0,4,30,4,4,0,0,0,0,1,5,4,0,14,0,1,0,1,0,1,21,0,9,0,0,1,10,10,275,0,0,110,1,0,0,0,0,5,3,1,1,0,4,0,4,0,0,0,0,0,0,0,0,4,5,0,1,0,0,0,0,0
