"sample.depths","sample.ages","Abies.balsamea","Acer.pensylvanicum","Acer.rubrum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Carya.ovata","Castanea.dentata","Cerealia","Corylus.cornuta","Cyperaceae","Diphasiastrum.alpinum.type","Drosera","Dryas","Equisetum","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Indeterminable","Isoëtes","Juglans.cinerea","Juniperus.type","Larix","Lycopodium.annotinum.type","Lycopodium.clavatum","Lycopodium.obscurum.type","Menyanthes.trifoliata","Myrica.gale","Myriophyllum","Nemopanthus.mucronatus","Nuphar","Osmunda.cinnamomea","Osmunda.regalis.type","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinaceae","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Pinus.undiff.","Poaceae.undiff.","Polypodium.virginianum","Populus.balsamifera.type","Populus.deltoides.type","Populus.tremuloides.type","Potamogetonaceae.Triglochin","Potentilla.palustris.type","Quercus","Rosaceae.undiff.","Rumex.type","Salix","Sambucus","Sarracenia.purpurea","Saxifraga.cernua.type","Shepherdia.canadensis","Sphagnum","Thalictrum","Tilia","Tsuga.canadensis","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete."
400,6856,9,0,0,3,0,1,1,0,0,0,0,34,0,0,0,0,6,0,0,0,0,9,1,2,0,0,1,0,0,0,4,0,0,0,0,2,0,0,0,0,1,0,4,5,5,3,5,6,151,28,0,0,0,0,1,0,0,8,0,0,2,0,0,0,0,12,0,1,5,0,0,2,4,1,1
425,7268,7,0,2,6,0,3,0,0,1,1,0,62,0,0,0,6,5,0,0,0,0,0,9,4,0,0,2,0,0,0,3,0,0,3,0,0,0,0,0,1,0,2,2,10,3,0,3,1,157,17,1,1,0,0,0,0,0,9,0,0,4,0,0,0,0,73,0,1,15,0,0,4,0,2,0
450,7680,17,0,0,9,0,4,1,0,0,1,0,94,0,0,0,6,4,0,0,0,0,1,2,3,0,0,1,0,1,0,2,0,0,4,0,0,0,0,1,0,0,0,3,8,4,0,5,0,187,25,1,0,2,0,0,0,0,21,0,0,0,0,0,0,0,7,0,0,13,0,0,6,3,2,0
475,8091,6,1,0,4,0,0,1,0,3,0,0,53,0,0,0,1,96,0,0,0,0,0,8,4,0,0,7,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,9,3,0,7,1,203,6,3,2,0,0,0,0,8,22,1,0,0,0,0,0,0,12,0,0,8,0,7,5,3,1,0
500,8503,13,0,1,1,0,0,2,0,0,0,0,82,1,0,0,2,1,1,0,0,0,0,1,2,0,1,1,0,0,0,5,0,0,1,0,2,0,0,5,0,0,0,4,37,12,0,0,1,143,14,2,0,0,0,0,0,0,13,0,0,0,0,0,0,0,1,0,0,4,2,0,2,0,4,0
520,8832,32,0,0,3,1,4,28,0,1,1,1,128,1,0,0,9,6,4,0,0,0,2,4,3,0,0,1,0,0,1,1,1,2,2,0,9,1,0,0,0,0,2,8,39,17,0,5,2,104,16,6,0,2,0,7,0,0,15,0,0,2,0,0,0,0,4,0,0,2,0,0,5,1,10,0
540,9161,16,0,0,2,0,2,11,0,1,0,0,69,0,0,0,4,16,0,0,0,7,0,0,0,0,0,4,0,0,2,4,1,2,0,0,3,0,0,3,0,0,2,0,52,17,0,15,1,84,15,2,0,0,0,0,0,1,19,1,0,2,0,0,0,0,9,0,1,6,1,0,2,2,4,3
560,9491,11,0,0,0,1,5,19,0,1,3,1,122,0,0,0,11,38,0,0,0,0,0,0,3,0,0,4,2,0,11,9,2,4,1,0,14,1,0,0,0,0,6,22,74,34,0,11,2,64,16,6,0,3,0,9,4,4,38,0,0,8,0,0,0,1,0,0,0,4,3,0,6,2,5,1
575,9738,3,0,0,1,0,1,24,1,0,7,3,92,0,1,0,7,51,2,0,0,12,0,0,0,0,0,3,1,0,4,0,2,1,0,1,3,0,0,1,0,0,0,1,29,21,0,20,0,31,23,3,0,0,0,8,1,2,18,2,0,5,0,0,2,0,1,0,0,3,2,2,5,6,2,6
590,NA,18,0,0,1,0,3,25,0,2,3,1,95,1,0,1,10,23,0,0,1,0,1,0,0,0,2,3,5,1,7,3,1,2,2,0,11,2,0,0,0,0,0,7,42,35,0,21,3,64,16,11,0,0,1,13,1,1,22,0,0,4,0,0,0,0,4,1,0,6,2,1,2,3,5,2
