"sample.depths","sample.ages","Picea","Pinus","Abies","Tsuga","Larix","Betula","Populus","Quercus","Ulmus","Acer","Fraxinus","Ostrya.Carpinus","Juniperus","Alnus","Salix","Corylus","Myrica","Cornus","Ericaceae.undiff.","Poaceae","Asteraceae.undiff.","Artemisia","Aster","Solidago","Arctostaphylos","Chenopodiineae","Rosaceae.undiff.","Potentilla","Polygonaceae","Caryophyllaceae","Ranunculaceae","Brassicaceae","Plantago","Cyperaceae"
48,2558,0.346733668341709,0.0829145728643216,0,0,0,0.0829145728643216,0,0,0,0,0,0,0.0175879396984925,0.0753768844221105,0.0100502512562814,0,0,0,0.0125628140703518,0.0326633165829146,0,0.0226130653266332,0,0,0.00753768844221105,0,0.0150753768844221,0,0.00251256281407035,0,0,0.00251256281407035,0,0.28894472361809
53,3341,0.584810126582278,0.0911392405063291,0,0,0,0.0734177215189873,0.00759493670886076,0,0,0,0,0,0.00759493670886076,0.0227848101265823,0,0,0,0,0,0.0151898734177215,0.00759493670886076,0.0151898734177215,0,0,0,0,0.0151898734177215,0,0,0,0,0,0,0.159493670886076
58,4125,0.487179487179487,0.0256410256410256,0,0,0,0.0641025641025641,0,0,0,0,0,0,0.0256410256410256,0.0288461538461538,0.0256410256410256,0,0,0,0.00961538461538462,0.0288461538461538,0.00961538461538462,0.00320512820512821,0,0,0,0.00320512820512821,0.0128205128205128,0,0.016025641025641,0,0,0.00961538461538462,0,0.25
63,4908,0.478405315614618,0.132890365448505,0,0,0,0.079734219269103,0,0,0,0,0,0,0.0166112956810631,0.026578073089701,0,0,0,0,0,0.0232558139534884,0,0.0166112956810631,0,0,0,0,0,0,0,0,0,0.00332225913621262,0,0.222591362126246
68,5285,0.555831265508685,0.0843672456575682,0,0,0,0.0769230769230769,0,0,0,0,0,0,0.00248138957816377,0.0272952853598015,0.00744416873449132,0,0,0,0.00248138957816377,0.0124069478908189,0.00248138957816377,0.00496277915632754,0,0,0,0.00248138957816377,0.00248138957816377,0,0.00496277915632754,0,0,0.00248138957816377,0,0.210918114143921
73.5,5402,0.552511415525114,0.0981735159817352,0,0,0,0.0753424657534247,0,0,0,0,0,0,0.00684931506849315,0.0273972602739726,0.00228310502283105,0,0.00228310502283105,0,0.0045662100456621,0.0159817351598174,0.0045662100456621,0.00228310502283105,0,0,0,0.0045662100456621,0.0045662100456621,0,0.0045662100456621,0,0,0.0045662100456621,0,0.189497716894977
79,5519,0.579326923076923,0.108173076923077,0,0,0,0.0697115384615385,0,0,0,0,0,0,0.00480769230769231,0.0264423076923077,0.00721153846153846,0,0,0,0.00240384615384615,0.0120192307692308,0.00240384615384615,0,0,0,0,0.00240384615384615,0,0,0,0,0,0,0,0.185096153846154
84.5,5637,0.583870967741935,0.119354838709677,0,0.0032258064516129,0,0.0612903225806452,0.0064516129032258,0,0,0,0,0,0,0.0193548387096774,0.0161290322580645,0,0,0,0,0.0129032258064516,0.0064516129032258,0,0,0,0,0,0,0,0.0032258064516129,0,0,0.0064516129032258,0,0.161290322580645
90,5754,0.55,0.15,0,0,0,0.0357142857142857,0,0,0,0,0,0,0.00476190476190476,0.05,0.00238095238095238,0,0,0,0,0.0261904761904762,0,0,0,0,0.00714285714285714,0.00238095238095238,0,0,0.00238095238095238,0,0,0,0,0.169047619047619
95,5860,0.495207667731629,0.146964856230032,0,0,0,0.0287539936102236,0.012779552715655,0,0,0,0,0,0.00638977635782748,0.0447284345047923,0.012779552715655,0,0,0,0,0.0223642172523962,0,0,0,0,0.00958466453674121,0.00638977635782748,0,0,0.00319488817891374,0,0,0,0,0.210862619808307
100,5967,0.589371980676328,0.132850241545894,0,0,0,0.0265700483091787,0.00483091787439614,0,0,0,0,0,0,0.0120772946859903,0.00966183574879227,0,0.00483091787439614,0,0.00241545893719807,0.0217391304347826,0,0,0,0.00483091787439614,0.00483091787439614,0,0.00483091787439614,0,0,0,0,0,0,0.181159420289855
105,6074,0.309859154929577,0.177464788732394,0,0.0028169014084507,0.0028169014084507,0.0816901408450704,0.0028169014084507,0,0,0,0,0,0,0.0676056338028169,0.0140845070422535,0,0.0028169014084507,0,0.0309859154929577,0.0563380281690141,0.00563380281690141,0.0140845070422535,0,0,0,0.0169014084507042,0.0028169014084507,0,0.0197183098591549,0.00563380281690141,0,0,0.0028169014084507,0.183098591549296
110,6180,0.479166666666667,0.133928571428571,0,0,0,0.104166666666667,0.00892857142857143,0,0,0,0,0,0,0.0625,0.0119047619047619,0,0,0,0.0327380952380952,0.0208333333333333,0,0.0208333333333333,0,0,0,0,0,0,0,0.0238095238095238,0,0,0.00595238095238095,0.0952380952380952
115,6287,0.529032258064516,0.112903225806452,0,0,0,0.135483870967742,0,0,0,0,0,0,0.0193548387096774,0.0548387096774194,0.0129032258064516,0,0,0,0.0483870967741935,0.00967741935483871,0,0,0,0,0,0,0,0,0.0064516129032258,0.0225806451612903,0,0,0,0.0483870967741935
120,6393,0.524539877300613,0.101226993865031,0,0,0,0.119631901840491,0.00306748466257669,0,0,0,0,0,0.00613496932515337,0.0736196319018405,0.0153374233128834,0,0,0,0.0644171779141104,0.00920245398773006,0,0,0,0,0,0,0.00306748466257669,0.00306748466257669,0.00306748466257669,0.0122699386503067,0,0,0.00306748466257669,0.058282208588957
125,6500,0.536516853932584,0.160112359550562,0,0,0,0.095505617977528,0,0,0,0,0,0,0,0.0224719101123595,0.00561797752808989,0,0,0,0.0421348314606742,0.00842696629213483,0,0.00561797752808989,0,0,0,0.0196629213483146,0,0,0.0140449438202247,0.00280898876404494,0,0,0,0.0870786516853933
130,6606,0.53133514986376,0.138964577656676,0,0,0.00272479564032698,0.100817438692098,0.0136239782016349,0,0,0,0,0,0,0.0245231607629428,0.0190735694822888,0,0.00272479564032698,0,0.0299727520435967,0.0326975476839237,0,0.00817438692098093,0,0,0,0.00817438692098093,0.00272479564032698,0,0.00544959128065395,0.00544959128065395,0,0,0,0.0735694822888283
145,6926,0.607250755287009,0.163141993957704,0,0,0,0.0725075528700906,0,0,0,0,0,0,0,0.0362537764350453,0.00906344410876133,0,0,0,0.00604229607250755,0.00906344410876133,0,0.00604229607250755,0,0,0,0.0151057401812689,0.00302114803625378,0,0,0,0,0,0,0.0725075528700906
160,NA,0.634615384615385,0.163461538461538,0,0,0,0.0673076923076923,0,0,0,0,0,0,0,0.0416666666666667,0.00641025641025641,0,0,0,0,0.016025641025641,0,0,0,0,0,0.00320512820512821,0,0,0,0,0,0,0,0.0673076923076923
