"sample.depths","sample.ages","Ambrosia.type","Betula","Cyperaceae","Ericaceae","Larix","Picea","Quercus","Alnus","Pinus","Poaceae","Artemisia","Cupressaceae","Brassicaceae","Salix","Asteraceae.subf..Asteroideae.undiff.","Abies","Fraxinus.nigra.type","Sarcobatus.vermiculatus","Amaranthaceae.undiff.","Ulmus","Fraxinus.pennsylvanica.type","Myrica","Acer","Rosaceae","Populus","Tsuga"
140,3108,0,0.165644171779141,0.00613496932515337,0.00613496932515337,0.0122699386503067,0.331288343558282,0,0.429447852760736,0.00613496932515337,0.0184049079754601,0.00306748466257669,0,0,0,0.00920245398773006,0.00306748466257669,0,0,0,0.00306748466257669,0.00306748466257669,0.00306748466257669,0,0,0,0
150,3215,0,0.265822784810127,0.00632911392405063,0.00632911392405063,0.0126582278481013,0.341772151898734,0,0.329113924050633,0.0158227848101266,0.00632911392405063,0.00316455696202532,0,0,0.00949367088607595,0.00316455696202532,0,0,0,0,0,0,0,0,0,0,0
160,3321,0,0.291666666666667,0.0111111111111111,0.00833333333333333,0.0361111111111111,0.266666666666667,0,0.352777777777778,0.0111111111111111,0.00833333333333333,0.00555555555555556,0,0,0.00277777777777778,0,0,0,0,0,0,0,0.00277777777777778,0.00277777777777778,0,0,0
170,3427,0.00257731958762887,0.337628865979381,0.0180412371134021,0.00257731958762887,0.0463917525773196,0.229381443298969,0.00257731958762887,0.322164948453608,0.0103092783505155,0.0206185567010309,0,0,0,0.00257731958762887,0.00257731958762887,0.00257731958762887,0,0,0,0,0,0,0,0,0,0
180,3533,0,0.403743315508021,0.0160427807486631,0.0053475935828877,0.0614973262032086,0.211229946524064,0,0.29144385026738,0,0.00267379679144385,0.00267379679144385,0,0,0.0053475935828877,0,0,0,0,0,0,0,0,0,0,0,0
190,3640,0,0.342318059299191,0.0215633423180593,0.00269541778975741,0.0404312668463612,0.137466307277628,0.00269541778975741,0.436657681940701,0.00269541778975741,0.00539083557951483,0,0,0,0.00269541778975741,0.00269541778975741,0,0,0,0,0,0,0,0,0.00269541778975741,0,0
200,3746,0,0.44047619047619,0.00595238095238095,0,0.0178571428571429,0.119047619047619,0,0.389880952380952,0.00595238095238095,0.00595238095238095,0.00595238095238095,0,0,0.00297619047619048,0,0.00595238095238095,0,0,0,0,0,0,0,0,0,0
210,3978,0,0.398860398860399,0.0113960113960114,0.0056980056980057,0.0113960113960114,0.0968660968660969,0,0.444444444444444,0.00854700854700855,0.00854700854700855,0.00284900284900285,0.00284900284900285,0,0.0056980056980057,0,0,0,0,0,0,0.00284900284900285,0,0,0,0,0
220,4587,0,0.403076923076923,0.0153846153846154,0.00307692307692308,0.00307692307692308,0.0646153846153846,0,0.489230769230769,0.00307692307692308,0.0184615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,5195,0,0.341040462427746,0.0173410404624277,0.00289017341040462,0,0.0289017341040462,0,0.580924855491329,0.00289017341040462,0.0115606936416185,0,0.00289017341040462,0,0,0,0.00289017341040462,0,0,0.00289017341040462,0,0,0,0,0,0.00578034682080925,0
240,5804,0,0.338028169014085,0.0140845070422535,0.0028169014084507,0,0.0366197183098592,0,0.571830985915493,0.0112676056338028,0.0140845070422535,0,0,0,0.0028169014084507,0.0028169014084507,0,0,0,0,0,0,0,0,0,0.00563380281690141,0
250,NA,0,0.269794721407625,0.0234604105571848,0.00586510263929619,0.00586510263929619,0.0351906158357771,0,0.627565982404692,0.00879765395894428,0.00586510263929619,0,0,0,0.00586510263929619,0.00293255131964809,0,0,0,0,0,0,0,0,0,0.00879765395894428,0
255,NA,0,0.271978021978022,0.00824175824175824,0.00274725274725275,0,0.0137362637362637,0,0.662087912087912,0.010989010989011,0.00549450549450549,0,0,0,0.00824175824175824,0.00274725274725275,0,0,0.00274725274725275,0.00274725274725275,0,0,0.00824175824175824,0,0,0,0
260,NA,0.0025706940874036,0.544987146529563,0.123393316195373,0.012853470437018,0,0.025706940874036,0,0.241645244215938,0.0179948586118252,0.0025706940874036,0.0051413881748072,0,0,0.0179948586118252,0,0.0025706940874036,0,0,0,0.0025706940874036,0,0,0,0,0,0
265,NA,0.00184162062615101,0.178637200736648,0.351749539594843,0.00552486187845304,0,0.0276243093922652,0,0.257826887661142,0.0276243093922652,0.0294659300184162,0.00552486187845304,0,0,0.0902394106813996,0,0.00368324125230203,0.00184162062615101,0,0.00552486187845304,0,0,0.00184162062615101,0,0,0.00920810313075507,0.00184162062615101
270,NA,0.00314465408805031,0.261006289308176,0.361635220125786,0.00628930817610063,0,0.0220125786163522,0,0.20125786163522,0.0377358490566038,0.0314465408805031,0.00943396226415094,0.00314465408805031,0,0.0628930817610063,0,0,0,0,0,0,0,0,0,0,0,0
