"sample.depths","sample.ages","Abies","Acer.saccharum","Acer.undiff.","Alnus.incana","Alnus.viridis","Amaranthaceae","Ambrosia","Apiaceae","Arceuthobium","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Athyrium","Betula","Botrychium","Brassicaceae","Carya","Caryophyllaceae","Castanea","Celtis","Cerealia","Cornus.canadensis","Cornus.racemosa","Corylus","Cyperaceae","Dryopteris.carthusiana","Ephedra","Epilobium","Equisetum","Fabaceae","Fagus","Filicopsida.undiff.","Filipendula","Fraxinus.nigra","Fraxinus.pennsylvanica","Galium","Huperzia.lucidula","Juglans","Juniperus.Thuja","Lamiaceae","Larix","Lycopodiaceae.undiff.","Menyanthes.trifoliata","Morus","Myrica","Myriophyllum","Nuphar","Nymphaea","Nyssa","Ophioglossum","Osmunda","Ostrya.Carpinus","Oxyria.digyna","Picea.glauca","Picea.mariana","Pinus.strobus","Pinus.undiff.","Platanus","Poaceae.undiff.","Polygonum.undiff.","Polygonum.viviparum","Populus","Potamogetonaceae","Pteridium","Quercus","Ranunculus","Rosaceae.undiff.","Rubus","Rumex","Salix","Saxifraga.oppositifolia","Shepherdia","Shepherdia.argentea","Sphagnum","Thalictrum","Thelypteris","Tilia","Tsuga","Typha","Ulmus","Urticaceae","Viburnum","Vitis","Woodsia"
1110,7214,7,7,3,7,0,2,2,0,0,5,0,0,0,93,0,0,2,0,0,0,0,0,0,4,1,0,0,0,0,0,24,2,1,9,1,0,0,3,1,0,1,0,0,0,0,1,1,0,0,0,1,8,0,4,1,303,362,3,0,0,0,0,1,1,45,1,0,0,11,1,0,0,0,0,0,0,1,83,0,33,0,1,0,0
1111,7253,4,5,1,14,0,0,0,0,0,1,4,0,0,86,0,0,1,0,0,1,0,0,0,14,4,0,0,0,0,0,13,7,0,18,3,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,201,497,2,1,0,0,0,0,3,67,2,0,0,2,2,0,0,0,0,0,0,5,30,0,23,0,1,0,0
1112,7292,12,5,4,9,1,0,3,0,2,1,1,0,0,40,0,0,1,1,0,0,0,0,0,0,2,0,0,0,1,0,9,20,0,3,1,0,0,0,1,0,2,3,1,0,2,0,2,0,1,0,0,6,0,3,0,412,348,3,0,0,0,0,4,2,33,0,1,0,9,0,0,0,0,0,1,0,3,45,7,16,0,2,0,0
1113,7331,4,9,0,15,0,0,0,0,0,0,2,0,0,99,0,0,1,0,0,0,0,0,0,19,1,0,0,0,0,0,17,0,0,7,2,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,1,2,2,1,0,131,555,0,0,0,0,1,1,0,69,1,0,0,3,1,0,0,0,0,0,0,7,30,0,22,0,0,0,0
1114,7370,4,20,8,18,4,3,2,0,1,2,1,0,0,94,0,0,7,0,0,0,0,1,0,4,2,0,0,0,0,0,23,3,0,12,2,0,0,1,2,0,0,0,0,0,3,0,1,0,0,0,0,46,0,4,0,248,381,6,0,0,0,0,0,1,57,4,0,0,13,2,0,0,0,0,0,0,3,36,0,37,0,0,1,0
1115,7409,7,17,0,28,1,2,0,0,0,5,4,0,0,110,0,0,4,0,0,1,0,0,0,17,1,0,0,0,0,0,16,0,0,10,1,0,0,1,5,0,0,0,0,0,0,1,1,0,0,0,0,18,0,4,1,167,530,3,1,0,0,0,1,1,46,1,0,0,7,1,0,0,0,0,0,0,3,22,1,23,0,0,0,0
1116,7449,14,10,24,15,2,0,0,0,1,0,1,0,0,99,0,0,3,0,0,0,0,0,0,13,2,0,0,0,0,0,17,5,0,14,3,0,0,1,6,0,1,0,0,0,3,0,0,0,2,0,0,27,0,2,0,307,311,3,0,0,0,1,1,0,54,3,0,0,9,2,0,0,0,0,0,0,4,53,0,28,0,0,0,0
1117,7488,1,11,0,18,1,0,0,0,0,2,3,0,0,76,0,0,4,0,0,0,0,0,0,19,1,0,0,0,0,0,11,4,0,19,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,18,1,2,0,146,603,6,3,0,0,2,2,1,102,0,0,0,2,0,0,0,0,0,0,0,1,15,0,25,0,0,0,0
1118,7527,3,17,4,7,0,0,0,0,1,2,1,0,0,91,0,1,1,0,0,0,0,0,0,7,0,0,0,0,0,0,18,1,0,8,1,0,0,0,4,0,0,0,0,0,6,0,1,0,0,0,0,23,0,2,0,229,441,9,0,0,0,0,3,1,71,3,0,0,12,1,0,0,0,0,0,0,6,6,0,28,0,2,0,0
1119,7568,3,16,3,5,1,1,0,0,1,1,2,0,0,75,0,0,2,0,0,0,0,0,0,23,4,0,0,0,0,0,12,3,0,15,3,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,15,0,2,0,183,479,6,1,0,0,1,1,4,81,0,0,0,6,0,0,1,0,0,0,0,2,15,0,27,0,0,0,0
1120,7609,10,10,17,17,0,0,6,0,0,1,4,0,0,56,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,10,4,0,12,0,0,0,3,5,0,3,0,0,0,8,0,1,1,0,0,1,30,0,3,0,386,295,4,4,0,0,0,0,1,85,2,0,0,9,2,0,0,0,0,0,0,3,8,0,17,0,0,0,0
1121,7650,3,14,1,10,2,1,0,0,0,0,1,0,0,78,0,0,3,0,0,0,0,0,0,19,0,0,0,0,0,0,14,2,0,27,1,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,36,0,1,0,137,536,2,2,0,0,2,0,0,88,0,0,0,8,1,0,0,0,0,1,0,0,11,0,26,0,0,0,0
1122,7691,3,13,3,8,2,3,0,0,0,1,1,0,0,76,0,0,2,0,0,0,0,0,0,14,3,0,0,0,0,0,12,3,0,17,2,0,2,3,3,0,2,1,0,0,2,0,0,0,0,0,0,36,0,5,0,338,303,3,1,0,0,0,0,2,82,4,0,0,7,6,1,0,0,0,0,0,0,11,0,31,0,0,0,0
1123,7731,5,15,3,8,3,2,0,0,0,1,2,0,0,74,0,0,3,0,0,0,0,0,0,13,4,0,0,0,0,0,9,3,0,19,3,0,2,4,2,0,3,2,0,0,2,0,0,0,0,0,0,30,0,5,0,350,350,7,2,0,0,0,0,2,80,3,0,0,9,5,0,0,0,0,0,0,0,12,0,26,0,0,0,0
1124,7772,10,7,13,9,3,0,0,0,0,2,6,0,0,76,0,0,3,1,0,0,0,2,3,2,1,0,0,0,0,1,8,7,0,5,4,0,0,0,2,0,2,2,0,0,20,0,0,0,0,0,0,26,0,1,0,356,349,18,0,0,0,0,0,0,66,0,0,0,18,7,0,0,0,0,0,0,1,7,0,21,0,0,0,0
1125,7813,5,14,1,5,1,0,0,1,0,4,0,0,0,70,0,0,7,0,0,0,0,0,0,17,2,0,0,0,0,0,11,3,0,18,1,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,36,4,2,0,163,501,8,2,0,0,0,3,0,72,1,0,0,2,1,0,0,0,0,0,0,0,11,1,32,0,0,0,0
1126,7854,5,7,6,12,1,0,2,0,1,0,1,0,0,102,0,0,2,0,0,0,0,0,0,12,3,0,0,0,0,0,18,5,0,12,1,0,0,1,5,0,1,1,0,0,0,1,1,0,0,0,1,43,1,5,0,177,513,10,0,0,0,0,0,2,63,0,0,0,9,0,0,0,0,0,0,0,0,16,0,31,0,1,0,0
1127,7895,3,10,1,7,2,1,0,0,0,2,1,0,0,91,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,8,4,0,14,1,0,0,2,2,0,2,0,1,0,1,0,0,0,0,0,0,15,0,1,0,143,560,3,2,0,0,1,0,1,55,0,0,0,5,0,0,0,0,0,0,0,1,19,0,31,0,1,0,0
1128,7936,3,5,20,3,1,4,2,1,0,2,2,0,0,90,0,0,3,0,0,0,0,0,2,5,6,0,0,0,0,0,13,5,0,13,0,0,0,0,1,0,0,0,0,0,8,0,3,0,0,0,0,37,2,4,0,249,498,3,0,0,0,0,1,3,98,1,0,0,5,0,0,0,0,0,0,0,2,13,0,17,0,0,0,0
1129,7977,6,4,1,8,3,2,0,1,0,0,2,0,0,110,0,0,3,0,0,0,0,0,0,19,1,0,0,0,0,0,13,4,0,11,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,22,1,1,0,129,519,5,2,0,0,0,1,1,76,0,1,0,9,1,0,1,0,1,0,0,2,15,0,33,0,0,0,0
1130,8018,1,8,4,6,0,1,4,0,0,2,0,0,0,118,0,1,1,0,0,0,0,0,1,15,3,0,0,0,0,0,14,3,0,8,3,0,0,1,3,0,3,1,1,0,1,0,2,0,0,0,0,31,0,5,0,150,530,6,0,0,0,0,1,1,78,0,0,0,17,0,1,0,0,0,0,0,1,19,0,22,0,0,0,0
1131,8059,3,6,1,4,1,0,0,0,0,0,0,0,0,69,0,0,2,0,0,0,0,0,0,14,0,0,0,0,0,0,9,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,76,742,0,0,0,0,0,0,0,42,0,0,0,2,0,0,0,0,0,0,0,1,27,0,15,0,0,0,0
1132,8099,14,5,4,5,2,1,0,0,1,0,0,0,0,80,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,5,4,0,6,1,0,0,1,5,0,3,0,0,0,15,0,1,0,0,0,0,15,0,1,0,178,540,3,0,0,0,0,4,0,37,3,0,0,8,1,0,0,0,0,0,0,2,17,0,33,0,0,0,0
1133,8140,5,8,0,2,3,2,0,0,0,2,2,0,0,98,0,0,7,0,0,0,0,0,0,12,3,0,0,0,0,0,17,2,0,12,0,0,2,0,3,0,2,1,0,0,2,0,0,1,0,0,0,17,1,2,0,174,526,5,2,0,1,1,1,1,70,1,1,0,1,2,0,0,0,0,0,0,0,18,1,44,0,0,0,0
1134,8181,6,7,5,7,0,0,3,0,1,3,1,0,0,101,0,0,2,0,0,0,0,0,0,12,1,0,0,0,0,0,12,4,0,20,2,0,0,2,2,0,4,1,0,0,4,0,0,0,0,0,0,17,0,1,0,177,505,6,0,0,0,0,0,0,65,2,0,0,3,0,0,0,0,0,0,0,2,17,0,42,0,0,0,0
1135,8222,4,7,1,11,0,3,0,0,0,1,4,0,0,79,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,8,2,0,3,0,0,0,0,4,0,5,2,0,0,0,0,0,0,0,0,0,5,0,3,0,180,582,3,2,0,0,0,1,0,53,0,0,0,6,0,0,0,0,0,0,0,1,4,0,31,0,0,0,0
