"sample.depths","sample.ages","Abies","Acer.saccharum","Acer.spicatum","Acer.undiff.","Adiantum","Alnus.incana","Alnus.undiff.","Alnus.viridis","Amaranthaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Botrychium.simplex.type","Botrychium.undiff.","Caltha","Campanula.type","Carya","Caryophyllaceae","Castanea","Cornus.canadensis","Cornus.sericea","Corylus","Cupressaceae","Cyperaceae","Dennstaedtia","Diphasiastrum.complanatum","Dryas","Dryopteris.type","Epilobium","Equisetum","Ericaceae","Fabaceae","Fagus","Fraxinus.nigra","Huperzia.selago","Ilex","Indeterminable","Isoëtes","Larix","Lemna","Lycopodiaceae.undiff.","Lycopodiella.inundata","Lycopodium.annotinum","Lycopodium.clavatum","Lycopodium.obscurum","Menyanthes.trifoliata","Myrica","Myriophyllum","Osmunda.cinnamomea","Osmunda.regalis.O..claytoniana","Osmunda.undiff.","Ostrya.Carpinus","Picea.glauca","Picea.mariana","Picea.undiff.","Pinus.banksiana.type","Pinus.strobus","Pinus.undiff.","Plantago","Poaceae","Populus.balsamifera","Populus.undiff.","Potamogetonaceae","Potentilla","Pteridium","Quercus","Rosaceae.undiff.","Rumex.Oxyria.digyna","Salix","Saxifraga.oppositifolia","Saxifraga.pensylvanica","Saxifraga.undiff.","Selaginella.rupestris","Selaginella.selaginoides","Selaginella.sibirica","Shepherdia.canadensis","Sphagnum","Spiraea","Thalictrum","Tilia","Tsuga.canadensis","Typha.angustifolia","Typha.latifolia","Ulmus","Unknown","Urtica"
514,11556,0,0,0,0,0,8,1,1,0,0,0,3,5,89,0,1,0,0,0,1,0,0,0,0,1,24,0,1,0,7,0,0,8,6,0,1,0,0,6,0,0,1,1,1,17,17,4,0,4,0,0,0,0,1,0,0,2,4,3,21,0,32,0,0,0,2,0,9,0,0,11,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,6,0
516,11652,1,0,0,0,0,5,3,2,0,0,0,2,2,95,0,0,0,0,0,1,1,0,0,1,1,58,0,0,0,6,1,0,16,11,0,1,1,0,13,0,0,0,7,0,6,12,5,0,8,0,0,0,0,0,0,3,3,4,6,18,0,24,0,0,0,2,0,3,1,2,15,0,0,0,0,3,1,0,4,0,0,0,0,0,0,0,2,0
517,11700,0,0,0,0,0,0,1,15,0,0,0,4,7,77,0,0,0,3,0,2,1,0,0,0,0,87,0,0,0,4,1,0,12,16,0,0,0,0,10,0,0,0,0,0,3,5,0,0,9,0,0,0,0,2,0,2,3,6,4,12,0,24,0,0,0,0,0,3,0,3,18,0,0,0,0,1,4,0,8,0,0,0,0,0,0,2,4,0
518,11748,0,0,0,0,0,7,7,7,0,1,0,10,5,58,0,3,0,0,0,0,3,1,0,0,1,63,0,0,0,10,0,0,4,1,0,0,1,0,29,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,9,1,2,30,0,10,1,0,0,0,3,4,0,7,16,0,0,0,0,3,1,0,3,1,1,0,1,0,0,1,11,0
519,11840,0,0,0,0,0,0,0,31,1,1,0,9,2,51,0,0,0,0,0,6,0,0,0,0,0,86,0,0,0,13,1,0,4,2,0,1,6,0,18,0,0,0,3,0,7,1,2,0,1,0,0,0,0,0,0,9,3,7,1,44,0,5,0,0,0,5,1,1,0,7,13,0,0,1,0,2,4,4,7,0,1,0,1,0,0,0,5,0
521,12023,1,0,0,0,0,16,0,1,0,0,0,11,3,48,0,1,0,0,0,3,0,0,0,0,0,62,0,0,0,19,0,0,0,1,0,1,0,0,22,0,0,0,3,0,3,0,2,0,3,0,0,0,0,1,0,4,12,13,3,26,0,13,1,0,1,0,2,1,0,8,20,0,0,0,0,0,7,1,4,0,3,0,0,0,0,0,2,0
523,12207,0,0,0,0,0,0,1,10,0,0,0,12,5,55,0,0,0,0,0,4,0,0,0,0,0,86,0,0,0,26,0,0,10,2,0,0,1,0,27,0,0,0,4,0,6,2,0,0,2,0,0,0,0,1,0,3,10,13,7,40,0,9,1,0,0,1,0,1,0,15,28,1,1,0,0,2,2,2,3,1,1,0,1,0,0,0,2,0
525,12390,0,0,2,0,0,10,9,3,0,0,0,11,6,29,0,2,0,0,0,7,1,0,0,0,1,55,0,0,0,28,0,0,3,0,0,0,2,0,26,0,1,0,1,0,5,1,1,0,0,0,0,0,0,0,0,3,11,4,6,33,0,15,4,0,0,0,0,0,0,1,22,1,0,0,0,2,2,1,10,4,3,0,0,0,0,0,6,0
529,12757,0,0,0,0,0,12,4,4,0,0,0,20,0,20,1,0,0,0,0,2,0,0,0,0,2,81,0,0,0,10,0,0,6,1,0,0,0,0,29,0,1,0,2,0,3,3,0,0,2,0,0,0,0,0,2,6,14,10,3,27,0,9,0,0,0,0,0,0,0,15,14,0,0,0,0,3,2,2,8,0,0,0,0,0,0,2,5,0
532,13033,0,1,0,0,0,0,0,13,0,1,0,13,9,34,0,0,0,0,0,7,0,0,0,0,1,87,0,0,0,9,0,0,7,0,0,0,1,0,20,0,0,0,0,0,0,2,1,0,1,0,0,0,0,1,0,2,7,6,4,44,0,11,0,0,0,1,1,0,0,2,25,0,0,1,0,12,1,6,17,0,1,0,0,0,0,1,3,0
533,13124,1,0,0,0,0,3,8,1,1,2,0,5,4,25,0,1,0,1,0,7,0,0,0,0,2,114,0,0,0,4,0,0,4,0,0,1,1,0,28,0,2,0,1,0,4,2,5,0,4,0,0,0,0,3,2,5,5,7,1,27,0,24,1,0,0,0,0,1,0,0,16,0,0,0,0,1,0,1,10,0,0,0,0,0,0,0,2,0
534,13142,0,0,0,0,0,0,1,3,2,1,0,11,5,52,0,0,0,0,0,4,0,0,0,0,2,95,0,0,0,3,0,0,15,0,0,0,1,0,9,0,0,0,4,0,2,0,0,0,2,0,0,0,0,1,1,4,10,12,0,24,0,16,0,0,0,0,0,1,0,0,24,0,0,0,0,4,3,1,3,0,0,0,1,0,0,0,3,0
535,13159,1,0,1,0,0,4,1,4,1,1,0,11,6,57,0,0,0,0,0,2,0,0,0,0,1,101,0,1,0,3,0,0,15,0,0,0,1,0,10,0,0,0,3,0,2,0,0,0,5,0,0,0,0,2,1,1,8,17,1,26,0,22,2,0,0,0,0,3,0,0,25,0,0,0,0,3,2,2,3,0,0,0,0,0,0,1,2,0
536,13177,0,0,0,0,0,0,1,3,3,0,0,11,0,79,0,0,0,0,0,6,0,0,0,0,1,88,0,0,0,3,0,0,12,4,0,0,0,0,7,0,0,0,1,0,2,2,3,0,4,0,0,0,0,0,1,2,10,22,0,26,0,14,0,0,0,9,0,3,0,0,10,0,0,0,0,3,3,0,5,0,0,0,0,0,0,0,15,0
538,13211,0,0,0,0,0,0,0,0,1,1,0,0,4,129,0,0,0,0,0,1,0,0,0,0,0,71,0,0,0,6,0,0,15,0,0,0,0,1,4,0,0,0,1,0,2,1,1,0,2,0,0,0,0,4,3,1,12,8,2,20,0,17,1,0,0,1,0,4,0,0,16,0,0,0,0,7,4,0,3,0,1,0,0,0,0,2,2,0
540,13246,0,0,0,0,0,0,0,0,0,0,0,2,10,135,0,0,0,0,0,1,0,0,0,0,3,60,0,0,0,3,0,0,24,0,0,1,0,0,6,0,3,0,0,0,2,0,3,0,11,0,0,0,0,0,2,1,12,7,0,15,0,23,2,0,0,1,0,4,0,0,15,0,0,0,0,9,1,2,3,0,0,0,0,0,0,0,2,0
542,13281,0,0,0,0,0,3,1,0,0,0,0,2,6,107,0,0,0,0,0,1,0,0,0,0,4,61,0,0,0,7,0,0,15,0,0,1,0,0,4,0,1,0,2,0,6,1,2,0,18,0,0,0,0,1,5,1,11,14,0,10,0,28,4,0,0,0,0,4,0,0,13,0,0,0,0,6,1,0,7,0,0,0,0,0,0,1,1,0
546,13675,0,0,0,0,0,3,0,0,1,0,0,7,9,121,0,0,0,1,0,1,1,0,0,0,1,73,0,0,0,11,0,0,7,3,0,0,0,0,6,0,0,0,1,0,3,1,2,0,10,0,0,0,0,1,1,2,16,13,0,21,0,27,1,0,0,1,0,8,0,0,16,0,0,0,0,3,1,1,7,0,0,0,0,0,0,0,0,0
548,13895,2,0,1,0,0,2,0,0,0,0,0,1,6,87,0,0,0,1,0,2,0,0,0,0,7,78,0,0,0,4,0,0,2,0,0,0,0,0,16,0,4,0,0,0,4,2,4,0,3,0,0,0,0,1,3,2,9,15,0,12,0,24,0,0,0,0,1,2,0,0,15,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,1,0
552,14335,0,0,0,0,0,1,0,0,0,0,0,2,12,105,0,1,0,0,0,2,0,0,0,1,1,82,0,1,0,1,0,0,6,1,0,1,1,0,3,0,0,0,2,0,2,2,0,0,7,0,0,0,0,2,6,1,11,12,0,13,0,20,1,0,1,0,0,1,0,0,17,0,0,0,0,3,2,0,2,0,0,0,0,0,0,0,1,0
556,14775,0,0,1,0,0,4,0,0,0,2,0,3,15,158,0,0,0,0,0,0,0,0,0,1,11,31,0,0,0,9,0,0,7,1,0,0,0,0,10,0,1,0,1,0,4,1,2,0,17,0,0,0,0,5,0,2,5,9,1,15,0,9,4,0,3,0,0,3,0,0,30,0,0,0,0,1,1,1,0,0,0,0,1,0,0,2,0,0
560,15161,0,0,0,0,0,1,0,0,0,0,1,12,17,164,0,0,0,1,0,3,0,0,0,0,2,37,0,0,0,4,1,0,5,0,0,0,0,0,7,0,1,0,1,0,5,2,4,0,12,0,0,0,0,3,0,0,4,7,1,11,0,10,4,0,0,1,0,3,0,0,24,0,0,0,0,1,1,2,5,0,1,0,0,0,0,0,2,0
566,15740,0,0,0,0,0,3,0,0,0,0,0,32,9,84,0,0,0,0,0,5,0,0,0,0,0,52,0,0,0,4,0,0,7,0,0,0,1,0,12,0,2,0,1,0,2,0,0,0,12,0,0,0,0,8,0,0,4,8,1,17,0,13,3,0,0,0,0,3,0,0,23,1,0,0,0,0,9,5,4,0,0,0,0,0,0,0,5,1
574,16513,0,0,0,0,0,2,1,0,0,0,3,8,5,37,0,0,0,1,0,1,0,0,0,2,5,81,0,1,0,7,0,0,11,5,0,0,0,0,11,0,3,0,0,0,1,2,4,0,15,0,0,0,1,4,1,0,8,10,0,17,0,30,0,0,0,0,1,7,3,0,38,0,0,0,0,0,0,16,5,0,0,0,0,0,0,1,2,0
580,17092,0,0,0,0,0,1,0,0,0,4,0,4,2,19,0,0,1,0,0,1,0,0,0,2,6,54,0,0,0,4,1,0,11,1,0,0,0,0,17,2,2,0,2,0,3,14,0,0,11,0,0,1,0,3,3,1,7,8,0,22,0,21,0,0,0,0,1,1,0,0,41,0,0,0,0,0,8,15,6,0,0,0,0,0,1,0,8,0
582,NA,0,0,0,0,0,0,3,1,0,1,2,11,8,32,0,1,0,0,0,0,0,0,0,0,0,58,0,0,1,10,0,0,13,0,0,1,0,0,14,0,0,0,0,0,1,5,1,0,9,0,0,0,0,5,2,0,15,10,0,35,1,3,0,0,0,1,0,9,0,0,42,0,0,0,14,0,0,25,5,0,0,0,0,0,0,1,8,0
584,NA,0,0,0,0,0,0,3,3,0,5,0,6,2,30,0,0,0,0,0,2,0,0,0,1,1,33,0,0,9,10,1,0,17,0,0,2,0,1,12,1,0,0,0,0,0,4,2,0,0,0,0,0,0,7,5,1,21,10,1,29,4,3,0,0,0,1,0,13,0,0,29,1,0,0,11,0,0,31,8,0,0,0,0,0,1,7,4,0
586,NA,0,0,0,0,0,2,3,1,1,4,1,10,3,33,0,0,0,0,1,1,0,0,0,0,0,38,0,1,3,22,1,0,7,0,0,1,0,0,18,0,0,0,3,0,1,2,0,1,0,0,0,0,0,4,5,0,21,11,0,46,2,7,0,0,0,0,1,6,0,0,46,0,0,0,14,0,0,0,7,0,0,1,0,0,0,1,12,0
