"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Alnus","Ambrosia","Artemisia","Betula","Botrychium","Brasenia.schreberi","Caltha","Caprifoliaceae.undiff.","Ostrya.Carpinus","Carya","Caryophyllaceae","Celtis","Cephalanthus","Chenopodiaceae.Amaranthaceae.undiff.","Asteraceae.subf..Cichorioideae","Asteraceae.subf..Asteroideae.undiff.","Corylus","Brassicaceae","Cyperaceae","Ephedra","Equisetum","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Galium","Poaceae","Ilex.Nemopanthus","Isoëtes","Juglans.cinerea","Juglans.nigra","Lamiaceae","Larix","Fabaceae.undiff.","Liquidambar","Lycopodium.annotinum","Lycopodium.clavatum","Diphasiastrum.complanatum","Huperzia.lucidula","Menyanthes.trifoliata","Morus","Nuphar","Nymphaea","Nyssa","Ophioglossum","Osmunda.cinnamomea","Osmunda.regalis.O..claytoniana","Pediastrum","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Plantago","Platanus","Polygonum.lapathifolium","Polygonum.viviparum","Polypodiaceae","Populus","Potamogeton","Pteridium","Quercus","Ranunculaceae.undiff.","Robinia","Rosaceae","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Sarracenia","Sphagnum","Thalictrum","Juniperus.Thuja","Tilia","Tilletia","Tsuga","Typha.latifolia","Typha.angustifolia.Sparganium","Ulmus","Apiaceae","Utricularia","Viburnum","Indeterminable","Unknown","Charcoal"
673,3472,0,0,0,1,0,3,2,4,0,0,0,0,1,10,0,1,7,0,0,2,0,0,39,0,0,5,0,0,0,0,75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,3,8,0,2,0,0,528,0,0,5,164,0,0,0,0,0,1,0,0,11,1,0,0,0,0,0,1,7,0,0,0,56,13,2433
703,3805,0,1,0,8,0,11,0,4,0,0,0,0,3,24,0,0,1,0,0,1,0,0,25,0,0,11,27,1,0,0,8,0,0,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,2,0,5,0,0,11,0,0,10,191,0,0,2,0,0,12,0,0,46,0,1,4,0,0,0,0,13,1,1,0,28,7,233
733,4139,0,0,0,5,1,3,0,2,0,0,0,0,3,29,0,0,0,0,0,3,3,0,4,0,0,2,13,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,5,0,1,0,0,0,0,0,0,223,0,0,0,0,0,5,0,0,9,0,0,0,0,0,0,0,25,0,0,0,21,1,158
767,4517,0,0,0,1,1,7,3,1,0,1,0,0,0,7,0,0,4,3,0,2,0,0,10,0,0,0,2,3,2,0,12,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,2,5,0,6,0,0,588,0,0,7,281,0,0,0,0,0,14,0,0,30,0,0,0,0,0,1,0,9,0,0,0,31,12,476
797,4844,0,0,0,4,0,11,3,0,0,0,0,0,2,5,0,1,58,2,0,3,0,0,70,0,0,0,3,3,0,0,16,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,6,0,10,1,0,232,0,0,6,245,0,0,1,0,1,12,0,0,0,0,0,0,0,1,1,1,11,0,0,0,32,10,1709
827,5163,0,0,0,2,0,4,1,0,0,0,0,0,1,19,0,0,69,0,0,10,0,0,30,0,3,0,4,4,1,0,4,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4,10,0,3,0,0,0,0,1,2,224,0,0,1,0,0,2,1,0,3,0,0,0,0,0,0,0,8,0,0,0,36,10,422
861,5525,0,0,0,1,0,13,3,0,0,0,0,0,0,17,0,0,109,4,0,5,0,0,41,0,1,0,2,3,2,0,5,2,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,4,3,7,9,0,10,0,0,3,0,1,7,230,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,12,0,0,0,59,4,895
871,5631,0,0,0,3,2,8,1,1,0,0,0,0,1,8,0,0,201,1,0,14,1,0,39,0,6,0,5,2,0,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,7,8,0,14,0,0,2,2,0,4,225,0,0,0,0,0,3,1,0,0,0,0,0,0,0,4,0,18,1,0,0,42,8,711
916,6110,0,0,0,3,1,12,0,0,0,0,0,2,1,14,0,0,78,0,0,7,1,0,37,0,20,0,14,5,0,0,12,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,4,0,7,0,0,0,0,0,1,254,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,14,0,0,0,31,2,420
955,6870,0,0,0,3,1,1,1,3,0,0,0,0,3,23,0,0,24,1,0,8,2,0,42,0,1,0,6,8,2,0,2,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,4,0,10,0,0,1,0,0,1,237,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,13,1,0,0,41,13,161
985,7498,0,0,0,4,2,7,0,1,1,1,0,0,3,16,0,2,26,1,0,3,5,0,13,0,6,0,4,1,5,0,4,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,2,6,0,5,0,0,3,0,0,1,177,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,16,0,0,0,33,21,224
1015,8126,0,1,0,8,0,10,0,0,0,0,0,0,4,11,0,0,242,1,0,0,1,0,3,0,0,0,4,3,0,0,3,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,5,0,15,0,0,1,1,13,1,221,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,30,2,0,0,31,9,251
1059,9048,1,0,0,2,0,14,2,0,0,0,0,0,7,13,0,0,858,11,0,7,1,0,36,0,1,0,1,2,1,0,14,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,6,8,28,0,10,0,0,6,2,0,13,182,0,0,0,0,1,11,0,0,0,0,1,1,0,0,3,0,34,0,0,0,76,23,466
