"sample.depths","sample.ages","upland.sum","Artemisia","Betula","Cupressaceae","Cyperaceae","Ericaceae","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Salix","Asteraceae.subf..Asteroideae.undiff.","Alnus.incana","Ambrosia","Myrica","Populus","Poaceae","Alnus.viridis.subsp..crispa","Epilobium","Amaranthaceae","Ranunculaceae","Fraxinus","Acer","Plantago","Fagus","Larix","Rumex","Polygonum.viviparum","Ulmus","Ostrya","Abies","Cornus.canadensis","Castanea","Lamiaceae","Brassicaceae","Tsuga","Apiaceae","Juglans","Rosaceae","Saxifragaceae"
23,2125,1193,4,170,8,16,10,560,20,2,1,4,2,4,14,2,0,0,8,360,0,2,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
25,2312,1055,6,124,12,10,8,502,10,6,13,2,6,2,10,0,0,0,0,340,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
27,2500,1244,6,192,16,12,14,520,40,8,2,2,2,2,6,2,2,0,12,402,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.5,2735,1027,0,144,8,10,10,501,4,6,6,2,2,0,0,0,2,0,8,322,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,3251,1016,8,102,8,4,2,454,4,6,10,2,0,0,2,2,0,0,0,410,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
40,3720,1013,4,126,0,2,4,400,10,8,5,0,2,4,0,4,2,0,8,430,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,3875,1070,16,188,0,8,6,457,2,4,7,0,4,0,4,0,4,0,0,364,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0
50,3951,1390,12,176,8,2,4,668,12,4,6,2,0,0,2,6,0,2,10,474,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
55,4027,1086,8,148,4,8,2,597,8,8,9,2,0,2,4,0,2,2,2,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,4103,1327,2,244,12,6,8,513,8,4,10,2,0,2,0,2,0,2,2,508,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,4179,1218,2,300,2,10,2,391,8,6,9,0,4,2,4,0,0,2,4,468,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,4255,1349,6,350,6,14,2,519,8,2,8,4,0,0,0,0,0,2,2,418,0,0,0,0,0,0,0,2,0,0,0,2,0,4,0,0,0,0,0,0,0,0
75,4336,1043,6,216,8,6,4,262,2,4,5,2,6,0,2,0,0,0,0,510,2,0,0,2,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0
80,4470,1306,2,236,2,4,4,418,6,2,4,2,0,0,0,4,0,0,6,614,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,4604,1028,2,180,0,14,2,283,4,4,3,0,0,0,0,0,0,2,2,520,0,0,0,0,0,0,0,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0
90,4738,1254,4,200,2,2,0,388,10,4,6,0,2,0,0,2,0,2,0,630,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,4872,1002,2,144,4,6,2,308,2,0,6,0,2,0,2,0,0,4,6,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
100,5006,1333,6,184,10,6,4,416,10,2,3,0,4,2,0,2,0,0,2,674,0,4,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,5140,1372,2,226,4,6,2,387,8,8,7,2,0,0,0,0,0,0,6,706,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0
110,5274,1710,6,290,0,12,4,547,10,6,11,0,0,0,0,2,0,0,12,804,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,5542,1347,4,240,2,6,4,447,2,2,6,2,0,0,4,2,2,0,4,614,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
125,5676,1129,10,252,6,8,0,426,8,2,5,0,0,0,0,4,0,0,8,392,0,2,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0
130,5790,1006,8,278,0,8,6,285,2,4,3,0,0,0,0,0,0,2,4,398,0,0,0,0,0,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0
135,5903,1658,6,354,4,4,2,422,2,0,2,0,2,0,0,0,0,2,2,852,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,6017,1004,2,102,0,2,0,284,6,0,6,2,2,0,4,4,0,0,0,578,0,0,0,2,0,0,0,6,0,0,0,2,2,0,0,0,0,0,0,0,0,0
145,6131,1704,2,130,14,12,6,576,4,0,4,0,6,0,0,0,0,0,6,930,0,2,0,0,0,0,0,6,2,0,2,2,0,0,0,0,0,0,0,0,0,0
150,6245,1064,4,86,14,16,6,340,6,4,0,0,4,0,0,2,2,6,6,550,0,0,0,0,0,0,0,14,2,0,0,2,0,0,0,0,0,0,0,0,0,0
155,6359,1683,4,210,30,10,4,452,8,2,1,0,4,0,2,2,0,10,6,888,0,4,0,2,0,0,2,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,NA,1032,4,220,52,26,12,159,6,2,9,0,12,0,2,2,2,8,20,472,0,0,0,0,0,0,0,22,0,0,0,2,0,0,0,0,0,0,0,0,0,0
165,NA,1369,26,340,114,62,34,293,12,6,18,6,26,2,0,20,0,14,38,284,0,12,2,2,0,0,2,46,0,0,0,0,0,0,0,0,0,4,2,2,2,0
170,NA,1116,28,210,46,114,28,279,20,8,45,2,44,8,0,18,0,2,22,204,2,18,0,6,0,0,0,4,0,0,4,2,0,0,0,0,0,0,0,0,0,2
172.5,NA,1677,42,764,22,120,24,292,16,8,39,6,38,2,0,16,0,2,20,230,0,12,0,0,0,2,0,10,0,0,4,6,0,0,0,0,0,0,0,0,2,0
