"sample.depths","sample.ages","Acer.rubrum","Artemisia","Betula","Carya","Caryophyllaceae","Corylus","Cyperaceae","Ericaceae","Fagus","Poaceae.undiff.","Ilex","Asteraceae.subf..Cichorioideae","Nyssa","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Rubus","Rumex","Salix","Thalictrum","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Apiaceae","Ambrosia","Alnus.viridis","Rosaceae.undiff.","Myrica.Comptonia.peregrina","Amaranthaceae","Caprifoliaceae","Brassicaceae","Plantago","cf..Hypericum","Abies","Acer.undiff.","Ostrya.Carpinus","Rhus","Scrophulariaceae","Juglans.cinerea","Zea.mays","Fabaceae","Iva","Fraxinus.pennsylvanica","Cupressaceae.Taxaceae","Solanum","Castanea","Fraxinus.nigra","Platanus","Tilia","Alnus.incana","Helianthemum","Hudsonia","Betulaceae.Myricaceae.undiff.","Liquidambar","Polygonaceae.undiff.","Onagraceae","Lamiaceae","Rhamnus","Juglans.nigra","Ranunculaceae.undiff."
105,817,0,0.00253485424588086,0.0836501901140684,0.017743979721166,0,0.0304182509505703,0.00253485424588086,0.0126742712294043,0.0329531051964512,0.00760456273764259,0.0253485424588086,0,0.0456273764258555,0,0.0126742712294043,0,0.0291508238276299,0.344740177439797,0,0,0,0,0.0202788339670469,0.00253485424588086,0.00253485424588086,0,0.00760456273764259,0.00506970849176172,0.0405576679340938,0.225602027883397,0,0,0.00253485424588086,0,0,0,0.017743979721166,0.00506970849176172,0,0,0.00253485424588086,0,0,0,0.00253485424588086,0.00506970849176172,0,0,0.00506970849176172,0,0,0,0,0,0.00760456273764259,0,0,0,0,0,0,0
125,1163,0,0,0.0688741721854305,0.00529801324503311,0,0.0264900662251656,0.00264900662251656,0.0211920529801325,0.0344370860927152,0.00264900662251656,0.0450331125827815,0,0.0582781456953642,0.00397350993377483,0.00529801324503311,0.00529801324503311,0.0132450331125828,0.262251655629139,0,0,0,0,0.023841059602649,0.0105960264900662,0.0105960264900662,0.00794701986754967,0.00529801324503311,0.0158940397350993,0.0529801324503311,0.256953642384106,0,0,0.00529801324503311,0,0.00264900662251656,0,0.0185430463576159,0.0105960264900662,0.00264900662251656,0,0.00264900662251656,0,0.00264900662251656,0,0.00529801324503311,0,0,0,0.00529801324503311,0,0,0,0,0,0,0.00264900662251656,0.00264900662251656,0,0,0,0,0
135,1335,0,0.00305810397553517,0.0886850152905199,0.0122324159021407,0,0.0152905198776758,0,0.0152905198776758,0.0428134556574924,0.00611620795107034,0.036697247706422,0,0.0611620795107034,0,0.00611620795107034,0.00305810397553517,0.0489296636085627,0.318042813455657,0,0,0,0,0.0336391437308868,0,0.0152905198776758,0,0,0.00611620795107034,0.0581039755351682,0.168195718654434,0,0,0,0,0.0122324159021407,0,0.0244648318042813,0,0,0,0.00305810397553517,0,0,0.00305810397553517,0.00305810397553517,0,0,0.00305810397553517,0.00611620795107034,0,0,0,0,0,0.00305810397553517,0,0,0.00305810397553517,0,0,0,0
155,1680,0.0066815144766147,0,0.0734966592427617,0.0133630289532294,0,0.0111358574610245,0.0066815144766147,0.0155902004454343,0.0378619153674833,0.0044543429844098,0.0289532293986637,0,0.0601336302895323,0.0022271714922049,0.0044543429844098,0.0089086859688196,0.0311804008908686,0.282850779510022,0,0,0,0,0.022271714922049,0.0044543429844098,0.0044543429844098,0,0.0044543429844098,0.0089086859688196,0.0712694877505568,0.21380846325167,0,0,0.0022271714922049,0,0.0133630289532294,0,0.0200445434298441,0.0111358574610245,0,0,0.0022271714922049,0,0,0,0.0066815144766147,0,0,0,0.0133630289532294,0,0,0,0,0.0044543429844098,0,0.0022271714922049,0.0022271714922049,0,0.0044543429844098,0,0,0
165,1853,0,0,0.0712401055408971,0.0131926121372032,0,0.0158311345646438,0.00527704485488127,0.0079155672823219,0.0554089709762533,0,0.0263852242744063,0,0.0395778364116095,0,0.0079155672823219,0.0131926121372032,0.0448548812664908,0.337730870712401,0,0,0,0,0.0263852242744063,0.00263852242744063,0.00527704485488127,0,0,0.00527704485488127,0.0844327176781003,0.184696569920844,0,0,0,0,0,0,0.0184696569920844,0,0.00527704485488127,0,0.00263852242744063,0,0,0.00263852242744063,0.00263852242744063,0.00527704485488127,0,0.00263852242744063,0.00527704485488127,0.00527704485488127,0,0,0,0,0,0,0,0,0,0.00263852242744063,0,0
185,2198,0.00683371298405467,0,0.0660592255125285,0.0113895216400911,0.00227790432801822,0.020501138952164,0,0.020501138952164,0.0387243735763098,0.00455580865603645,0.0387243735763098,0,0.0341685649202733,0,0,0.0159453302961276,0.0569476082004556,0.353075170842825,0,0,0,0,0.0159453302961276,0,0.00683371298405467,0.00227790432801822,0.00227790432801822,0.00911161731207289,0.0523917995444191,0.209567198177677,0,0,0.00455580865603645,0,0,0,0.00911161731207289,0,0,0,0,0,0,0,0.00227790432801822,0.00227790432801822,0,0,0.0136674259681093,0,0,0,0,0,0,0,0,0,0,0,0,0
195,2370,0,0.00243013365735115,0.0801944106925881,0.00486026731470231,0,0.0194410692588092,0.00486026731470231,0.00972053462940462,0.0656136087484812,0.00729040097205346,0.0364520048602673,0,0.0145808019441069,0.00243013365735115,0.00729040097205346,0.0170109356014581,0.040097205346294,0.342648845686513,0,0,0,0,0.00972053462940462,0,0.00729040097205346,0,0.00243013365735115,0.0121506682867558,0.0413122721749696,0.208991494532199,0.00243013365735115,0,0.00243013365735115,0,0,0,0.0340218712029162,0,0,0,0,0,0.00243013365735115,0.00243013365735115,0.00972053462940462,0.00243013365735115,0,0,0,0,0,0.00243013365735115,0,0,0,0.00243013365735115,0,0,0,0.00243013365735115,0,0
215,2716,0,0,0.0640394088669951,0.00738916256157635,0,0.0172413793103448,0,0.00738916256157635,0.0591133004926108,0.00246305418719212,0.0221674876847291,0,0.0270935960591133,0,0.00492610837438424,0.0123152709359606,0.0344827586206897,0.369458128078818,0,0.00246305418719212,0,0,0.0172413793103448,0.00492610837438424,0.0123152709359606,0,0.00492610837438424,0.00985221674876847,0.0369458128078818,0.238916256157635,0.00246305418719212,0,0,0,0,0,0.0123152709359606,0.00738916256157635,0,0,0.00246305418719212,0,0.00246305418719212,0,0.00492610837438424,0,0.00246305418719212,0,0.00492610837438424,0,0,0.00246305418719212,0,0,0,0,0,0,0,0,0.00246305418719212,0
225,2888,0.00522193211488251,0,0.0548302872062663,0.010443864229765,0,0.0130548302872063,0,0,0.0678851174934726,0,0.0234986945169713,0,0.0339425587467363,0.00130548302872063,0.00522193211488251,0.0130548302872063,0.0404699738903394,0.360313315926893,0,0,0,0,0.0182767624020888,0,0.00261096605744125,0,0.00261096605744125,0.010443864229765,0.0339425587467363,0.240208877284595,0,0,0.00261096605744125,0,0,0,0.031331592689295,0,0,0,0,0,0,0,0.010443864229765,0.0130548302872063,0,0,0.00261096605744125,0,0,0,0,0,0.00261096605744125,0,0,0,0,0,0,0
245,3233,0,0,0.0551090700344432,0.0068886337543054,0,0.0229621125143513,0.00459242250287026,0.00229621125143513,0.0551090700344432,0.00459242250287026,0.0183696900114811,0,0.0137772675086108,0.0034443168771527,0.00459242250287026,0.0068886337543054,0.0367393800229621,0.411021814006889,0,0,0,0,0.0298507462686567,0.0068886337543054,0.0114810562571757,0,0.0068886337543054,0.0114810562571757,0.0275545350172216,0.208955223880597,0.00229621125143513,0,0.00229621125143513,0,0,0,0.0298507462686567,0.00229621125143513,0,0,0,0,0,0,0.0137772675086108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
