"sample.depths","sample.ages","upland.sum","Carya","Iva.annua.type","Cupressaceae","Cyperaceae","Fagus","Ilex","Nyssa","Ostrya.Carpinus","Arecaceae","Quercus","Salix","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Vitis","Xanthium","Fabaceae","Myrica","Pinus","Amaranthaceae","Poaceae","Rosaceae","cf..Betula","Castanea","Ambrosia","Celtis","Ericaceae","Rhus","Fraxinus","Cephalanthus","Gordonia","Alnus","Liquidambar","Platanus","Acer","Artemisia","Parthenocissus","Polygonum.lapathifolium.type","Onagraceae","Polygonella.fimbriata.type"
1890,4585,317,5,16,0,5,0,0,0,0,0,155,3,7,1,0,0,0,0,56,12,47,1,0,0,5,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1905,5037,332,10,10,1,9,2,0,0,0,0,148,1,18,0,0,0,0,4,70,6,40,3,0,0,4,0,2,2,0,0,0,1,0,0,0,1,0,0,0,0
1915,5339,239,9,7,0,1,0,0,0,0,0,99,0,9,0,0,0,0,1,67,3,35,1,0,0,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1925,5640,318,5,0,0,9,0,0,0,0,0,128,0,17,0,0,0,0,1,92,2,56,1,0,0,4,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
1935,5942,306,20,1,0,2,1,0,0,0,0,125,0,4,0,0,0,0,8,108,2,29,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1945,6244,376,38,6,0,4,2,0,0,0,0,155,0,6,0,0,0,0,12,87,10,47,2,0,0,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1955,6545,311,14,4,1,8,0,0,0,0,0,130,1,10,0,0,0,0,6,93,1,37,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
1965,6847,321,34,4,0,5,0,0,0,1,1,131,0,13,0,2,0,0,14,74,8,27,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,7148,354,42,3,0,15,1,0,0,0,0,137,0,13,0,1,0,0,12,88,1,33,1,0,0,3,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
1985,7450,341,32,0,2,12,0,0,0,0,1,143,0,16,0,1,0,0,4,85,4,30,1,0,0,6,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0
2005,8053,337,16,2,0,19,0,0,0,0,0,162,0,18,0,2,0,0,4,62,1,38,1,0,0,5,0,0,0,0,4,0,0,0,0,0,0,1,1,1,0
2015,8355,326,16,0,1,20,0,0,0,0,1,150,0,14,0,3,0,0,2,64,3,40,1,1,0,5,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0
2025,8657,391,0,0,0,84,0,0,0,0,0,153,0,23,0,0,0,0,0,54,1,63,3,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2035,8958,378,2,0,0,70,0,0,0,0,1,137,0,19,0,1,0,0,0,71,0,72,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2053,NA,396,1,1,0,94,0,0,0,0,1,120,0,11,0,2,0,0,0,63,3,83,2,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1
2070,NA,374,1,0,0,67,1,0,0,0,1,133,0,39,0,1,0,0,0,50,0,68,3,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
