"sample.depths","sample.ages","Abies","Acer.negundo","Acer.saccharum","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Artemisia","Asteraceae.undiff.","Betula","Carya","Caryophyllaceae","Celtis","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Ephedra","Epilobium","Equisetum","Ericaceae","Fraxinus.nigra","Fraxinus.pennsylvanica","Humulus","Indeterminable","Iva.annua","Juglans.cinerea","Juglans.nigra","Larix","Liliaceae","Lycopodium.type","Myriophyllum","Nuphar","Ostrya.Carpinus","Picea","Pinus","Platanus","Poaceae","Polygonum","Populus","Potamogetonaceae","Potentilla","Pteridium.type","Quercus","Ranunculus","Rosaceae.undiff.","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Selaginella","Shepherdia.canadensis","Sparganium.type","Sphagnum","Thalictrum","Tilia","Typha.latifolia","Ulmus","Unknown","Urtica","Vitis"
860,12204,2,0,2,7,4,5,17,2,39,0,1,0,4,0,38,0,0,0,2,0,13,1,0,14,0,0,0,21,0,0,9,7,4,184,19,0,15,0,4,2,0,0,16,11,0,0,0,9,0,0,0,2,1,0,0,0,17,0,7,0
870,12250,1,0,2,13,2,3,25,4,32,0,1,0,3,4,32,0,0,0,0,0,8,1,0,20,0,0,0,18,0,0,5,0,6,280,7,0,11,0,4,0,2,1,9,10,2,0,0,16,0,0,0,6,2,1,0,0,14,3,0,0
870,12250,1,0,2,13,2,3,25,4,32,0,1,0,3,4,32,0,0,0,0,0,8,1,0,20,0,0,0,18,0,0,5,0,6,280,7,0,11,0,4,0,2,1,9,10,2,0,0,16,0,0,0,6,2,1,0,0,14,3,0,0
880,12296,0,0,1,11,2,6,28,3,28,0,0,0,0,0,42,1,0,0,3,0,9,0,1,19,0,0,0,4,0,0,12,0,4,208,3,0,10,1,4,5,0,0,11,18,0,0,0,14,1,0,0,2,3,0,0,0,11,2,0,0
890,12342,3,0,0,5,3,4,16,0,24,0,0,0,0,0,17,0,0,0,0,0,3,0,1,26,0,0,0,6,0,0,10,0,3,241,2,0,5,0,1,2,0,0,6,8,0,0,0,2,1,0,1,0,1,1,0,0,5,2,0,0
900,12387,1,0,0,4,3,3,9,0,16,0,0,0,3,0,23,1,1,0,0,0,4,1,0,6,1,0,0,19,0,1,2,0,1,246,5,0,11,0,1,1,0,0,2,3,0,0,0,4,0,0,2,1,2,0,0,0,3,1,0,0
910,12433,0,0,0,5,2,1,12,5,9,0,0,0,0,1,24,1,0,0,1,0,5,0,0,9,0,0,0,12,0,0,3,0,3,250,6,0,4,0,2,6,0,0,4,2,0,0,0,1,0,0,1,1,1,0,0,0,2,0,0,0
920,12479,0,0,0,2,0,0,3,1,10,0,0,0,1,1,25,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,6,0,0,84,3,0,3,0,0,2,0,0,0,9,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0
930,12525,0,0,0,3,1,2,7,1,16,0,0,0,0,0,38,0,0,0,0,0,0,0,1,15,0,0,0,2,0,0,22,0,1,67,2,0,3,0,1,6,0,0,0,2,0,0,0,2,0,0,0,1,0,1,0,0,2,0,0,0
940,12571,1,0,0,1,0,1,2,1,8,0,0,0,0,0,41,0,0,0,0,0,0,0,0,22,0,0,0,5,0,0,8,0,0,52,2,0,2,0,2,2,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
950,12617,0,0,0,2,0,0,8,1,6,0,0,0,0,0,25,0,0,0,0,3,0,0,0,14,1,0,0,2,0,0,13,0,1,73,3,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0
960,12663,0,0,0,1,0,2,8,10,11,0,0,0,0,0,18,0,0,1,0,0,1,0,0,22,0,0,0,0,0,0,0,0,0,66,2,0,3,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
