"sample.depths","sample.ages","upland.sum","Abies","Acer.negundo","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum","Alnus.incana.type","Alnus.viridis.type","Betula","Carya","Castanea","Ceanothus","Celtis","Corylus","Cupressaceae","Ephedra.viridis.type","Fagus.grandifolia","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar.styraciflua","Morus","Myrica","Ostrya.type","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus.balsamifera.type","Populus.tremuloides.type","Prunus.type","Quercus","Rhus","Ribes","Salix","Sambucus","Sarcobatus.vermiculatus","Shepherdia.argentea","Shepherdia.canadensis","Tilia","Ulmus","Vitis","Ambrosia.type","Amelanchier.type","Amorpha.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","cf..Hypericum","Amaranthaceae","Cyperaceae","Fabaceae.undiff.","Galium","Humulus.lupulus","Iva.annua.type","Iva.xanthifolia.type","Melilotus.type","Phlox","Poaceae","Polygonum.lapathifolium.type","Rosaceae.undiff.","Thalictrum","Urtica.type"
1732,7703,323,0,0,0,1,6,1,0,1,10,0,0,1,5,1,0,0,15,0,1,3,0,0,0,0,22,0,0,1,22,1,0,1,0,119,0,0,2,0,1,0,0,6,33,2,25,0,0,0,2,2,0,0,0,3,11,0,0,0,3,0,0,0,22,0,0,0,0
1733,7748,301,0,0,1,1,3,3,0,0,4,0,0,1,2,2,0,0,10,0,4,0,0,0,0,0,30,4,0,0,18,4,1,0,0,113,0,0,3,0,0,0,0,4,27,0,35,0,0,0,3,3,0,0,0,4,6,0,0,0,2,0,0,0,12,0,0,1,0
1734,7793,304,0,0,0,1,9,1,0,3,6,0,0,3,6,1,0,1,14,0,0,0,1,0,0,0,21,1,0,1,19,0,0,0,0,114,0,0,1,0,0,0,0,3,38,0,26,0,0,0,3,0,0,0,0,0,11,0,0,0,1,0,0,0,18,0,0,1,0
1735,7839,311,0,0,0,0,6,1,0,1,12,0,0,1,4,1,0,0,20,0,4,0,0,0,0,0,21,2,1,2,16,1,2,0,0,121,0,0,2,0,0,0,0,2,32,0,21,0,0,0,6,3,0,0,0,6,6,0,0,0,1,0,0,0,14,0,0,2,0
1736,7886,333,0,0,0,1,6,2,0,1,11,0,0,1,3,1,0,0,13,0,0,0,2,1,0,0,25,1,0,2,17,1,0,0,0,152,0,0,2,0,0,0,0,1,32,1,17,0,0,0,4,1,0,0,0,2,12,0,0,0,2,0,0,0,19,0,0,0,0
1737,7933,326,1,0,0,1,2,1,0,1,4,0,0,1,2,6,0,0,11,4,1,0,0,0,1,0,28,0,2,1,16,2,0,0,0,132,0,0,4,0,0,0,0,2,41,0,20,0,0,0,7,2,0,0,0,5,4,0,0,0,1,0,0,0,22,0,0,1,0
1738,7979,299,0,0,0,1,6,1,0,0,6,1,0,0,4,0,0,0,13,0,3,1,0,0,0,0,16,1,0,1,22,0,1,0,0,126,0,0,2,0,0,0,0,2,40,0,19,0,0,0,2,1,0,0,0,3,11,0,0,0,0,0,0,0,16,0,0,0,0
1739,8026,311,0,0,0,0,4,0,0,1,15,0,0,0,1,2,0,0,9,0,4,1,0,0,0,0,10,0,0,0,12,1,0,0,0,165,0,0,1,0,0,0,0,0,28,0,19,0,0,0,5,5,0,0,0,4,7,0,0,1,1,0,0,0,15,0,0,0,0
1740,8073,318,0,0,0,0,8,0,0,0,3,0,0,0,3,0,0,0,10,0,2,0,1,0,0,0,18,0,1,2,21,0,1,0,0,158,0,0,1,0,1,0,0,4,30,0,24,0,0,0,3,1,0,0,0,4,9,0,0,0,1,0,0,0,12,0,0,0,0
1741,8120,316,0,0,0,1,4,2,0,3,4,0,0,0,2,2,0,0,11,0,1,0,0,0,0,0,16,0,2,3,31,1,0,0,0,150,0,0,3,0,0,0,0,2,26,0,23,0,0,0,2,2,0,0,0,5,2,0,0,0,1,0,0,0,15,1,0,1,0
1742,8166,350,0,0,0,0,3,0,0,1,9,0,0,0,1,0,0,0,20,0,1,0,0,0,0,0,24,0,0,3,16,4,3,0,0,193,0,0,2,0,0,0,0,4,30,0,17,0,0,0,0,2,0,0,0,2,5,0,0,0,0,0,0,0,10,0,0,0,0
1743,8212,434,0,0,0,0,3,2,0,2,9,0,0,0,2,2,0,0,14,3,0,0,0,0,0,0,11,0,2,3,33,4,0,0,0,248,0,0,0,0,0,0,0,0,40,0,20,0,0,0,7,1,0,0,0,4,7,0,0,0,0,0,0,0,15,0,0,2,0
1744,8257,530,0,0,0,0,3,0,0,4,13,0,0,0,2,0,0,0,16,1,4,0,0,0,0,0,19,0,3,1,25,1,0,0,0,316,0,0,1,0,2,0,0,3,59,1,20,0,0,0,1,1,0,0,0,4,14,0,0,0,0,0,0,0,13,0,0,3,0
1745,8302,331,0,0,0,1,2,0,0,0,3,0,1,0,2,2,0,0,13,0,1,1,0,0,0,0,10,2,4,3,16,2,1,0,0,203,0,0,1,0,0,0,0,1,23,0,12,0,0,0,3,1,0,0,0,5,9,0,0,0,1,0,0,0,7,0,0,1,0
1746,8345,385,0,0,0,1,4,2,0,0,10,0,0,0,4,0,0,0,12,1,0,0,1,0,0,0,21,0,2,0,14,1,0,0,0,211,0,0,2,0,0,0,0,3,43,1,18,0,0,0,5,1,0,0,0,2,14,0,0,0,0,0,0,0,12,0,0,0,0
1747,8388,338,0,0,0,1,3,2,0,2,9,0,0,0,2,2,0,0,12,2,1,0,0,0,0,0,22,0,1,0,24,1,0,0,0,190,0,0,2,0,1,0,0,2,27,0,15,0,0,0,3,2,0,0,0,3,4,0,0,0,0,0,0,0,5,0,0,0,0
1748,8429,299,0,0,0,1,4,1,0,0,7,0,0,1,4,2,0,0,8,2,3,0,0,0,0,0,18,0,1,2,13,1,2,0,0,160,0,0,1,0,0,0,0,3,25,0,15,0,0,0,1,0,0,0,0,1,8,0,0,0,0,0,0,0,13,1,0,1,0
1749,8469,336,0,0,2,2,2,0,0,1,12,0,0,0,3,0,0,0,15,1,1,1,0,0,0,0,25,0,0,1,18,2,0,0,0,172,0,0,0,0,0,0,0,1,30,0,16,0,0,0,1,2,0,0,0,5,10,0,0,0,0,0,0,0,13,0,0,0,0
1753,8621,433,0,0,0,0,5,1,1,2,11,0,0,1,3,2,0,0,7,0,2,0,0,0,0,0,18,1,4,8,9,9,0,1,0,219,0,0,7,0,0,0,0,2,37,0,27,2,0,0,5,3,0,0,0,8,13,0,0,0,0,0,0,0,24,0,0,1,0
1757,8758,318,0,0,0,1,5,2,0,3,8,0,0,0,1,0,0,0,19,1,1,2,0,0,0,0,15,0,2,0,22,3,0,0,0,162,0,0,2,0,0,0,0,4,32,0,11,0,0,0,2,3,0,0,0,2,5,0,0,0,2,0,0,0,7,0,0,1,0
1761,8882,389,1,0,0,1,2,1,0,5,12,0,0,2,4,1,0,0,19,0,2,0,0,0,0,0,23,2,3,2,11,3,2,0,0,171,0,0,7,0,0,0,0,7,38,0,20,0,0,0,5,2,0,1,0,19,5,0,0,0,0,0,0,0,16,0,0,2,0
1765,8996,301,0,0,0,4,5,1,0,1,5,0,0,0,2,0,0,1,9,0,0,1,0,0,0,0,16,4,2,0,17,1,0,0,0,166,0,0,1,0,0,0,0,1,37,0,7,0,0,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0,14,0,0,0,0
1769,9102,315,2,0,0,1,4,1,0,0,7,0,0,0,7,1,0,0,5,0,4,2,0,0,0,0,37,2,3,4,11,5,0,0,0,145,0,0,3,0,0,0,0,4,29,0,16,0,0,0,1,0,0,0,0,2,14,0,0,0,0,0,0,0,5,0,0,0,0
1773,9201,369,0,0,0,1,8,0,0,1,8,0,0,0,3,1,0,0,13,0,2,1,0,0,0,0,37,2,0,2,18,2,5,0,0,176,0,0,1,0,0,0,0,2,60,0,9,0,0,0,3,1,0,0,0,3,3,0,0,0,0,0,0,0,6,0,0,1,0
1777,9295,323,0,0,0,1,8,1,0,1,3,0,0,0,3,0,0,0,25,2,0,0,1,0,0,0,28,0,0,0,12,6,3,0,0,158,0,0,1,0,0,0,0,2,50,0,8,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0
1781,9388,356,0,1,0,0,11,0,0,6,14,0,0,1,2,0,0,0,13,0,0,0,0,1,0,0,22,1,0,1,26,3,1,0,0,160,0,0,0,0,0,0,0,2,59,0,11,0,0,0,3,1,0,0,0,2,2,0,0,0,0,0,0,0,11,0,1,1,0
1785,9480,307,0,0,0,0,9,0,1,2,12,0,1,0,3,2,0,0,13,0,0,0,0,0,0,0,28,0,6,1,8,0,1,1,0,133,0,0,1,0,0,0,0,3,52,0,5,0,0,0,2,1,0,0,0,2,9,0,0,0,0,0,0,0,10,0,1,0,0
1789,9574,312,0,1,0,0,13,0,0,1,13,0,0,1,2,1,0,0,19,0,2,0,1,0,0,0,38,2,0,0,25,2,1,0,0,122,0,0,0,0,0,0,0,1,52,0,4,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,5,0,0,0,0
1793,9672,337,0,0,0,0,22,1,0,1,10,0,0,2,2,2,0,0,12,0,3,1,0,0,0,0,58,1,3,0,18,6,0,0,0,115,0,0,0,0,0,0,0,3,69,0,4,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
1797,9772,379,0,0,0,0,17,3,0,1,16,0,0,0,1,1,0,1,17,1,3,0,0,0,0,0,53,1,0,2,16,1,0,0,0,135,0,0,2,0,0,0,0,6,88,0,3,0,0,0,3,0,0,0,0,2,1,0,0,2,0,0,0,0,3,0,0,0,0
1801,9875,322,1,2,0,2,12,1,0,0,9,0,0,5,0,0,0,0,11,0,1,0,0,0,0,0,52,0,5,16,10,2,0,0,0,115,0,0,0,0,0,0,0,2,63,0,1,0,0,0,3,0,0,0,0,2,2,0,0,0,0,0,0,0,5,0,0,0,0
1805,9979,390,0,0,0,1,16,1,0,2,10,0,0,1,3,0,0,0,20,0,3,1,0,0,0,0,30,0,1,3,34,2,0,0,0,135,0,0,0,0,0,0,0,5,113,0,2,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0
1809,10085,383,1,1,0,3,12,0,0,2,4,0,0,1,1,0,0,0,21,2,4,0,0,0,0,0,45,2,0,2,48,6,0,0,0,126,0,0,1,0,0,0,0,6,82,0,2,0,0,0,3,0,0,0,0,1,3,0,0,1,0,0,0,0,3,0,0,0,0
1813,10192,383,0,0,0,0,11,2,0,1,11,0,0,1,3,0,0,0,16,0,5,0,1,0,0,0,66,2,2,2,14,5,1,0,0,146,0,0,0,0,0,0,0,5,77,0,4,0,0,0,1,1,0,0,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0
1817,10298,405,1,0,0,5,8,3,0,8,16,0,0,1,1,1,0,0,23,0,9,0,2,0,0,0,63,1,4,2,22,2,0,1,0,142,0,0,3,0,0,0,0,6,64,0,5,0,0,0,4,0,0,0,0,1,4,0,0,0,0,0,0,0,3,0,0,0,0
1821,10405,302,0,0,1,0,10,1,0,3,3,0,0,1,2,1,0,0,13,0,6,0,2,0,0,0,56,1,1,1,13,0,0,0,0,114,1,0,0,0,1,0,0,5,57,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
1825,10510,326,1,0,0,0,9,0,0,5,7,0,0,0,1,0,0,0,37,0,6,0,0,0,0,0,35,0,0,0,18,5,1,0,0,135,0,0,2,0,0,0,0,2,55,0,1,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0
1829,10613,371,0,0,0,3,4,4,0,10,8,0,0,0,6,0,1,0,34,0,7,0,2,0,0,0,35,1,3,0,30,0,2,0,0,120,1,0,0,0,0,0,0,1,87,0,2,0,0,0,4,0,0,0,0,0,2,0,0,1,0,0,0,0,3,0,0,0,0
1833,10714,347,1,0,0,3,3,1,0,14,9,0,0,1,8,2,0,0,25,0,6,0,0,0,0,0,45,0,4,5,10,0,0,0,0,122,0,0,1,0,0,0,0,2,78,0,1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0
1835,10764,388,0,1,0,1,12,4,0,14,7,0,0,0,1,0,0,0,46,0,10,0,2,0,0,0,31,2,1,0,15,0,0,0,0,139,0,0,0,0,0,0,0,3,80,0,3,0,0,0,2,1,0,0,0,0,4,0,0,0,0,0,0,0,9,0,0,0,0
1837,10813,348,0,0,0,0,7,4,0,15,10,0,0,0,2,0,0,0,45,0,5,0,1,0,0,0,30,1,2,2,32,0,1,0,0,115,0,0,0,0,0,0,0,4,64,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,3,0,0,0,0
1841,10909,302,2,0,0,2,6,1,0,19,6,0,0,0,1,0,0,0,38,0,11,4,0,0,0,0,19,0,0,0,18,4,0,0,0,84,0,0,1,0,0,0,0,3,77,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1845,11001,324,7,0,0,2,6,9,0,32,4,0,0,3,3,1,0,0,37,0,7,0,4,0,0,0,18,0,3,0,36,1,2,0,0,68,0,0,1,0,0,0,0,2,59,0,5,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0
1849,11092,318,6,0,1,1,9,7,0,33,6,0,0,0,5,0,0,0,35,0,6,0,0,0,0,0,19,4,7,1,12,1,1,0,0,66,0,0,3,0,0,0,0,0,83,0,0,0,0,0,0,1,0,0,0,2,6,0,0,0,0,0,0,0,2,0,0,0,1
1853,11179,340,12,0,0,1,3,8,0,69,1,0,0,0,3,0,1,0,66,1,5,0,4,0,0,0,13,5,4,0,33,0,0,0,0,35,0,0,1,0,0,0,0,1,63,0,2,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0
1857,11264,337,12,0,0,1,2,4,0,65,5,0,0,3,6,0,0,0,51,2,6,0,3,0,0,0,10,3,8,0,23,1,2,0,0,41,0,0,0,0,0,0,0,1,76,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0
1861,11346,352,16,0,0,1,3,9,0,46,2,0,0,0,4,0,0,0,45,0,3,0,0,0,0,0,16,11,1,0,70,0,1,0,0,53,0,0,1,0,0,0,0,0,56,1,1,0,0,0,2,0,0,0,0,1,2,0,1,1,0,0,0,0,5,0,0,0,0
1865,11425,324,16,0,0,1,4,11,0,36,2,0,0,2,6,0,0,0,36,1,1,0,5,0,0,0,12,11,25,1,50,1,4,2,0,41,0,0,1,0,1,0,0,0,47,0,1,0,0,0,1,0,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0
1869,11501,337,18,0,0,1,4,16,0,30,3,0,0,1,0,0,0,0,59,0,1,0,2,0,0,0,18,13,3,0,76,0,2,0,0,31,0,0,1,0,0,0,0,0,48,0,2,0,0,0,2,1,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0
1873,11574,342,22,1,0,2,0,4,0,57,1,0,0,0,3,0,0,0,65,0,0,0,5,0,0,0,16,20,9,0,28,1,0,0,0,57,0,0,2,0,0,0,0,0,42,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0
1877,11644,304,16,0,0,1,1,20,0,16,1,0,0,0,2,0,0,0,24,0,2,0,7,0,0,0,27,56,7,0,50,0,4,0,0,33,1,0,3,0,0,0,0,0,17,0,3,0,0,0,3,1,0,0,0,1,3,0,1,1,0,0,0,0,3,0,0,0,0
1881,11711,313,18,0,0,0,0,9,0,22,2,0,0,1,1,0,0,0,39,0,1,0,4,0,0,0,18,30,26,0,66,0,6,1,1,34,0,0,3,0,0,0,0,0,16,0,2,0,0,0,5,0,0,0,0,1,1,0,0,0,0,0,0,0,5,0,0,1,0
1885,11775,317,20,0,0,0,0,18,0,15,0,0,0,1,3,0,0,0,42,2,0,0,7,0,0,0,16,75,5,0,28,1,10,0,0,34,0,0,4,0,0,0,0,0,17,0,3,0,0,0,3,2,0,0,0,0,4,0,0,1,0,0,0,0,4,0,0,2,0
1889,11834,315,6,0,0,1,2,13,0,28,1,0,0,0,6,3,0,0,24,2,0,0,10,0,0,0,26,64,1,1,26,3,4,0,0,37,0,0,3,0,0,0,0,0,28,0,1,0,0,0,9,0,0,0,0,2,10,0,0,0,0,0,0,0,4,0,0,0,0
1893,11890,310,20,0,0,0,1,23,0,34,0,0,0,0,1,1,0,0,23,0,1,0,5,0,0,0,24,69,3,0,11,1,8,0,0,28,0,0,3,0,0,0,0,0,21,0,2,0,0,0,7,0,0,0,0,1,8,0,0,1,1,0,0,0,12,0,0,1,0
1897,11941,322,38,0,0,0,0,11,0,15,0,0,0,1,1,2,1,0,19,0,2,0,3,0,0,0,24,76,2,0,16,2,9,0,0,35,0,0,3,0,0,0,0,0,31,0,3,0,0,0,6,1,0,0,0,1,9,0,0,1,1,0,0,0,9,0,0,0,0
1901,11988,312,25,0,0,0,3,12,0,12,3,1,0,1,1,1,0,0,19,0,2,0,13,0,0,0,22,94,0,0,6,1,5,0,0,32,0,0,4,0,0,0,0,0,36,0,2,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,2,0
1905,12030,302,20,0,0,0,2,6,0,7,0,0,0,0,2,1,0,0,15,0,0,0,18,0,0,0,12,134,1,0,4,1,5,1,0,32,0,0,5,0,0,0,0,0,17,0,1,0,0,0,3,1,0,0,0,3,5,0,0,0,0,0,0,0,5,0,0,1,0
1909,12067,305,22,0,0,2,1,14,0,12,1,0,0,2,2,0,0,0,28,3,0,0,6,0,0,0,12,103,2,1,8,0,6,0,0,24,0,0,3,0,0,0,0,0,19,0,3,0,0,0,5,2,0,0,0,3,7,0,0,2,0,0,0,0,11,0,0,1,0
1913,12098,301,10,0,0,1,0,15,0,13,1,0,0,0,0,0,0,0,31,0,2,0,3,0,0,0,18,80,5,0,14,0,7,0,0,34,0,0,5,0,0,0,0,1,14,0,3,0,0,0,8,2,0,0,0,1,8,0,0,1,0,0,0,0,23,0,1,0,0
1917,12124,301,21,0,0,0,3,13,0,9,1,0,0,1,2,2,0,0,26,1,1,0,4,0,0,0,17,120,1,0,11,0,8,0,0,36,0,0,0,0,0,0,0,0,9,0,3,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,1,0
1921,12145,308,12,0,0,0,2,12,0,10,1,0,0,0,6,1,0,0,33,0,0,0,13,0,1,0,15,116,1,0,6,1,10,0,0,29,0,0,1,0,0,0,0,0,9,1,2,0,0,0,12,0,0,0,0,0,8,0,0,0,0,0,0,0,6,0,0,0,0
1925,12161,298,14,0,0,1,1,7,0,5,0,0,0,1,1,0,0,0,25,0,1,0,6,0,0,0,10,148,0,0,6,0,4,0,0,20,0,0,3,0,0,0,0,0,17,0,4,0,0,0,3,6,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,1,0
1929,12174,307,13,0,0,0,0,10,0,6,3,0,0,0,2,0,0,0,47,0,0,0,7,0,0,0,14,94,3,0,9,1,13,0,0,30,0,0,5,0,0,0,0,1,14,1,3,0,0,0,7,1,0,0,0,1,4,0,0,2,0,0,0,0,14,0,0,2,0
1933,12184,316,13,0,0,0,1,8,0,7,1,0,0,0,2,0,0,0,29,1,0,0,3,0,0,0,29,126,0,0,6,0,3,0,0,36,0,0,3,0,0,0,0,0,12,0,4,0,0,0,8,2,0,0,0,1,13,0,0,1,1,0,0,0,3,0,0,3,0
1937,12193,319,8,0,0,0,0,7,0,11,3,0,0,0,5,0,0,0,22,0,0,0,6,0,0,0,17,128,1,0,2,0,0,0,0,50,0,0,4,0,0,0,0,0,16,0,7,0,0,0,8,1,0,0,0,4,8,0,0,0,0,0,0,0,7,0,0,4,0
1941,12202,304,14,0,0,0,1,8,0,3,0,0,0,0,2,0,0,0,22,1,1,0,4,0,0,0,22,151,1,0,2,0,2,0,0,32,0,0,1,0,1,0,0,0,8,0,4,0,0,0,12,2,0,0,0,0,5,0,0,0,1,0,0,0,2,0,0,2,0
1945,12211,315,26,0,0,1,0,12,0,10,1,0,0,0,1,2,0,0,25,0,1,0,7,0,0,0,31,98,0,0,10,0,4,0,0,39,0,0,4,0,0,0,0,0,14,0,5,0,0,0,2,1,0,0,0,1,7,0,0,2,0,0,0,0,11,0,0,0,0
1949,12222,332,20,0,0,0,4,8,0,2,1,0,0,1,3,1,0,0,41,0,0,0,4,0,0,0,19,136,0,0,1,1,6,0,0,36,0,0,3,0,1,0,0,0,13,0,0,0,0,0,10,0,0,0,0,1,11,0,0,1,0,0,0,0,8,0,0,0,0
1953,12235,317,28,0,0,0,2,9,0,9,1,0,0,0,2,1,0,0,19,0,0,0,4,0,0,0,29,97,4,0,9,1,5,0,0,34,0,0,3,0,0,0,0,0,13,0,5,0,0,0,13,2,0,0,0,3,3,0,0,0,0,0,0,0,17,0,0,4,0
1957,12251,316,24,0,0,0,2,9,0,2,0,0,0,1,4,0,0,0,28,2,1,0,2,0,0,0,18,110,0,0,2,0,4,0,0,48,0,0,5,0,0,0,0,0,11,0,7,0,0,0,9,0,0,0,0,2,11,0,0,2,0,0,0,0,12,0,0,0,0
1961,12271,324,20,0,0,0,1,6,0,6,0,0,0,2,6,0,0,0,20,1,0,0,5,0,0,0,15,138,0,0,1,1,4,0,0,29,0,0,4,0,0,0,0,0,15,0,10,0,0,0,12,3,0,0,0,3,7,0,0,0,0,0,0,0,13,0,0,2,0
1965,12296,301,22,0,0,1,0,13,0,6,0,0,0,0,7,0,0,1,21,0,2,0,4,0,0,0,24,115,0,0,0,0,5,0,0,28,0,0,2,0,0,0,0,1,13,0,9,0,0,0,9,3,0,0,0,1,6,0,0,1,1,0,0,0,6,0,0,0,0
1969,12326,316,32,0,0,0,2,7,0,5,1,0,0,0,1,4,0,0,18,0,0,0,7,0,0,0,24,102,1,1,18,0,8,0,0,28,0,0,2,0,0,0,0,0,7,0,5,0,0,0,7,7,0,0,0,2,4,1,0,1,0,0,0,0,17,0,2,2,0
1973,12363,315,30,0,0,0,0,8,0,3,1,0,0,0,8,1,0,0,36,0,1,1,13,0,0,0,23,90,0,0,4,1,4,1,0,37,0,0,1,0,0,0,0,1,13,0,12,0,0,0,13,1,0,0,0,0,4,0,1,0,0,0,0,0,7,0,0,0,0
1977,12405,311,10,0,0,0,2,7,0,3,3,0,0,1,6,0,0,0,26,0,0,0,7,0,0,0,48,61,1,0,7,6,6,0,0,30,0,0,8,0,0,0,0,0,13,0,12,0,0,0,24,2,0,1,0,6,8,0,0,1,0,0,0,0,9,0,0,3,0
1981,12453,382,28,0,0,0,9,8,0,3,1,0,0,1,5,1,0,0,78,0,2,0,4,1,0,0,51,66,0,1,2,0,1,2,0,45,0,0,4,0,0,0,0,0,18,0,15,0,0,0,8,5,0,0,0,2,8,0,0,0,1,0,0,0,10,0,0,2,0
1985,12506,306,32,0,0,0,2,6,0,2,2,0,0,0,2,1,0,0,50,2,0,0,5,0,0,0,47,40,4,0,5,1,8,0,0,31,0,0,3,0,0,0,0,0,25,0,10,0,0,0,6,2,0,0,0,3,4,0,0,2,0,0,0,0,10,0,1,0,0
1989,12565,306,13,0,0,0,0,1,0,3,4,0,0,3,12,1,1,1,44,0,2,0,0,0,0,0,51,50,0,1,1,0,5,0,0,43,0,0,5,0,0,0,1,1,24,0,5,0,0,0,7,2,0,0,0,1,12,0,0,2,0,0,0,0,10,0,0,0,0
1993,12627,307,28,0,0,0,0,0,0,4,1,0,0,0,9,2,1,0,64,0,1,0,1,0,0,0,47,62,0,0,0,0,4,0,0,34,0,0,1,0,0,0,0,0,8,0,6,0,0,0,9,3,0,0,0,2,9,0,0,2,0,0,0,0,8,0,0,1,0
