"sample.depths","sample.ages","upland.sum","Abies","Acer.rubrum","Acer.saccharum","Alnus","Betula","Carya","Castanea","Cephalanthus","Cornus","Corylus","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Ilex.Nemopanthus","Juglans.cinerea","Juglans.nigra","Juniperus.Thuja","Larix","Myrica","Ostrya.Carpinus","Picea","Pinus","Platanus","Populus","Quercus","Salix","Sambucus","Sarcobatus.vermiculatus","Shepherdia.canadensis","Tilia","Tsuga","Ulmus","Vitis","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae.undiff.","Cyperaceae","Dryas","Epilobium.type","Galium","Humulus","Impatiens","Plantago","Poaceae","Ranunculus","Rosaceae.undiff.","Rumex.Oxyria.digyna","Saxifraga","Thalictrum","Xanthium"
470,12662,218,3,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,5,1,0,3,161,14,0,0,2,1,0,0,0,0,0,0,0,3,9,2,0,1,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0
480,12758,215,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,1,168,8,0,1,3,1,0,0,0,0,0,0,0,3,1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0
490,NA,250,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,202,16,0,0,3,4,0,0,1,0,0,0,0,7,0,1,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0
495,NA,235,1,0,0,1,5,1,0,0,0,1,0,0,0,0,0,0,0,3,1,0,3,183,9,0,4,2,6,0,0,0,0,0,0,0,4,2,0,0,0,0,7,1,0,0,0,0,0,1,0,0,0,0,0,0
500,NA,214,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,6,0,2,159,10,0,1,5,3,0,0,1,0,0,1,0,7,2,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0
505,NA,207,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,182,2,0,1,1,1,0,0,0,0,0,0,0,5,1,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
510,NA,204,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,1,0,2,136,14,0,0,3,1,0,0,0,0,0,0,0,2,7,2,0,0,0,18,0,0,0,0,0,0,5,0,0,0,0,2,0
520,NA,104,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,4,4,0,1,44,10,0,2,2,4,0,0,2,0,0,1,0,0,7,1,0,0,0,17,0,0,0,0,0,0,1,0,0,0,0,1,0
530,NA,201,5,0,0,7,1,0,1,0,0,1,0,0,0,2,0,0,0,9,0,0,6,54,14,0,0,3,11,0,0,0,0,0,1,0,3,18,1,0,0,1,50,3,0,0,0,0,0,6,0,0,0,0,3,1
540,NA,208,2,0,0,1,1,1,0,0,0,6,1,0,1,5,0,0,0,4,0,1,10,41,16,0,4,4,32,0,0,0,0,0,3,0,2,22,2,0,0,1,44,1,0,0,0,0,0,2,0,0,0,1,0,0
550,NA,212,2,0,1,1,5,0,0,0,0,2,0,0,1,14,0,0,0,18,1,0,6,41,22,0,5,4,10,0,1,0,0,0,1,0,9,15,7,0,0,0,39,3,0,0,0,0,0,2,0,0,0,1,1,0
562,NA,254,1,0,0,5,2,1,0,1,0,10,0,0,0,10,0,0,0,19,1,1,12,47,25,0,16,0,21,1,1,3,0,0,7,0,6,3,12,0,0,0,38,6,0,0,0,0,0,1,2,0,0,1,1,0
580,NA,224,3,0,0,4,1,0,0,0,0,4,0,0,0,13,0,0,0,12,0,0,4,71,28,0,5,2,10,0,0,0,0,0,1,2,3,12,5,0,1,0,31,5,0,0,0,0,0,6,0,0,0,0,1,0
590,NA,209,2,0,0,5,1,2,0,0,0,4,0,0,0,3,0,0,0,11,0,0,7,53,56,0,6,2,7,0,0,1,0,0,1,0,1,4,3,0,1,0,29,4,0,0,0,0,0,4,0,0,0,0,1,1
600,NA,209,1,0,0,11,0,0,0,1,0,3,1,0,0,4,0,0,0,9,1,0,6,69,44,0,11,0,10,0,0,0,0,0,4,0,6,3,1,0,0,1,12,4,0,0,0,0,0,3,1,0,0,1,2,0
610,NA,264,1,0,0,11,1,0,0,0,0,2,0,0,0,4,0,0,0,9,0,0,7,115,50,0,3,3,4,0,0,0,0,0,1,0,2,1,3,0,0,2,25,10,0,0,0,0,0,9,0,0,0,0,1,0
620,NA,209,4,0,0,3,1,1,0,0,0,2,0,0,0,1,0,0,0,7,0,0,1,77,75,0,2,2,2,0,0,0,0,0,2,0,0,2,1,0,0,2,19,2,0,0,0,0,0,1,0,0,1,0,1,0
630,NA,219,4,0,0,11,0,1,0,1,0,2,0,0,0,1,0,0,0,4,2,0,5,85,45,0,3,1,3,0,0,0,0,1,6,1,1,12,5,0,2,0,11,2,0,0,0,0,0,9,0,0,0,0,1,0
