"sample.depths","sample.ages","upland.sum","Acer.pensylvanicum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Cyperaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Poaceae.undiff.","Larix","Picea.mariana.type","Pinus.undiff.","Populus.balsamifera.type","Populus.tremuloides.type","Quercus","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Juniperus.type","Amaranthaceae","Abies.balsamea","Acer.saccharum","Ilex.Nemopanthus","Pinus.banksiana.type","Pinus.strobus","Rumex.type","Juniperus.communis.Thuja.occidentalis.type","Tsuga.canadensis","Picea.undiff.","Ericaceae.undiff.","Salix.undiff.","Acer.rubrum","Caryophyllaceae","Chamaedaphne.calyculata","Rubiaceae.undiff.","Thalictrum","Tilia","Rosaceae.undiff.","Cerealia","Acer.saccharinum","Corylus.cornuta","Impatiens","Ribes","Sambucus","Taxus","Fabaceae","Lamiaceae","Castanea.dentata","Potentilla.palustris.type","Carya.ovata","Picea.glauca.type","Vaccinium.uliginosum.type","Urticaceae","Cephalanthus.occidentalis","Myrica.gale","Juglans.cinerea","Juglans.nigra","Ostrya.Carpinus","Salix.herbacea.type","Acer.spicatum","Brassicaceae","Saxifragaceae","Fraxinus.americana.type","Viburnum.edule","Elymus.type"
240,4177,488,0,24,1,0,3,146,8,22,8,3,47,3,9,23,0,2,21,0,6,33,0,3,6,0,8,71,0,2,22,2,3,2,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
260,4366,551,0,8,1,0,0,167,3,33,15,9,6,8,2,45,0,7,27,0,9,8,1,1,10,2,6,118,0,11,27,1,0,1,3,0,0,0,0,5,3,0,5,0,0,0,0,2,0,0,0,0,4,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
280,4490,511,2,4,0,0,0,168,5,28,18,3,7,3,4,28,0,1,23,1,10,9,0,1,14,0,2,134,0,2,22,1,0,0,0,1,0,0,0,3,1,7,0,0,0,0,0,3,0,0,2,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
300,4614,508,0,6,0,0,0,201,2,14,22,1,9,4,2,23,0,0,34,1,14,16,2,1,16,1,9,100,0,1,13,1,0,0,1,0,0,0,0,2,0,0,0,1,0,0,1,3,0,0,0,0,2,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0
320,5273,430,0,8,1,0,0,153,3,14,16,1,4,7,1,36,0,2,6,0,11,4,0,2,1,0,4,61,0,1,72,1,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7,0,2,0,2,1,1,0,0,0
340,5707,566,0,2,0,0,0,206,6,15,19,0,3,4,3,24,0,1,36,2,19,4,0,0,14,0,2,66,0,0,119,2,0,0,0,0,0,0,0,4,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,5,0,0,0
360,6140,628,0,13,1,0,0,211,5,21,19,5,4,2,1,35,0,0,24,1,18,4,0,1,18,2,1,84,0,3,126,1,1,3,1,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,12,0,2,0,4,0,0,0,0,0
380,6574,487,0,19,1,1,2,152,4,5,16,1,1,2,5,20,0,0,18,1,22,1,0,2,6,0,1,85,0,0,94,1,0,1,1,0,0,0,0,3,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
400,7007,441,0,11,1,0,1,144,3,3,24,0,2,4,0,26,0,1,35,0,19,0,0,0,7,0,6,88,0,0,56,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
420,7440,493,0,9,2,0,0,132,3,6,14,4,3,0,0,66,0,1,41,1,18,3,0,1,8,1,2,106,0,0,48,1,0,0,2,0,0,0,0,1,1,0,1,3,0,0,0,7,0,0,0,0,2,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0
440,NA,626,0,16,2,2,1,107,2,9,28,5,0,1,1,71,0,1,101,1,29,1,0,1,14,0,18,177,0,0,21,1,0,2,3,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1
460,NA,507,2,14,3,2,0,53,1,3,12,6,2,0,1,56,0,10,72,2,20,2,0,1,6,0,13,192,0,0,14,1,0,0,0,0,0,0,0,3,1,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0
480,NA,622,0,16,2,0,1,69,4,6,19,4,1,1,9,37,0,2,44,0,34,0,0,3,10,0,31,292,0,0,18,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
500,NA,536,0,13,3,1,0,44,6,4,15,0,6,3,5,35,0,1,25,1,27,1,0,3,4,0,20,304,0,1,4,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
520,NA,453,0,10,3,1,1,44,3,0,9,0,1,1,9,35,0,4,12,2,12,1,3,3,4,0,22,261,0,0,1,1,0,1,0,1,0,0,0,1,2,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
540,NA,431,0,6,5,0,0,36,5,2,8,1,3,0,20,28,0,1,10,0,2,0,2,4,4,0,42,242,0,0,3,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
