"sample.depths","sample.ages","Abies","Artemisia","Betula","Carya","Asteraceae.undiff.","Ericaceae","Fagus","Larix","Picea.glauca.type","Picea.mariana.type","Quercus","Rumex","Salix","Tsuga","Alnus","Acer","Ambrosia","Poaceae","Pinus.banksiana.type","Pinus.strobus","Picea.undiff.","Cyperaceae","Ostrya.Carpinus","Ranunculaceae.undiff.","Viburnum","Corylus","Fraxinus","Plantago","Ilex","Pinus.undiff.","Juniperus.Thuja","Populus","Asteraceae.subf..Asteroideae.undiff.","Juglans","Ulmus","Myrica","Polygonaceae.undiff.","Saxifragaceae","Rosaceae.undiff.","Platanus","Thalictrum","Epilobium","Potentilla","Fabaceae","Amaranthaceae","Tilia"
110,3327,0.00452488687782805,0.00904977375565611,0.271493212669683,0,0,0.0135746606334842,0.00452488687782805,0,0.00452488687782805,0.0180995475113122,0.0316742081447964,0,0,0.307692307692308,0.0135746606334842,0,0,0,0.135746606334842,0.158371040723982,0.0135746606334842,0,0,0,0,0,0.00452488687782805,0,0,0,0,0,0,0,0.00904977375565611,0,0,0,0,0,0,0,0,0,0,0
130,4088,0.00709219858156028,0,0.312056737588652,0,0,0.074468085106383,0,0,0,0,0.0141843971631206,0,0,0.173758865248227,0.00709219858156028,0.00354609929078014,0,0,0,0.131205673758865,0.0319148936170213,0,0.0354609929078014,0,0,0,0.00354609929078014,0,0,0.205673758865248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,4848,0.00833333333333333,0,0.404166666666667,0,0,0.05,0,0,0.00833333333333333,0.0333333333333333,0.05,0,0,0.145833333333333,0.00833333333333333,0.00416666666666667,0,0,0.145833333333333,0.116666666666667,0,0,0,0,0,0,0,0,0.00833333333333333,0,0,0,0,0,0.00833333333333333,0.00416666666666667,0.00416666666666667,0,0,0,0,0,0,0,0,0
170,5609,0.012396694214876,0,0.202479338842975,0,0,0.0330578512396694,0.00413223140495868,0.00826446280991736,0,0,0.0495867768595041,0,0,0.322314049586777,0.00413223140495868,0,0,0.00413223140495868,0,0.144628099173554,0.0619834710743802,0,0.0206611570247934,0,0,0,0,0,0,0.119834710743802,0,0,0,0,0.00826446280991736,0.00413223140495868,0,0,0,0,0,0,0,0,0,0
190,6369,0.0043859649122807,0,0.232456140350877,0,0,0.0394736842105263,0.0043859649122807,0.0043859649122807,0,0.043859649122807,0.0175438596491228,0,0,0.223684210526316,0.0219298245614035,0.0131578947368421,0,0,0.263157894736842,0.105263157894737,0.0087719298245614,0.0043859649122807,0,0,0,0,0.0043859649122807,0,0,0,0,0,0,0,0.0043859649122807,0,0,0.0043859649122807,0,0,0,0,0,0,0,0
210,7130,0.00869565217391304,0,0.134782608695652,0,0,0.00434782608695652,0.00434782608695652,0,0,0,0.0347826086956522,0,0,0.178260869565217,0.00869565217391304,0,0,0,0,0.208695652173913,0.0826086956521739,0,0.0130434782608696,0,0.00434782608695652,0,0.00434782608695652,0,0,0.295652173913043,0,0,0,0,0.00869565217391304,0.00434782608695652,0,0,0.00434782608695652,0,0,0,0,0,0,0
230,7890,0.0136986301369863,0,0.210045662100457,0,0,0,0.0045662100456621,0,0,0.0182648401826484,0.095890410958904,0,0,0.105022831050228,0.045662100456621,0,0,0,0.388127853881279,0.0730593607305936,0,0,0.0045662100456621,0,0,0,0.0182648401826484,0,0,0,0,0,0,0,0.0228310502283105,0,0,0,0,0,0,0,0,0,0,0
240,8271,0.0221238938053097,0,0.132743362831858,0,0,0,0,0,0,0,0.0619469026548673,0,0.0088495575221239,0.0619469026548673,0.0221238938053097,0.00442477876106195,0,0,0,0,0.141592920353982,0.0088495575221239,0.00442477876106195,0,0,0.00442477876106195,0.0265486725663717,0,0,0.486725663716814,0.00442477876106195,0.0088495575221239,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,8651,0.0128755364806867,0,0.120171673819742,0,0,0.00429184549356223,0,0,0,0,0.107296137339056,0,0,0.0128755364806867,0.0300429184549356,0,0,0,0,0.184549356223176,0.163090128755365,0,0.00429184549356223,0,0,0,0.00429184549356223,0,0,0.334763948497854,0,0,0.00429184549356223,0,0.00858369098712446,0.00429184549356223,0,0,0,0.00429184549356223,0,0,0,0,0,0
260,9031,0.0172413793103448,0,0.254310344827586,0,0,0.0129310344827586,0,0,0,0.0732758620689655,0.0732758620689655,0,0.00431034482758621,0.0129310344827586,0.0474137931034483,0,0,0.00431034482758621,0.375,0.0732758620689655,0.0172413793103448,0.00431034482758621,0,0,0,0,0.0129310344827586,0,0,0,0,0,0,0,0.0172413793103448,0,0,0,0,0,0,0,0,0,0,0
270,9411,0.0129310344827586,0.00431034482758621,0.40948275862069,0,0.00431034482758621,0.00862068965517241,0,0,0.0172413793103448,0.0948275862068965,0.081896551724138,0,0,0.0129310344827586,0.0689655172413793,0.00862068965517241,0,0.00431034482758621,0.168103448275862,0.0301724137931034,0.0129310344827586,0.00431034482758621,0.0172413793103448,0,0,0,0.00862068965517241,0,0,0,0,0,0,0,0,0.021551724137931,0,0,0,0,0.00862068965517241,0,0,0,0,0
275,9602,0,0,0.420353982300885,0,0.0176991150442478,0.00442477876106195,0,0,0.0132743362831858,0.0752212389380531,0.0929203539823009,0,0.0088495575221239,0,0.0265486725663717,0.00442477876106195,0.0088495575221239,0.0132743362831858,0.234513274336283,0.0132743362831858,0.0088495575221239,0.00442477876106195,0.0176991150442478,0,0,0,0.0176991150442478,0,0,0,0,0,0,0,0.0088495575221239,0.00442477876106195,0,0,0,0,0.00442477876106195,0,0,0,0,0
280,NA,0,0.00317460317460317,0.349206349206349,0,0.092063492063492,0.00317460317460317,0,0,0.0285714285714286,0.0571428571428571,0.0158730158730159,0,0.092063492063492,0,0.0222222222222222,0,0.00317460317460317,0.104761904761905,0.073015873015873,0,0.00317460317460317,0.13015873015873,0,0,0,0,0.00952380952380952,0,0,0,0,0,0,0,0,0.00317460317460317,0,0,0,0,0.00317460317460317,0.00317460317460317,0.00317460317460317,0,0,0
283,NA,0,0.0088235294117647,0.308823529411765,0,0,0.00294117647058824,0,0,0.0088235294117647,0.0441176470588235,0.0205882352941176,0.00294117647058824,0.0470588235294118,0.00294117647058824,0.0382352941176471,0,0,0.0588235294117647,0.123529411764706,0.00588235294117647,0.0117647058823529,0.264705882352941,0.00294117647058824,0,0,0,0,0,0,0,0,0,0,0,0,0.00588235294117647,0,0,0,0,0.0382352941176471,0,0,0.00294117647058824,0,0
285,NA,0,0.0438144329896907,0.244845360824742,0,0.00515463917525773,0.00257731958762887,0,0,0.0103092783505155,0.0257731958762887,0.0257731958762887,0.0180412371134021,0.0541237113402062,0.0180412371134021,0.0515463917525773,0,0.00515463917525773,0.0489690721649485,0.121134020618557,0.00257731958762887,0.0180412371134021,0.239690721649485,0.00515463917525773,0,0,0,0.00515463917525773,0,0,0,0,0,0,0,0,0.0103092783505155,0.00257731958762887,0,0,0,0.0335051546391753,0,0,0,0.0077319587628866,0
289,NA,0.00552486187845304,0.080110497237569,0.157458563535912,0,0.00552486187845304,0.00276243093922652,0,0,0.0331491712707182,0.0441988950276243,0.0138121546961326,0.0138121546961326,0.0441988950276243,0,0.069060773480663,0,0,0.0441988950276243,0.196132596685083,0.0138121546961326,0.0110497237569061,0.237569060773481,0.00552486187845304,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00552486187845304,0,0.00552486187845304,0,0.00828729281767956,0,0,0,0.00276243093922652,0
300,NA,0.00403225806451613,0.00806451612903226,0.254032258064516,0,0.00806451612903226,0.0120967741935484,0.00806451612903226,0,0.0443548387096774,0.0766129032258065,0.0483870967741935,0,0.0201612903225806,0.0201612903225806,0.0120967741935484,0,0,0.0201612903225806,0.32258064516129,0.0161290322580645,0.0282258064516129,0.0483870967741935,0.00403225806451613,0,0,0,0.00403225806451613,0,0,0,0,0,0,0,0.0120967741935484,0.00806451612903226,0,0.00403225806451613,0,0,0.00403225806451613,0,0,0,0.00806451612903226,0.00403225806451613
305,NA,0.00429184549356223,0.00429184549356223,0.240343347639485,0,0.00858369098712446,0.00858369098712446,0,0,0.055793991416309,0.167381974248927,0.0600858369098712,0,0.00858369098712446,0,0.0171673819742489,0,0,0.0128755364806867,0.330472103004292,0.0257510729613734,0.0214592274678112,0.00429184549356223,0.0171673819742489,0,0,0,0.00429184549356223,0,0,0,0,0,0,0,0,0.00858369098712446,0,0,0,0,0,0,0,0,0,0
315,NA,0.013215859030837,0.00440528634361234,0.215859030837004,0,0,0.00881057268722467,0.00440528634361234,0,0.066079295154185,0.110132158590308,0.0352422907488987,0,0.00440528634361234,0.0572687224669604,0.0176211453744493,0,0,0,0.361233480176211,0.0220264317180617,0.0308370044052863,0.00881057268722467,0.00440528634361234,0,0,0,0,0,0,0,0,0,0,0,0.026431718061674,0.00881057268722467,0,0,0,0,0,0,0,0,0,0
325,NA,0.00442477876106195,0.00442477876106195,0.247787610619469,0,0,0.0088495575221239,0,0.00442477876106195,0.0309734513274336,0.115044247787611,0.0530973451327434,0,0.0176991150442478,0.0176991150442478,0.0265486725663717,0.00442477876106195,0.00442477876106195,0,0.367256637168142,0.0221238938053097,0.0309734513274336,0.00442477876106195,0.0221238938053097,0,0,0.00442477876106195,0,0,0,0,0,0,0,0,0,0.0088495575221239,0,0,0,0,0,0,0,0,0,0
330,NA,0.009009009009009,0.0045045045045045,0.225225225225225,0,0.0045045045045045,0.018018018018018,0.0045045045045045,0,0.0315315315315315,0.0945945945945946,0.0315315315315315,0,0,0.0855855855855856,0.0135135135135135,0,0,0.0135135135135135,0.31981981981982,0.0315315315315315,0.027027027027027,0.018018018018018,0.0315315315315315,0,0,0.009009009009009,0,0,0,0,0,0,0,0,0.0045045045045045,0.018018018018018,0,0,0,0,0,0,0,0,0.0045045045045045,0
