"sample.depths","sample.ages","Betula","Bumelia","Celtis","Asteraceae.undiff.","Quercus","Rhizophora","Salix","Ambrosia","Myrica","Pinus","Amaranthaceae","Cyperaceae.undiff.","Avicennia","Conocarpus","Casuarina","cf..Acanthaceae","Sophora","Carya","Fabaceae.undiff.","Liquidambar","Poaceae","Aster","Ilex","Alnus","Euphorbiaceae","Schinus","Bursera.simaruba","Hippocratea","Cephalanthus","Cornus","cf..Coccoloba","Ericaceae","Trema","Ostrya.Carpinus","Fraxinus","Juglans","Cyrilla.racemiflora","Polygonaceae","Cupressaceae.Taxaceae","Ephedra","Fagus"
53,627,0,0,0.0138888888888889,0,0.0277777777777778,0.0416666666666667,0,0,0.111111111111111,0.611111111111111,0.0555555555555556,0.0416666666666667,0,0,0,0,0,0,0.0416666666666667,0,0.0277777777777778,0,0.0138888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138888888888889,0,0
55,652,0,0,0.0531914893617021,0.0212765957446809,0.074468085106383,0.0319148936170213,0,0,0,0.638297872340426,0.074468085106383,0,0,0.0212765957446809,0,0,0,0,0.0212765957446809,0,0.0319148936170213,0,0,0,0.0106382978723404,0,0.0106382978723404,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0106382978723404
61,811,0,0,0,0.00404858299595142,0.0404858299595142,0,0,0.0121457489878543,0.0283400809716599,0.761133603238866,0.0161943319838057,0.097165991902834,0,0,0,0,0,0,0.00809716599190283,0.0161943319838057,0.00404858299595142,0,0,0,0,0,0.00809716599190283,0,0,0,0,0,0,0,0,0,0,0.00404858299595142,0,0,0
63,920,0,0,0,0,0.0179282868525896,0,0,0,0.0597609561752988,0.834661354581673,0.0537848605577689,0,0,0,0,0,0,0.00199203187250996,0.0099601593625498,0,0.0099601593625498,0,0.0099601593625498,0,0,0,0.00199203187250996,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,1029,0,0,0,0.00323624595469256,0.0258899676375405,0.00323624595469256,0.00323624595469256,0.00647249190938511,0.080906148867314,0.796116504854369,0.0420711974110032,0,0,0,0,0,0.00323624595469256,0.00323624595469256,0.0194174757281553,0,0.00323624595469256,0,0.00647249190938511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00323624595469256,0,0,0
67,1138,0,0,0,0,0.0205128205128205,0,0,0,0.0666666666666667,0.835897435897436,0.0256410256410256,0.00512820512820513,0,0,0,0,0,0,0.00512820512820513,0,0.0102564102564103,0.0102564102564103,0,0.00512820512820513,0.00512820512820513,0,0,0,0.0102564102564103,0,0,0,0,0,0,0,0,0,0,0,0
69,1247,0,0,0,0.00413223140495868,0.0165289256198347,0,0,0,0.152892561983471,0.727272727272727,0.0454545454545455,0,0,0,0,0,0,0,0.0165289256198347,0.00413223140495868,0,0,0.00826446280991736,0.00413223140495868,0,0,0.00826446280991736,0,0,0,0,0.00413223140495868,0.00413223140495868,0,0,0,0.00413223140495868,0,0,0,0
71,1356,0,0,0,0,0.0247349823321555,0,0,0,0.162544169611307,0.763250883392226,0.0212014134275618,0,0,0,0,0,0,0.00353356890459364,0.00706713780918728,0.00353356890459364,0,0,0,0.00353356890459364,0.00706713780918728,0,0,0,0,0,0,0,0,0,0.00353356890459364,0,0,0,0,0,0
73,1465,0,0,0,0,0.0133333333333333,0,0,0,0.133333333333333,0.82,0.01,0,0,0,0,0,0,0.00333333333333333,0,0,0,0.00666666666666667,0.00333333333333333,0,0,0,0,0,0,0,0,0.00333333333333333,0,0,0,0,0.00333333333333333,0,0.00333333333333333,0,0
75,1574,0,0,0.0024330900243309,0,0.0170316301703163,0.0024330900243309,0,0,0.180048661800487,0.727493917274939,0.0304136253041363,0,0,0.0024330900243309,0,0,0,0,0.00364963503649635,0.00121654501216545,0.00364963503649635,0,0.01338199513382,0.0048661800486618,0.0072992700729927,0,0.00364963503649635,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,1683,0,0,0,0,0.0358126721763085,0,0,0,0.165289256198347,0.713498622589532,0.0247933884297521,0.00275482093663912,0,0,0,0,0,0,0.0220385674931129,0.00275482093663912,0,0.00275482093663912,0.00826446280991736,0.00550964187327824,0,0,0.0110192837465565,0,0,0,0,0,0,0.00275482093663912,0,0,0,0,0.00275482093663912,0,0
79,1792,0,0,0,0.013840830449827,0.027681660899654,0.00346020761245675,0.00346020761245675,0,0.169550173010381,0.643598615916955,0.0311418685121107,0.0795847750865052,0,0,0,0,0,0,0,0,0,0.0069204152249135,0.0173010380622837,0,0.00346020761245675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,1901,0,0,0.00568181818181818,0.00568181818181818,0.0113636363636364,0,0,0,0.0227272727272727,0.903409090909091,0.0227272727272727,0.0170454545454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0113636363636364,0,0,0,0,0,0,0,0,0
