"sample.depths","sample.ages","Indeterminable","Unknown","Abies","Acer.negundo","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Alnus.incana","Alnus.viridis","Amelanchier.type","Betula","Carya","Celtis","Cephalanthus","Cornus","Corylus","Cupressaceae","Ephedra.trifurca.type","Ephedra.viridis.type","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Juglans.cinerea","Juglans.nigra","Juglans.undiff.","Larix","Morus","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus.balsamifera","Populus.tremuloides.type","Populus.undiff.","Quercus","Salix","Sarcobatus.vermiculatus","Shepherdia.argentea","Tilia","Ulmus","Vitis","Allium.type","Ambrosia.type","Amorpha.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae.Amaranthaceae.undiff.","Dalea.candida","Dalea.purpurea.type","Dalea.undiff.","Euphorbia","Galium","Humulus","Iva.annua.type","Iva.xanthifolia","Lamiaceae","Liliaceae","Myrica","Phlox","Plantago","Poaceae.undiff.","Polygonum.amphibium","Polygonum.lapathifolium.type","Ranunculaceae..tricolpate.","Ranunculaceae.undiff.","Rosaceae.undiff.","Rumex","Sanguisorba.canadensis","Thalictrum","Urtica","Xanthium","Adiantum","Cyperaceae","Dryopteris.type","Equisetum","Lemna","Myriophyllum","Nuphar","Nymphaea","Pediastrum","Stuckenia","Potamogeton","Pteridium","Sagittaria","Sparganium.type","Sphagnum","Spore..monolete.","Spore..trilete.","Typha.latifolia","Zea.mays","Sample.volume..ml.","Spike.tablets..added..number.","Spike.tablets..concentration..grains.tablet.","Lycopodium.spike..number.counted."
555,2306,4,0,0,0,0,0,1,5,2,0,27,0,0,0,0,2,0,0,0,0,11,0,0,0,0,0,0,23,1,0,0,35,0,0,0,2,91,2,1,0,3,15,0,0,22,4,0,37,1,0,0,13,0,0,0,0,0,0,1,1,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,2,10679,43
645,2561,5,0,0,0,0,0,0,6,0,0,11,0,0,0,0,2,0,0,0,1,1,2,1,0,0,0,0,14,0,4,4,40,0,0,0,3,79,6,1,0,4,4,0,0,12,1,0,22,3,0,0,11,0,0,2,0,1,1,0,1,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,31,0,0,1,2,0,0,0,1,3,0,0,0,0,0,0,3,0,1,2,10679,118
735,3034,4,0,2,1,0,0,0,12,4,0,39,0,0,0,0,5,0,0,0,6,2,0,0,0,0,0,0,5,1,13,11,10,0,0,3,0,78,8,3,0,18,5,0,0,17,2,0,20,8,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,73,0,0,1,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,1,2,10679,153
780,3233,5,1,0,0,0,0,1,11,8,0,19,0,0,0,0,3,0,0,0,1,2,0,0,0,0,0,0,7,0,2,2,20,0,0,0,0,71,11,2,0,17,14,1,0,22,2,0,51,12,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,58,0,0,0,0,0,0,0,1,0,0,0,13,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,10679,132
825,3378,1,0,0,0,0,0,1,3,1,0,9,0,0,0,0,6,0,0,1,1,3,0,0,0,0,0,0,3,0,11,8,14,0,0,0,0,98,7,0,0,8,11,0,1,28,1,0,36,9,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,62,0,0,0,0,0,2,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,10679,87
870,3503,7,1,0,0,1,0,0,9,0,0,6,0,0,0,1,4,0,0,1,0,7,0,0,0,0,0,0,3,0,8,7,3,0,0,3,0,91,30,2,0,2,4,0,0,33,4,0,36,6,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,18,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,10679,121
915,3642,5,2,0,0,0,1,0,14,6,0,32,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,13,0,16,8,8,0,0,4,0,72,11,2,0,2,8,0,0,28,1,0,41,9,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,1,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,10679,102
960,3822,4,1,0,0,0,0,0,8,2,0,7,0,0,0,0,3,0,0,0,0,4,1,0,1,0,0,0,1,0,9,8,1,0,0,1,0,83,9,1,0,6,2,0,0,35,2,0,31,8,0,0,17,0,0,0,1,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,1,0,22,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,1,0,1,2,10679,113
1005,4028,5,2,2,0,0,0,1,7,4,0,14,0,0,0,2,4,0,0,0,1,6,0,0,0,0,0,0,2,0,17,6,4,0,0,5,1,65,10,1,0,1,10,0,0,36,1,0,25,21,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,1,0,1,0,1,0,0,0,20,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,4,0,1,2,10679,170
1050,4237,9,1,0,0,0,0,1,4,3,0,6,0,0,0,1,2,0,0,0,1,2,0,0,0,0,0,0,0,0,18,8,25,0,0,0,2,37,24,2,0,1,3,1,0,63,1,1,21,24,0,0,8,0,0,0,0,1,1,0,0,0,0,0,0,0,59,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,10679,172
1065,4303,2,0,0,0,0,0,0,7,2,0,4,0,0,0,0,3,0,0,0,0,2,1,0,0,0,0,1,1,0,23,4,9,0,0,0,0,69,6,2,0,2,4,1,0,73,2,0,27,5,0,0,6,0,0,0,0,0,2,4,0,0,0,15,0,0,65,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,1,2,10679,187
1080,4365,5,1,0,0,0,0,0,6,4,0,4,0,0,0,1,1,0,0,0,2,2,0,0,1,0,0,0,5,0,19,0,10,0,0,0,0,55,23,0,0,4,8,0,0,53,3,0,45,5,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,91,0,0,0,0,0,0,0,1,0,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,10679,92
1095,4424,7,2,1,0,0,0,2,6,4,0,9,0,0,0,0,2,0,0,0,3,3,2,0,0,0,0,0,1,1,6,2,14,0,0,0,0,51,17,2,0,1,3,0,0,15,1,0,27,8,0,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0,134,0,1,0,0,0,1,1,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,10679,63
1110,4477,3,0,1,0,0,0,0,7,0,0,17,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,3,0,26,1,9,0,0,0,0,67,12,2,0,0,1,0,0,20,4,3,44,1,0,1,9,0,0,0,0,0,0,1,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,10679,127
1140,4570,4,2,2,0,0,0,1,8,4,0,8,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,2,0,16,4,15,0,2,0,3,55,20,3,0,1,2,0,0,17,5,0,31,5,0,0,8,0,0,0,0,0,0,2,1,0,0,0,0,0,99,0,0,0,1,0,0,0,3,0,0,0,26,0,0,0,5,0,0,0,0,0,1,1,0,0,0,0,5,0,1,2,10679,100
1155,4613,3,2,0,0,0,0,0,3,5,0,7,0,0,0,0,4,0,0,0,1,2,1,0,0,0,0,0,0,0,16,8,19,0,0,1,0,40,13,1,0,0,0,0,0,17,3,1,60,5,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,1,0,0,0,0,0,23,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,4,0,1,2,10679,199
1170,4655,5,3,1,0,0,0,1,5,3,0,5,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,1,0,31,9,25,0,0,0,0,63,9,2,0,0,6,0,0,21,2,0,51,15,0,0,10,0,0,0,0,0,0,1,1,0,0,0,0,0,88,0,0,0,0,1,0,0,3,0,0,0,26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,1,2,10679,98
1185,4698,2,1,1,0,1,0,1,4,2,0,7,0,0,0,2,2,0,0,0,2,3,0,1,0,0,0,0,1,0,10,13,10,0,0,0,0,63,23,1,0,0,5,0,0,19,2,0,63,6,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,10679,97
1200,4745,5,1,1,0,0,0,2,6,2,0,4,0,1,0,1,2,0,0,0,1,1,2,0,0,0,1,0,0,0,7,6,7,0,0,0,1,61,25,2,0,0,6,0,1,15,0,2,49,13,0,0,13,0,1,0,0,1,0,0,1,0,0,0,0,0,96,0,0,0,0,0,0,0,3,0,2,0,30,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,2,10679,107
1215,4795,2,1,2,0,0,0,1,3,2,0,11,0,0,0,0,1,0,1,0,2,1,0,0,0,0,0,0,1,0,8,5,18,0,0,0,0,34,15,1,0,0,1,0,0,26,4,0,47,4,0,0,21,0,0,1,0,0,0,1,1,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,10679,129
1230,4852,7,5,3,0,0,0,2,5,4,0,5,0,1,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,5,6,16,0,1,1,2,23,19,1,0,0,2,0,0,20,3,0,54,12,0,0,9,0,0,0,1,0,1,2,6,0,0,0,0,0,142,0,0,1,1,0,1,0,2,0,0,0,63,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5,0,1,2,10679,64
1235.5,4875,4,1,2,0,0,0,0,8,3,0,7,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,2,1,16,3,12,0,0,0,0,37,14,2,0,0,1,0,0,42,4,0,47,2,0,1,14,0,0,0,0,0,0,2,0,0,0,0,0,0,107,0,0,0,0,0,1,0,0,0,1,0,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,10679,59
1245,4917,9,2,0,0,0,0,0,5,7,0,7,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,4,3,7,8,14,0,0,0,3,30,14,2,0,0,6,0,0,49,1,0,52,9,0,0,22,0,0,0,0,0,0,0,1,0,0,0,0,0,79,0,0,0,0,2,0,0,1,0,0,0,25,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,1,0,1,2,10679,115
1260,4989,6,3,0,0,0,0,4,10,5,0,11,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,20,7,9,0,0,0,0,40,14,2,0,0,7,0,0,33,4,1,50,13,0,0,17,0,0,0,0,0,2,1,0,0,0,0,0,0,107,0,0,0,2,1,0,0,1,0,1,0,23,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,1,2,10679,84
1275,5070,1,0,0,0,0,1,1,7,5,0,10,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,3,1,16,6,18,0,0,1,0,83,7,3,0,0,13,0,0,38,1,0,48,8,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,74,0,0,0,0,0,1,0,1,0,0,0,29,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,1,2,10679,91
1290,5158,4,1,1,0,0,0,3,3,2,0,4,0,0,0,0,4,0,0,0,2,2,0,0,0,0,0,0,3,0,20,1,10,0,0,0,0,51,5,2,0,0,8,0,0,41,1,1,52,14,0,0,17,0,0,0,0,0,2,0,3,0,0,0,0,0,58,0,0,0,0,0,4,0,0,0,0,0,29,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,2,10679,82
1305,5253,3,2,0,0,0,0,0,3,2,0,4,0,0,0,1,1,0,0,0,1,0,3,0,0,0,0,0,2,2,9,4,5,0,0,0,0,82,1,0,0,0,10,0,0,39,3,0,52,7,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,79,0,0,0,0,0,1,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,2,10679,65
1322,5369,3,3,0,0,0,0,5,4,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,8,4,6,0,1,1,1,77,13,1,0,0,14,0,0,49,0,0,36,3,0,0,8,0,0,0,0,0,1,1,1,0,0,0,0,0,56,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,2,10679,23
1335,5463,6,0,0,0,0,0,0,0,3,0,4,0,0,0,0,1,0,0,0,0,2,1,1,0,1,0,0,1,0,9,5,3,0,0,0,0,101,12,4,0,0,10,0,0,127,1,0,44,5,0,0,11,0,0,0,0,0,0,6,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,2,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,10679,76
1350,5577,2,1,0,0,0,0,2,3,5,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,1,0,19,5,21,0,0,0,0,54,5,0,0,0,8,0,2,57,0,0,48,6,0,0,11,0,0,0,0,0,1,1,0,0,0,0,0,0,52,0,0,0,1,0,0,0,2,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,10679,54
1365,5698,5,0,0,0,0,0,0,7,5,0,3,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,2,8,2,13,0,0,0,0,32,6,2,0,0,2,1,0,54,2,1,102,7,0,0,16,0,0,0,0,0,0,4,0,0,0,0,0,0,60,0,0,0,0,0,0,0,2,0,1,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,10679,99
1380,5824,5,2,0,0,0,0,8,7,5,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,22,4,15,0,0,1,0,74,4,0,0,0,6,0,0,54,1,0,39,8,0,0,15,0,0,0,0,0,1,1,1,0,0,0,0,0,70,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,10679,49
1385,5867,3,1,0,0,0,0,0,2,6,0,3,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,3,0,22,0,12,0,0,1,0,70,5,1,0,0,11,1,0,31,0,0,56,2,0,0,23,0,0,0,0,0,0,1,0,0,0,0,0,0,67,0,0,0,0,2,0,0,2,0,4,0,23,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,1,2,10679,65
1390,5910,2,0,0,0,0,0,0,3,5,0,4,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,1,4,0,12,1,9,0,0,0,0,118,8,0,0,0,14,0,0,35,0,0,49,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,3,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,2,10679,50
1395,5955,6,1,1,0,0,0,0,3,2,0,2,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,19,7,15,0,0,5,0,25,6,0,0,0,3,0,0,31,4,1,42,7,0,0,16,0,0,0,0,0,1,2,0,0,0,0,0,0,108,0,0,0,0,0,1,0,2,0,1,0,25,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7,0,1,2,10679,213
1402.5,6022,4,1,0,0,0,0,0,2,5,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,24,1,16,0,0,0,0,27,7,0,1,0,5,0,0,19,2,0,77,0,1,0,16,0,0,0,0,0,0,4,1,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,2,0,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,1,2,10679,76
1410,6090,8,1,0,1,0,0,3,5,6,0,12,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,3,0,13,5,26,0,0,1,0,32,14,3,0,0,19,0,1,30,0,0,68,4,0,0,9,0,0,0,0,0,0,1,1,0,0,0,0,0,74,0,0,0,0,0,0,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,1,2,10679,105
1425,6231,7,0,0,0,0,0,0,5,3,0,10,0,0,1,0,2,0,0,0,2,5,0,0,0,0,0,0,2,0,9,6,1,0,0,0,0,89,6,2,0,0,9,2,0,36,6,3,65,4,0,0,11,0,0,0,0,0,2,2,0,0,0,0,0,0,51,0,0,0,0,0,2,0,2,0,0,0,10,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,2,10679,100
1440,6375,13,1,0,0,0,0,4,5,3,1,3,0,0,0,0,0,0,0,0,0,2,0,1,0,0,3,1,2,0,10,2,17,0,0,2,0,67,22,7,0,0,14,0,4,19,0,0,59,6,0,0,18,0,0,1,1,0,0,2,0,0,0,0,0,0,70,0,0,0,2,0,0,0,2,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,4,0,1,2,10679,83
1457,6544,6,2,0,0,0,0,2,1,2,0,4,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,2,0,9,10,15,0,0,1,0,60,3,1,0,0,20,0,0,63,0,0,57,2,0,0,33,0,0,0,0,0,0,1,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,11,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,2,10679,51
1470,6675,7,2,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,1,1,0,7,2,10,0,0,5,0,69,6,0,2,1,3,0,1,48,2,3,60,10,1,0,13,1,0,1,1,1,0,0,0,0,1,0,1,0,74,0,0,0,0,0,0,1,0,0,1,0,9,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,2,10679,105
1485,6831,3,0,0,0,0,0,1,1,0,0,4,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,1,0,12,2,12,0,0,1,0,116,2,0,0,0,6,0,0,109,1,0,36,9,0,0,21,0,0,0,0,0,0,6,0,0,0,0,0,0,12,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,10679,31
1491,6894,5,2,0,0,2,0,1,1,1,0,5,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,14,8,6,0,0,0,0,133,2,0,0,0,11,0,0,22,4,0,27,2,0,0,25,0,0,0,0,0,0,3,1,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,2,0,24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,10679,58
1500,6990,0,0,0,0,0,0,0,1,2,0,6,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,2,0,3,0,18,0,0,0,0,60,3,1,2,0,16,1,0,128,2,1,114,6,0,0,30,0,0,0,0,0,0,5,0,0,0,0,1,0,60,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,10679,58
1507,7067,3,1,0,0,0,0,1,2,0,0,3,1,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,5,1,20,5,3,0,0,0,2,117,1,2,0,1,12,0,0,36,6,1,54,0,0,0,11,0,0,0,0,0,0,2,1,3,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,1,2,10679,97
1515,7155,5,0,0,0,0,0,2,1,3,0,5,1,2,0,0,1,0,0,0,1,0,2,0,0,0,0,0,2,1,7,5,5,0,0,0,0,104,7,1,0,0,14,0,0,84,1,1,46,5,0,0,27,0,0,0,0,0,0,9,0,0,0,0,0,0,18,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,10679,49
1522,7235,4,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,2,1,8,2,2,0,0,0,0,129,2,1,0,0,16,0,0,149,3,0,55,5,0,0,17,0,0,0,0,0,0,24,0,0,0,0,0,0,10,0,0,0,2,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,10679,27
1530,7327,10,1,0,0,0,0,0,1,3,0,8,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,16,0,0,0,0,63,25,1,0,0,7,0,0,110,0,0,84,8,0,0,32,0,0,0,0,0,0,12,1,0,0,0,0,0,61,0,0,0,0,0,0,0,1,0,2,0,11,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,2,10679,52
1537,7409,3,0,0,0,0,0,0,4,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,16,5,11,0,0,0,0,54,13,1,0,0,12,1,0,75,6,0,65,5,0,0,28,0,0,0,0,1,0,4,2,0,0,0,0,0,43,0,0,0,0,0,1,0,1,0,2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,10679,47
