"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Alnus","Amaranthaceae.undiff.","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Carya","Castanea","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Ephedra.nevadensis.type","Equisetum","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Fraxinus.undiff.","Humulus","Indeterminable","Isoëtes","Iva.annua","Iva.xanthifolia","Juglans.cinerea","Juglans.nigra","Larix","Lemna","Lycopodium.type","Myrica","Myriophyllum","Nuphar","Nymphaea","Onagraceae","Osmunda","Ostrya.Carpinus","Picea","Pinus.det..P..banksiana.P..resinosa","Pinus.det..P..strobus","Platanus","Poaceae","Populus","Potamogetonaceae","Pteridium","Quercus","Rumex","Salix","Sarcobatus.vermiculatus","Shepherdia.canadensis","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Vitis","Xanthium"
155,4213,5,0,7,7,1,1,0,1,1,129,0,0,0,18,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,8,24,73,0,0,0,0,2,16,0,0,0,0,1,0,0,0,2,0,1,0,0,0
165,4510,4,0,5,4,0,0,0,4,3,102,0,0,0,5,2,3,0,0,0,3,1,2,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,4,16,117,2,3,0,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,4806,1,0,8,13,1,1,0,4,0,88,0,0,1,14,0,0,0,0,0,0,0,4,4,1,0,3,0,0,0,0,1,0,3,1,0,0,0,0,0,1,3,26,101,1,1,0,0,2,23,0,0,0,0,0,0,0,0,0,0,6,0,0,0
185,5102,2,0,4,12,1,1,2,3,1,99,0,0,0,12,1,3,0,0,0,2,1,1,2,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,4,24,102,0,2,1,0,0,16,0,0,0,0,0,2,0,0,1,0,5,0,0,0
195,5398,2,0,1,7,1,0,0,2,3,85,0,0,0,14,0,0,0,0,0,2,0,1,1,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,157,1,1,0,0,0,15,0,0,0,0,0,0,0,0,1,0,6,0,0,0
205,5663,6,1,8,12,0,1,0,5,1,66,1,0,0,11,0,1,0,0,0,0,0,1,1,0,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,2,24,131,0,4,1,0,3,17,0,0,0,0,1,0,0,0,1,0,3,0,0,0
215,5928,6,0,6,8,1,1,0,1,0,55,1,0,0,14,1,1,0,1,0,0,0,2,2,0,4,1,0,0,1,0,1,0,1,0,0,0,0,0,0,2,2,16,154,0,2,2,0,0,19,0,0,0,0,0,0,0,0,2,0,3,0,0,0
225,6193,3,0,8,10,2,2,0,8,0,64,2,0,1,2,1,2,0,0,0,0,2,2,4,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,6,20,127,1,1,5,0,2,16,0,3,0,0,0,0,1,0,2,0,3,0,0,1
245,6723,2,0,0,6,3,4,0,2,0,43,1,0,0,3,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,3,4,44,162,0,3,2,0,2,8,0,0,0,0,1,1,0,0,1,0,7,1,0,0
255,6988,2,0,2,2,0,2,0,1,1,30,0,0,2,4,0,2,0,0,0,0,0,1,1,0,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,11,208,1,3,1,0,2,9,0,0,0,0,0,1,0,0,3,0,5,0,0,0
265,7253,2,0,2,4,2,2,0,4,4,40,0,0,0,3,1,1,0,0,0,0,0,3,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,15,178,2,4,0,0,2,11,0,0,0,0,0,3,0,0,0,0,9,0,0,0
275,7518,2,0,0,5,1,1,0,2,0,36,2,0,2,3,0,0,0,0,0,1,0,3,3,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,13,3,24,185,0,2,1,0,153,7,0,1,0,0,0,0,0,0,0,0,5,0,0,0
285,7783,0,0,1,9,0,3,0,5,0,73,0,0,0,4,3,1,0,0,0,0,2,3,5,0,4,2,0,0,0,0,0,0,1,1,0,0,0,1,0,3,8,29,134,2,2,1,0,4,8,0,2,0,0,0,0,0,0,0,1,6,0,0,0
295,8368,5,0,3,4,2,2,0,5,0,120,0,0,1,6,0,2,0,0,0,0,0,4,4,0,8,0,0,0,0,0,2,0,0,1,0,1,0,0,0,5,11,84,28,0,0,2,0,15,4,0,4,0,0,0,2,0,0,0,0,7,2,0,0
305,8953,7,0,2,1,1,4,1,12,1,86,0,0,0,2,3,1,0,0,0,0,2,1,3,0,0,5,1,0,0,0,0,0,1,4,0,0,0,0,0,4,8,125,12,0,4,2,0,5,14,0,1,0,0,0,1,0,0,0,0,2,0,0,0
315,9538,5,0,1,4,7,3,0,7,1,97,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,5,0,1,0,0,1,0,0,11,0,0,0,0,0,10,20,81,8,1,2,6,0,5,17,0,1,0,0,0,0,0,0,0,1,12,0,0,0
325,10124,5,0,0,7,2,4,0,7,2,87,0,0,0,3,3,1,0,1,0,0,2,1,3,0,2,6,0,0,0,0,17,0,0,10,0,1,0,0,0,8,35,58,10,0,0,6,0,6,18,0,1,0,0,0,0,0,0,0,0,14,0,0,0
335,10709,2,0,0,3,1,4,0,5,1,130,1,0,1,0,2,2,0,0,0,0,1,1,2,0,12,2,0,0,2,0,1,0,0,5,0,0,0,0,0,3,59,48,9,0,1,0,0,0,10,0,1,0,0,0,0,0,0,0,0,9,0,0,0
345,11294,2,0,1,2,2,1,0,7,0,38,2,0,0,0,4,2,0,0,0,0,0,4,4,0,1,6,0,0,0,0,3,0,0,27,0,0,0,0,0,10,69,58,5,2,2,9,0,3,38,0,3,0,0,0,0,0,0,1,0,10,0,0,0
355,NA,1,0,1,2,2,2,0,10,1,14,2,0,0,7,8,2,0,0,0,0,0,2,2,0,5,6,2,0,0,0,0,0,0,0,1,0,0,0,0,6,113,58,0,0,1,0,1,5,43,0,2,0,1,0,1,0,2,0,0,19,1,1,0
365,NA,0,0,4,0,5,8,0,12,1,6,2,0,0,2,35,0,0,0,0,0,1,0,1,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,42,127,7,0,1,2,0,6,33,0,4,0,0,0,0,0,0,0,0,4,0,0,0
375,NA,0,0,0,0,2,8,0,12,3,11,1,0,0,1,18,2,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,38,154,0,0,6,1,0,2,20,0,1,0,4,0,1,0,0,0,0,15,1,0,0
