"sample.depths","sample.ages","upland.sum","Abies","Betula","Amaranthaceae.undiff.","Cyperaceae","Asteraceae.subf..Cichorioideae","Picea","Quercus","Rumex","Thalictrum","Alnus","Ambrosia","Pinus","Poaceae","Ostrya.Carpinus","Sanguisorba","Asteraceae.subf..Asteroideae.undiff.","Plantago","Ulmus","Fagus","Salix","Shepherdia.canadensis","Artemisia","Tsuga","Acer.saccharum","Acer.rubrum","Apiaceae","Myrica","Fraxinus.americana","Castanea","Fraxinus.nigra","Rosaceae.undiff.","Larix","Juglans.cinerea","Sarcobatus.vermiculatus","Lamiaceae","Platanus","Ilex.Nemopanthus","Populus","Onagraceae","Ericaceae","Ranunculus","Caryophyllaceae","Cupressaceae","Brassicaceae","Carya"
100,1853,200,11,75,0,4,0,14,1,0,2,80,0,3,7,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,2041,200,28,96,0,7,0,13,2,0,0,43,0,1,3,0,0,3,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,2229,200,28,93,0,7,0,21,0,0,2,37,0,3,2,0,0,1,0,0,2,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,2417,200,23,85,0,3,0,11,2,0,2,53,0,6,2,0,0,2,1,0,1,0,0,1,2,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,2606,200,22,87,0,3,0,18,2,0,2,50,0,2,4,0,0,5,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,2794,199,17,104,0,3,0,11,0,0,0,51,0,4,1,0,0,1,0,0,2,0,0,0,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,2982,200,17,84,0,5,0,12,1,0,0,62,0,7,2,0,0,2,0,2,1,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,3170,197,31,77,0,3,0,23,1,0,0,52,0,4,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
180,3359,200,26,78,0,1,0,23,1,0,0,55,0,10,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
190,3547,200,23,74,0,7,0,19,0,0,0,63,1,5,0,0,0,1,0,0,1,2,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
200,3735,200,29,64,0,1,0,8,0,0,3,81,1,7,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,3923,200,24,99,0,0,0,8,1,0,0,57,0,4,2,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
220,4112,200,26,74,0,3,0,13,1,0,1,65,0,13,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
230,4300,199,18,68,0,4,0,10,0,0,1,87,1,6,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,4488,202,27,66,0,6,0,13,0,0,2,72,0,12,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
250,4676,200,23,87,0,7,0,11,1,0,1,56,0,8,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,4865,200,38,66,0,3,0,16,1,0,1,53,0,12,2,0,0,4,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,5053,200,18,101,0,0,0,13,2,0,0,48,0,10,2,0,0,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,5241,200,19,93,0,0,0,13,1,0,0,66,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
290,5429,200,13,120,0,4,0,6,1,0,0,44,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,5618,200,16,121,0,2,0,15,1,0,0,30,0,10,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,5806,200,18,127,0,1,0,16,7,0,0,10,0,16,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
320,6493,202,11,150,0,5,0,21,3,0,0,5,0,3,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
330,7236,200,24,110,0,0,0,31,2,0,0,13,0,13,0,0,0,0,0,1,1,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,7979,200,13,119,0,0,0,18,0,0,0,21,0,19,0,0,0,0,0,0,0,0,0,0,4,2,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
350,8722,200,16,126,0,2,0,18,9,0,0,8,0,17,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
360,9465,200,15,142,0,0,0,19,4,0,0,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,10208,200,10,142,0,1,0,21,1,0,0,8,0,14,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,10950,200,9,137,0,0,0,18,0,0,0,5,0,28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
390,11693,200,15,130,0,1,0,22,7,0,0,8,0,14,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,12436,200,0,139,0,3,0,27,4,0,0,6,0,11,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
403,12659,200,0,42,0,48,0,25,3,0,0,1,0,44,14,0,0,3,0,1,0,8,0,0,2,0,0,0,0,0,0,2,1,1,0,0,0,0,0,2,0,1,2,0,0,0,0
405,12808,200,0,61,0,42,0,6,3,1,0,11,0,24,13,0,0,1,0,1,0,17,1,5,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,4,0,2,3,0,0
410,13179,199,0,50,0,67,0,6,3,0,0,16,1,40,0,0,0,2,0,1,0,5,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
420,NA,193,1,21,0,73,1,11,3,2,0,13,3,42,7,0,0,1,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0
430,NA,200,0,15,1,117,1,6,1,0,0,10,0,14,19,0,0,3,0,0,0,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0
440,NA,200,0,39,0,71,1,16,4,0,1,0,1,36,9,0,0,1,0,0,0,6,1,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,3,0,0
450,NA,200,0,21,0,45,0,26,9,0,0,2,0,71,8,0,0,1,0,1,1,8,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0
460,NA,185,6,10,0,19,0,64,3,0,0,1,0,70,4,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,1
