"sample.depths","sample.ages","upland.sum","Abies","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Cupressaceae","Cyperaceae","Fraxinus.pennsylvanica.type","Larix","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Platanus","Quercus","Ranunculaceae.undiff.","Thalictrum","Tsuga","Ulmus","Acer","Populus","Poaceae","Amaranthaceae.undiff.","Corylus","Ericaceae","Fagus","Salix","Asteraceae.subf..Asteroideae.undiff.","Myrica","Sarcobatus.vermiculatus","Onagraceae","Fraxinus.nigra.type","Iva.xanthifolia.type","Vitis","Carya","Urtica.type","Cornus","Galium","Juglans.cinerea","Aquifoliaceae","Morus","Taxus","Plantago","Herbs.undiff.","Rosaceae.undiff.","Juglans.nigra","Cannabaceae","Iva.annua.type","Dryas.type","Tilia"
200,5191,557,7,20,18,1,2,124,63,12,0,7,0,51,120,89,1,2,0,0,0,5,2,10,10,0,2,0,0,1,0,3,1,0,2,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
210,5481,456,11,6,14,0,2,69,45,5,0,7,1,36,106,120,1,2,0,1,0,4,2,8,2,1,0,0,1,6,1,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,5772,449,8,10,18,2,4,79,46,3,0,7,1,34,99,120,0,3,0,0,0,2,0,6,3,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,6047,364,1,10,15,1,2,70,36,7,0,5,4,29,115,48,0,7,0,0,2,2,1,2,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,6322,535,2,16,21,4,2,128,62,13,0,4,2,37,134,71,0,6,0,0,1,2,1,13,2,1,1,0,2,0,0,3,0,0,4,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
250,6596,376,1,4,11,1,1,49,41,6,0,11,1,41,118,62,0,6,0,0,0,5,0,8,5,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,6870,531,4,10,15,4,8,67,37,2,0,17,2,29,183,110,0,6,0,0,0,5,2,6,8,1,1,0,0,2,2,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
270,7145,340,2,2,15,2,2,45,10,9,1,3,2,28,120,75,2,3,0,0,0,5,2,4,2,0,1,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,7419,519,5,1,10,2,6,56,6,19,0,12,6,52,200,89,3,10,0,0,0,9,1,19,9,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,7694,594,2,4,9,13,3,71,6,36,1,13,3,53,308,13,0,7,0,0,0,7,1,21,6,7,1,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
297,NA,582,9,2,4,10,7,73,5,25,1,14,8,61,266,21,1,5,0,0,0,1,0,41,8,3,2,0,1,4,4,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0
309,NA,509,7,2,10,3,7,30,10,53,1,21,9,110,157,7,6,17,0,0,0,13,1,25,4,6,0,0,1,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
316,NA,430,3,1,12,8,12,29,14,24,0,6,10,67,167,4,1,20,0,0,0,8,3,6,9,13,1,0,0,5,2,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
324,NA,311,1,1,4,3,5,17,1,39,0,2,0,53,155,2,0,3,0,1,0,1,0,6,5,0,1,0,0,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,NA,270,1,4,4,0,8,15,0,12,0,3,2,61,118,0,0,7,0,0,0,0,1,4,4,6,4,4,0,5,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0
340,NA,295,1,4,4,4,9,12,1,20,0,3,0,66,130,0,0,8,0,0,0,1,1,3,10,4,1,8,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
350,NA,269,2,1,4,2,0,10,2,23,0,2,0,82,125,0,0,1,0,1,1,0,1,0,6,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
370,NA,64,0,0,0,2,0,4,0,9,0,1,0,16,27,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,NA,61,0,0,1,0,0,0,0,7,0,0,0,17,20,0,0,0,0,0,0,1,0,0,7,1,0,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
