"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum.type","Acer.undiff.","Alnus.undiff.","Alnus.viridis.type","Amaranthaceae.undiff.","Ambrosia.type","Artemisia","Betula","Carya","Corylus","Cupressaceae","Cyperaceae","Ericaceae","Fraxinus","Herbs.undiff.","Juglans","Larix","Lycopodium.type","Morus","Myrica","Nuphar","Nymphaea","Ostrya.Carpinus","Picea","Pinus","Pinus.subg..Pinus","Pinus.subg..Strobus","Platanus","Populus","Quercus","Rosaceae","Rumex","Salix","Sarcobatus.vermiculatus","Shrubs.undiff.","Sphagnum","Taxus","Tilia","Trees.undiff.","Tsuga","Typha.Sparganium","Ulmus","Unknown"
425,4013,4,1,0,13,0,5,9,1,2,3,70,1,0,21,5,0,1,0,0,0,1,0,1,0,0,10,2,199,19,181,2,7,50,0,0,0,0,0,1,0,0,0,8,0,11,0
450,4360,3,3,2,18,0,5,9,1,8,3,55,0,0,14,6,0,4,1,0,0,0,0,0,1,0,4,1,249,28,222,0,2,26,0,0,0,0,0,0,0,1,0,3,0,9,0
475,4720,1,4,0,18,0,5,8,4,1,8,72,0,0,13,5,0,10,1,0,1,0,0,0,0,0,16,5,275,40,236,0,8,28,0,0,0,0,0,0,0,1,0,4,0,4,4
500,5093,1,1,0,12,0,5,11,5,1,7,42,1,1,8,4,0,3,0,0,2,1,0,3,0,0,8,7,204,37,168,0,1,28,0,0,0,0,0,1,0,1,0,43,0,10,1
525,5479,1,0,0,7,0,5,13,0,2,1,47,0,0,4,1,0,8,1,1,0,2,1,0,0,1,12,1,287,42,245,1,2,30,1,0,2,0,0,0,0,1,0,17,0,2,0
550,5877,3,2,0,6,0,3,5,1,0,3,56,0,0,3,2,0,5,1,0,1,0,0,1,0,1,19,3,278,30,249,0,0,28,1,0,0,0,0,0,0,1,0,10,0,10,3
575,6289,0,1,0,8,0,4,9,4,1,5,38,0,0,6,2,0,5,0,0,0,1,0,0,0,1,23,0,282,43,240,0,3,35,0,0,0,0,1,0,1,0,0,1,0,17,0
600,6714,2,0,0,5,1,11,15,2,3,3,50,1,0,4,8,1,1,0,0,0,0,0,2,0,1,19,0,222,53,218,1,5,24,0,0,1,0,0,0,0,0,0,0,0,10,1
625,7152,2,3,0,5,0,5,7,4,1,0,40,1,1,4,2,0,7,1,0,0,1,0,0,0,0,5,3,287,61,277,0,2,27,0,0,0,0,0,0,0,1,0,0,0,9,0
650,7603,2,2,0,2,0,2,2,4,4,2,30,2,1,0,2,0,6,0,1,0,1,0,0,0,1,14,0,392,66,326,0,1,13,0,0,1,0,0,0,1,0,0,0,0,13,0
675,8066,2,0,0,3,0,5,10,7,8,3,38,0,0,1,3,0,7,0,1,0,0,0,2,0,3,10,5,353,74,331,1,5,7,0,0,0,0,0,0,1,0,0,0,0,9,0
700,8543,3,0,0,0,0,4,7,2,4,3,60,0,0,6,4,0,4,1,0,0,1,0,2,0,0,5,4,276,9,68,0,6,6,1,0,1,1,0,0,0,0,0,0,0,6,1
725,9033,6,0,0,1,0,14,8,2,2,3,74,1,0,2,4,0,5,0,0,3,1,1,1,0,0,3,19,247,49,99,0,2,9,0,0,0,0,0,1,0,0,0,0,0,8,0
750,9536,7,0,0,2,0,5,8,1,7,3,41,0,1,7,5,0,1,0,3,1,1,0,6,0,0,3,30,230,13,18,0,2,18,0,0,2,0,0,0,0,0,0,0,1,4,3
775,10051,3,0,0,1,0,0,8,4,8,5,39,1,1,0,8,0,3,0,0,4,1,0,14,0,0,7,27,255,95,11,1,6,5,0,0,1,0,0,0,0,0,0,0,0,9,0
800,10580,3,0,0,3,0,0,1,1,6,8,29,2,0,3,2,0,4,0,0,5,0,0,6,0,0,5,31,247,29,19,0,6,11,1,0,1,0,0,0,0,0,0,0,1,21,4
830,11232,5,0,0,0,0,1,1,2,2,9,28,2,0,2,7,0,3,0,0,8,0,0,17,0,0,6,33,245,25,22,1,6,15,0,0,4,1,0,0,0,1,0,0,0,17,3
855,NA,8,0,0,1,0,1,1,2,5,8,32,2,0,7,7,0,5,1,0,7,0,0,0,0,0,4,65,167,67,0,0,10,22,0,0,3,0,0,0,0,0,0,0,0,14,8
860,NA,7,0,0,3,0,1,0,3,7,17,24,1,0,5,11,0,9,2,1,8,0,0,0,1,0,8,90,179,75,4,0,21,31,0,0,8,0,0,0,0,1,1,0,0,29,0
