"sample.depths","sample.ages","Abies","Acer.rubrum","Artemisia","Betula","Amaranthaceae.undiff.","Cupressaceae","Cyperaceae","Fraxinus.undiff.","Picea","Quercus","Salix","Ulmus","Alnus","Ambrosia","Fraxinus.americana.type","Myrica","Pinus","Populus","Poaceae","Fraxinus.nigra","Corylus","Larix","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ericaceae","Tilia","Iva.xanthifolia","Ostrya.Carpinus","Rumex","Sarcobatus.vermiculatus","Carya","Acer.saccharum","Juglans.nigra","Thalictrum","Juglans.cinerea","Humulus","Iva.annua","Xanthium","Shepherdia.canadensis","Ephedra.nevadensis.type"
100,4467,0.0133333333333333,0,0.01,0.38,0.00333333333333333,0,0.00333333333333333,0,0.0533333333333333,0.0133333333333333,0.00333333333333333,0.00666666666666667,0.0766666666666667,0.0133333333333333,0,0,0.41,0.00333333333333333,0.00333333333333333,0,0,0.00333333333333333,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,4960,0.02,0,0.01,0.31,0.00333333333333333,0.00333333333333333,0,0,0.0233333333333333,0.00666666666666667,0,0.0133333333333333,0.0366666666666667,0.0133333333333333,0,0,0.543333333333333,0.00333333333333333,0,0,0,0.00666666666666667,0.00333333333333333,0,0,0,0,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0,0
120,5428,0.00666666666666667,0,0.0166666666666667,0.25,0.00666666666666667,0,0.00333333333333333,0,0.02,0.02,0,0.01,0.04,0.0233333333333333,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0,0
130,5895,0.0066006600660066,0,0.0099009900990099,0.280528052805281,0.0033003300330033,0.0033003300330033,0,0.0033003300330033,0.0165016501650165,0.0231023102310231,0.0033003300330033,0.0099009900990099,0.0594059405940594,0.0066006600660066,0,0.0033003300330033,0.561056105610561,0,0,0.0033003300330033,0.0033003300330033,0.0033003300330033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,6830,0,0,0,0.315614617940199,0,0,0.00332225913621262,0.00332225913621262,0.0132890365448505,0.00996677740863787,0,0.0132890365448505,0.0166112956810631,0.00996677740863787,0,0.00332225913621262,0.601328903654485,0,0,0.00332225913621262,0,0,0,0,0,0,0,0,0,0,0,0.00332225913621262,0,0,0.00332225913621262,0,0,0,0,0
155,7064,0.00333333333333333,0,0.00666666666666667,0.32,0.00666666666666667,0,0,0,0.0166666666666667,0.0233333333333333,0.00333333333333333,0,0.0933333333333333,0.01,0,0.00333333333333333,0.503333333333333,0,0.00333333333333333,0,0,0,0,0,0,0,0,0.00333333333333333,0,0,0.00333333333333333,0,0,0,0,0,0,0,0,0
160,7297,0.0100334448160535,0,0.00668896321070234,0.297658862876254,0.00668896321070234,0,0.00668896321070234,0.0100334448160535,0.020066889632107,0.0234113712374582,0,0,0.0836120401337793,0.0234113712374582,0.00334448160535117,0.00668896321070234,0.471571906354515,0.00334448160535117,0.00668896321070234,0.00668896321070234,0,0,0,0.00334448160535117,0,0,0,0.00334448160535117,0,0,0,0,0,0,0.00334448160535117,0.00334448160535117,0,0,0,0
165,7531,0.00993377483443709,0,0.0231788079470199,0.271523178807947,0.0132450331125828,0,0,0.00662251655629139,0.033112582781457,0.0298013245033113,0.0033112582781457,0.00662251655629139,0.129139072847682,0.0264900662251656,0,0.00662251655629139,0.413907284768212,0,0.0033112582781457,0.00662251655629139,0.0033112582781457,0.0033112582781457,0,0.0033112582781457,0,0,0,0,0,0,0,0,0,0,0.0033112582781457,0,0.0033112582781457,0,0,0
170,7765,0.0132890365448505,0,0.0199335548172757,0.308970099667774,0.0166112956810631,0,0.00332225913621262,0.00332225913621262,0.0465116279069767,0.0199335548172757,0.00332225913621262,0.00332225913621262,0.152823920265781,0.0398671096345515,0,0.00332225913621262,0.32890365448505,0.00332225913621262,0.00332225913621262,0.00332225913621262,0,0,0,0.0132890365448505,0,0,0,0,0,0,0,0.00664451827242525,0,0.00332225913621262,0,0,0,0.00332225913621262,0,0
175,7998,0.0099009900990099,0,0.0066006600660066,0.34983498349835,0,0,0.0066006600660066,0.0099009900990099,0.0825082508250825,0.0132013201320132,0.0066006600660066,0.0033003300330033,0.204620462046205,0.0297029702970297,0,0,0.250825082508251,0,0.0033003300330033,0.0099009900990099,0,0.0033003300330033,0,0.0033003300330033,0,0,0,0.0033003300330033,0,0,0.0033003300330033,0,0,0,0,0,0,0,0,0
180,8232,0.0133333333333333,0,0.0133333333333333,0.31,0.0166666666666667,0.00333333333333333,0,0,0.0933333333333333,0.02,0.00666666666666667,0.0133333333333333,0.13,0.0166666666666667,0,0,0.343333333333333,0,0.00666666666666667,0,0,0.00333333333333333,0,0.00333333333333333,0,0,0,0.00666666666666667,0,0,0,0,0,0,0,0,0,0,0,0
185,8466,0.00662251655629139,0,0.0132450331125828,0.410596026490066,0,0,0,0.00662251655629139,0.115894039735099,0.0132450331125828,0.0033112582781457,0,0.162251655629139,0.0165562913907285,0,0.00993377483443709,0.218543046357616,0.0033112582781457,0.00662251655629139,0.00662251655629139,0,0.0033112582781457,0,0.0033112582781457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,8699,0.01,0,0.0133333333333333,0.246666666666667,0.02,0.00333333333333333,0.0133333333333333,0,0.156666666666667,0.0166666666666667,0,0.0133333333333333,0.176666666666667,0.02,0,0.00666666666666667,0.276666666666667,0,0,0,0,0.00666666666666667,0,0.00333333333333333,0,0,0,0.0133333333333333,0,0,0,0,0,0,0,0,0.00333333333333333,0,0,0
195,8933,0,0,0.0166112956810631,0.129568106312292,0.00996677740863787,0.0132890365448505,0.00664451827242525,0.00332225913621262,0.142857142857143,0.00664451827242525,0.00332225913621262,0.00332225913621262,0.136212624584718,0.0299003322259136,0,0.00664451827242525,0.448504983388704,0.00664451827242525,0.0166112956810631,0.00332225913621262,0,0.00996677740863787,0,0,0,0,0,0.00664451827242525,0,0,0,0,0,0,0,0,0,0,0,0
200,9167,0,0,0.00332225913621262,0.122923588039867,0.00332225913621262,0.00996677740863787,0.00332225913621262,0.00332225913621262,0.205980066445183,0.0199335548172757,0.00332225913621262,0.00996677740863787,0.0299003322259136,0.0132890365448505,0,0.00664451827242525,0.541528239202658,0,0,0.00332225913621262,0,0.0132890365448505,0,0.00332225913621262,0,0,0,0.00332225913621262,0,0,0,0,0,0,0,0,0,0,0,0
205,9205,0,0,0.0266666666666667,0.133333333333333,0.0133333333333333,0,0.01,0,0.253333333333333,0.0466666666666667,0.00666666666666667,0.01,0.02,0.04,0,0.00666666666666667,0.4,0,0.00333333333333333,0,0,0.01,0,0.00333333333333333,0,0.00333333333333333,0,0.01,0,0,0.00333333333333333,0,0,0,0,0,0,0,0,0
210,9244,0.0033112582781457,0,0.043046357615894,0.105960264900662,0.00993377483443709,0,0.00993377483443709,0.00662251655629139,0.278145695364238,0.0298013245033113,0.00662251655629139,0.0198675496688742,0.0033112582781457,0.0231788079470199,0,0,0.387417218543046,0.00993377483443709,0.00993377483443709,0.00662251655629139,0,0.0132450331125828,0,0.00662251655629139,0,0,0,0.0198675496688742,0,0,0.00662251655629139,0,0,0,0,0,0,0,0,0
215,9283,0.00332225913621262,0,0.053156146179402,0.0897009966777409,0.0365448504983389,0.00664451827242525,0.0365448504983389,0.00332225913621262,0.169435215946844,0.053156146179402,0,0.026578073089701,0.00332225913621262,0.0232558139534884,0,0,0.428571428571429,0.00332225913621262,0.00332225913621262,0.00332225913621262,0,0.00996677740863787,0,0.00996677740863787,0,0.00332225913621262,0,0.0232558139534884,0,0,0.00332225913621262,0.00332225913621262,0,0,0.00332225913621262,0,0,0,0,0
220,9321,0.00666666666666667,0,0.0266666666666667,0.06,0.0166666666666667,0.00333333333333333,0.0333333333333333,0,0.23,0.06,0.01,0.04,0.0133333333333333,0.04,0,0,0.423333333333333,0,0.0133333333333333,0,0,0.00333333333333333,0,0.00666666666666667,0,0,0,0,0,0.00333333333333333,0,0.00666666666666667,0,0,0,0,0,0,0.00333333333333333,0
225,9360,0,0,0.0491803278688525,0.0655737704918033,0.00655737704918033,0.00327868852459016,0.0655737704918033,0.0163934426229508,0.137704918032787,0.0655737704918033,0.0098360655737705,0.0721311475409836,0.019672131147541,0.019672131147541,0.00327868852459016,0,0.347540983606557,0.00327868852459016,0.0295081967213115,0.0131147540983607,0,0.00655737704918033,0,0.0098360655737705,0,0,0,0.0295081967213115,0,0.00327868852459016,0.0131147540983607,0.00327868852459016,0,0,0.00327868852459016,0,0,0,0,0.00327868852459016
230,9399,0,0,0.0825082508250825,0.066006600660066,0.0099009900990099,0,0.0132013201320132,0.0099009900990099,0.297029702970297,0.0726072607260726,0.0033003300330033,0.0363036303630363,0,0.0198019801980198,0,0,0.326732673267327,0.0033003300330033,0.0165016501650165,0.0099009900990099,0,0,0,0,0,0,0,0.0264026402640264,0,0,0,0,0,0,0.0033003300330033,0,0,0,0.0033003300330033,0
235,9437,0.0033003300330033,0,0.0759075907590759,0.0198019801980198,0.0165016501650165,0,0.0462046204620462,0.0099009900990099,0.283828382838284,0.0561056105610561,0.0033003300330033,0.0165016501650165,0,0.0495049504950495,0.0033003300330033,0,0.34983498349835,0.0066006600660066,0,0.0066006600660066,0,0.0033003300330033,0,0,0,0.0033003300330033,0,0.033003300330033,0,0,0.0099009900990099,0.0033003300330033,0,0,0,0,0,0,0,0
240,9476,0,0,0.0766666666666667,0.04,0.0233333333333333,0,0.0466666666666667,0,0.206666666666667,0.156666666666667,0.00666666666666667,0.03,0.00333333333333333,0.0266666666666667,0,0,0.316666666666667,0.01,0.00333333333333333,0,0,0.00333333333333333,0,0.01,0,0,0,0.0233333333333333,0,0.00333333333333333,0.00666666666666667,0.00333333333333333,0,0,0.00333333333333333,0,0,0,0,0
245,NA,0,0,0.0466666666666667,0.0133333333333333,0.03,0.0233333333333333,0.153333333333333,0,0.15,0.0533333333333333,0.0166666666666667,0.09,0.00333333333333333,0.0166666666666667,0,0,0.296666666666667,0.0633333333333333,0.00666666666666667,0,0,0,0,0,0,0,0,0.0233333333333333,0,0,0.00666666666666667,0.00333333333333333,0,0,0.00333333333333333,0,0,0,0,0
250,NA,0,0,0.0721311475409836,0.039344262295082,0.0131147540983607,0.00327868852459016,0.111475409836066,0.0163934426229508,0.0459016393442623,0.0721311475409836,0.019672131147541,0.0754098360655738,0.00327868852459016,0.0360655737704918,0,0,0.331147540983607,0.0918032786885246,0.0098360655737705,0.0163934426229508,0,0,0,0.00655737704918033,0,0,0,0.019672131147541,0,0.00327868852459016,0,0,0,0,0.0098360655737705,0,0,0,0.00327868852459016,0
