"sample.depths","sample.ages","upland.sum","Abies","Alnus.incana.type","Alnus.viridis.type","Artemisia","Betula","Amaranthaceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Larix","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Platanus","Quercus","Salix","Tsuga","Ulmus","Populus","Poaceae","Acer.undiff.","Ambrosia.type","Fraxinus.nigra.type","Apiaceae","Fagus","Fraxinus.pennsylvanica.type","Iva.xanthifolia.type","Ostrya.Carpinus","Rumex","Sarcobatus.vermiculatus","Myrica","Lamiaceae","Asteraceae.subf..Asteroideae.undiff.","Galium","Ericaceae","Acer.spicatum","Carya","Ranunculaceae.undiff.","Taxus","Brassicaceae","Celtis","Vitis","Cornus","Thalictrum","Tilia","Juglans.cinerea","Shepherdia.canadensis","Rosaceae","Plantago","Iva.annua.type","Herbs.undiff.","Urtica.type"
100,1558,345,40,12,12,1,58,0,1,5,3,7,142,40,9,1,1,0,0,1,3,0,0,2,2,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,1713,369,41,9,7,5,71,0,1,0,1,7,162,43,14,0,0,0,2,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,1869,409,54,19,2,5,57,0,0,3,6,9,174,55,9,0,8,0,2,2,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,2025,327,50,6,7,1,46,1,0,3,1,4,146,43,9,0,1,0,1,0,2,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,2181,349,28,13,4,3,61,0,1,3,1,5,166,35,15,0,6,1,1,1,1,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,2368,346,16,6,17,1,78,1,0,3,1,6,146,44,13,2,2,0,0,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
160,2492,365,36,12,7,3,64,0,0,0,3,9,172,43,2,0,4,1,0,0,3,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
170,2648,360,18,6,11,0,87,1,1,2,2,8,145,47,18,1,1,0,0,3,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,2804,376,14,13,10,0,121,0,2,3,1,14,117,49,11,0,6,0,0,2,4,1,2,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,2959,400,25,8,18,2,117,0,1,23,4,11,111,44,17,2,2,1,0,2,5,3,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
200,3115,424,16,27,26,3,96,0,1,0,4,10,145,55,20,0,4,1,0,4,3,0,2,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,3271,426,18,8,12,1,162,0,3,26,5,10,96,30,19,1,8,0,1,2,10,3,1,3,2,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
220,3427,348,41,14,4,2,71,0,2,3,1,8,143,29,12,1,7,0,0,2,2,2,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,3582,424,30,10,13,3,109,0,2,13,6,9,139,45,18,1,6,1,1,3,2,0,2,1,4,0,0,1,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
250,3894,408,24,21,19,5,116,1,1,9,1,7,118,48,21,0,2,1,2,1,1,1,0,1,1,0,0,1,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,4050,357,24,6,6,2,99,0,1,0,1,5,138,46,11,1,6,0,0,0,1,3,0,1,1,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,4205,391,30,5,11,2,137,0,1,14,1,7,110,35,18,0,1,0,1,1,7,3,0,2,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
280,4374,370,33,12,7,2,120,1,0,7,2,5,105,58,12,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,4544,384,16,5,8,3,98,2,1,25,3,6,126,45,22,1,4,1,0,2,11,0,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,4714,415,12,8,14,2,96,1,1,14,3,4,142,66,37,1,7,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,4885,341,13,5,8,4,131,1,1,18,2,7,75,33,24,0,6,0,0,0,5,1,1,2,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,5055,443,19,6,9,2,85,2,3,30,5,8,138,70,33,0,12,0,0,2,7,1,1,1,4,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
330,5226,393,6,5,20,3,111,0,0,31,2,10,85,53,30,3,7,1,0,3,10,2,1,2,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
340,5396,413,22,8,15,6,108,0,0,41,3,3,112,55,23,0,4,0,0,1,5,2,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,5567,410,8,11,12,1,121,1,1,59,2,9,84,40,34,0,5,1,0,4,10,0,1,0,1,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,5737,480,11,31,27,3,93,1,4,36,4,8,98,89,29,1,10,4,0,5,13,3,1,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
370,5907,433,2,11,28,4,80,1,1,41,3,7,55,107,46,1,4,2,1,4,20,0,0,5,1,0,2,3,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,6078,433,5,12,25,5,47,2,1,49,2,10,83,108,55,3,5,3,1,4,3,2,1,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,6248,590,10,4,15,8,111,0,1,100,5,11,100,99,84,1,6,2,0,2,18,0,0,2,2,0,3,2,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,6419,642,1,11,17,3,72,3,1,241,0,9,77,123,51,5,7,0,0,6,6,2,1,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,6589,456,4,4,18,3,77,3,4,59,3,5,71,134,35,1,6,1,1,7,6,0,2,4,1,0,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
420,6896,347,5,3,10,2,52,0,1,11,2,6,68,145,22,0,3,1,0,2,6,1,2,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430,7340,459,4,3,13,6,102,1,3,23,4,3,89,105,48,1,10,0,0,7,20,4,1,1,2,0,0,0,1,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
438,7695,472,4,0,8,8,78,7,1,13,2,8,54,202,39,5,17,0,0,7,5,3,0,3,1,0,1,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
450,8016,369,7,0,4,5,119,0,1,11,2,11,52,102,19,0,7,0,0,6,10,2,0,5,0,0,0,0,1,1,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,8157,380,6,1,6,12,96,1,2,8,6,7,83,109,6,1,12,0,0,3,5,4,0,3,4,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
470,8480,362,4,0,4,7,122,0,1,4,7,4,65,91,13,1,7,1,0,1,15,1,0,7,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480,8803,373,6,0,3,10,96,0,2,6,10,5,72,109,9,3,8,2,0,2,10,5,0,0,2,1,0,0,1,2,0,0,0,0,2,0,4,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
490,9125,472,4,0,5,5,146,8,0,4,3,5,94,121,17,0,7,2,0,9,14,1,2,11,0,0,2,1,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
500,9448,367,4,1,6,8,67,2,0,8,7,17,75,111,9,1,8,5,0,6,9,5,1,2,0,0,0,1,0,1,0,0,0,0,7,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
510,9771,416,1,1,3,7,85,4,3,6,10,6,103,117,12,1,4,4,0,6,16,5,0,10,1,1,1,0,1,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520,NA,395,5,0,4,4,122,3,1,9,11,6,88,70,4,1,9,1,0,3,28,7,1,7,1,2,1,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
530,NA,348,1,2,9,5,159,2,2,8,0,10,46,43,2,6,7,3,0,4,23,2,1,3,1,0,0,2,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540,NA,302,1,0,7,10,86,3,1,6,8,4,33,75,9,1,8,12,0,3,10,6,0,6,3,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
550,NA,323,1,4,5,19,80,6,1,10,10,3,49,80,8,0,7,7,0,3,8,8,0,2,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
560,NA,341,1,0,10,12,85,4,1,5,6,3,54,100,7,0,4,4,0,6,5,7,1,3,4,0,0,0,0,4,0,1,1,0,7,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
570,NA,248,0,4,8,22,22,8,9,2,13,2,19,71,1,1,2,9,0,1,4,16,0,4,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
580,NA,212,0,1,12,31,35,1,5,0,15,0,13,61,0,0,2,2,0,0,1,11,0,4,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
590,NA,312,0,2,6,28,18,2,1,0,142,0,6,52,3,0,2,10,0,0,0,17,0,9,0,0,1,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
600,NA,349,0,2,10,53,25,3,3,0,67,2,21,93,4,0,2,10,0,3,1,22,0,12,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
610,NA,282,0,2,8,54,24,3,2,0,13,1,39,65,1,0,1,3,0,3,2,22,1,8,0,0,0,0,0,0,0,0,0,0,24,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
620,NA,398,2,2,19,25,49,6,5,2,27,1,64,112,1,1,2,6,0,1,4,22,1,7,0,0,0,1,0,4,0,1,0,0,25,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
627,NA,551,3,3,11,55,45,5,5,1,28,2,94,167,5,0,4,5,0,1,3,41,0,18,0,0,0,0,0,4,0,2,0,0,36,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
