"sample.depths","sample.ages","upland.sum","Abies","Acer.rubrum","Acer.saccharum.type","Alnus","Arceuthobium","Betula","Carya","Celtis","Corylus","Cupressaceae","Ephedra.nevadensis.type","Ericaceae","Fagus","Fraxinus","Juglans.cinerea","Juglans.nigra","Larix","Morus","Myrica","Ostrya","Picea","Pinus","Platanus","Populus","Quercus","Salix","Shepherdia.argentea","Shepherdia.canadensis","Taxus","Tilia","Tsuga","Ulmus","Vitis","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Caryophyllaceae","Chenopodiineae","Cyperaceae","Iva.annua.type","Onagraceae","Plantago","Poaceae","Ranunculus","Rosaceae.undiff.","Rumex","Sanguisorba","Thalictrum"
420,5265,205,0,0,24,4,0,8,4,0,0,19,0,0,38,10,4,0,3,0,0,10,1,21,2,0,19,0,0,0,0,6,11,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
430,5427,208,0,0,29,1,0,23,3,0,0,7,0,0,34,9,1,0,1,0,0,12,0,23,0,0,17,0,0,0,0,6,18,17,0,0,0,1,0,0,1,3,0,0,0,1,1,0,0,0,0
440,5592,206,0,0,21,0,0,16,0,0,0,5,0,0,34,7,0,0,1,0,0,5,1,15,4,0,14,1,0,0,0,11,50,16,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0
450,5759,204,0,0,18,1,0,8,2,1,0,9,0,0,27,7,1,1,0,0,0,11,0,15,1,0,15,0,0,0,0,4,67,13,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
460,5928,202,0,0,28,0,0,12,2,0,0,9,0,0,34,19,1,0,2,0,0,9,0,8,0,0,15,0,0,0,0,5,42,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
470,6099,201,0,0,14,0,0,19,2,0,0,4,0,0,23,10,0,0,3,0,0,6,0,11,0,0,19,0,0,0,0,6,70,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480,6271,207,0,0,13,2,0,10,2,0,0,11,0,0,34,13,1,0,2,0,0,6,0,10,2,0,22,0,0,0,0,6,55,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
490,6445,204,0,0,22,1,0,13,1,0,0,5,0,0,31,12,0,0,3,0,0,9,0,15,0,0,20,0,0,0,0,6,57,6,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
500,6621,204,0,0,12,2,0,9,0,0,0,3,0,0,49,10,1,0,2,0,0,5,0,15,0,0,16,0,0,0,0,8,51,19,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
510,6797,202,0,0,12,0,0,7,2,0,0,11,0,0,15,12,1,0,2,0,0,8,0,22,0,0,16,0,0,0,0,9,72,11,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
520,6975,202,0,0,19,1,0,10,4,0,0,8,0,0,29,4,1,0,3,0,0,5,1,12,1,0,29,0,0,0,0,3,59,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
530,7154,203,0,0,14,3,0,13,0,0,0,10,0,0,35,7,0,0,1,0,0,7,0,25,2,0,19,0,0,0,0,8,52,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540,7334,207,0,0,19,1,0,9,1,0,1,18,0,0,31,7,0,1,1,0,0,4,0,25,2,0,18,0,0,0,0,7,44,13,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0
550,7515,204,0,0,25,2,0,6,0,0,1,7,0,0,37,7,0,0,0,0,0,12,0,27,2,0,30,0,0,0,0,5,24,17,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
560,7696,202,1,0,19,0,0,5,1,0,0,3,0,0,34,5,0,0,0,0,0,9,0,42,0,0,16,0,0,0,0,10,44,11,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
570,7878,202,1,0,18,0,0,7,1,0,0,10,0,0,21,9,0,0,1,0,0,9,0,41,2,0,24,0,0,0,0,4,46,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
580,8061,207,1,0,6,0,0,2,3,0,0,13,0,0,6,13,0,0,0,0,0,12,0,57,4,1,34,0,0,0,0,6,31,11,0,0,0,1,2,0,1,1,0,0,0,2,0,0,0,0,0
600,8426,203,0,0,3,1,0,3,2,0,0,2,0,0,6,3,0,0,1,0,0,21,1,52,2,0,27,0,0,0,0,3,67,7,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
610,NA,202,0,0,3,1,0,9,2,0,0,0,0,0,2,3,0,0,0,0,0,17,1,67,0,0,18,0,0,0,0,6,66,3,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
620,NA,206,1,0,6,3,0,22,0,0,0,1,0,0,3,8,1,0,1,0,0,24,0,92,1,0,27,0,0,0,0,1,2,10,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
630,NA,202,1,0,4,0,0,16,1,0,1,1,0,0,3,11,0,0,3,0,0,26,0,79,0,2,38,0,0,0,0,1,2,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
640,NA,206,0,0,3,0,0,26,0,0,0,2,0,0,0,9,0,0,2,0,0,14,2,92,1,0,45,0,0,0,0,0,1,3,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
650,NA,208,1,0,1,2,0,26,0,0,0,1,0,0,1,9,0,0,1,0,0,12,0,108,0,1,24,1,0,0,0,1,5,9,0,0,0,1,1,0,0,1,0,0,0,2,0,0,0,0,0
660,NA,206,2,0,1,2,0,32,0,0,0,0,0,0,0,6,0,0,2,0,1,3,1,117,1,2,26,0,0,0,0,0,5,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
670,NA,209,1,0,1,1,0,30,2,1,0,1,0,0,0,3,0,0,2,0,0,6,2,102,2,5,30,2,0,0,0,0,2,10,0,1,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0
680,NA,202,1,0,2,0,0,46,1,0,0,4,0,0,2,3,0,0,4,0,0,11,2,75,0,6,26,0,0,0,0,0,2,15,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
690,NA,203,3,0,2,1,0,36,3,1,0,1,0,0,1,5,0,0,2,0,0,6,1,110,0,0,19,0,1,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
700,NA,203,2,0,1,0,0,39,1,0,0,4,0,0,0,3,0,0,0,0,0,7,8,84,0,10,28,1,0,0,0,0,2,11,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
710,NA,211,3,0,0,0,0,54,0,0,0,4,0,0,0,1,0,0,6,0,0,8,9,79,0,9,12,3,0,0,0,0,2,13,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0
720,NA,210,5,0,2,2,0,35,1,1,0,5,0,0,0,5,0,0,4,0,0,9,10,68,1,10,27,2,0,0,0,0,1,16,0,0,0,2,0,0,0,3,0,0,0,1,0,0,0,0,0
730,NA,207,9,0,1,0,0,37,0,0,0,3,0,0,0,3,0,0,1,0,0,5,14,101,0,0,22,0,0,0,0,0,0,4,0,1,0,1,1,0,0,3,0,0,0,1,0,0,0,0,0
740,NA,212,8,0,2,1,0,35,1,0,0,0,0,0,0,2,1,0,4,0,0,7,12,92,0,3,26,0,0,0,0,0,3,4,0,1,0,4,0,0,0,4,0,0,0,2,0,0,0,0,0
750,NA,220,7,0,0,1,0,33,1,0,0,0,0,0,0,3,0,0,7,0,0,6,24,76,0,10,25,1,0,0,0,0,1,7,0,1,0,4,0,0,0,8,0,0,0,4,1,0,0,0,0
760,NA,209,4,0,4,0,0,18,0,0,0,4,0,0,0,5,0,0,4,0,0,7,26,71,0,5,43,5,0,0,0,0,2,7,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0
