"sample.depths","sample.ages","upland.sum","Abies","Acer.rubrum","Acer.saccharum","Alnus","Betula","Carya","Corylus","Cupressaceae","Diervilla","Ericaceae","Fagus","Fraxinus","Juglans.nigra","Larix","Ostrya","Picea","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Salix","Tilia","Tsuga","Ulmus","Ambrosia","Artemisia","Asteraceae.undiff.","Chenopodiaceae","Cyperaceae","Epilobium","Poaceae","Poaceae.1","Polygonum","Rosaceae"
510,1312,852,45,0,10,46,291,0,3,3,2,0,0,4,0,0,0,78,38,241,18,3,0,12,5,18,12,1,5,8,0,4,4,1,0
520,1389,769,37,4,6,44,323,0,5,0,0,0,2,1,0,0,1,69,61,151,15,4,1,5,5,10,14,5,1,3,0,1,1,0,0
530,1466,402,18,0,2,29,140,1,2,0,0,0,1,1,0,1,1,28,28,108,10,1,0,5,2,3,6,1,1,4,0,3,3,2,1
540,1543,768,45,2,1,63,313,0,0,0,0,0,4,6,0,0,6,49,71,155,10,1,0,4,3,5,8,1,4,8,0,4,4,0,1
550,1619,770,41,0,3,53,299,1,0,0,0,0,1,3,0,0,2,58,26,239,9,0,0,5,1,7,6,1,0,7,0,4,4,0,0
560,1696,960,48,4,6,53,346,0,0,0,0,0,6,2,0,0,0,67,95,292,5,0,1,6,3,2,13,2,2,7,0,0,0,0,0
565,1790,804,52,1,2,34,362,1,9,0,0,0,0,5,1,0,4,33,43,212,19,0,1,7,5,3,6,1,1,2,0,0,0,0,0
570,1968,740,19,0,4,38,328,0,1,2,0,0,2,6,0,0,4,29,38,223,14,0,0,4,3,3,7,2,0,9,0,2,2,0,0
575,2146,939,69,5,0,34,269,0,2,0,0,0,0,0,0,0,6,56,95,347,14,1,1,7,6,1,6,1,3,5,0,5,5,0,1
580,2323,1014,32,1,3,37,320,0,6,2,0,0,2,5,0,0,2,29,147,367,14,0,1,6,8,6,8,1,3,7,0,3,3,0,1
585,2501,936,90,2,3,37,269,0,6,0,0,0,0,5,3,0,0,56,87,317,14,3,1,6,3,1,6,1,2,8,0,6,6,1,3
590,2678,910,56,0,2,57,270,0,5,1,0,1,0,3,1,0,2,109,81,261,17,0,0,3,6,3,13,0,0,7,0,5,5,0,2
600,3033,1004,30,0,3,38,303,0,6,0,0,0,0,4,0,0,2,65,144,360,14,3,0,2,5,3,12,2,1,3,0,2,2,0,0
610,3388,885,47,0,6,67,244,0,4,0,0,1,2,3,0,0,3,81,69,293,22,0,0,0,7,6,10,4,2,5,0,4,4,0,1
615,3566,940,47,0,1,34,321,0,4,0,0,0,0,5,0,0,0,30,109,343,24,0,0,1,4,5,2,1,3,2,0,2,2,0,0
620,3743,1020,25,1,4,70,345,1,12,0,0,0,5,9,0,0,2,44,113,305,25,2,1,1,11,7,15,3,3,8,0,4,4,0,0
625,3921,883,43,0,2,40,302,0,8,1,0,0,0,1,0,0,1,24,51,367,23,3,0,0,4,6,4,0,1,1,0,0,0,0,1
630,4098,919,33,1,3,62,305,0,5,0,0,1,0,6,1,0,1,39,85,292,22,3,0,2,4,10,16,2,4,8,0,7,7,0,0
635,4276,877,39,3,3,15,298,1,1,0,0,0,3,2,0,0,3,17,77,386,15,0,0,0,3,1,4,0,2,2,0,1,1,0,0
640,4453,1178,18,0,4,56,295,0,10,0,0,0,0,3,1,0,2,15,171,535,19,0,0,2,2,11,11,4,3,3,0,5,5,0,3
650,4860,868,36,0,7,54,237,0,6,2,0,0,0,10,0,0,1,35,89,344,10,3,0,1,3,6,6,1,2,11,0,2,2,0,0
660,5289,1057,16,3,3,47,308,2,3,0,0,1,0,3,0,1,1,13,188,421,7,1,1,3,6,5,8,1,5,6,0,2,2,0,0
665,5504,666,18,1,5,35,154,0,3,2,0,0,0,8,0,0,5,9,122,286,12,0,0,1,3,0,0,0,2,0,0,0,0,0,0
670,5719,1139,27,0,5,60,258,0,9,1,0,0,1,4,0,0,5,25,184,478,11,4,0,0,14,5,9,3,6,7,20,1,1,0,1
675,5933,877,28,2,3,62,258,0,3,1,0,0,1,8,0,0,5,9,133,302,16,4,1,4,6,5,7,2,4,9,0,2,2,0,0
680,6148,1046,15,2,5,45,320,1,0,0,0,1,7,8,2,0,4,24,183,368,12,1,0,10,7,7,10,0,5,4,0,2,2,0,1
690,6414,1124,23,0,4,43,182,0,5,0,0,0,0,9,0,0,5,24,220,538,23,0,0,2,9,9,17,1,3,7,0,0,0,0,0
700,6611,1588,9,7,1,42,313,0,4,0,0,0,2,12,1,0,1,28,278,796,17,0,0,0,14,14,19,3,7,7,0,5,5,1,2
710,6807,1139,26,0,2,58,203,0,2,0,0,0,0,5,0,0,16,17,242,506,21,0,1,0,10,8,11,3,3,3,0,1,1,0,0
720,7004,1609,35,6,1,51,237,0,7,0,0,1,1,3,1,0,2,41,291,871,19,5,0,0,1,8,11,0,7,3,0,3,3,0,1
730,7200,848,19,0,1,27,116,0,4,0,0,0,1,9,0,0,3,22,125,481,15,0,0,0,7,7,5,2,2,2,0,0,0,0,0
740,7397,1352,34,1,2,9,139,0,1,1,0,0,1,6,0,0,3,49,281,774,15,4,0,1,8,8,6,2,1,1,0,1,1,0,3
750,7594,1034,53,0,4,40,320,0,4,0,0,0,1,9,2,0,5,20,100,384,21,1,0,1,12,13,13,3,13,7,0,4,4,0,0
760,7790,1320,61,1,2,51,300,0,2,0,0,0,3,4,0,2,0,33,75,685,22,1,0,0,12,26,16,4,8,4,0,3,3,1,1
770,7987,1001,53,0,1,45,329,1,3,4,0,0,0,3,0,3,2,23,72,358,10,2,0,0,14,19,15,1,8,8,0,13,13,0,1
780,8183,885,23,0,0,64,342,2,5,0,0,0,0,4,0,0,0,36,47,290,13,3,0,0,8,16,19,3,8,0,0,1,1,0,0
790,8380,901,37,0,4,146,307,2,5,6,0,1,3,5,0,0,1,27,28,234,16,10,0,0,7,6,15,4,9,14,0,7,7,0,0
800,8576,799,35,0,0,68,345,1,1,0,0,0,0,2,2,0,0,37,20,228,16,3,0,0,2,7,20,0,7,0,0,2,2,0,1
810,8824,771,61,0,0,94,292,0,7,0,0,0,0,3,1,1,0,44,8,180,14,3,0,0,8,7,20,3,5,2,0,9,9,0,0
820,9088,819,29,0,4,72,335,2,0,2,0,0,1,0,3,3,0,59,12,212,15,6,0,0,4,18,22,2,12,1,0,2,2,1,0
830,9351,948,60,0,2,44,243,0,12,13,0,0,0,7,0,4,0,115,10,316,16,9,0,0,13,18,36,3,15,3,0,4,4,0,1
840,9647,925,18,0,0,13,230,0,5,14,0,0,2,22,3,0,12,158,7,265,29,7,1,0,22,17,33,5,14,25,1,9,9,0,4
846,9824,733,9,0,0,7,64,2,0,3,0,0,0,15,0,0,8,138,7,314,42,5,3,0,24,28,27,2,11,13,0,5,5,0,1
