"sample.depths","sample.ages","upland.sum","Abies","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Betula","Amaranthaceae.undiff.","Pinaceae.undiff.","Cyperaceae","Poaceae.undiff.","Larix","Picea","Pinus.subg..Pinus","Pinus.undiff.","Salix","Sarcobatus.vermiculatus","Trees.undiff.","Pinus.subg..Strobus","Myrica","Artemisia","Cupressaceae","Plantago","Ericaceae","Herbs.undiff.","Ostrya.Carpinus","Quercus","Rumex","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Acer","Fagus","Corylus","Fraxinus","Taxus","Caryophyllaceae","Rosaceae.undiff.","Castanea","Thalictrum","Fabaceae","Populus","Ulmus","Nyssa","Asteraceae.undiff.","Iva","Cornus","Sambucus","Vitis","Epilobium","Ranunculaceae.undiff.","Scrophulariaceae","Shepherdia.canadensis","Moraceae","Juglans","Polygonum","Celtis","Dryas.type","Euphorbia","Gentianaceae","Asteraceae.subf..Cichorioideae","Cerealia","Geranium","Ilex","Platanus"
82,6328,952,99,1,24,0,102,0,21,7,2,1,660,0,7,0,0,16,6,0,1,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,6513,799,79,15,0,0,112,1,38,2,0,0,526,0,17,0,0,4,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,6699,673,134,3,16,0,42,0,42,2,0,0,411,0,6,0,0,10,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,6885,757,113,3,38,0,129,1,91,11,2,0,333,1,9,0,0,15,5,0,0,0,0,1,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,7071,1207,175,5,135,0,332,0,88,11,1,1,361,1,14,0,0,60,13,3,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,7257,584,157,0,68,1,76,0,82,5,5,0,130,0,15,0,0,30,5,1,0,1,0,2,0,0,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,7442,761,84,2,296,0,108,0,45,5,7,0,186,2,10,2,0,5,0,2,1,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,7628,782,127,15,219,0,71,0,74,6,2,0,236,2,6,1,0,6,4,4,0,5,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,7814,1028,11,1,251,0,147,0,47,10,6,0,520,1,13,1,0,2,4,1,0,2,0,1,0,0,4,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,8021,582,2,16,118,0,74,0,10,10,9,0,308,1,7,2,0,9,3,5,1,0,0,1,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,8234,695,9,7,98,0,79,0,32,24,11,1,380,2,24,4,0,13,1,3,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,8448,586,4,0,115,1,119,0,22,17,4,0,267,0,12,4,0,3,1,0,0,6,0,4,0,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,8661,603,1,8,122,0,162,0,21,40,21,0,175,4,10,5,0,8,2,2,2,10,0,7,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,8874,705,4,2,133,0,181,0,6,26,22,0,236,5,36,4,0,12,9,3,1,19,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,9088,425,2,0,90,0,177,0,7,22,11,0,71,1,6,6,0,6,0,3,0,18,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,9301,659,0,1,138,1,228,0,10,30,40,0,122,2,33,13,0,13,6,2,0,7,0,7,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,9515,600,2,3,152,0,265,0,3,40,22,0,49,1,20,13,0,8,6,1,0,4,0,3,0,1,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,9728,613,1,2,114,0,289,1,2,53,20,0,58,0,40,5,0,5,6,3,4,0,0,7,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,9791,440,0,0,73,2,225,1,1,41,8,0,36,0,17,16,0,6,2,0,1,2,0,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,9854,323,0,1,10,1,193,0,3,31,12,0,19,0,14,19,0,4,2,1,2,0,0,4,0,3,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,9917,582,0,0,32,0,365,0,2,67,7,0,25,2,29,22,0,3,2,1,2,2,0,11,0,0,4,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
166,9980,290,0,0,14,0,188,0,3,23,1,0,2,10,10,9,0,19,1,1,0,0,0,2,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
170,10043,437,1,5,9,1,245,0,4,44,13,0,17,4,21,29,0,8,1,4,1,1,0,13,0,4,3,1,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
174,10106,216,0,0,5,0,70,0,2,28,7,0,10,7,20,22,0,3,2,5,2,0,0,18,0,9,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
178,10391,437,2,2,44,5,139,0,4,48,12,1,43,16,29,40,0,7,3,4,7,1,0,19,0,0,3,1,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
182,10749,440,2,9,23,0,97,2,4,80,27,0,16,5,22,46,0,11,6,10,9,1,1,36,0,0,6,1,0,3,0,0,0,0,0,1,7,0,0,4,1,2,0,0,0,0,0,0,0,0,0,5,0,0,0,1,2,0,0,0,0,0,0,0
186,11107,353,0,9,6,0,55,0,0,62,34,0,20,4,25,72,0,2,1,8,2,3,0,18,0,0,2,3,0,3,2,0,1,0,0,3,3,0,0,5,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,1,0,0,0,0,0
190,11466,210,1,7,1,4,45,1,1,30,7,0,10,0,24,49,0,2,0,3,2,0,2,4,0,0,2,2,0,0,0,0,1,0,0,2,5,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
194,11824,283,1,27,4,1,33,0,1,37,35,0,27,1,19,71,0,0,0,1,0,5,0,0,0,0,0,1,0,3,1,0,0,0,0,2,6,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,12182,347,3,40,8,6,70,0,4,10,46,0,19,2,14,94,0,4,0,8,1,1,0,2,0,1,1,0,0,3,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
202,NA,327,1,135,6,2,83,1,7,9,29,0,17,0,4,2,0,14,0,2,0,1,0,4,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
206,NA,24,1,7,1,0,4,0,1,0,5,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
