"sample.depths","sample.ages","Abies","Alnus","Betula","Carya","Corylus","Cupressaceae","Ericaceae","Fraxinus.americana.type","Fraxinus.nigra","Larix","Myrica","Ostrya","Picea","Pinus","Populus","Quercus","Salix","Sarcobatus.vermiculatus","Shepherdia.canadensis","Ulmus","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Chenopodiineae.undiff.","Cyperaceae","Dalea.candida.type","Other.herbs","Poaceae","Xanthium","Botrychium","Dryopteris.type","Equisetum","Lycopodium","Osmunda","Pteridium","Selaginella.rupestris","Sphagnum","Nuphar","Sparganium.type","Typha.latifolia","Indeterminable","Unknown"
195,3785,1,42,39,0,0,0,0,0,0,2,0,0,69,88,0,1,1,0,0,0,0,3,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
200,3882,2,30,24,0,0,0,0,0,0,2,0,0,83,89,0,0,0,0,0,0,0,3,0,0,2,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
205,3980,0,27,15,0,0,0,0,0,0,1,0,0,77,105,0,2,0,0,0,0,1,4,0,0,1,0,4,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0
210,4078,1,27,19,1,0,0,0,0,0,0,0,0,69,107,0,2,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
215,4176,2,18,17,0,0,0,0,0,0,3,0,0,79,98,1,0,0,0,0,0,0,2,1,1,2,0,4,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0
220,4329,2,35,24,0,0,0,0,0,1,0,0,0,59,113,0,1,1,0,0,0,1,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
225,4483,1,35,38,0,0,0,0,0,0,0,0,0,54,106,0,1,1,0,0,0,0,3,0,0,1,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
230,4637,2,18,18,0,0,0,0,0,0,2,0,0,55,122,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
235,4790,3,17,31,0,0,0,0,0,0,0,0,0,32,134,0,0,0,0,0,0,1,4,0,2,3,0,6,1,0,0,0,0,0,0,0,0,2,0,0,0,2,1
240,4944,0,39,35,0,0,2,0,0,0,0,0,2,31,129,0,1,0,0,0,0,1,4,0,0,1,0,4,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1
245,5098,1,62,41,0,0,0,0,0,1,1,0,0,27,129,0,0,0,0,0,0,2,5,4,0,0,2,9,3,0,0,0,0,1,0,1,0,1,0,0,0,1,0
250,5251,1,33,27,0,0,0,0,0,1,2,0,0,34,134,0,0,1,0,0,1,0,1,0,0,3,0,1,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0
255,5405,1,13,33,0,0,0,0,0,0,1,0,0,26,139,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,2,0,0,0,4,0,0,0,2,0
260,5559,2,17,40,0,0,0,0,0,0,2,0,0,42,114,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
265,5713,1,60,37,0,0,0,0,0,0,0,0,0,41,121,0,0,0,0,0,0,1,3,0,0,3,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
270,5866,2,27,28,0,0,0,0,0,0,0,0,0,43,126,0,1,0,0,0,0,0,4,0,1,1,0,5,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0
275,6020,2,7,38,0,0,0,1,0,0,0,0,0,45,115,0,0,0,0,0,0,1,4,0,0,1,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
280,6174,2,29,27,0,0,0,0,0,0,2,0,0,29,139,0,1,0,0,0,0,0,3,0,0,0,0,3,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0
285,6327,0,23,31,0,0,0,0,0,1,0,0,0,28,140,0,0,0,0,0,0,0,2,0,3,0,0,5,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0
290,6481,0,21,35,0,0,0,0,0,0,2,0,0,34,129,0,0,0,0,0,0,0,5,0,0,1,0,5,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0
295,6635,0,36,32,0,0,0,0,0,0,2,0,0,44,121,0,0,0,0,0,1,1,3,0,3,1,0,6,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1
300,6788,0,47,18,0,1,0,0,0,0,1,0,0,33,148,0,0,0,0,0,0,1,2,0,1,3,0,3,1,0,0,0,0,2,0,1,0,1,0,0,0,1,0
305,6942,0,16,43,0,0,0,0,0,0,1,0,0,25,131,0,0,0,0,0,0,2,3,2,0,0,0,5,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0
310,7096,0,41,23,0,0,0,0,2,0,2,0,0,14,157,0,2,1,0,0,0,0,3,0,1,1,0,4,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0
315,7249,0,22,44,0,0,0,0,0,0,0,0,0,28,127,0,1,2,0,0,0,3,3,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1
320,7403,0,25,32,0,0,0,0,0,0,0,0,0,28,137,0,3,0,0,0,0,3,5,1,1,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
325,7557,0,26,42,2,0,0,0,0,0,2,0,0,28,125,0,1,0,0,0,0,2,1,0,1,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0
330,7710,0,31,58,0,0,0,0,0,0,2,0,1,26,112,1,0,0,1,0,0,1,1,1,1,1,0,3,0,1,0,0,1,3,0,0,0,1,0,0,0,0,0
335,7864,0,24,67,0,0,0,0,0,0,0,0,0,22,110,0,1,0,0,0,0,1,1,0,1,1,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0
340,8018,0,10,36,0,0,0,0,0,0,0,0,0,24,140,0,0,0,0,0,0,6,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2
345,8171,0,15,45,0,0,0,0,0,0,1,0,0,28,126,0,0,0,0,0,0,2,1,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,8325,0,40,40,0,0,0,0,0,0,1,0,0,14,144,0,0,0,0,0,1,8,8,0,2,0,0,10,2,1,0,0,0,0,0,0,0,4,0,0,0,0,2
355,8479,0,28,24,0,0,0,0,0,0,2,0,0,32,138,1,3,0,2,0,0,3,6,0,3,2,0,9,2,0,0,0,0,0,0,0,0,1,0,0,2,1,0
360,8633,0,8,20,0,0,1,0,0,0,1,0,0,43,134,0,0,0,0,0,1,9,12,0,1,4,0,13,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1
365,8786,0,16,21,0,0,1,0,0,0,1,1,0,87,88,0,1,2,0,4,1,14,11,3,6,2,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
370,NA,0,18,18,0,0,0,0,0,0,0,0,0,96,84,0,2,0,1,0,0,4,4,2,9,1,0,15,4,0,0,0,0,0,0,0,0,1,0,0,0,0,3
375,NA,0,4,8,1,0,0,0,0,0,4,0,0,90,94,1,0,0,0,1,2,0,5,0,2,10,0,7,3,0,0,0,0,0,0,1,0,2,0,0,0,5,0
