"sample.depths","sample.ages","upland.sum","Abies","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Caryophyllaceae","Cyperaceae","Epilobium","Larix","Ledum.Chamaedaphne.calyculata","Picea","Vaccinium","Pinus","Poaceae","Salix","Asteraceae.subf..Asteroideae.undiff.","Brassicaceae","Quercus","Rosaceae.undiff.","Amaranthaceae","Ericales.undiff.","Cassiope.type","Empetrum","Fagus","Thalictrum","Fraxinus","Tsuga","Arctostaphylos","Alnus.incana.type","Rumex","Castanea","Acer.saccharum.type","Myrica","Ranunculus","Dryas.type","Oxytropis.type"
960,5313,330,10,40,0,0,50,0,2,0,3,0,222,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
970,5525,311,7,28,0,1,43,0,7,0,3,0,214,1,2,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
980,5738,389,16,76,0,0,97,0,2,0,9,0,178,1,4,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
990,5950,345,6,97,1,0,78,0,2,0,9,0,146,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1000,6163,480,12,188,0,1,144,0,2,0,5,0,124,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010,6360,441,1,236,0,0,117,0,3,0,2,2,70,0,2,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1020,6513,352,10,204,0,0,89,0,7,0,0,0,33,1,2,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1030,6666,298,0,162,1,2,70,1,32,0,0,0,10,0,6,6,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1041,6835,306,0,138,1,4,64,0,30,0,0,0,14,1,11,13,17,0,0,0,0,1,3,0,0,0,0,3,0,1,0,0,0,0,0,1,3,1
1051,6988,323,1,169,0,5,73,1,17,0,0,0,15,0,11,3,13,2,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1
1061,7141,307,4,137,1,5,67,3,24,1,0,0,11,0,0,22,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,2
1070,7279,292,1,125,0,1,79,0,41,0,0,0,7,1,17,6,11,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
