"sample.depths","sample.ages","upland.sum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Betula","Cyperaceae","Fagus","Fraxinus.nigra.type","Larix","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Populus.tremuloides.type","Quercus","Sambucus","Tilia","Ulmus","Juniperus.type","Poaceae","Abies.balsamea","Acer.saccharum","Carya.ovata","Corylus.cornuta","Myrica.gale","Pinus.banksiana.type","Pinus.strobus","Tsuga.canadensis","Picea.undiff.","Acer.rubrum","Artemisia","Ericaceae","Fraxinus.pennsylvanica.type","Juglans.cinerea","Taxus","Rosaceae.undiff.","Nemopanthus.mucronatus","Pinus.resinosa.type","Juniperus.communis.Thuja.occidentalis.type","Urticaceae","Salix.undiff.","Acer.pensylvanicum","Caryophyllaceae","Castanea.dentata","Impatiens","Asteraceae.subf..Asteroideae.undiff.","Acer.saccharinum","Potentilla.palustris.type","Fraxinus.americana.type","Ranunculaceae.undiff.","Thalictrum","Populus.balsamifera.type","Rhamnus.alnifolia.R..frangula","Prunus.pensylvanica","cf..Sarcobatus.vermiculatus","Liliaceae","Amaranthaceae","Prunus.virginiana","Prunus.undiff.","Viburnum.nudum","Comptonia.peregrina","Cornus.canadensis","Viburnum.undiff.","Polygonaceae.undiff.","Fabaceae","Saxifraga.oppositifolia.type","Saxifraga.stellaris.type","Saxifragaceae.undiff.","Shepherdia.canadensis","Campanula.type","Viburnum.edule","Cornus.undiff.","Onagraceae.undiff.","Lamiaceae","Salix.herbacea.type","Koenigia.islandica","Viburnum.alnifolium","Asteraceae.undiff.","Saxifraga.cernua.type","Brassicaceae","Apiaceae","Dryas","Rosaceae.cf..Prunus.serotina"
115,3321,554,0,9,4,0,263,4,27,7,2,1,0,9,23,5,11,0,0,2,23,5,2,12,0,0,1,5,88,26,1,4,0,1,1,0,4,3,0,5,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,3544,600,0,4,4,0,220,15,21,16,1,2,1,9,77,4,12,0,0,6,2,3,3,12,0,3,3,20,94,14,4,4,1,0,2,1,3,1,0,28,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,3766,500,1,11,3,1,237,6,7,9,2,6,0,6,25,1,11,0,1,4,2,2,4,10,1,0,1,0,115,1,2,2,0,0,3,0,10,2,0,6,0,0,1,0,1,2,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,3922,626,1,12,3,1,265,8,32,9,4,3,0,7,39,4,17,0,1,4,12,4,1,18,3,1,4,7,124,14,1,1,0,0,2,1,2,1,1,15,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,4100,517,0,11,0,0,267,4,17,6,2,5,0,5,22,3,16,0,1,2,7,0,4,15,1,0,0,0,83,11,2,4,0,0,4,3,4,0,0,9,0,0,1,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,4250,505,0,6,1,0,180,11,28,8,2,2,0,6,65,0,23,0,1,6,4,2,1,9,0,4,2,16,80,13,1,5,1,0,1,0,3,0,0,17,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,4405,630,0,10,2,0,343,9,32,15,1,3,0,1,22,0,14,0,0,4,16,5,4,22,0,0,0,11,73,9,0,2,2,0,3,0,5,0,0,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,4600,409,1,6,1,1,177,3,12,1,2,0,0,4,67,3,13,0,1,3,0,2,5,3,0,1,0,12,54,3,3,3,0,1,2,1,1,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,4794,396,1,12,3,2,173,4,12,6,1,0,0,3,43,0,20,0,0,7,1,0,3,5,0,1,4,17,50,11,1,1,0,0,1,0,2,0,2,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,4930,465,0,9,5,0,227,10,13,1,3,2,0,8,50,0,15,0,0,8,1,2,1,5,0,0,1,22,54,4,1,3,0,1,2,0,1,0,0,6,3,0,0,0,0,1,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,5086,673,0,13,3,0,404,5,16,9,2,5,1,4,23,1,19,0,3,4,12,3,4,8,0,1,0,1,106,11,1,1,0,0,5,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,5222,499,0,18,3,2,247,1,7,4,3,3,0,4,25,3,19,0,0,5,2,5,2,6,1,0,7,3,112,8,0,0,0,0,2,1,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,5378,699,1,12,12,1,272,7,10,4,2,3,0,6,27,3,22,0,1,11,3,1,1,3,2,0,5,19,111,139,0,0,1,2,5,1,4,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,5572,636,1,23,5,3,244,6,10,5,3,3,0,2,23,2,16,0,1,8,0,2,1,7,0,0,3,3,96,146,1,0,0,5,3,1,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,5767,473,1,13,2,0,175,7,10,4,1,1,0,3,27,2,7,0,0,13,2,2,3,13,1,1,0,9,77,91,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,5903,413,0,12,7,2,152,6,5,3,0,1,0,3,60,0,12,0,0,4,1,3,3,8,0,1,0,8,50,54,1,2,0,1,1,1,1,2,1,2,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,6059,584,1,16,0,1,172,5,18,8,0,3,0,10,29,4,11,0,0,5,3,4,1,2,1,0,1,7,166,98,1,0,1,0,0,1,4,0,4,1,0,0,0,1,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,6195,632,0,29,4,1,239,10,4,7,3,2,0,6,52,2,17,0,1,10,1,4,4,1,0,0,5,4,181,35,1,1,0,1,2,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,6350,655,1,19,10,2,235,4,5,8,3,2,1,3,55,0,19,0,0,12,3,3,1,13,0,2,8,28,95,98,3,0,0,0,1,1,11,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,6710,565,0,8,7,0,222,6,6,7,0,1,0,9,30,0,26,0,0,9,4,2,3,4,1,2,4,8,158,25,3,1,0,1,1,1,6,2,1,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,7069,416,0,7,1,0,95,6,12,3,1,1,1,4,28,1,21,0,0,2,0,1,5,8,0,1,3,28,157,15,2,1,0,0,1,1,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,7321,571,1,18,6,0,131,6,6,10,0,0,0,8,53,10,34,0,0,14,0,0,6,8,1,6,5,11,199,10,4,0,1,1,0,0,7,0,1,11,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,7609,673,5,15,4,1,87,7,5,8,3,0,0,3,89,4,48,1,1,10,0,2,5,5,2,6,8,0,287,16,10,0,1,1,2,0,13,0,0,15,0,0,1,0,0,0,0,3,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,7968,579,2,11,16,1,127,5,1,4,0,2,0,16,41,8,27,0,0,10,0,6,4,2,0,2,7,66,187,6,1,2,1,1,1,0,10,2,0,1,0,0,0,2,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,8507,545,1,10,28,2,211,7,0,4,2,2,0,14,26,22,18,0,0,9,3,3,5,2,0,1,5,85,59,3,2,0,1,1,3,0,11,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,9047,536,1,1,44,1,174,1,1,4,0,4,0,1,56,13,21,0,0,5,2,1,7,3,0,4,24,124,27,1,3,0,0,0,0,1,1,0,0,3,2,0,2,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,9406,430,0,2,56,0,116,5,0,1,1,1,0,4,34,7,16,0,1,10,1,2,10,2,1,1,8,109,28,2,4,0,1,0,0,0,3,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,9696,721,3,1,87,1,283,10,1,10,0,4,1,28,10,48,27,0,0,9,23,7,7,2,1,1,17,81,19,1,16,0,5,1,0,1,4,0,0,0,1,0,3,0,0,0,0,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365,9806,526,1,1,76,0,217,15,0,3,2,2,2,35,14,30,8,1,0,4,10,6,3,2,0,0,26,32,11,1,9,0,2,0,0,1,2,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,10026,721,1,2,206,0,194,14,0,6,0,10,6,34,10,35,32,2,0,8,25,7,1,0,0,3,31,34,21,2,13,0,0,0,1,0,1,0,0,0,0,0,9,1,0,0,0,6,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,10136,695,1,0,80,0,194,14,0,7,0,5,0,64,9,77,38,0,0,6,57,7,3,1,1,1,40,24,13,1,18,0,2,0,2,0,0,3,0,0,1,0,8,0,1,0,0,2,0,0,0,1,0,6,0,0,0,0,1,0,0,0,4,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
385,10246,583,0,3,8,2,112,39,0,2,2,4,0,34,6,74,39,0,0,10,91,10,1,1,1,3,57,29,12,2,7,0,2,1,0,0,1,1,0,1,5,1,6,0,0,0,0,12,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,10356,629,0,4,3,1,118,14,0,6,1,7,2,16,5,147,31,0,0,4,115,16,1,2,1,6,61,28,9,2,3,0,4,0,1,0,2,0,0,0,0,0,9,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
395,10466,834,0,4,12,0,129,8,0,11,1,8,0,8,5,273,38,1,0,6,175,4,0,0,1,1,60,38,13,4,1,0,2,1,0,0,2,0,0,0,0,0,9,0,0,0,0,9,0,0,2,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
400,10546,582,0,3,7,1,119,10,0,5,1,0,0,3,3,153,20,1,0,7,98,2,0,0,0,6,61,13,10,3,1,0,4,1,0,1,1,0,0,0,4,0,12,0,0,0,0,10,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
405,10626,606,0,0,5,3,113,11,0,6,0,5,0,5,7,171,26,0,0,10,103,4,0,0,1,7,63,12,7,2,1,0,5,1,2,0,0,0,0,0,5,0,6,0,0,0,0,9,0,0,0,2,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0
410,10706,498,0,0,6,1,96,8,1,3,0,4,1,5,1,161,23,0,0,11,69,5,0,3,0,0,50,11,5,2,0,0,10,2,0,1,0,1,0,0,0,0,8,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
415,NA,396,0,1,5,2,83,52,0,4,0,0,0,17,7,33,30,0,0,13,17,4,2,3,0,3,3,28,24,3,2,0,11,7,0,2,0,0,0,0,0,0,19,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0
420,NA,529,0,3,10,3,81,79,0,6,2,1,0,31,15,24,29,0,0,18,10,11,1,2,0,4,2,60,56,9,8,0,13,2,1,1,0,0,0,0,3,0,24,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0
425,NA,523,1,4,20,1,63,78,0,20,2,2,1,18,28,22,30,2,0,24,17,7,2,2,0,0,1,52,43,5,4,1,17,2,0,0,0,0,0,1,0,0,20,0,2,0,0,7,0,0,2,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0
430,NA,576,0,6,22,0,61,95,0,7,0,0,0,18,31,21,46,0,0,12,8,6,1,3,4,1,1,97,36,5,16,0,15,1,2,0,0,1,0,0,2,0,29,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,4,0,13,0,0,0,0,0,5,0,0,1,0,0,0,0,0
435,NA,521,0,5,20,2,111,38,0,15,1,3,0,8,15,52,35,0,0,22,27,14,1,1,0,2,12,63,19,2,5,0,12,0,2,1,0,3,0,0,0,0,19,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0
440,NA,452,0,10,6,0,126,12,5,4,2,2,2,17,25,10,30,0,1,5,9,7,0,3,0,0,17,34,91,9,2,0,2,0,1,0,1,1,0,1,0,0,5,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
