"sample.depths","sample.ages","Abies.balsamea","Acer.pensylvanicum","Acer.rubrum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brassicaceae","Calla.palustris","Carya.ovata","Caryophyllaceae","Castanea.dentata","Corylus.cornuta","Cyperaceae","Diphasiastrum.alpinum.type","Equisetum","Ericaceae","Fabaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Galium","Huperzia.selago.type","Ilex.Nemopanthus","Indeterminable","Isoëtes","Juglans.cinerea","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Larix","Liliaceae","Littorella.uniflora","Lonicera.involucrata","Lycopodium.annotinum.type","Lycopodium.clavatum","Menyanthes.trifoliata","Morus.rubra.type","Myrica.gale","Myriophyllum.alterniflorum","Myriophyllum.sibiricum.type","Nuphar","Nymphaeaceae.undiff.","Osmunda.cinnamomea","Osmunda.regalis.type","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Pinus.undiff.","Plantaginaceae.undiff.","Platanus.occidentalis","Poaceae","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Potamogetonaceae.Triglochin.undiff.","Potentilla.palustris.type","Prunus.undiff.","Prunus.virginiana","Quercus","Rhamnus.cathartica","Rosaceae.undiff.","Rumex.type.undiff.","Rumex.acetosa.type","Sagittaria","Salix","Sarracenia.purpurea","Saxifraga.oppositifolia.type","Saxifragaceae.undiff.","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga.canadensis","Typha.angustifolia","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Viburnum.alnifolium","Viburnum.edule","Viburnum.lentago","Viburnum.nudum"
275,4843,10,0,0,4,3,3,0,0,0,1,1,199,0,0,0,1,0,0,5,0,0,4,0,18,1,3,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,15,3,1,0,239,33,0,0,0,0,0,1,0,1,0,0,8,0,1,0,0,0,0,0,0,0,0,61,3,0,0,8,0,0,0,2,2,2,0,0,0,0,0
300,5283,9,0,1,5,3,9,3,0,0,0,0,306,0,0,1,0,0,0,1,0,0,2,0,10,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,1,0,7,2,1,0,181,56,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,9,7,0,0,6,0,0,0,4,1,0,1,0,0,0,0
310,5459,5,0,1,3,1,3,2,0,0,2,1,239,0,0,0,0,1,1,2,0,0,1,0,14,5,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,15,2,4,0,278,30,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,23,0,0,0,10,0,0,0,2,0,0,1,0,0,0,0
325,5724,3,0,1,5,1,8,0,0,0,1,1,203,0,0,0,0,0,0,2,0,0,1,0,10,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,3,0,9,1,2,0,246,16,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,24,2,2,0,42,0,0,0,5,3,1,0,0,0,0,0
340,5988,3,0,2,3,0,12,0,0,1,1,0,203,1,0,0,0,0,3,8,0,0,9,0,5,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,61,8,0,0,3,0,1,1,0,0,0,0,14,0,1,0,0,0,1,0,0,0,0,6,5,0,0,56,0,0,0,6,0,1,0,0,0,0,0
350,6164,4,0,7,6,0,15,2,0,0,1,0,218,0,0,0,0,0,0,4,0,0,0,0,7,4,1,0,0,1,0,0,3,0,1,1,16,0,0,0,0,0,0,0,0,0,0,0,3,0,2,2,4,0,5,0,188,11,0,0,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,4,0,0,0,123,0,0,0,9,1,1,1,0,0,0,0
360,6340,3,0,0,4,0,3,4,1,1,0,0,144,0,0,1,0,0,0,5,0,0,7,0,10,5,3,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,1,0,4,2,0,0,179,23,0,0,3,0,0,0,0,0,0,0,16,0,0,0,0,0,0,1,0,0,0,7,3,0,0,28,0,0,0,4,2,2,1,0,0,0,0
375,6604,3,0,2,2,1,6,3,0,0,1,1,158,0,1,0,0,0,0,15,0,0,2,0,5,3,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,4,0,1,0,0,2,1,0,249,35,0,0,4,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,7,2,0,0,63,0,0,0,3,3,3,0,0,0,0,0
390,6868,8,0,1,3,2,10,15,0,3,1,0,183,3,0,0,0,0,7,85,0,0,4,0,0,1,1,0,0,17,2,2,1,0,0,0,0,0,0,3,2,1,0,5,0,0,0,0,2,0,2,0,5,1,0,0,245,30,0,0,35,0,7,2,5,0,0,0,21,0,1,0,0,0,3,0,1,0,0,3,6,1,1,4,1,0,0,3,4,9,3,0,0,0,1
400,7078,10,0,1,2,0,1,26,0,0,1,2,175,0,0,0,0,0,3,135,0,0,1,0,1,2,1,0,0,0,1,17,0,1,0,1,0,0,0,1,3,0,0,15,0,0,1,0,0,0,4,0,6,5,21,0,162,85,0,0,107,0,0,0,15,0,0,0,16,0,0,0,0,0,1,0,1,0,0,2,2,0,0,3,0,0,5,11,5,1,5,0,0,0,0
425,7685,6,0,4,5,1,10,36,0,1,1,4,205,0,0,0,0,0,0,76,3,0,3,0,1,5,0,0,0,3,1,107,0,4,0,4,0,2,0,1,3,3,0,33,0,1,4,0,1,0,2,0,10,5,0,0,223,22,0,0,14,0,4,2,8,0,1,0,27,0,1,0,0,1,5,0,0,0,0,4,3,1,0,12,0,0,0,5,1,4,0,0,0,0,0
450,8292,5,0,0,2,2,12,33,0,0,3,0,234,0,0,0,0,0,1,63,0,0,0,0,0,3,1,0,0,0,4,166,0,3,0,1,0,0,0,2,3,0,0,60,0,3,9,0,0,0,5,0,20,8,5,1,41,7,0,0,8,0,14,0,2,0,0,0,16,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,5,0,0,6,1,2,3,0,0,1,0
475,8900,3,0,0,0,0,2,44,0,0,3,1,172,0,0,0,0,0,1,33,0,0,0,1,2,8,1,1,0,0,0,210,0,6,0,1,0,0,0,2,5,0,0,41,0,0,7,0,0,0,3,1,28,11,0,5,41,7,0,0,5,2,9,0,6,0,0,0,13,1,0,0,0,0,8,0,0,0,0,1,1,1,0,1,0,0,2,2,0,0,3,0,0,0,0
500,9507,1,0,0,0,1,1,54,0,2,3,1,255,0,0,0,0,0,3,51,0,0,0,0,0,4,1,0,0,0,1,180,1,2,0,2,0,0,0,5,4,0,1,60,0,2,0,2,0,0,3,2,30,4,7,0,48,3,0,0,10,0,12,0,5,0,0,0,15,0,1,0,0,3,6,0,0,0,0,0,1,0,0,0,4,0,0,8,1,5,1,0,0,0,0
525,10114,0,0,0,0,0,1,43,0,1,2,0,175,0,0,0,0,1,1,29,0,0,0,0,1,1,1,0,0,0,1,218,0,4,0,0,0,0,0,3,0,0,0,133,0,3,0,4,0,0,1,4,11,6,5,0,49,6,0,0,7,1,13,1,2,0,0,0,15,0,0,0,0,0,6,0,0,1,0,0,2,0,0,1,2,0,0,4,2,1,0,1,0,0,0
540,10479,1,0,0,1,0,1,55,0,1,9,3,139,0,0,1,0,0,0,18,0,0,1,1,0,5,2,0,0,0,1,293,0,0,0,1,0,4,0,3,3,0,0,114,0,3,2,0,0,0,6,1,6,8,1,0,28,7,0,0,6,0,11,1,0,0,0,0,23,0,0,0,0,0,9,0,0,0,1,1,0,0,0,4,0,0,13,1,2,0,1,0,0,0,0
550,10721,1,0,0,4,0,3,52,1,0,8,3,194,0,0,3,0,0,2,49,0,0,2,0,0,13,1,0,0,0,0,870,0,15,0,0,0,6,1,3,9,0,0,80,4,6,0,0,0,0,7,0,44,20,19,0,25,16,1,0,10,0,26,0,0,0,0,0,48,0,3,0,0,2,16,0,0,1,1,1,4,0,0,1,0,1,3,9,11,2,4,0,0,0,0
555,10843,1,0,0,1,0,0,5,1,2,7,2,198,0,0,1,0,1,2,39,0,0,0,0,1,10,1,0,0,0,1,97,1,10,0,1,0,0,0,1,2,0,0,266,2,0,0,0,0,0,7,0,5,2,0,0,20,8,0,0,7,4,95,0,0,0,0,2,31,0,0,0,0,0,22,0,0,0,1,0,0,0,0,2,0,0,3,8,2,0,0,0,0,0,0
560,10964,0,0,0,0,0,0,9,2,1,2,2,109,0,0,2,0,0,1,12,0,0,0,0,0,3,0,0,0,0,2,243,0,13,0,0,0,0,0,2,1,0,1,243,0,0,0,0,0,0,8,0,3,2,0,0,11,5,0,0,3,7,87,0,1,0,0,0,14,0,0,0,0,0,14,0,0,0,2,0,0,0,0,1,0,0,2,5,4,4,3,0,0,0,0
565,11086,1,0,0,0,0,2,5,0,0,13,2,94,0,0,1,0,0,0,29,0,0,1,0,0,0,0,0,0,0,2,16,1,2,0,0,0,0,0,3,4,0,0,237,0,1,0,0,0,0,3,0,6,3,0,0,39,3,0,2,5,6,24,0,0,0,0,0,21,0,0,0,0,0,21,0,0,0,0,1,0,0,0,1,0,0,0,1,3,4,0,0,1,0,1
570,NA,2,0,0,2,0,4,8,0,1,4,3,175,0,0,0,0,0,6,42,0,1,1,0,3,5,1,0,0,0,0,125,1,12,0,0,0,0,0,0,2,1,0,151,0,0,0,4,0,0,3,0,14,3,4,0,76,9,0,0,11,2,18,0,1,0,0,0,18,0,0,0,0,0,6,0,0,1,2,3,2,0,0,9,1,0,0,4,2,6,0,0,0,0,0
