"sample.depths","sample.ages","Abies","Acer","Alnus","Betula","Caprifoliaceae.undiff.","Castanea","Cornus","Corylus","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Ilex.Nemopanthus","Juniperus.Thuja","Larix","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.subg..Pinus.undiff.","Pinus.subg..Strobus.undiff.","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnus","Salix","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Asteraceae.subf..Asteroideae.undiff.","Chenopodiaceae","Cyperaceae","Lamiaceae","Poaceae","Ranunculaceae.undiff.","Rosaceae","Thalictrum"
29.5,1002,0.0101419878296146,0.0121703853955375,0.00405679513184584,0.537525354969574,0,0,0,0,0.0567951318458418,0.0141987829614604,0,0,0,0,0,0.0730223123732252,0.00811359026369168,0.075050709939148,0.0121703853955375,0.101419878296146,0.0283975659229209,0,0,0.0141987829614604,0,0,0,0.0446247464503043,0.00202839756592292,0,0,0,0,0,0,0,0,0.00608519269776876,0
32,1096,0.00992779783393502,0.0126353790613718,0.00180505415162455,0.36913357400722,0,0,0,0.0036101083032491,0.0604693140794224,0.0288808664259928,0.000902527075812274,0,0,0,0.0126353790613718,0.0243682310469314,0.0072202166064982,0.120036101083032,0.0108303249097473,0.185920577617329,0.0685920577617329,0,0,0.0189530685920578,0,0,0,0.0568592057761733,0.0036101083032491,0,0,0,0.000902527075812274,0,0,0.00180505415162455,0,0.000902527075812274,0
34,1553,0.0258780036968577,0.0055452865064695,0.0055452865064695,0.380776340110906,0,0,0,0.00184842883548983,0.0499075785582255,0.00924214417744917,0,0,0,0,0,0.0184842883548983,0.022181146025878,0.140480591497227,0.0295748613678373,0.179297597042514,0.0462107208872458,0,0,0.0258780036968577,0,0,0,0.0591497227356747,0,0,0,0,0,0,0,0,0,0,0
35.5,1895,0.0211416490486258,0.00634249471458774,0.0169133192389006,0.441860465116279,0,0,0,0.00422832980972516,0.025369978858351,0.00422832980972516,0,0,0,0,0,0.00845665961945032,0.0211416490486258,0.101479915433404,0.0359408033826638,0.173361522198731,0.0845665961945032,0,0,0.00845665961945032,0,0,0,0.0465116279069767,0,0,0,0,0,0,0,0,0,0,0
37,2238,0.00868621064060804,0.00217155266015201,0.00325732899022801,0.358306188925081,0.00325732899022801,0,0,0.00217155266015201,0.0195439739413681,0.0521172638436482,0,0,0.00542888165038002,0,0.01085776330076,0.0141150922909881,0.00760043431053203,0.184581976112921,0.00977198697068404,0.225841476655809,0.0434310532030402,0,0.00434310532030402,0.00651465798045603,0,0.00217155266015201,0,0.0314875135722041,0.00325732899022801,0,0,0,0,0,0.001085776330076,0,0,0,0
38,2466,0.0172413793103448,0.00431034482758621,0.00862068965517241,0.47198275862069,0,0,0,0.0021551724137931,0.0495689655172414,0.00646551724137931,0,0,0,0,0,0.0193965517241379,0.0107758620689655,0.114224137931034,0.0172413793103448,0.168103448275862,0.0603448275862069,0,0,0.00862068965517241,0,0,0,0.0387931034482759,0.0021551724137931,0,0,0,0,0,0,0,0,0,0
39,2695,0.0072793448589627,0.00272975432211101,0,0.659690627843494,0,0,0,0,0.013648771610555,0.0127388535031847,0,0.000909918107370337,0,0,0,0.0254777070063694,0.00272975432211101,0.0855323020928117,0.00363967242948135,0.118289353958144,0.0327570518653321,0,0.00181983621474067,0.00363967242948135,0,0,0,0.0263876251137398,0.00181983621474067,0.000909918107370337,0,0,0,0,0,0,0,0,0
40.5,3037,0.0147058823529412,0.0147058823529412,0.00588235294117647,0.367647058823529,0,0,0,0,0.0529411764705882,0.0191176470588235,0,0,0.00147058823529412,0,0.00147058823529412,0.0147058823529412,0.0220588235294118,0.173529411764706,0.0264705882352941,0.205882352941176,0.0382352941176471,0.00147058823529412,0.00147058823529412,0.0132352941176471,0,0,0,0.0235294117647059,0.00147058823529412,0,0,0,0,0,0,0,0,0,0
43,3608,0.00249169435215947,0.00830564784053156,0.00498338870431894,0.365448504983389,0,0,0,0.00664451827242525,0.0274086378737542,0.0556478405315615,0,0,0,0,0.0323920265780731,0.0232558139534884,0.0149501661129568,0.074750830564784,0.0357142857142857,0.176079734219269,0.121262458471761,0,0.00913621262458472,0.0141196013289037,0,0.00498338870431894,0.000830564784053156,0.0174418604651163,0.00166112956810631,0,0,0,0,0,0,0.00249169435215947,0,0,0
44.5,3951,0.0142276422764228,0.0040650406504065,0.008130081300813,0.376016260162602,0,0,0,0.00203252032520325,0.032520325203252,0.0101626016260163,0,0.00203252032520325,0.00203252032520325,0,0,0.0121951219512195,0.0365853658536585,0.130081300813008,0.0508130081300813,0.17479674796748,0.0609756097560976,0,0,0.016260162601626,0,0,0,0.0630081300813008,0,0.00203252032520325,0,0,0,0,0,0,0,0,0.00203252032520325
46,4293,0.00688073394495413,0.00114678899082569,0.00802752293577982,0.272935779816514,0,0,0,0.00573394495412844,0.0091743119266055,0.0149082568807339,0,0.00229357798165138,0.0091743119266055,0,0.00458715596330275,0.0252293577981651,0.018348623853211,0.0298165137614679,0.105504587155963,0.174311926605505,0.231651376146789,0,0.00573394495412844,0.0091743119266055,0,0.00229357798165138,0,0.0493119266055046,0,0,0,0,0,0.00458715596330275,0,0.00802752293577982,0.00114678899082569,0,0
47.5,4636,0.0112517580872011,0.00421940928270042,0.00843881856540084,0.243319268635724,0,0,0,0,0.00421940928270042,0.00281293952180028,0,0,0,0,0,0.00843881856540084,0.0379746835443038,0.0872011251758087,0.0984528832630098,0.225035161744022,0.19971870604782,0,0,0.0168776371308017,0,0,0,0.0520393811533052,0,0,0,0,0,0,0,0,0,0,0
49,4978,0.00347826086956522,0.00173913043478261,0.00695652173913044,0.173913043478261,0,0,0,0,0,0.00173913043478261,0,0.00173913043478261,0,0,0,0.0104347826086957,0.0817391304347826,0.12695652173913,0.16,0.196521739130435,0.12695652173913,0,0,0.00869565217391304,0,0.00173913043478261,0,0.097391304347826,0,0,0,0,0,0,0,0,0,0,0
50,5207,0.0087281795511222,0.013715710723192,0.00623441396508728,0.390274314214464,0,0,0,0,0.00124688279301746,0.00124688279301746,0.00249376558603491,0.00124688279301746,0.00374064837905237,0,0.00748129675810474,0.0224438902743142,0.0623441396508728,0.0523690773067332,0.124688279301746,0.102244389027431,0.112219451371571,0,0.00249376558603491,0.0112219451371571,0,0,0,0.0660847880299252,0.00249376558603491,0,0,0,0,0.00124688279301746,0,0.00249376558603491,0.00124688279301746,0,0
52,5664,0.0106221547799697,0.0121396054628225,0.00758725341426404,0.326251896813354,0,0,0,0,0.00606980273141123,0.00303490136570561,0,0,0.00758725341426404,0,0,0.0182094081942337,0.0804248861911988,0.0515933232169954,0.154779969650986,0.0971168437025797,0.119878603945372,0,0.00151745068285281,0.0121396054628225,0,0,0,0.0849772382397572,0.00151745068285281,0,0,0,0,0.00151745068285281,0,0.00151745068285281,0,0.00151745068285281,0
54,6120,0.00414364640883978,0.0110497237569061,0.00414364640883978,0.364640883977901,0,0,0,0,0,0.00276243093922652,0,0,0.00414364640883978,0,0,0.0110497237569061,0.0662983425414365,0.0524861878453039,0.133977900552486,0.104972375690608,0.121546961325967,0,0,0.00966850828729282,0,0,0,0.107734806629834,0,0,0.00138121546961326,0,0,0,0,0,0,0,0
56,NA,0.0077639751552795,0.0139751552795031,0.0108695652173913,0.234472049689441,0,0,0,0,0,0.0015527950310559,0,0,0.0015527950310559,0,0,0.0248447204968944,0.0869565217391304,0.0652173913043478,0.173913043478261,0.130434782608696,0.152173913043478,0,0,0.015527950310559,0,0,0,0.0714285714285714,0.0062111801242236,0,0,0,0,0,0,0.0015527950310559,0,0.0015527950310559,0
58.5,NA,0.0113406237343054,0.00729040097205346,0.00607533414337789,0.162818955042527,0,0,0,0.0109356014580802,0.00283515593357635,0.0145808019441069,0,0.00121506682867558,0.00283515593357635,0,0.00567031186715269,0.0170109356014581,0.0324017820980154,0.0453624949372215,0.144187930336169,0.200081004455245,0.266099635479951,0,0.00567031186715269,0.019036046982584,0,0.00607533414337789,0,0.0186310247063588,0.00162008910490077,0,0,0,0,0.0174159578776833,0,0.000810044552450385,0,0,0
