"sample.depths","sample.ages","upland.sum","Artemisia","Betula","Cupressaceae","Cyperaceae","Ericaceae","Larix","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Salix","Asteraceae.subf..Asteroideae.undiff.","Alnus.incana","Ambrosia","Alnus.viridis","Myrica","Amaranthaceae","Poaceae","Populus","Epilobium","Fagus","Ulmus","Abies","Platanus","Rubiaceae","Ostrya","Corylus","Rosaceae.undiff.","Plantago","Ephedra","Acer","Polygonum.viviparum","Rubus.chamaemorus","Fraxinus","Juglans","Carya","Oxyria.digyna","Shepherdia.canadensis","Brassicaceae"
55,4202,834,2,95,7,0,1,5,522,3,0,1,0,1,1,16,0,170,3,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
60,4324,650,8,73,5,3,4,0,274,5,1,7,0,2,2,5,2,251,1,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
65,4454,650,9,73,2,2,5,1,322,2,0,1,0,1,1,1,4,221,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,4605,770,3,85,2,2,5,1,373,5,0,2,1,1,1,3,1,280,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,4788,801,0,88,1,1,1,1,449,2,0,6,1,1,1,5,1,237,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
80,5016,809,6,75,4,11,1,1,334,7,0,2,0,1,0,11,0,339,2,0,13,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
85,5300,586,4,59,0,8,2,1,380,2,0,3,0,1,1,0,4,117,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,5653,618,2,58,0,0,0,7,244,6,0,1,0,1,1,15,0,273,1,0,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
95,6085,672,5,108,2,8,1,18,236,6,2,2,2,1,0,2,2,256,0,4,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,6610,806,9,272,18,33,9,8,227,6,0,10,0,5,3,5,2,181,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
103,NA,599,5,151,4,25,11,7,224,2,0,3,1,10,1,5,10,110,1,2,17,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1
107,NA,136,2,4,0,13,0,0,75,3,0,1,0,7,0,0,5,18,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
