"sample.depths","sample.ages","upland.sum","Abies","Acer.rubrum","Acer.saccharum.type","Alnus","Betula","Carya","Castanea","Corylus","Cupressaceae","Elaeagnus","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Ilex","Juglans.cinerea","Juglans.nigra","Larix","Ostrya.Carpinus","Picea","Pinus","Platanus","Populus","Quercus","Salix","Shepherdia.canadensis","Tilia","Tsuga","Ulmus","Vitis","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Brassicaceae","Caryophyllaceae","Chenopodiineae","Cyperaceae","Epilobium","Galium","Iva.annua.type","Plantago","Poaceae","Ranunculus","Rosaceae","Rumex","Thalictrum","Xanthium"
40,507,209,0,0,73,2,1,4,0,0,0,0,0,2,0,8,0,1,0,4,0,2,50,1,0,13,0,0,28,5,8,0,3,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
42,521,233,0,0,50,5,4,3,1,0,1,0,0,24,2,8,0,4,0,0,3,0,38,0,0,27,1,0,13,8,14,0,3,1,1,11,0,0,0,0,6,0,0,0,0,4,1,0,0,0,0
44,534,215,0,0,53,0,5,1,0,0,0,0,0,17,0,1,0,1,0,2,2,1,66,0,0,26,0,0,14,5,6,0,1,0,0,9,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0
46,547,214,0,0,66,2,3,2,0,0,0,0,0,18,1,5,0,1,0,5,1,0,37,0,0,28,1,0,10,7,16,0,1,2,1,4,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
48,559,221,0,0,68,1,5,5,1,0,0,0,0,8,0,5,0,1,0,0,3,3,37,0,0,30,0,0,11,11,12,0,3,3,2,7,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0
50,572,219,1,0,45,1,5,3,0,0,2,0,0,7,0,3,0,0,0,5,0,4,67,0,0,15,1,0,24,11,8,0,3,1,1,6,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0
52,584,221,0,0,63,2,2,6,0,0,1,0,0,13,0,9,0,0,0,0,3,3,31,0,0,37,0,0,20,2,10,0,2,2,0,7,0,0,0,0,6,0,0,0,0,1,0,0,0,1,0
54,7238,228,0,0,66,4,3,3,0,0,0,0,0,3,1,16,0,1,0,0,7,1,49,0,0,14,0,0,15,6,15,0,3,3,0,5,0,0,0,0,11,0,0,0,0,2,0,0,0,0,0
56,7834,236,0,0,64,0,3,8,1,0,0,0,0,5,0,22,0,0,0,0,5,0,46,1,0,19,0,0,8,8,9,0,1,1,0,4,0,0,0,0,30,0,0,0,0,1,0,0,0,0,0
58,8430,247,1,0,54,0,2,3,0,0,0,0,0,18,2,4,0,2,0,2,3,0,42,0,0,25,0,0,9,13,20,0,2,0,0,6,0,0,0,0,33,0,0,0,0,5,0,0,0,1,0
60,9024,265,1,0,17,0,3,8,0,1,0,0,0,17,2,4,0,0,0,2,14,0,50,0,0,37,0,0,4,11,30,0,3,1,0,6,0,0,0,1,44,0,0,0,0,9,0,0,0,0,0
62,9613,237,6,0,3,2,4,1,0,0,0,0,0,4,2,1,0,1,0,3,8,4,110,0,0,28,0,0,1,12,12,0,1,0,1,3,0,0,0,0,29,0,0,0,0,1,0,0,0,0,0
64,10208,216,10,0,1,0,10,1,0,0,1,0,0,0,1,1,0,1,0,2,11,5,119,1,0,24,1,0,0,7,5,0,0,0,0,1,0,0,0,0,10,0,0,0,0,4,0,0,0,0,0
66,10788,227,7,0,1,0,10,0,0,0,0,0,0,1,0,3,0,1,0,0,12,7,129,0,0,22,0,0,0,5,2,0,0,0,2,2,0,0,0,1,17,0,0,0,0,4,0,0,0,1,0
68,11313,235,17,1,0,1,11,0,0,1,0,0,0,2,0,2,0,0,0,8,12,25,84,0,0,26,0,0,0,3,9,0,0,0,1,9,0,0,0,0,16,1,0,0,0,6,0,0,0,0,0
70,11758,221,20,0,0,1,23,0,0,5,2,0,0,0,0,1,0,0,0,1,14,10,84,1,3,29,0,0,0,4,8,0,0,0,2,2,0,0,0,1,7,0,0,0,0,2,0,1,0,0,0
72,12100,244,13,0,0,1,11,0,0,0,0,0,0,1,0,2,0,0,0,9,7,31,101,1,0,17,1,0,0,6,3,0,0,0,0,4,0,0,0,1,18,2,0,0,0,9,1,4,1,0,0
74,12319,328,20,0,3,1,10,2,1,0,2,0,0,3,0,8,0,1,0,0,7,31,82,0,0,18,2,0,0,4,8,1,1,0,1,43,1,0,0,0,26,1,0,0,0,45,0,4,1,1,0
76,12433,1348,3,0,2,1,13,0,0,0,0,1,1,0,1,1,0,0,0,4,2,97,53,0,0,19,1,2,0,1,3,0,0,12,6,330,0,0,2,1,242,8,5,0,8,418,0,110,0,1,0
78,12488,2083,1,0,0,1,6,0,0,0,5,1,1,0,0,2,0,0,0,0,2,144,30,0,0,6,3,2,0,2,1,0,1,12,2,572,6,0,4,0,376,7,2,0,10,637,1,245,0,1,0
80,12521,1212,2,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,5,143,36,0,1,7,1,2,0,1,0,0,0,10,2,331,3,0,7,1,176,10,7,0,5,345,0,109,0,2,0
82,12553,2182,2,0,0,1,2,0,0,0,6,0,1,0,0,1,0,0,0,0,1,140,41,0,1,3,1,2,0,0,3,0,0,17,4,787,3,0,7,2,220,10,13,0,1,661,1,248,0,3,0
84,12585,2116,2,0,0,0,3,1,1,0,3,0,2,0,0,2,0,0,0,0,6,144,29,0,0,7,1,0,0,1,1,0,0,12,1,822,1,0,7,2,193,16,6,0,3,653,1,193,0,3,0
86,12618,1464,1,0,0,1,7,0,0,0,1,1,0,2,0,1,0,0,0,0,3,140,32,0,0,8,3,2,0,3,1,0,1,20,2,370,4,0,3,0,246,11,4,0,9,464,0,123,0,1,0
88,12650,1657,1,0,0,0,2,2,0,0,1,2,0,0,0,1,0,0,0,0,12,129,33,0,1,12,3,3,0,2,4,0,0,10,4,478,0,0,6,0,224,17,1,0,8,532,0,168,0,1,0
90,12680,2530,1,0,0,0,7,0,0,0,4,1,3,1,1,1,0,0,0,0,5,143,27,0,0,9,3,4,0,0,1,0,0,19,3,942,4,0,10,4,841,8,5,1,10,0,1,471,0,0,0
92,12708,1584,1,0,0,0,5,1,0,0,1,0,0,1,1,1,0,0,0,0,0,152,30,0,0,3,1,3,0,1,3,0,0,16,6,262,7,0,8,1,328,18,1,0,8,551,2,171,0,1,0
94,12733,910,3,0,1,1,0,2,0,1,3,0,0,0,1,3,0,0,0,0,3,146,26,0,3,4,3,3,0,1,3,0,0,9,5,171,4,1,5,0,99,12,3,0,3,257,0,134,0,0,0
96,12756,1999,3,0,0,0,5,0,0,0,4,0,0,1,0,1,0,0,0,1,4,140,33,0,0,7,7,0,0,0,1,0,0,11,5,448,6,0,4,2,352,17,7,0,7,768,2,160,0,3,0
