"sample.depths","sample.ages","upland.sum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Chamaedaphne.calyculata","Cyperaceae","Fagus","Fraxinus.nigra.type","Poaceae.undiff.","Larix","Ledum.Chamaedaphne.calyculata","Picea.mariana.type","Pinus.undiff.","Populus.tremuloides.type","Quercus","Salix","Tilia","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Amaranthaceae","Abies.balsamea","Acer.saccharinum","Corylus.cornuta","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Rhododendron.canadense","Rumex.acetosa.type","Tsuga.canadensis","Vaccinium.macrocarpon.type","Vaccinium.oxycoccos","Picea.undiff.","Ericaceae.undiff.","Kalmia","Acer.saccharum","Carya.ovata","Rubiaceae","Acer.rubrum","Caprifoliaceae.undiff.","Fraxinus.americana.type","Viburnum.nudum","Rumex.type.undiff.","Caryophyllaceae","Fraxinus.pennsylvanica.type","Juglans.cinerea","Ostrya.Carpinus","Juniperus.communis.Thuja.occidentalis.type","Taxus","Rosaceae.undiff.","Ilex.Nemopanthus","Asteraceae.subf..Cichorioideae","Picea.glauca.type","Platanus.occidentalis","Castanea.dentata","Cornus.canadensis","Elymus.type","Pyrola","Rhamnus.alnifolia.R..frangula","Apiaceae","Prunus.virginiana","Juncaceae","Shepherdia.canadensis","Morus.rubra.type"
220,3767,492,8,0,0,0,19,1,6,0,2,3,65,0,4,119,0,11,1,1,1,1,0,3,3,1,9,2,202,0,0,16,0,0,4,0,0,4,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,4048,632,4,0,0,0,43,0,14,7,3,4,68,0,5,77,0,14,3,2,0,6,0,12,4,0,10,2,327,0,0,9,0,0,0,1,0,10,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
260,4329,546,8,0,0,1,59,0,6,0,4,2,105,0,1,67,0,8,1,4,2,4,0,4,4,0,9,0,235,0,0,0,0,0,1,0,0,4,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
280,4611,604,11,0,1,0,107,0,14,0,8,7,43,0,3,144,0,8,0,3,2,3,1,2,2,1,1,2,174,0,0,50,0,0,1,0,0,8,3,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
300,4834,590,3,0,0,2,41,1,6,0,6,1,72,0,1,97,2,7,1,1,0,3,0,4,1,0,4,0,183,0,0,143,0,0,2,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
320,5057,645,5,0,1,1,42,2,21,2,3,1,67,0,2,72,0,10,4,2,1,3,0,4,0,0,2,1,236,0,0,156,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
340,5281,390,3,0,1,0,10,0,24,1,3,5,29,0,3,51,0,2,0,1,0,1,0,0,1,0,2,0,103,0,0,120,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,5504,431,0,0,0,0,12,0,59,1,0,0,49,0,0,16,0,1,1,0,0,4,0,2,2,0,3,0,129,0,0,148,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
380,5727,369,1,0,0,0,5,0,57,0,0,1,4,0,1,48,0,1,0,1,0,1,0,1,0,0,3,0,108,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,5950,594,0,1,0,0,5,0,44,0,2,2,12,0,2,37,0,1,0,0,1,0,1,1,0,0,19,4,137,0,0,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
420,6174,434,2,2,0,0,35,0,62,0,1,20,13,0,0,117,0,7,0,1,1,2,0,1,0,0,3,2,73,0,0,82,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0
440,6397,523,1,1,1,2,34,2,27,3,3,5,9,0,1,157,0,14,1,1,1,5,0,0,4,0,5,0,156,0,0,81,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
460,6620,628,1,0,0,0,7,0,9,0,1,2,2,0,2,221,0,4,0,3,0,3,0,1,1,0,11,0,281,0,0,76,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480,NA,750,5,1,1,0,45,0,5,2,6,3,0,0,2,294,0,42,0,7,1,4,0,7,2,0,5,3,267,0,0,27,0,0,1,0,0,8,0,1,1,0,0,3,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0
500,NA,635,1,1,0,0,7,0,2,0,1,1,1,0,3,212,0,13,0,0,0,0,1,13,1,0,7,0,355,0,0,14,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
515,NA,499,6,0,1,0,19,0,8,0,4,1,1,0,1,152,0,16,0,1,0,1,0,6,2,0,5,0,255,0,0,11,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1
