"sample.depths","sample.ages","upland.sum","Acer.undiff.","Alnus.incana.type","Ambrosia.type","Artemisia","Bidens.type","Carya","Cephalanthus","Iva.annua.type","Cupressaceae","Cyperaceae","Fraxinus.nigra.type","Juglans.undiff.","Liquidambar","Nyssa","Pinus.subg..Pinus","Pinus.undiff.","Quercus","Rubus","Salix","Thalictrum","Ulmus","Populus","Poaceae","Acer.saccharum","Smilax","Polygonum.hydropiper.type","Acer.rubrum","Castanea","Amaranthaceae.undiff.","Fagus","Fraxinus.pennsylvanica.type","Ostrya.Carpinus","Betula","Fraxinus.undiff.","Juglans.cinerea","Juglans.nigra","Morus","Mentha.type","Asteraceae.subf..Cichorioideae","Lyonia","Celtis","Lamiaceae.undiff.","Spiraea.type","Asteraceae.subf..Asteroideae.undiff.","Acer.negundo","Rumex","Prunella.type","Viburnum","Sanguisorba.canadensis","Sanguinaria.canadensis","Fabaceae.undiff.","Amorpha","Sarcobatus.vermiculatus","Apiaceae","Rosaceae.undiff.","Plantago","Tilia","Corylus","Dalea","Larix","Picea","Platanus","Urtica.type","Brassicaceae","Acer.saccharinum","Toxicodendron","Abies","Prunus","Achillea.type","Myrica.type","Gaura","Epilobium","Cirsium.Carduus.type","Polygonum.aviculare.type","Ephedra","Primula","Caryophyllaceae","Potentilla","Sambucus","Xanthium","Saxifragaceae","Polygonum.viviparum.type","Shepherdia.canadensis","Acer.nigrum","Eupatorium.type","Ranunculaceae.undiff.","Circaea","Onagraceae.undiff."
90,6607,601.5,0,1,36,6,3,28,5,2,0,14,3,2,3,1,0,0.5,310,0,6,1,4,1,166,0,0,0,0,0,2,0,0,0,0,3,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,6953,476,2,0,21,0,1,24,13,2,0,17,8,0,4,1,1,1,257,0,1,1,4,1,100,1,0,2,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,7227,581,1,0,20,3,2,26,7,1,0,18,1,0,1,3,0,1,314,0,7,2,3,0,160,0,0,2,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,7632,398,1,0,14,1,2,19,3,2,0,12,4,0,1,0,0,0,258,1,4,1,6,0,58,0,0,0,0,0,2,0,1,0,2,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,7963,473,1,1,26,0,1,15,10,0,0,21,2,1,0,0,0,0,317,0,3,1,11,6,36,3,4,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,8288,372,0,0,20,1,4,20,7,1,0,16,3,1,1,0,0,2,251,0,0,3,5,2,16,0,0,1,1,0,1,2,0,0,6,0,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,9530,533,3,3,93,7,12,42,0,3,0,43,10,1,0,2,0,3,169,0,5,1,9,4,63,0,4,2,2,0,0,0,2,0,3,1,1,0,0,0,0,0,2,1,3,19,0,0,0,0,0,0,0,0,0,0,0,0,2,5,6,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,10673,534.5,1,3,57,5,7,68,0,1,0,29,10,2,0,0,1,1,216,0,0,3,15,4,34,0,5,0,1,0,0,2,0,0,6,0,1,0,0,0,0,0,0,0,2,32,1,0,0,0,0,0,0,0,0,1,0,0,0,14,0,0,9.5,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,11717,411.5,0,3,57,4,7,40,0,2,0,6,9,0,1,0,0,2.5,189,0,3,1,7,1,12,9,0,2,0,0,0,0,1,0,3,0,1,1,0,0,0,0,0,1,1,15,0,0,0,1,0,0,0,0,0,0,1,0,1,7,0,0,20,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,12661,440.5,0,2,75,6,3,37,1,2,0,11,14,1,0,0,2,2,173,0,3,5,17,0,23,5,0,3,0,0,0,0,1,0,6,0,0,1,0,0,0,0,0,1,1,19,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,10.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,13507,431,0,2,64,3,6,31,0,0,0,9,31,0,0,0,0,1.5,183,0,1,2,10,1,27,5,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,3,1,0,9,0,0,0,0,0,0,0,0,0,2,1,0,1,12,0,0,10.5,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,14258,473.5,0,3,53,7,10,30,0,0,0,18,30,0,0,0,2,1,173,0,3,1,13,0,27,2,2,4,0,0,0,0,2,0,9,1,0,0,0,0,0,0,0,0,1,18,0,0,0,0,0,0,0,0,0,1,1,0,1,12,0,0,40.5,0,0,1,0,0,1,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,14919,411.5,0,10,11,8,8,1,0,1,0,13,70,1,0,0,0,4,166,0,0,1,5,0,33,4,0,0,0,0,0,0,2,0,4,1,0,1,0,1,0,0,0,2,2,10,0,0,0,0,0,0,0,0,0,2,3,0,0,6,0,0,37.5,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,15497,443.5,1,12,10,8,11,0,0,0,1,26,78,0,0,0,2,7.5,138,0,10,2,5,0,33,2,6,1,0,0,1,0,7,0,13,7,0,0,0,1,0,0,0,0,0,11,2,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,28.5,0,0,0,0,0,4.5,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,15997,458,0,6,7,5,10,4,0,0,1,48,80,0,2,0,5,7,76,0,3,3,5,2,48,0,5,0,0,0,0,1,6,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,107,0,0,0,0,0,5,0,3,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
315,16425,405,2,6,9,13,7,0,0,1,0,7,95,0,2,0,5,7,127,5,4,3,3,0,19,2,0,0,0,0,0,0,5,0,3,3,0,1,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,4,2,0,0,5,0,0,54,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355,17089,463,0,20,13,10,8,0,0,1,6,39,74,0,0,0,9,10,100,0,13,6,3,0,41,0,1,0,1,0,2,0,10,0,4,3,0,0,0,1,0,0,0,0,0,5,0,0,0,1,1,0,0,0,0,1,0,0,0,13,0,0,62,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
415,17702,435,0,20,12,13,10,0,0,2,1,19,40,0,0,0,3,14,103,0,5,4,3,0,25,0,0,0,0,1,3,0,6,0,4,2,0,0,0,0,0,0,0,0,6,2,1,0,1,0,1,0,0,0,0,3,1,0,0,12,0,0,111,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
455,17928,422,1,18,13,16,4,2,0,2,0,15,44,0,0,0,5,20,94,0,0,0,2,0,13,2,0,0,0,0,4,0,4,0,13,0,0,1,0,0,0,0,0,1,9,10,0,0,0,0,0,0,0,0,0,4,3,1,0,13,0,0,101,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
495,18066,401.5,0,14,6,13,1,0,0,1,1,18,50,0,0,0,5,14.5,66,1,3,7,1,0,11,0,0,1,0,0,1,0,3,0,6,4,0,0,0,1,0,0,0,1,9,5,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,136.5,0,0,0,2,0,7.5,0,0,0,0,0,2,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0
555,18187,417,0,22,6,20,5,0,0,0,0,17,42,1,0,0,7,25,72,0,5,5,1,0,15,0,1,0,0,0,1,0,1,0,9,0,1,0,0,1,0,0,0,2,4,7,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,128.5,0,0,0,0,0,10.5,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
575,18215,366,1,11,5,3,3,1,0,0,1,9,29,0,0,0,16,16.5,39,0,2,5,1,0,15,0,2,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,178.5,0,0,2,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
615,18269,448,0,4,9,15,5,0,2,0,1,20,20,0,0,0,28,77.5,49,1,13,4,1,0,31,1,2,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,7,4,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,136.5,0,0,3,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
635,18300,419,0,15,5,5,2,1,0,4,4,6,12,0,0,0,27,49.5,57,0,7,5,0,0,36,0,12,0,0,0,3,0,1,0,2,1,0,0,0,0,2,0,0,0,0,17,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,2,135.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
655,18337,141,1,13,9,0,0,0,0,0,0,0,0,0,0,0,12,15.5,17,0,7,2,0,0,14,0,2,1,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,5,0,0,27.5,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
695,18452,367.5,2,5,5,5,5,2,0,0,1,12,4,1,0,0,54.5,139.5,36,0,2,2,1,0,3,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,8,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,60.5,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
735,18619,403.5,0,4,3,4,10,0,0,1,0,20,4,1,0,0,73,113.5,21,1,4,1,0,0,11,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,11,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,99.5,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,0,0,0
775,18824,384,1,4,5,3,5,0,0,1,0,2,1,0,1,0,77,123.5,29,0,0,3,0,0,3,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,96.5,0,0,0,0,0,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
815,19052,369,0,4,2,6,3,0,0,1,0,11,3,0,0,0,22.5,75,18,0,1,3,0,0,5,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,3,1,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,184.5,0,0,0,0,0,5,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
856,19295,400,0,9,6,5,7,1,0,1,2,12,1,0,0,0,57,101.5,30,0,1,14,0,0,16,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,1,4,8,0,0,2,0,0,0,0,0,0,1,0,0,0,4,0,0,107.5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
915,19626,411,0,7,6,10,1,2,0,0,1,17,1,0,0,0,59.5,125.5,25,0,9,10,1,0,27,0,0,0,0,1,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0,16,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,1,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
935,19726,431.5,0,10,9,7,9,1,0,2,0,26,12,0,0,0,37,49,37,1,6,10,2,0,18,1,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,7,0,0,2,0,0,0,1,0,0,0,0,0,0,3,0,0,154.5,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,2,1,0,0,2,0
955,19817,385.5,2,13,2,7,8,2,0,0,0,8,6,0,0,0,34,54.5,36,1,6,5,0,0,9,0,0,0,0,0,1,0,1,0,4,2,0,2,0,0,0,0,0,0,6,5,0,0,1,0,0,0,0,0,0,3,0,0,0,6,0,0,146,0,0,3,0,0,2,0,0,0,0,0,1,1,0,0,1,5,0,0,0,1,0,0,0,1,0,0
995,19974,468,1,9,15,13,5,0,0,0,0,29,6,0,0,0,30,58,57,1,3,10,4,0,26,1,1,0,0,0,4,0,1,0,6,0,0,0,0,0,0,0,0,1,8,9,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,144,0,1,0,0,0,2,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,2,7,0,0,0,0
1035,20103,357,0,1,2,2,2,0,0,0,0,7,0,0,0,0,86,138.5,20,1,3,1,1,0,8,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,5,7,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,59.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0
1059,20169,392,0,5,7,8,6,1,0,1,1,22,0,0,0,0,66,143.5,30,0,1,4,1,0,11,0,0,0,0,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,53.5,0,0,0,0,0,5,0,1,1,0,0,1,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0
1095,20256,343.5,0,3,6,5,3,0,0,0,0,11,3,0,0,0,83,73,12,0,2,1,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,1,0,0,0,0,1,0,0,0,3,0,0,118.5,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1115,20299,376.5,0,11,7,9,3,0,0,0,0,12,5,0,0,0,37,75.5,26,0,6,1,1,0,8,1,0,1,0,0,1,0,2,0,1,1,0,0,0,0,0,0,0,3,8,5,0,0,0,0,0,0,0,0,0,1,2,0,0,6,0,0,133.5,0,0,2,0,0,3.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1155,20379,368,0,12,2,9,3,0,0,0,1,20,6,0,1,0,67.5,35,24,4,8,1,1,0,17,0,0,0,1,2,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,9,0,2,123,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
1192,NA,444,0,6,4,13,3,1,0,0,1,30,18,0,0,0,28,21,32,1,10,13,1,0,41,0,0,0,0,0,2,0,1,0,3,2,0,0,0,1,0,0,0,0,6,7,0,0,0,0,7,0,0,0,0,3,0,0,0,5,0,0,164,0,0,0,0,0,9,0,1,0,0,0,2,0,0,0,2,5,0,0,0,0,1,0,0,0,0,0
